CCAA código	CCAA nombre	Explotaciones	Formación jefe explotación
02	Aragón	3355	Estudios profesionales agrarios
02	Aragón	1023	Estudios universitarios agrarios
02	Aragón	41914	Experiencia agraria exclusivamente
02	Aragón	6482	Otra formación agraria o cursos agrarios
