CCAA nombre	CCAA código	Año	Votos	Siglas	Diputados	Candidatura
Aragón	02	2016	984	PCPE	0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
Aragón	02	2016	723	MAS	0	MOVIMIENTO ARAGONÉS SOCIAL
Aragón	02	2016	550	Independientes-FIA	0	INDEPENDIENTES POR ARAGÓN
Aragón	02	2016	377	ENTABAN	0	ENTABAN
Aragón	02	2016	160	FE de las JONS	0	FALANGE ESPAÑOLA DE LAS JONS
Aragón	02	2016	48	UDT	0	UNIÓN DE TODOS
Aragón	02	2019	240540	PSOE	5	PARTIDO SOCIALISTA OBRERO ESPAÑOL
Aragón	02	2019	155576	Cs	3	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
Aragón	02	2019	143242	PP	3	PARTIDO POPULAR
Aragón	02	2019	102930	PODEMOS-IU-EQUO	1	UNIDAS PODEMOS
Aragón	02	2019	92388	VOX	1	VOX
Aragón	02	2019	6934	PACMA	0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
Aragón	02	2019	3372	Eb	0	ESCAÑOS EN BLANCO
Aragón	02	2019	1825	RECORTES CERO-GV	0	RECORTES CERO-GRUPO VERDE
Aragón	02	2019	993	PUM+J	0	POR UN MUNDO MÁS JUSTO
Aragón	02	2019	835	PYLN	0	PUYALON
Aragón	02	2019	785	FIA		FEDERACION DE LOS INDEPENDIENTES DE ARAGON
Aragón	02	2019	765	PCPE	0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
Aragón	02	2019	589	PCTE	0	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
