Año	Municipio código	Municipio nombre	Tipo de presupuesto	Estado de la información	Total gastos	Gastos de personal	Gastos en bienes corrientes y servicios	Gastos financieros	Transferencias corrientes	Inversiones reales	Transferencias de capital	Activos financieros	Pasivos financieros	Fondo de contingencia
2003	22001	Abiego	Liquidaciones	Consolidada	294188,83	29858,85	91401,03	6175,61	7794,8	146938,54	0	0	12020	
2003	22002	Abizanda	Liquidaciones	Consolidada	567684,56	37245,53	84657,41	215,59	14283,4	412667,97	0	0	18614,66	
2003	22003	Adahuesca	Liquidaciones	Consolidada	237023,43	15457,95	101853,33	2242,96	7206,03	110263,16	0	0	0	
2003	22004	Agüero	Liquidaciones	Consolidada	587867,21	154496,13	130551,94	5379,84	247,75	278560,18	0	0	18631,37	
2003	22006	Aísa	Liquidaciones	Consolidada	1266421,41	221187	367865,94	2204,92	45550,26	592471,97	0	0	37141,32	
2003	22007	Albalate de Cinca	Liquidaciones	Consolidada	692341,27	133935,75	215638,26	13456,85	14714,15	275564,44	0	0	39031,82	
2003	22008	Albalatillo	Liquidaciones	Consolidada	185627,95	17075,41	64400,36	1244,88	7626,17	89781,13	0	0	5500	
2003	22009	Albelda	Liquidaciones	Consolidada	1061438,17	327250,26	267055,06	9986,2	19181,52	398011,7	0	0	39953,43	
2003	22011	Albero Alto	Liquidaciones	Consolidada	220343,41	6943,41	28387,83	193,31	1790,08	183028,78	0	0	0	
2003	22012	Albero Bajo	Liquidaciones	Consolidada	154600,77	7598,35	49701,2	231,48	4091,9	91475,32	0	0	1502,52	
2003	22013	Alberuela de Tubo	Liquidaciones	Consolidada	662114,36	51918,26	84015,61	28,5	13629,15	512522,84	0	0	0	
2003	22014	Alcalá de Gurrea	Liquidaciones	Sin información										
2003	22015	Alcalá del Obispo	Liquidaciones	Sin información										
2003	22016	Alcampell	Liquidaciones	Consolidada	506596,37	115698,84	144064,49	7639,05	47025,39	134739,2	0	0	57429,4	
2003	22017	Alcolea de Cinca	Liquidaciones	Consolidada	1763594,55	144561,82	392578,49	9785,35	27420,49	1165388,01	0	0	23860,39	
2003	22018	Alcubierre	Liquidaciones	Consolidada	540997	109121,73	143262,85	9859,92	2979,63	228637,76	14951,96	0	32183,15	
2003	22019	Alerre	Liquidaciones	Consolidada	127617,74	25223,67	39950,11	0	1952,65	60491,31	0	0	0	
2003	22020	Alfántega	Liquidaciones	Consolidada	170851,59	7478,37	35337,8	289,49	2714,49	122774,74	0	0	2256,7	
2003	22021	Almudévar	Liquidaciones	Consolidada	1736749,13	380570,94	725814,36	25248,98	39093,47	510592,27	2638,77	0	52790,34	
2003	22022	Almunia de San Juan	Liquidaciones	Sin información										
2003	22023	Almuniente	Liquidaciones	Consolidada	392045,28	70765,59	99248,35	6988,94	47150,44	135478,47	0	0	32413,49	
2003	22024	Alquézar	Liquidaciones	Consolidada	831644,81	51581,61	269417,9	12652,13	10764,1	329656,32	0	0	157572,75	
2003	22025	Altorricón	Liquidaciones	Consolidada	1439931,84	360285,87	393377,1	11710,31	37873,26	606741,73	0	0	29943,57	
2003	22027	Angüés	Liquidaciones	Consolidada	324475,14	45188,15	72888,14	114,18	29582,45	176702,22	0	0	0	
2003	22028	Ansó	Liquidaciones	Sin información										
2003	22029	Antillón	Liquidaciones	Consolidada	250050,97	26812,08	44457,52	135,79	7131,54	171514,04	0	0	0	
2003	22032	Aragüés del Puerto	Liquidaciones	Sin información										
2003	22035	Arén	Liquidaciones	Consolidada	647352,89	68813,11	88968,89	5113,38	28277,06	450042,2	0	0	6138,25	
2003	22036	Argavieso	Liquidaciones	Sin información										
2003	22037	Arguis	Liquidaciones	Consolidada	131057,73	8176,5	70110,98	709,94	1474,5	41878,87	0	0	8706,94	
2003	22039	Ayerbe	Liquidaciones	Consolidada	858068,25	215920,85	175394,71	9662,82	36727,14	390158,11	366,29	0	29838,33	
2003	22040	Azanuy-Alins	Liquidaciones	Consolidada	190986,27	24204,89	77581,93	2182,99	8666,21	76905,81	0	0	1444,44	
2003	22041	Azara	Liquidaciones	Consolidada	255458,71	25887,52	41400,73	0	5856,01	182314,45	0	0	0	
2003	22042	Azlor	Liquidaciones	Consolidada	228336,51	8348,06	23452,06	2372,6	5505,04	182648,63	0	0	6010,12	
2003	22043	Baells	Liquidaciones	Consolidada	126727,55	6799,59	33664,63	974,92	2226,23	83062,18	0	0	0	
2003	22044	Bailo	Liquidaciones	Consolidada	588229,44	77311,38	113031,15	16924,13	6884,98	224733,92	0	0	149343,88	
2003	22045	Baldellou	Liquidaciones	Sin información										
2003	22046	Ballobar	Liquidaciones	Consolidada	926094,51	282131,08	302122,57	4303,09	43193	285006,64	0	0	9338,13	
2003	22047	Banastás	Liquidaciones	Consolidada	257247,27	34970,95	34728,15	0	1503,16	186045,01	0	0	0	
2003	22048	Barbastro	Liquidaciones	Consolidada	12105305,49	2760059,4	3526657,08	197880,48	1119284,97	3217070,21	150311,87	0	1134041,48	
2003	22049	Barbués	Liquidaciones	Consolidada	77163,63	8507,76	23243,84	28,27	5447,08	39936,68	0	0	0	
2003	22050	Barbuñales	Liquidaciones	Consolidada	234770,18	6872,83	28886,98	70,76	23998,32	174941,29	0	0	0	
2003	22051	Bárcabo	Liquidaciones	Consolidada	446877,4	6334,8	29360,84	237,19	10173,9	400770,67	0	0	0	
2003	22052	Belver de Cinca	Liquidaciones	Consolidada	805867,64	110415,68	264407,48	3558,54	104819,62	224410,13	94950,62	0	3305,57	
2003	22053	Benabarre	Liquidaciones	Consolidada	1961253,09	418560,8	426767,31	20293,13	22762,27	1042538,14	0	0	30331,44	
2003	22054	Benasque	Liquidaciones	Consolidada	3778147,14	852555,03	810130,91	62337,1	125989,55	1704159,7	38363,03	6604,32	178007,5	
2003	22055	Berbegal	Liquidaciones	Sin información										
2003	22057	Bielsa	Liquidaciones	Sin información										
2003	22058	Bierge	Liquidaciones	Consolidada	444600,96	43166,05	146023,9	798,56	10277,1	224363,25	0	0	19972,1	
2003	22059	Biescas	Liquidaciones	Consolidada	2926011,49	486787,97	569290,3	51293,15	242546,56	1345783,72	19072,26	0	211237,53	
2003	22060	Binaced	Liquidaciones	Consolidada	1310662,11	208699,85	377160,05	4305,76	32751,93	669654,08	0	0	18090,44	
2003	22061	Binéfar	Liquidaciones	Consolidada	9004061,46	1896248,74	2061174,78	100059,67	235419,96	4134781,83	0	0	576376,48	
