Provincia codigo	Provincia nombre	Número total de explotaciones 	Unidades ganaderas totales	Número de explotaciones sin ganado	Número de explotaciones con ganado
22	Huesca	16280	979902,014	11407	4873
44	Teruel	11821	351948,971	8787	3034
50	Zaragoza	24673	681905,55	21706	2967
