Comarca código	Comarca nombre	REGTENEN ORDEN	Régimen de tenencia (agregado)	Régimen de tenencia (detalle)	Número hogares
33	Matarraña / Matarranya		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	144
33	Matarraña / Matarranya		Otra forma	Otra forma	92
01	La Jacetania	1	En propiedad	En propiedad, por compra totalmente pagada	2578
01	La Jacetania	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	1231
01	La Jacetania	1	En propiedad	En propiedad, por herencia o donación	1143
02	Alto Gállego	1	En propiedad	En propiedad, por compra totalmente pagada	2218
02	Alto Gállego	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	779
02	Alto Gállego	1	En propiedad	En propiedad, por herencia o donación	715
03	Sobrarbe	1	En propiedad	En propiedad, por compra totalmente pagada	661
03	Sobrarbe	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	232
03	Sobrarbe	1	En propiedad	En propiedad, por herencia o donación	1143
04	La Ribagorza	1	En propiedad	En propiedad, por compra totalmente pagada	1334
04	La Ribagorza	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	451
04	La Ribagorza	1	En propiedad	En propiedad, por herencia o donación	1874
05	Cinco Villas	1	En propiedad	En propiedad, por compra totalmente pagada	5401
05	Cinco Villas	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	2407
05	Cinco Villas	1	En propiedad	En propiedad, por herencia o donación	2302
06	Hoya de Huesca / Plana de Uesca	1	En propiedad	En propiedad, por compra totalmente pagada	10735
06	Hoya de Huesca / Plana de Uesca	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	5434
06	Hoya de Huesca / Plana de Uesca	1	En propiedad	En propiedad, por herencia o donación	2689
07	Somontano de Barbastro	1	En propiedad	En propiedad, por compra totalmente pagada	3855
07	Somontano de Barbastro	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	1244
07	Somontano de Barbastro	1	En propiedad	En propiedad, por herencia o donación	1957
08	Cinca Medio	1	En propiedad	En propiedad, por compra totalmente pagada	3824
08	Cinca Medio	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	1611
08	Cinca Medio	1	En propiedad	En propiedad, por herencia o donación	1291
09	La Litera / La Llitera	1	En propiedad	En propiedad, por compra totalmente pagada	3119
09	La Litera / La Llitera	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	950
09	La Litera / La Llitera	1	En propiedad	En propiedad, por herencia o donación	1593
10	Los Monegros	1	En propiedad	En propiedad, por compra totalmente pagada	3326
10	Los Monegros	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	861
10	Los Monegros	1	En propiedad	En propiedad, por herencia o donación	2403
