Fuente y fecha	Año	Provincia código	Provincia nombre	Total edificios	Antes de 1950	1950-1959	1960-1969	1970-1979	1980-1989	1990-1999	2000-2009	2010 y posterior	Sin definir
Catastro (diciembre de 2019                          )	2019	22	Huesca	270106	51157	8525	19390	38046	38545	40065	63571	10444	363
Catastro (diciembre de 2019                          )	2019	44	Teruel	178542	58733	5772	9387	22280	25430	18260	27995	9132	1553
Catastro (diciembre de 2019                          )	2019	50	Zaragoza	802240	102769	35968	99627	149901	118672	91778	163339	37327	2859
