Provincia código	Provincia nombre	Corine Land Cover 2000 nivel 1 descripción	Superficie (has)	Año
22	Huesca	Superficies artificiales	10206,774508	2000
22	Huesca	Superficies artificiales	5784,183126	2006
22	Huesca	Superficies de agua	11033,014658	2000
22	Huesca	Superficies de agua	10072,172007	2006
22	Huesca	Zonas agrícolas	655625,936094	2000
22	Huesca	Zonas agrícolas	661624,086148	2006
22	Huesca	Zonas forestales con vegetación natural y espacios abiertos	886962,854254	2000
22	Huesca	Zonas forestales con vegetación natural y espacios abiertos	886576,394143	2006
22	Huesca	Zonas húmedas	612,854759	2000
22	Huesca	Zonas húmedas	606,989685	2006
44	Teruel	Superficies artificiales	10345,617074	2000
44	Teruel	Superficies artificiales	8643,347716	2006
44	Teruel	Superficies de agua	1514,769229	2000
44	Teruel	Superficies de agua	1434,074417	2006
44	Teruel	Zonas agrícolas	595513,834743	2000
44	Teruel	Zonas agrícolas	595709,197111	2006
44	Teruel	Zonas forestales con vegetación natural y espacios abiertos	872892,384453	2000
44	Teruel	Zonas forestales con vegetación natural y espacios abiertos	874699,119588	2006
44	Teruel	Zonas húmedas	627,714127	2000
44	Teruel	Zonas húmedas	588,250831	2006
50	Zaragoza	Superficies artificiales	28633,388421	2000
50	Zaragoza	Superficies artificiales	25833,07516	2006
50	Zaragoza	Superficies de agua	15560,251393	2000
50	Zaragoza	Superficies de agua	15738,20887	2006
50	Zaragoza	Zonas agrícolas	1070403,29866	2000
50	Zaragoza	Zonas agrícolas	1073475,313929	2006
50	Zaragoza	Zonas forestales con vegetación natural y espacios abiertos	609431,928978	2000
50	Zaragoza	Zonas forestales con vegetación natural y espacios abiertos	609509,721681	2006
50	Zaragoza	Zonas húmedas	3080,42428	2000
50	Zaragoza	Zonas húmedas	2679,027203	2006
