Comarca código	Comarca nombre	Calefacción (agregado)	Calefacción (detalle)	Combustible usado	Número hogares
02	Alto Gállego	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del petróleo	33
02	Alto Gállego	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Madera	185
02	Alto Gállego	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Otros	1
02	Alto Gállego	Sin calefacción	Sin ningún medio	 No aplicable	81
03	Sobrarbe	Con calefacción	Con calefacción colectiva	Gas	25
03	Sobrarbe	Con calefacción	Con calefacción colectiva	Electricidad	4
03	Sobrarbe	Con calefacción	Con calefacción colectiva	Derivados del petróleo	96
03	Sobrarbe	Con calefacción	Con calefacción colectiva	Madera	6
03	Sobrarbe	Con calefacción	Con calefacción individual	Gas	231
03	Sobrarbe	Con calefacción	Con calefacción individual	Electricidad	212
03	Sobrarbe	Con calefacción	Con calefacción individual	Derivados del petróleo	862
03	Sobrarbe	Con calefacción	Con calefacción individual	Madera	128
