Municipio código	Municipio nombre	Plantas sobre rasante	Número de edificios
22001	Abiego	01	42
22001	Abiego	02	141
22001	Abiego	03	3
22002	Abizanda	01	7
22002	Abizanda	02	9
22002	Abizanda	03	71
22002	Abizanda	04	2
22003	Adahuesca	01	60
22003	Adahuesca	02	55
22003	Adahuesca	03	1
22004	Agüero	01	61
22004	Agüero	02	125
22004	Agüero	03	27
22006	Aísa	01	36
22006	Aísa	02	57
22006	Aísa	03	69
22006	Aísa	04	18
22006	Aísa	05	15
22006	Aísa	06	10
22006	Aísa	07	1
22006	Aísa	10 o más	2
22007	Albalate de Cinca	01	315
22007	Albalate de Cinca	02	80
22007	Albalate de Cinca	03	12
22007	Albalate de Cinca	04	3
22008	Albalatillo	01	20
22008	Albalatillo	02	101
22008	Albalatillo	03	5
22009	Albelda	01	136
22009	Albelda	02	266
22009	Albelda	03	32
22009	Albelda	04	1
22011	Albero Alto	01	7
22011	Albero Alto	02	35
22011	Albero Alto	03	8
22012	Albero Bajo	01	11
22012	Albero Bajo	02	28
22012	Albero Bajo	03	5
22013	Alberuela de Tubo	01	13
22013	Alberuela de Tubo	02	123
22014	Alcalá de Gurrea	01	79
22014	Alcalá de Gurrea	02	128
22014	Alcalá de Gurrea	03	9
22015	Alcalá del Obispo	01	39
22015	Alcalá del Obispo	02	167
22015	Alcalá del Obispo	03	60
22016	Alcampell	01	106
22016	Alcampell	02	275
22016	Alcampell	03	120
22016	Alcampell	05	1
22017	Alcolea de Cinca	01	302
22017	Alcolea de Cinca	02	64
22017	Alcolea de Cinca	03	24
22017	Alcolea de Cinca	04	17
22017	Alcolea de Cinca	05	1
22018	Alcubierre	01	32
22018	Alcubierre	02	178
22018	Alcubierre	03	55
22019	Alerre	01	23
22019	Alerre	02	35
22019	Alerre	03	6
22020	Alfántega	01	58
22020	Alfántega	02	14
22021	Almudévar	01	208
22021	Almudévar	02	526
22021	Almudévar	03	266
22021	Almudévar	04	6
22021	Almudévar	05	1
22022	Almunia de San Juan	01	197
22022	Almunia de San Juan	02	143
22022	Almunia de San Juan	03	9
22023	Almuniente	01	70
22023	Almuniente	02	181
22023	Almuniente	03	6
22024	Alquézar	01	40
22024	Alquézar	02	152
22024	Alquézar	03	10
22025	Altorricón	01	363
22025	Altorricón	02	170
22025	Altorricón	03	9
22025	Altorricón	04	11
22025	Altorricón	05	1
22025	Altorricón	06	1
22027	Angüés	01	223
22027	Angüés	02	93
22027	Angüés	03	3
22028	Ansó	01	28
22028	Ansó	02	125
22028	Ansó	03	175
22028	Ansó	04	9
22028	Ansó	05	1
22029	Antillón	01	27
22029	Antillón	02	38
22029	Antillón	03	3
22032	Aragüés del Puerto	01	16
22032	Aragüés del Puerto	02	54
22032	Aragüés del Puerto	03	61
22032	Aragüés del Puerto	04	2
22035	Arén	01	2
22035	Arén	02	163
22035	Arén	03	61
22035	Arén	04	2
22035	Arén	05	1
22036	Argavieso	01	3
22036	Argavieso	02	51
22036	Argavieso	03	12
22037	Arguis	01	40
22037	Arguis	02	19
22037	Arguis	03	1
22039	Ayerbe	01	239
22039	Ayerbe	02	228
22039	Ayerbe	03	52
22039	Ayerbe	04	14
22040	Azanuy-Alins	01	119
22040	Azanuy-Alins	02	81
22041	Azara	01	38
22041	Azara	02	50
22041	Azara	03	7
22042	Azlor	01	20
22042	Azlor	02	65
22042	Azlor	03	17
22042	Azlor	04	1
22043	Baells	01	31
22043	Baells	02	57
22043	Baells	03	9
22044	Bailo	01	117
22044	Bailo	02	35
22044	Bailo	03	7
22045	Baldellou	01	63
22045	Baldellou	02	60
22045	Baldellou	03	20
22046	Ballobar	01	231
22046	Ballobar	02	225
22046	Ballobar	03	13
22047	Banastás	01	21
22047	Banastás	02	44
22047	Banastás	03	3
22048	Barbastro	01	381
22048	Barbastro	02	589
22048	Barbastro	03	451
22048	Barbastro	04	239
22048	Barbastro	05	189
22048	Barbastro	06	118
22048	Barbastro	07	57
22048	Barbastro	08	9
22048	Barbastro	09	5
22048	Barbastro	10 o más	2
22049	Barbués	01	9
22049	Barbués	02	43
22049	Barbués	03	7
22050	Barbuñales	01	48
22050	Barbuñales	02	36
22050	Barbuñales	03	3
22051	Bárcabo	01	12
22051	Bárcabo	02	9
22051	Bárcabo	03	45
22052	Belver de Cinca	01	399
22052	Belver de Cinca	02	115
22052	Belver de Cinca	03	20
22052	Belver de Cinca	04	4
22053	Benabarre	01	224
22053	Benabarre	02	277
22053	Benabarre	03	60
22053	Benabarre	04	2
22053	Benabarre	05	1
22053	Benabarre	06	1
22054	Benasque	01	52
22054	Benasque	02	45
