Aragón	Sexo	Edad	Sector actividad	Rama actividad, código	Rama actividad, descripción	Personas residentes viviendas familiares
Aragón	Mujeres	26 a 45 años	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	2123
Aragón	Mujeres	26 a 45 años	Industria y energía	02	Extractivas, energía, gas y agua	356
Aragón	Mujeres	26 a 45 años	Industria y energía	03	Alimentación, bebidas y tabaco	2917
Aragón	Mujeres	26 a 45 años	Industria y energía	04	Textil y calzado	3497
Aragón	Mujeres	26 a 45 años	Industria y energía	05	Madera y papel	1221
Aragón	Mujeres	26 a 45 años	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	2010
Aragón	Mujeres	26 a 45 años	Industria y energía	07	Metal	6256
Aragón	Mujeres	26 a 45 años	Industria y energía	08	Manufactureras diversas	611
Aragón	Mujeres	26 a 45 años	Construcción	09	Construcción	2300
Aragón	Mujeres	26 a 45 años	Servicios	10	Comercio y reparación	19996
Aragón	Mujeres	26 a 45 años	Servicios	11	Hostelería	7242
Aragón	Mujeres	26 a 45 años	Servicios	12	Transporte y comunicaciones	4099
Aragón	Mujeres	26 a 45 años	Servicios	13	Finanzas y servicios a empresas	13899
Aragón	Mujeres	26 a 45 años	Servicios	14	Administración pública	11327
Aragón	Mujeres	26 a 45 años	Servicios	15	Educación	11153
Aragón	Mujeres	26 a 45 años	Servicios	16	Sanidad	14718
Aragón	Mujeres	26 a 45 años	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	7952
Aragón	Mujeres	46 años y más	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	2160
Aragón	Mujeres	46 años y más	Industria y energía	02	Extractivas, energía, gas y agua	113
Aragón	Mujeres	46 años y más	Industria y energía	03	Alimentación, bebidas y tabaco	1068
Aragón	Mujeres	46 años y más	Industria y energía	04	Textil y calzado	1562
Aragón	Mujeres	46 años y más	Industria y energía	05	Madera y papel	304
Aragón	Mujeres	46 años y más	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	453
Aragón	Mujeres	46 años y más	Industria y energía	07	Metal	1430
Aragón	Mujeres	46 años y más	Industria y energía	08	Manufactureras diversas	228
Aragón	Mujeres	46 años y más	Construcción	09	Construcción	831
Aragón	Mujeres	46 años y más	Servicios	10	Comercio y reparación	7827
Aragón	Mujeres	46 años y más	Servicios	11	Hostelería	3404
Aragón	Mujeres	46 años y más	Servicios	12	Transporte y comunicaciones	1033
Aragón	Mujeres	46 años y más	Servicios	13	Finanzas y servicios a empresas	4553
Aragón	Mujeres	46 años y más	Servicios	14	Administración pública	4620
Aragón	Mujeres	46 años y más	Servicios	15	Educación	5227
Aragón	Mujeres	46 años y más	Servicios	16	Sanidad	7069
Aragón	Mujeres	46 años y más	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	3900
