Año	Mes (código)	Mes y año	Mes nombre	Comarca código	Comarca nombre	Grupo de tipo de jornada	Sexo	Número de contratos
2017	201701	Enero 2017	Enero	15	Ribera Alta del Ebro	1 - Jornada Completa	Mujeres	350
2017	201701	Enero 2017	Enero	15	Ribera Alta del Ebro	2 - Jornada Parcial	Hombres	109
2017	201701	Enero 2017	Enero	15	Ribera Alta del Ebro	2 - Jornada Parcial	Mujeres	159
2017	201701	Enero 2017	Enero	15	Ribera Alta del Ebro	3 - Fijos Discontinuos	Hombres	3
2017	201701	Enero 2017	Enero	16	Valdejalón	1 - Jornada Completa	Hombres	1058
2017	201701	Enero 2017	Enero	16	Valdejalón	1 - Jornada Completa	Mujeres	727
2017	201701	Enero 2017	Enero	16	Valdejalón	2 - Jornada Parcial	Hombres	29
2017	201701	Enero 2017	Enero	16	Valdejalón	2 - Jornada Parcial	Mujeres	68
2017	201701	Enero 2017	Enero	16	Valdejalón	3 - Fijos Discontinuos	Hombres	5
2017	201701	Enero 2017	Enero	16	Valdejalón	3 - Fijos Discontinuos	Mujeres	1
2017	201701	Enero 2017	Enero	17	D.C. Zaragoza	1 - Jornada Completa	Hombres	9747
2017	201701	Enero 2017	Enero	17	D.C. Zaragoza	1 - Jornada Completa	Mujeres	6088
2017	201701	Enero 2017	Enero	17	D.C. Zaragoza	2 - Jornada Parcial	Hombres	3422
2017	201701	Enero 2017	Enero	17	D.C. Zaragoza	2 - Jornada Parcial	Mujeres	5902
2017	201701	Enero 2017	Enero	17	D.C. Zaragoza	3 - Fijos Discontinuos	Hombres	42
2017	201701	Enero 2017	Enero	17	D.C. Zaragoza	3 - Fijos Discontinuos	Mujeres	40
2017	201701	Enero 2017	Enero	18	Ribera Baja del Ebro	1 - Jornada Completa	Hombres	236
2017	201701	Enero 2017	Enero	18	Ribera Baja del Ebro	1 - Jornada Completa	Mujeres	46
2017	201701	Enero 2017	Enero	18	Ribera Baja del Ebro	2 - Jornada Parcial	Hombres	18
2017	201701	Enero 2017	Enero	18	Ribera Baja del Ebro	2 - Jornada Parcial	Mujeres	37
2017	201701	Enero 2017	Enero	18	Ribera Baja del Ebro	3 - Fijos Discontinuos	Hombres	8
2017	201701	Enero 2017	Enero	18	Ribera Baja del Ebro	3 - Fijos Discontinuos	Mujeres	1
2017	201701	Enero 2017	Enero	19	Bajo Aragón-Caspe / Baix Aragó-Casp	1 - Jornada Completa	Hombres	167
2017	201701	Enero 2017	Enero	19	Bajo Aragón-Caspe / Baix Aragó-Casp	1 - Jornada Completa	Mujeres	46
2017	201701	Enero 2017	Enero	19	Bajo Aragón-Caspe / Baix Aragó-Casp	2 - Jornada Parcial	Hombres	16
2017	201701	Enero 2017	Enero	19	Bajo Aragón-Caspe / Baix Aragó-Casp	2 - Jornada Parcial	Mujeres	39
2017	201701	Enero 2017	Enero	19	Bajo Aragón-Caspe / Baix Aragó-Casp	3 - Fijos Discontinuos	Hombres	7
2017	201701	Enero 2017	Enero	19	Bajo Aragón-Caspe / Baix Aragó-Casp	3 - Fijos Discontinuos	Mujeres	3
2017	201701	Enero 2017	Enero	20	Comunidad de Calatayud	1 - Jornada Completa	Hombres	360
2017	201701	Enero 2017	Enero	20	Comunidad de Calatayud	1 - Jornada Completa	Mujeres	166
2017	201701	Enero 2017	Enero	20	Comunidad de Calatayud	2 - Jornada Parcial	Hombres	85
2017	201701	Enero 2017	Enero	20	Comunidad de Calatayud	2 - Jornada Parcial	Mujeres	130
2017	201701	Enero 2017	Enero	20	Comunidad de Calatayud	3 - Fijos Discontinuos	Hombres	2
2017	201701	Enero 2017	Enero	20	Comunidad de Calatayud	3 - Fijos Discontinuos	Mujeres	1
2017	201701	Enero 2017	Enero	21	Campo de Cariñena	1 - Jornada Completa	Hombres	300
2017	201701	Enero 2017	Enero	21	Campo de Cariñena	1 - Jornada Completa	Mujeres	113
2017	201701	Enero 2017	Enero	21	Campo de Cariñena	2 - Jornada Parcial	Hombres	24
2017	201701	Enero 2017	Enero	21	Campo de Cariñena	2 - Jornada Parcial	Mujeres	20
2017	201701	Enero 2017	Enero	21	Campo de Cariñena	3 - Fijos Discontinuos	Hombres	4
2017	201701	Enero 2017	Enero	22	Campo de Belchite	1 - Jornada Completa	Hombres	23
2017	201701	Enero 2017	Enero	22	Campo de Belchite	1 - Jornada Completa	Mujeres	4
2017	201701	Enero 2017	Enero	22	Campo de Belchite	2 - Jornada Parcial	Hombres	8
2017	201701	Enero 2017	Enero	22	Campo de Belchite	2 - Jornada Parcial	Mujeres	16
2017	201701	Enero 2017	Enero	23	Bajo Martín	1 - Jornada Completa	Hombres	101
2017	201701	Enero 2017	Enero	23	Bajo Martín	1 - Jornada Completa	Mujeres	34
2017	201701	Enero 2017	Enero	23	Bajo Martín	2 - Jornada Parcial	Hombres	6
2017	201701	Enero 2017	Enero	23	Bajo Martín	2 - Jornada Parcial	Mujeres	29
2017	201701	Enero 2017	Enero	24	Campo de Daroca	1 - Jornada Completa	Hombres	26
2017	201701	Enero 2017	Enero	24	Campo de Daroca	1 - Jornada Completa	Mujeres	9
2017	201701	Enero 2017	Enero	24	Campo de Daroca	2 - Jornada Parcial	Hombres	8
2017	201701	Enero 2017	Enero	24	Campo de Daroca	2 - Jornada Parcial	Mujeres	12
2017	201701	Enero 2017	Enero	25	Jiloca	1 - Jornada Completa	Hombres	53
2017	201701	Enero 2017	Enero	25	Jiloca	1 - Jornada Completa	Mujeres	34
2017	201701	Enero 2017	Enero	25	Jiloca	2 - Jornada Parcial	Hombres	12
2017	201701	Enero 2017	Enero	25	Jiloca	2 - Jornada Parcial	Mujeres	13
2017	201701	Enero 2017	Enero	26	Cuencas Mineras	1 - Jornada Completa	Hombres	37
2017	201701	Enero 2017	Enero	26	Cuencas Mineras	1 - Jornada Completa	Mujeres	56
2017	201701	Enero 2017	Enero	26	Cuencas Mineras	2 - Jornada Parcial	Hombres	17
2017	201701	Enero 2017	Enero	26	Cuencas Mineras	2 - Jornada Parcial	Mujeres	18
2017	201701	Enero 2017	Enero	27	Andorra-Sierra de Arcos	1 - Jornada Completa	Hombres	59
2017	201701	Enero 2017	Enero	27	Andorra-Sierra de Arcos	1 - Jornada Completa	Mujeres	39
2017	201701	Enero 2017	Enero	27	Andorra-Sierra de Arcos	2 - Jornada Parcial	Hombres	13
2017	201701	Enero 2017	Enero	27	Andorra-Sierra de Arcos	2 - Jornada Parcial	Mujeres	56
2017	201701	Enero 2017	Enero	27	Andorra-Sierra de Arcos	3 - Fijos Discontinuos	Hombres	1
2017	201701	Enero 2017	Enero	28	Bajo Aragón	1 - Jornada Completa	Hombres	204
2017	201701	Enero 2017	Enero	28	Bajo Aragón	1 - Jornada Completa	Mujeres	93
2017	201701	Enero 2017	Enero	28	Bajo Aragón	2 - Jornada Parcial	Hombres	31
2017	201701	Enero 2017	Enero	28	Bajo Aragón	2 - Jornada Parcial	Mujeres	86
2017	201701	Enero 2017	Enero	28	Bajo Aragón	3 - Fijos Discontinuos	Hombres	1
2017	201701	Enero 2017	Enero	29	Comunidad de Teruel	1 - Jornada Completa	Hombres	936
2017	201701	Enero 2017	Enero	29	Comunidad de Teruel	1 - Jornada Completa	Mujeres	360
2017	201701	Enero 2017	Enero	29	Comunidad de Teruel	2 - Jornada Parcial	Hombres	84
2017	201701	Enero 2017	Enero	29	Comunidad de Teruel	2 - Jornada Parcial	Mujeres	203
2017	201701	Enero 2017	Enero	29	Comunidad de Teruel	3 - Fijos Discontinuos	Hombres	4
2017	201701	Enero 2017	Enero	29	Comunidad de Teruel	3 - Fijos Discontinuos	Mujeres	2
2017	201701	Enero 2017	Enero	30	Maestrazgo	1 - Jornada Completa	Hombres	16
2017	201701	Enero 2017	Enero	30	Maestrazgo	1 - Jornada Completa	Mujeres	5
2017	201701	Enero 2017	Enero	30	Maestrazgo	2 - Jornada Parcial	Hombres	1
2017	201701	Enero 2017	Enero	30	Maestrazgo	2 - Jornada Parcial	Mujeres	6
2017	201701	Enero 2017	Enero	31	Sierra de Albarracín	1 - Jornada Completa	Hombres	15
2017	201701	Enero 2017	Enero	31	Sierra de Albarracín	1 - Jornada Completa	Mujeres	12
2017	201701	Enero 2017	Enero	31	Sierra de Albarracín	2 - Jornada Parcial	Hombres	4
2017	201701	Enero 2017	Enero	31	Sierra de Albarracín	2 - Jornada Parcial	Mujeres	10
2017	201701	Enero 2017	Enero	32	Gúdar-Javalambre	1 - Jornada Completa	Hombres	116
2017	201701	Enero 2017	Enero	32	Gúdar-Javalambre	1 - Jornada Completa	Mujeres	142
2017	201701	Enero 2017	Enero	32	Gúdar-Javalambre	2 - Jornada Parcial	Hombres	16
2017	201701	Enero 2017	Enero	32	Gúdar-Javalambre	2 - Jornada Parcial	Mujeres	23
2017	201701	Enero 2017	Enero	32	Gúdar-Javalambre	3 - Fijos Discontinuos	Hombres	1
2017	201701	Enero 2017	Enero	32	Gúdar-Javalambre	3 - Fijos Discontinuos	Mujeres	5
2017	201701	Enero 2017	Enero	33	Matarraña / Matarranya	1 - Jornada Completa	Hombres	43
2017	201701	Enero 2017	Enero	33	Matarraña / Matarranya	1 - Jornada Completa	Mujeres	18
2017	201701	Enero 2017	Enero	33	Matarraña / Matarranya	2 - Jornada Parcial	Hombres	12
2017	201701	Enero 2017	Enero	33	Matarraña / Matarranya	2 - Jornada Parcial	Mujeres	38
2017	201701	Enero 2017	Enero	33	Matarraña / Matarranya	3 - Fijos Discontinuos	Mujeres	1
2016	201612	Diciembre 2016	Diciembre	01	La Jacetania	1 - Jornada Completa	Hombres	185
2016	201612	Diciembre 2016	Diciembre	01	La Jacetania	1 - Jornada Completa	Mujeres	210
2016	201612	Diciembre 2016	Diciembre	01	La Jacetania	2 - Jornada Parcial	Hombres	138
2016	201612	Diciembre 2016	Diciembre	01	La Jacetania	2 - Jornada Parcial	Mujeres	205
2016	201612	Diciembre 2016	Diciembre	01	La Jacetania	3 - Fijos Discontinuos	Hombres	20
2016	201612	Diciembre 2016	Diciembre	01	La Jacetania	3 - Fijos Discontinuos	Mujeres	16
2016	201612	Diciembre 2016	Diciembre	02	Alto Gállego	1 - Jornada Completa	Hombres	540
2016	201612	Diciembre 2016	Diciembre	02	Alto Gállego	1 - Jornada Completa	Mujeres	444
2016	201612	Diciembre 2016	Diciembre	02	Alto Gállego	2 - Jornada Parcial	Hombres	88
2016	201612	Diciembre 2016	Diciembre	02	Alto Gállego	2 - Jornada Parcial	Mujeres	105
2016	201612	Diciembre 2016	Diciembre	02	Alto Gállego	3 - Fijos Discontinuos	Hombres	40
2016	201612	Diciembre 2016	Diciembre	02	Alto Gállego	3 - Fijos Discontinuos	Mujeres	21
2016	201612	Diciembre 2016	Diciembre	03	Sobrarbe	1 - Jornada Completa	Hombres	72
2016	201612	Diciembre 2016	Diciembre	03	Sobrarbe	1 - Jornada Completa	Mujeres	66
2016	201612	Diciembre 2016	Diciembre	03	Sobrarbe	2 - Jornada Parcial	Hombres	13
2016	201612	Diciembre 2016	Diciembre	03	Sobrarbe	2 - Jornada Parcial	Mujeres	24
2016	201612	Diciembre 2016	Diciembre	03	Sobrarbe	3 - Fijos Discontinuos	Hombres	3
2016	201612	Diciembre 2016	Diciembre	03	Sobrarbe	3 - Fijos Discontinuos	Mujeres	5
2016	201612	Diciembre 2016	Diciembre	04	La Ribagorza	1 - Jornada Completa	Hombres	164
2016	201612	Diciembre 2016	Diciembre	04	La Ribagorza	1 - Jornada Completa	Mujeres	184
2016	201612	Diciembre 2016	Diciembre	04	La Ribagorza	2 - Jornada Parcial	Hombres	110
2016	201612	Diciembre 2016	Diciembre	04	La Ribagorza	2 - Jornada Parcial	Mujeres	110
2016	201612	Diciembre 2016	Diciembre	04	La Ribagorza	3 - Fijos Discontinuos	Hombres	32
2016	201612	Diciembre 2016	Diciembre	04	La Ribagorza	3 - Fijos Discontinuos	Mujeres	28
2016	201612	Diciembre 2016	Diciembre	05	Cinco Villas	1 - Jornada Completa	Hombres	254
2016	201612	Diciembre 2016	Diciembre	05	Cinco Villas	1 - Jornada Completa	Mujeres	155
2016	201612	Diciembre 2016	Diciembre	05	Cinco Villas	2 - Jornada Parcial	Hombres	38
2016	201612	Diciembre 2016	Diciembre	05	Cinco Villas	2 - Jornada Parcial	Mujeres	80
2016	201612	Diciembre 2016	Diciembre	06	Hoya de Huesca / Plana de Uesca	1 - Jornada Completa	Hombres	503
2016	201612	Diciembre 2016	Diciembre	06	Hoya de Huesca / Plana de Uesca	1 - Jornada Completa	Mujeres	411
2016	201612	Diciembre 2016	Diciembre	06	Hoya de Huesca / Plana de Uesca	2 - Jornada Parcial	Hombres	165
2016	201612	Diciembre 2016	Diciembre	06	Hoya de Huesca / Plana de Uesca	2 - Jornada Parcial	Mujeres	545
2016	201612	Diciembre 2016	Diciembre	06	Hoya de Huesca / Plana de Uesca	3 - Fijos Discontinuos	Hombres	1
2016	201612	Diciembre 2016	Diciembre	06	Hoya de Huesca / Plana de Uesca	3 - Fijos Discontinuos	Mujeres	4
2016	201612	Diciembre 2016	Diciembre	07	Somontano de Barbastro	1 - Jornada Completa	Hombres	212
2016	201612	Diciembre 2016	Diciembre	07	Somontano de Barbastro	1 - Jornada Completa	Mujeres	91
2016	201612	Diciembre 2016	Diciembre	07	Somontano de Barbastro	2 - Jornada Parcial	Hombres	46
2016	201612	Diciembre 2016	Diciembre	07	Somontano de Barbastro	2 - Jornada Parcial	Mujeres	140
2016	201612	Diciembre 2016	Diciembre	07	Somontano de Barbastro	3 - Fijos Discontinuos	Mujeres	3
2016	201612	Diciembre 2016	Diciembre	08	Cinca Medio	1 - Jornada Completa	Hombres	194
2016	201612	Diciembre 2016	Diciembre	08	Cinca Medio	1 - Jornada Completa	Mujeres	105
2016	201612	Diciembre 2016	Diciembre	08	Cinca Medio	2 - Jornada Parcial	Hombres	90
2016	201612	Diciembre 2016	Diciembre	08	Cinca Medio	2 - Jornada Parcial	Mujeres	176
2016	201612	Diciembre 2016	Diciembre	08	Cinca Medio	3 - Fijos Discontinuos	Hombres	1
2016	201612	Diciembre 2016	Diciembre	08	Cinca Medio	3 - Fijos Discontinuos	Mujeres	1
2016	201612	Diciembre 2016	Diciembre	09	La Litera / La Llitera	1 - Jornada Completa	Hombres	133
2016	201612	Diciembre 2016	Diciembre	09	La Litera / La Llitera	1 - Jornada Completa	Mujeres	70
2016	201612	Diciembre 2016	Diciembre	09	La Litera / La Llitera	2 - Jornada Parcial	Hombres	21
2016	201612	Diciembre 2016	Diciembre	09	La Litera / La Llitera	2 - Jornada Parcial	Mujeres	56
2016	201612	Diciembre 2016	Diciembre	09	La Litera / La Llitera	3 - Fijos Discontinuos	Hombres	1
2016	201612	Diciembre 2016	Diciembre	10	Los Monegros	1 - Jornada Completa	Hombres	90
2016	201612	Diciembre 2016	Diciembre	10	Los Monegros	1 - Jornada Completa	Mujeres	34
2016	201612	Diciembre 2016	Diciembre	10	Los Monegros	2 - Jornada Parcial	Hombres	22
2016	201612	Diciembre 2016	Diciembre	10	Los Monegros	2 - Jornada Parcial	Mujeres	30
2016	201612	Diciembre 2016	Diciembre	11	Bajo Cinca / Baix Cinca	1 - Jornada Completa	Hombres	645
2016	201612	Diciembre 2016	Diciembre	11	Bajo Cinca / Baix Cinca	1 - Jornada Completa	Mujeres	425
2016	201612	Diciembre 2016	Diciembre	11	Bajo Cinca / Baix Cinca	2 - Jornada Parcial	Hombres	86
2016	201612	Diciembre 2016	Diciembre	11	Bajo Cinca / Baix Cinca	2 - Jornada Parcial	Mujeres	161
2016	201612	Diciembre 2016	Diciembre	11	Bajo Cinca / Baix Cinca	3 - Fijos Discontinuos	Hombres	28
2016	201612	Diciembre 2016	Diciembre	11	Bajo Cinca / Baix Cinca	3 - Fijos Discontinuos	Mujeres	4
2016	201612	Diciembre 2016	Diciembre	12	Tarazona y el Moncayo	1 - Jornada Completa	Hombres	204
2016	201612	Diciembre 2016	Diciembre	12	Tarazona y el Moncayo	1 - Jornada Completa	Mujeres	118
2016	201612	Diciembre 2016	Diciembre	12	Tarazona y el Moncayo	2 - Jornada Parcial	Hombres	67
2016	201612	Diciembre 2016	Diciembre	12	Tarazona y el Moncayo	2 - Jornada Parcial	Mujeres	85
2016	201612	Diciembre 2016	Diciembre	13	Campo de Borja	1 - Jornada Completa	Hombres	230
2016	201612	Diciembre 2016	Diciembre	13	Campo de Borja	1 - Jornada Completa	Mujeres	125
2016	201612	Diciembre 2016	Diciembre	13	Campo de Borja	2 - Jornada Parcial	Hombres	32
2016	201612	Diciembre 2016	Diciembre	13	Campo de Borja	2 - Jornada Parcial	Mujeres	43
2016	201612	Diciembre 2016	Diciembre	14	Aranda	1 - Jornada Completa	Hombres	60
2016	201612	Diciembre 2016	Diciembre	14	Aranda	1 - Jornada Completa	Mujeres	22
2016	201612	Diciembre 2016	Diciembre	14	Aranda	2 - Jornada Parcial	Hombres	2
2016	201612	Diciembre 2016	Diciembre	14	Aranda	2 - Jornada Parcial	Mujeres	16
2016	201612	Diciembre 2016	Diciembre	14	Aranda	3 - Fijos Discontinuos	Hombres	1
2016	201612	Diciembre 2016	Diciembre	15	Ribera Alta del Ebro	1 - Jornada Completa	Hombres	587
2016	201612	Diciembre 2016	Diciembre	15	Ribera Alta del Ebro	1 - Jornada Completa	Mujeres	249
2016	201612	Diciembre 2016	Diciembre	15	Ribera Alta del Ebro	2 - Jornada Parcial	Hombres	118
2016	201612	Diciembre 2016	Diciembre	15	Ribera Alta del Ebro	2 - Jornada Parcial	Mujeres	198
2016	201612	Diciembre 2016	Diciembre	15	Ribera Alta del Ebro	3 - Fijos Discontinuos	Hombres	7
2016	201612	Diciembre 2016	Diciembre	15	Ribera Alta del Ebro	3 - Fijos Discontinuos	Mujeres	2
2016	201612	Diciembre 2016	Diciembre	16	Valdejalón	1 - Jornada Completa	Hombres	795
2016	201612	Diciembre 2016	Diciembre	16	Valdejalón	1 - Jornada Completa	Mujeres	512
2016	201612	Diciembre 2016	Diciembre	16	Valdejalón	2 - Jornada Parcial	Hombres	50
2016	201612	Diciembre 2016	Diciembre	16	Valdejalón	2 - Jornada Parcial	Mujeres	74
2016	201612	Diciembre 2016	Diciembre	16	Valdejalón	3 - Fijos Discontinuos	Hombres	3
2016	201612	Diciembre 2016	Diciembre	16	Valdejalón	3 - Fijos Discontinuos	Mujeres	1
2016	201612	Diciembre 2016	Diciembre	17	D.C. Zaragoza	1 - Jornada Completa	Hombres	8063
2016	201612	Diciembre 2016	Diciembre	17	D.C. Zaragoza	1 - Jornada Completa	Mujeres	5594
2016	201612	Diciembre 2016	Diciembre	17	D.C. Zaragoza	2 - Jornada Parcial	Hombres	3723
2016	201612	Diciembre 2016	Diciembre	17	D.C. Zaragoza	2 - Jornada Parcial	Mujeres	6454
2016	201612	Diciembre 2016	Diciembre	17	D.C. Zaragoza	3 - Fijos Discontinuos	Hombres	21
2016	201612	Diciembre 2016	Diciembre	17	D.C. Zaragoza	3 - Fijos Discontinuos	Mujeres	34
2016	201612	Diciembre 2016	Diciembre	18	Ribera Baja del Ebro	1 - Jornada Completa	Hombres	154
2016	201612	Diciembre 2016	Diciembre	18	Ribera Baja del Ebro	1 - Jornada Completa	Mujeres	72
2016	201612	Diciembre 2016	Diciembre	18	Ribera Baja del Ebro	2 - Jornada Parcial	Hombres	20
2016	201612	Diciembre 2016	Diciembre	18	Ribera Baja del Ebro	2 - Jornada Parcial	Mujeres	44
2016	201612	Diciembre 2016	Diciembre	18	Ribera Baja del Ebro	3 - Fijos Discontinuos	Hombres	1
2016	201612	Diciembre 2016	Diciembre	18	Ribera Baja del Ebro	3 - Fijos Discontinuos	Mujeres	1
2016	201612	Diciembre 2016	Diciembre	19	Bajo Aragón-Caspe / Baix Aragó-Casp	1 - Jornada Completa	Hombres	133
2016	201612	Diciembre 2016	Diciembre	19	Bajo Aragón-Caspe / Baix Aragó-Casp	1 - Jornada Completa	Mujeres	47
