Año	CCAA nombre	Número total de explotaciones	Explotaciones con tierras	Explotaciones con tierras con SAU	Explotaciones con tierras sin SAU	Explotaciones con tierras con SAU <5 hectáreas	Explotaciones con tierras con SAU >= 5 y < 10 hectáreas	Explotaciones con tierras con SAU >= 10 y < 20 hectáreas	Explotaciones con tierras con SAU >= 20 y < 50 hectáreas	Explotaciones con tierras con SAU >= 50 y < 100 hectáreas	Explotaciones con tierras con SAU >= 100 hectáreas
1999	Aragón	80021	78244	72065	6179	31268	9552	9794	10643	5835	4973
1989	Aragón	100731	99649	92460	7189	41657	14378	13707	12588	6011	4119
