Año	Municipio código	Municipio nombre	Urbano, superficie	% Urbana	Rústico, superficie	% Rústica
2017	22001	Abiego	10,12	0,262677703283212	3842,51	99,7373222967168
2017	22002	Abizanda	8,43	0,188288163531509	4468,75	99,8117118364685
2017	22003	Adahuesca	6,21	0,117597154944193	5274,53	99,8824028450558
2017	22004	Agüero	6,91	0,07380436396339	9355,68	99,9261956360366
2017	22006	Aísa	38,54	0,470666394736939	8149,85	99,5293336052631
2017	22007	Albalate de Cinca	34,05	0,770848567308324	4383,16	99,2291514326917
2017	22008	Albalatillo	12,91	1,42958385932275	890,15	98,5704161406773
2017	22009	Albelda	21,84	0,417609187402123	5207,93	99,5823908125979
2017	22011	Albero Alto	6,22	0,321849548272258	1926,36	99,6781504517277
2017	22012	Albero Bajo	11,36	0,511963080972189	2207,55	99,4880369190278
2017	22013	Alberuela de Tubo	14,88	0,710856323898244	2078,37	99,2891436761018
2017	22014	Alcalá de Gurrea	80,12	1,11418288619537	7110,8	98,8858171138046
2017	22015	Alcalá del Obispo	13,93	0,299021365108736	4644,6	99,7009786348913
2017	22016	Alcampell	23,32	0,406181200011147	5717,96	99,5938187999889
2017	22017	Alcolea de Cinca	42,81	0,510732419638085	8339,27	99,4892675803619
2017	22018	Alcubierre	14,94	0,129922872426001	11484,19	99,870077127574
2017	22019	Alerre	15,04	1,6864200576343	876,79	98,3135799423657
2017	22020	Alfántega	4,41	0,513256209119899	854,81	99,4867437908801
2017	22021	Almudévar	149,54	0,745852151295166	19900,01	99,2541478487048
2017	22022	Almunia de San Juan	35,37	0,990636982100195	3535,06	99,0093630178998
2017	22023	Almuniente	19,47	0,519216614931678	3730,41	99,4807833850683
2017	22024	Alquézar	11,16	0,353967705204531	3141,67	99,6460322947955
2017	22025	Altorricón	51,56	1,63024747763785	3111,15	98,3697525223622
2017	22027	Angüés	31,86	0,571204208193715	5545,83	99,4287957918063
2017	22028	Ansó	12,36	0,047141619757068	26206,51	99,9528583802429
2017	22029	Antillón	3,23	0,144585647971996	2230,74	99,855414352028
2017	22032	Aragüés del Puerto	7,02	0,109019754006709	6432,18	99,8909802459933
2017	22035	Arén	17,91	0,150582909722561	11875,87	99,8494170902774
2017	22036	Argavieso	3,88	0,404019367938772	956,47	99,5959806320612
2017	22037	Arguis	18,14	0,291415921526544	6206,64	99,7085840784735
2017	22039	Ayerbe	54,7	0,87533585212425	6194,33	99,1246641478758
2017	22040	Azanuy-Alins	11,26	0,221066498609009	5082,23	99,778933501391
