Municipio código	Municipio nombre	Tipo nacionalidad	Continente nacionalidad	Area nacionalidad, código	Area nacionalidad, nombre	Personas
22001	Abiego	Nacionalidad española	Europa	01	UE-15	288
22001	Abiego	Nacionalidad extranjera	Europa	02	Resto de Europa	1
22002	Abizanda	Nacionalidad española	Europa	01	UE-15	129
22002	Abizanda	Nacionalidad extranjera	Europa	01	UE-15	3
22002	Abizanda	Nacionalidad extranjera	América	06	Resto de América	1
22003	Adahuesca	Nacionalidad española	Europa	01	UE-15	158
22003	Adahuesca	Nacionalidad extranjera	Europa	01	UE-15	1
22004	Agüero	Nacionalidad española	Europa	01	UE-15	171
22006	Aísa	Nacionalidad española	Europa	01	UE-15	390
22006	Aísa	Nacionalidad extranjera	Europa	01	UE-15	2
22006	Aísa	Nacionalidad extranjera	América	06	Resto de América	10
22007	Albalate de Cinca	Nacionalidad española	Europa	01	UE-15	1032
22007	Albalate de Cinca	Nacionalidad extranjera	Europa	01	UE-15	1
22007	Albalate de Cinca	Nacionalidad extranjera	Europa	02	Resto de Europa	79
22007	Albalate de Cinca	Nacionalidad extranjera	África	03	Magreb	53
22007	Albalate de Cinca	Nacionalidad extranjera	África	04	Resto de África	34
22007	Albalate de Cinca	Nacionalidad extranjera	América	06	Resto de América	4
22008	Albalatillo	Nacionalidad española	Europa	01	UE-15	243
22008	Albalatillo	Nacionalidad extranjera	Europa	01	UE-15	1
22008	Albalatillo	Nacionalidad extranjera	Europa	02	Resto de Europa	14
22008	Albalatillo	Nacionalidad extranjera	África	03	Magreb	1
22009	Albelda	Nacionalidad española	Europa	01	UE-15	917
22009	Albelda	Nacionalidad extranjera	Europa	02	Resto de Europa	3
22009	Albelda	Nacionalidad extranjera	África	03	Magreb	6
22011	Albero Alto	Nacionalidad española	Europa	01	UE-15	107
22011	Albero Alto	Nacionalidad extranjera	América	06	Resto de América	1
22012	Albero Bajo	Nacionalidad española	Europa	01	UE-15	106
22013	Alberuela de Tubo	Nacionalidad española	Europa	01	UE-15	358
22013	Alberuela de Tubo	Nacionalidad extranjera	América	06	Resto de América	6
22014	Alcalá de Gurrea	Nacionalidad española	Europa	01	UE-15	315
22015	Alcalá del Obispo	Nacionalidad española	Europa	01	UE-15	361
22015	Alcalá del Obispo	Nacionalidad extranjera	Europa	01	UE-15	1
22015	Alcalá del Obispo	Nacionalidad extranjera	América	06	Resto de América	7
22016	Alcampell	Nacionalidad española	Europa	01	UE-15	867
22016	Alcampell	Nacionalidad extranjera	Europa	01	UE-15	5
22016	Alcampell	Nacionalidad extranjera	África	03	Magreb	1
22017	Alcolea de Cinca	Nacionalidad española	Europa	01	UE-15	1182
22017	Alcolea de Cinca	Nacionalidad extranjera	África	04	Resto de África	61
22017	Alcolea de Cinca	Nacionalidad extranjera	América	06	Resto de América	7
22018	Alcubierre	Nacionalidad española	Europa	01	UE-15	443
22018	Alcubierre	Nacionalidad extranjera	Europa	01	UE-15	3
22018	Alcubierre	Nacionalidad extranjera	Europa	02	Resto de Europa	3
22019	Alerre	Nacionalidad española	Europa	01	UE-15	199
22019	Alerre	Nacionalidad extranjera	Europa	01	UE-15	6
22020	Alfántega	Nacionalidad española	Europa	01	UE-15	114
22020	Alfántega	Nacionalidad extranjera	América	06	Resto de América	1
22021	Almudévar	Nacionalidad española	Europa	01	UE-15	2258
22021	Almudévar	Nacionalidad extranjera	Europa	02	Resto de Europa	1
22021	Almudévar	Nacionalidad extranjera	África	03	Magreb	17
22021	Almudévar	Nacionalidad extranjera	América	06	Resto de América	4
22022	Almunia de San Juan	Nacionalidad española	Europa	01	UE-15	671
22022	Almunia de San Juan	Nacionalidad extranjera	Europa	01	UE-15	2
22022	Almunia de San Juan	Nacionalidad extranjera	Europa	02	Resto de Europa	2
22022	Almunia de San Juan	Nacionalidad extranjera	África	03	Magreb	3
22023	Almuniente	Nacionalidad española	Europa	01	UE-15	579
22023	Almuniente	Nacionalidad extranjera	Europa	02	Resto de Europa	7
22023	Almuniente	Nacionalidad extranjera	América	06	Resto de América	1
22024	Alquézar	Nacionalidad española	Europa	01	UE-15	267
22024	Alquézar	Nacionalidad extranjera	Europa	01	UE-15	19
22024	Alquézar	Nacionalidad extranjera	Europa	02	Resto de Europa	1
22024	Alquézar	Nacionalidad extranjera	África	03	Magreb	2
22024	Alquézar	Nacionalidad extranjera	América	05	América del Norte	1
22025	Altorricón	Nacionalidad española	Europa	01	UE-15	1394
22025	Altorricón	Nacionalidad extranjera	Europa	01	UE-15	1
22025	Altorricón	Nacionalidad extranjera	Europa	02	Resto de Europa	11
22025	Altorricón	Nacionalidad extranjera	África	03	Magreb	3
22025	Altorricón	Nacionalidad extranjera	África	04	Resto de África	32
22025	Altorricón	Nacionalidad extranjera	América	06	Resto de América	16
22027	Angüés	Nacionalidad española	Europa	01	UE-15	427
22027	Angüés	Nacionalidad extranjera	Europa	01	UE-15	1
22027	Angüés	Nacionalidad extranjera	América	06	Resto de América	2
22028	Ansó	Nacionalidad española	Europa	01	UE-15	509
22028	Ansó	Nacionalidad extranjera	Europa	01	UE-15	3
22028	Ansó	Nacionalidad extranjera	Europa	02	Resto de Europa	4
22028	Ansó	Nacionalidad extranjera	África	03	Magreb	1
22028	Ansó	Nacionalidad extranjera	América	06	Resto de América	6
22029	Antillón	Nacionalidad española	Europa	01	UE-15	159
22029	Antillón	Nacionalidad extranjera	América	06	Resto de América	1
22032	Aragüés del Puerto	Nacionalidad española	Europa	01	UE-15	145
22032	Aragüés del Puerto	Nacionalidad extranjera	Europa	01	UE-15	1
22032	Aragüés del Puerto	Nacionalidad extranjera	América	05	América del Norte	1
22032	Aragüés del Puerto	Nacionalidad extranjera	América	06	Resto de América	1
22035	Arén	Nacionalidad española	Europa	01	UE-15	351
22035	Arén	Nacionalidad extranjera	Europa	01	UE-15	5
22035	Arén	Nacionalidad extranjera	Europa	02	Resto de Europa	2
22035	Arén	Nacionalidad extranjera	África	04	Resto de África	1
22035	Arén	Nacionalidad extranjera	América	06	Resto de América	7
22036	Argavieso	Nacionalidad española	Europa	01	UE-15	120
22036	Argavieso	Nacionalidad extranjera	América	06	Resto de América	3
22037	Arguis	Nacionalidad española	Europa	01	UE-15	67
22039	Ayerbe	Nacionalidad española	Europa	01	UE-15	1102
22039	Ayerbe	Nacionalidad extranjera	Europa	02	Resto de Europa	1
22039	Ayerbe	Nacionalidad extranjera	África	03	Magreb	3
22039	Ayerbe	Nacionalidad extranjera	América	06	Resto de América	4
22040	Azanuy-Alins	Nacionalidad española	Europa	01	UE-15	177
22041	Azara	Nacionalidad española	Europa	01	UE-15	216
22041	Azara	Nacionalidad extranjera	América	06	Resto de América	3
22042	Azlor	Nacionalidad española	Europa	01	UE-15	164
22043	Baells	Nacionalidad española	Europa	01	UE-15	143
22043	Baells	Nacionalidad extranjera	Europa	01	UE-15	1
22044	Bailo	Nacionalidad española	Europa	01	UE-15	310
22044	Bailo	Nacionalidad extranjera	Europa	01	UE-15	4
22044	Bailo	Nacionalidad extranjera	América	05	América del Norte	1
22045	Baldellou	Nacionalidad española	Europa	01	UE-15	133
22046	Ballobar	Nacionalidad española	Europa	01	UE-15	1000
22046	Ballobar	Nacionalidad extranjera	Europa	01	UE-15	1
22046	Ballobar	Nacionalidad extranjera	Europa	02	Resto de Europa	3
22046	Ballobar	Nacionalidad extranjera	África	03	Magreb	1
22046	Ballobar	Nacionalidad extranjera	América	06	Resto de América	2
22047	Banastás	Nacionalidad española	Europa	01	UE-15	188
22048	Barbastro	Nacionalidad española	Europa	01	UE-15	14540
22048	Barbastro	Nacionalidad extranjera	Europa	01	UE-15	29
22048	Barbastro	Nacionalidad extranjera	Europa	02	Resto de Europa	61
22048	Barbastro	Nacionalidad extranjera	África	03	Magreb	183
22048	Barbastro	Nacionalidad extranjera	África	04	Resto de África	62
22048	Barbastro	Nacionalidad extranjera	América	05	América del Norte	2
22048	Barbastro	Nacionalidad extranjera	América	06	Resto de América	160
22048	Barbastro	Nacionalidad extranjera	Asia	07	Asia	14
22048	Barbastro	Nacionalidad extranjera	Oceanía	08	Oceanía	2
22049	Barbués	Nacionalidad española	Europa	01	UE-15	112
22050	Barbuñales	Nacionalidad española	Europa	01	UE-15	113
22050	Barbuñales	Nacionalidad extranjera	América	06	Resto de América	1
22051	Bárcabo	Nacionalidad española	Europa	01	UE-15	112
22052	Belver de Cinca	Nacionalidad española	Europa	01	UE-15	1299
22052	Belver de Cinca	Nacionalidad extranjera	Europa	01	UE-15	1
22052	Belver de Cinca	Nacionalidad extranjera	Europa	02	Resto de Europa	9
22052	Belver de Cinca	Nacionalidad extranjera	África	03	Magreb	1
22052	Belver de Cinca	Nacionalidad extranjera	África	04	Resto de África	6
22052	Belver de Cinca	Nacionalidad extranjera	Asia	07	Asia	1
22053	Benabarre	Nacionalidad española	Europa	01	UE-15	1071
22053	Benabarre	Nacionalidad extranjera	Europa	01	UE-15	19
22053	Benabarre	Nacionalidad extranjera	Europa	02	Resto de Europa	24
22053	Benabarre	Nacionalidad extranjera	África	04	Resto de África	4
22053	Benabarre	Nacionalidad extranjera	América	06	Resto de América	2
22054	Benasque	Nacionalidad española	Europa	01	UE-15	1408
22054	Benasque	Nacionalidad extranjera	Europa	01	UE-15	14
22054	Benasque	Nacionalidad extranjera	Europa	02	Resto de Europa	17
22054	Benasque	Nacionalidad extranjera	África	03	Magreb	3
22054	Benasque	Nacionalidad extranjera	América	06	Resto de América	45
22054	Benasque	Nacionalidad extranjera	Asia	07	Asia	2
22055	Berbegal	Nacionalidad española	Europa	01	UE-15	450
22055	Berbegal	Nacionalidad extranjera	Europa	02	Resto de Europa	3
22055	Berbegal	Nacionalidad extranjera	África	03	Magreb	2
22055	Berbegal	Nacionalidad extranjera	África	04	Resto de África	1
22055	Berbegal	Nacionalidad extranjera	América	06	Resto de América	4
22057	Bielsa	Nacionalidad española	Europa	01	UE-15	452
22057	Bielsa	Nacionalidad extranjera	Europa	01	UE-15	2
22057	Bielsa	Nacionalidad extranjera	Europa	02	Resto de Europa	1
22057	Bielsa	Nacionalidad extranjera	América	06	Resto de América	1
22058	Bierge	Nacionalidad española	Europa	01	UE-15	214
22058	Bierge	Nacionalidad extranjera	Europa	01	UE-15	8
22058	Bierge	Nacionalidad extranjera	Europa	02	Resto de Europa	2
22059	Biescas	Nacionalidad española	Europa	01	UE-15	1223
22059	Biescas	Nacionalidad extranjera	Europa	01	UE-15	10
22059	Biescas	Nacionalidad extranjera	Europa	02	Resto de Europa	2
22059	Biescas	Nacionalidad extranjera	África	03	Magreb	5
22059	Biescas	Nacionalidad extranjera	América	06	Resto de América	3
22059	Biescas	Nacionalidad extranjera	Asia	07	Asia	1
22060	Binaced	Nacionalidad española	Europa	01	UE-15	1534
22060	Binaced	Nacionalidad extranjera	Europa	01	UE-15	1
22060	Binaced	Nacionalidad extranjera	Europa	02	Resto de Europa	14
22060	Binaced	Nacionalidad extranjera	África	03	Magreb	13
22060	Binaced	Nacionalidad extranjera	África	04	Resto de África	78
22060	Binaced	Nacionalidad extranjera	América	06	Resto de América	5
22061	Binéfar	Nacionalidad española	Europa	01	UE-15	7976
22061	Binéfar	Nacionalidad extranjera	Europa	01	UE-15	12
22061	Binéfar	Nacionalidad extranjera	Europa	02	Resto de Europa	28
22061	Binéfar	Nacionalidad extranjera	África	03	Magreb	22
22061	Binéfar	Nacionalidad extranjera	África	04	Resto de África	211
22061	Binéfar	Nacionalidad extranjera	América	05	América del Norte	3
22061	Binéfar	Nacionalidad extranjera	América	06	Resto de América	136
22061	Binéfar	Nacionalidad extranjera	Asia	07	Asia	6
22061	Binéfar	Nacionalidad extranjera	Oceanía	08	Oceanía	3
22062	Bisaurri	Nacionalidad española	Europa	01	UE-15	224
22063	Biscarrués	Nacionalidad española	Europa	01	UE-15	226
22063	Biscarrués	Nacionalidad extranjera	Europa	02	Resto de Europa	1
22063	Biscarrués	Nacionalidad extranjera	África	03	Magreb	1
22064	Blecua y Torres	Nacionalidad española	Europa	01	UE-15	192
22064	Blecua y Torres	Nacionalidad extranjera	América	06	Resto de América	3
22066	Boltaña	Nacionalidad española	Europa	01	UE-15	797
22066	Boltaña	Nacionalidad extranjera	Europa	01	UE-15	12
22066	Boltaña	Nacionalidad extranjera	Europa	02	Resto de Europa	1
22066	Boltaña	Nacionalidad extranjera	América	06	Resto de América	3
22066	Boltaña	Nacionalidad extranjera	Asia	07	Asia	1
22067	Bonansa	Nacionalidad española	Europa	01	UE-15	82
22067	Bonansa	Nacionalidad extranjera	Europa	01	UE-15	2
22068	Borau	Nacionalidad española	Europa	01	UE-15	73
22068	Borau	Nacionalidad extranjera	Europa	01	UE-15	1
22069	Broto	Nacionalidad española	Europa	01	UE-15	532
22069	Broto	Nacionalidad extranjera	Europa	01	UE-15	4
22069	Broto	Nacionalidad extranjera	América	06	Resto de América	3
22072	Caldearenas	Nacionalidad española	Europa	01	UE-15	248
22072	Caldearenas	Nacionalidad extranjera	América	06	Resto de América	2
22074	Campo	Nacionalidad española	Europa	01	UE-15	343
22074	Campo	Nacionalidad extranjera	Europa	02	Resto de Europa	3
22074	Campo	Nacionalidad extranjera	América	06	Resto de América	2
22075	Camporrells	Nacionalidad española	Europa	01	UE-15	241
22075	Camporrells	Nacionalidad extranjera	Europa	02	Resto de Europa	4
22075	Camporrells	Nacionalidad extranjera	América	06	Resto de América	2
22076	Canal de Berdún	Nacionalidad española	Europa	01	UE-15	413
22076	Canal de Berdún	Nacionalidad extranjera	Europa	01	UE-15	7
22076	Canal de Berdún	Nacionalidad extranjera	América	06	Resto de América	2
22077	Candasnos	Nacionalidad española	Europa	01	UE-15	556
22077	Candasnos	Nacionalidad extranjera	Europa	02	Resto de Europa	1
22077	Candasnos	Nacionalidad extranjera	África	04	Resto de África	10
22077	Candasnos	Nacionalidad extranjera	América	06	Resto de América	1
22078	Canfranc	Nacionalidad española	Europa	01	UE-15	511
22078	Canfranc	Nacionalidad extranjera	Europa	01	UE-15	1
22078	Canfranc	Nacionalidad extranjera	Europa	02	Resto de Europa	9
22078	Canfranc	Nacionalidad extranjera	África	03	Magreb	5
22078	Canfranc	Nacionalidad extranjera	África	04	Resto de África	5
22078	Canfranc	Nacionalidad extranjera	América	06	Resto de América	1
22079	Capdesaso	Nacionalidad española	Europa	01	UE-15	170
22080	Capella	Nacionalidad española	Europa	01	UE-15	374
22080	Capella	Nacionalidad extranjera	Europa	01	UE-15	4
22080	Capella	Nacionalidad extranjera	Europa	02	Resto de Europa	3
22080	Capella	Nacionalidad extranjera	África	04	Resto de África	2
22081	Casbas de Huesca	Nacionalidad española	Europa	01	UE-15	301
22081	Casbas de Huesca	Nacionalidad extranjera	América	06	Resto de América	1
22082	Castejón del Puente	Nacionalidad española	Europa	01	UE-15	418
22083	Castejón de Monegros	Nacionalidad española	Europa	01	UE-15	660
22083	Castejón de Monegros	Nacionalidad extranjera	Europa	01	UE-15	1
22083	Castejón de Monegros	Nacionalidad extranjera	América	06	Resto de América	4
22084	Castejón de Sos	Nacionalidad española	Europa	01	UE-15	572
22084	Castejón de Sos	Nacionalidad extranjera	Europa	01	UE-15	3
22084	Castejón de Sos	Nacionalidad extranjera	Europa	02	Resto de Europa	4
22084	Castejón de Sos	Nacionalidad extranjera	África	03	Magreb	3
22084	Castejón de Sos	Nacionalidad extranjera	África	04	Resto de África	1
22084	Castejón de Sos	Nacionalidad extranjera	América	05	América del Norte	2
22084	Castejón de Sos	Nacionalidad extranjera	América	06	Resto de América	32
22085	Castelflorite	Nacionalidad española	Europa	01	UE-15	136
22085	Castelflorite	Nacionalidad extranjera	América	06	Resto de América	1
22086	Castiello de Jaca	Nacionalidad española	Europa	01	UE-15	185
22086	Castiello de Jaca	Nacionalidad extranjera	Europa	01	UE-15	1
22086	Castiello de Jaca	Nacionalidad extranjera	Oceanía	08	Oceanía	2
22087	Castigaleu	Nacionalidad española	Europa	01	UE-15	99
22087	Castigaleu	Nacionalidad extranjera	Europa	02	Resto de Europa	3
22088	Castillazuelo	Nacionalidad española	Europa	01	UE-15	220
22089	Castillonroy	Nacionalidad española	Europa	01	UE-15	423
22089	Castillonroy	Nacionalidad extranjera	Europa	02	Resto de Europa	3
22089	Castillonroy	Nacionalidad extranjera	África	04	Resto de África	1
22090	Colungo	Nacionalidad española	Europa	01	UE-15	128
22090	Colungo	Nacionalidad extranjera	Europa	02	Resto de Europa	3
22090	Colungo	Nacionalidad extranjera	África	04	Resto de África	1
22090	Colungo	Nacionalidad extranjera	América	06	Resto de América	1
22094	Chalamera	Nacionalidad española	Europa	01	UE-15	154
22094	Chalamera	Nacionalidad extranjera	América	06	Resto de América	1
22094	Chalamera	Nacionalidad extranjera	Asia	07	Asia	1
22095	Chía	Nacionalidad española	Europa	01	UE-15	110
22095	Chía	Nacionalidad extranjera	América	06	Resto de América	1
22096	Chimillas	Nacionalidad española	Europa	01	UE-15	227
22099	Esplús	Nacionalidad española	Europa	01	UE-15	690
22099	Esplús	Nacionalidad extranjera	Europa	01	UE-15	1
22099	Esplús	Nacionalidad extranjera	Europa	02	Resto de Europa	26
22099	Esplús	Nacionalidad extranjera	África	04	Resto de África	7
22099	Esplús	Nacionalidad extranjera	Asia	07	Asia	1
22102	Estada	Nacionalidad española	Europa	01	UE-15	192
22103	Estadilla	Nacionalidad española	Europa	01	UE-15	897
22103	Estadilla	Nacionalidad extranjera	Europa	02	Resto de Europa	1
22103	Estadilla	Nacionalidad extranjera	África	03	Magreb	8
22103	Estadilla	Nacionalidad extranjera	América	06	Resto de América	6
22105	Estopiñán del Castillo	Nacionalidad española	Europa	01	UE-15	182
22105	Estopiñán del Castillo	Nacionalidad extranjera	Europa	02	Resto de Europa	14
22105	Estopiñán del Castillo	Nacionalidad extranjera	África	03	Magreb	2
22105	Estopiñán del Castillo	Nacionalidad extranjera	América	06	Resto de América	19
22106	Fago	Nacionalidad española	Europa	01	UE-15	37
22107	Fanlo	Nacionalidad española	Europa	01	UE-15	169
22107	Fanlo	Nacionalidad extranjera	Europa	01	UE-15	1
22109	Fiscal	Nacionalidad española	Europa	01	UE-15	248
22109	Fiscal	Nacionalidad extranjera	Europa	01	UE-15	3
22109	Fiscal	Nacionalidad extranjera	Europa	02	Resto de Europa	1
22109	Fiscal	Nacionalidad extranjera	África	04	Resto de África	1
22109	Fiscal	Nacionalidad extranjera	América	06	Resto de América	1
22110	Fonz	Nacionalidad española	Europa	01	UE-15	1074
22110	Fonz	Nacionalidad extranjera	Europa	02	Resto de Europa	20
22110	Fonz	Nacionalidad extranjera	América	05	América del Norte	2
22110	Fonz	Nacionalidad extranjera	América	06	Resto de América	1
22111	Foradada del Toscar	Nacionalidad española	Europa	01	UE-15	258
22111	Foradada del Toscar	Nacionalidad extranjera	Europa	01	UE-15	1
22112	Fraga	Nacionalidad española	Europa	01	UE-15	11507
22112	Fraga	Nacionalidad extranjera	Europa	01	UE-15	6
22112	Fraga	Nacionalidad extranjera	Europa	02	Resto de Europa	207
22112	Fraga	Nacionalidad extranjera	África	03	Magreb	266
22112	Fraga	Nacionalidad extranjera	África	04	Resto de África	38
22112	Fraga	Nacionalidad extranjera	América	05	América del Norte	6
22112	Fraga	Nacionalidad extranjera	América	06	Resto de América	64
22112	Fraga	Nacionalidad extranjera	Asia	07	Asia	6
22113	Fueva (La)	Nacionalidad española	Europa	01	UE-15	591
22113	Fueva (La)	Nacionalidad extranjera	Europa	01	UE-15	9
22113	Fueva (La)	Nacionalidad extranjera	América	06	Resto de América	7
22114	Gistaín	Nacionalidad española	Europa	01	UE-15	166
22114	Gistaín	Nacionalidad extranjera	Europa	01	UE-15	2
22115	Grado (El)	Nacionalidad española	Europa	01	UE-15	513
22115	Grado (El)	Nacionalidad extranjera	Europa	01	UE-15	5
