CCAA nombre	CCAA código	Año	Censo electoral	Participación	Abstención	Votos nulos	Votos blancos	Votos a candidaturas	% Participación
Aragón	02	2015	1000406	680669	319737	11429	15671	653569	68,0392760539221
Aragón	02	2011	1002585	695159	307426	11095	21480	662584	69,3366647216944
Aragón	02	2007	1024514	679067	345447	5880	16447	656740	66,2818663288154
