Año	CCAA nombre	Número total de explotaciones	Explotaciones con tierras	Explotaciones con tierras sin SAU	Explotaciones con tierras con SAU  <25% de su propiedad	Explotaciones con tierras con SAU >=25% y <50% de su propiedad	Explotaciones con tierras con SAU >=50% y <75% de su propiedad	Explotaciones con tierras con SAU >=75% y <100% de su propiedad	Explotaciones con tierras con SAU totalmente de su propiedad	Explotaciones con tierras con SAU
1999	Aragón	80021	78244	6179	10319	4914	5444	5902	45486	72065
1989	Aragón	100731	99649	7189	12230	6473	7266	7404	59087	92460
