Comarca código	Comarca nombre	Plazas garaje	Número de edificios
01	La Jacetania	00	3823
01	La Jacetania	01	951
01	La Jacetania	02	231
01	La Jacetania	03 a 05	69
01	La Jacetania	06 a 10	146
01	La Jacetania	11 a 20	111
01	La Jacetania	21 a 50	94
01	La Jacetania	50 o más	17
02	Alto Gállego	00	2402
02	Alto Gállego	01	734
02	Alto Gállego	02	159
02	Alto Gállego	03 a 05	54
02	Alto Gállego	06 a 10	99
02	Alto Gállego	11 a 20	42
02	Alto Gállego	21 a 50	15
02	Alto Gállego	50 o más	3
03	Sobrarbe	00	2416
03	Sobrarbe	01	425
03	Sobrarbe	02	220
03	Sobrarbe	03 a 05	77
03	Sobrarbe	06 a 10	49
03	Sobrarbe	11 a 20	4
03	Sobrarbe	21 a 50	2
04	La Ribagorza	00	4332
04	La Ribagorza	01	1109
04	La Ribagorza	02	466
04	La Ribagorza	03 a 05	115
04	La Ribagorza	06 a 10	58
04	La Ribagorza	11 a 20	33
04	La Ribagorza	21 a 50	12
04	La Ribagorza	50 o más	4
05	Cinco Villas	00	7709
05	Cinco Villas	01	2966
05	Cinco Villas	02	594
05	Cinco Villas	03 a 05	193
05	Cinco Villas	06 a 10	93
05	Cinco Villas	11 a 20	44
05	Cinco Villas	21 a 50	14
06	Hoya de Huesca / Plana de Uesca	00	7268
06	Hoya de Huesca / Plana de Uesca	01	2043
06	Hoya de Huesca / Plana de Uesca	02	780
06	Hoya de Huesca / Plana de Uesca	03 a 05	244
06	Hoya de Huesca / Plana de Uesca	06 a 10	48
06	Hoya de Huesca / Plana de Uesca	11 a 20	223
06	Hoya de Huesca / Plana de Uesca	21 a 50	180
06	Hoya de Huesca / Plana de Uesca	50 o más	32
07	Somontano de Barbastro	00	4179
07	Somontano de Barbastro	01	1173
07	Somontano de Barbastro	02	840
07	Somontano de Barbastro	03 a 05	258
07	Somontano de Barbastro	06 a 10	34
07	Somontano de Barbastro	11 a 20	70
07	Somontano de Barbastro	21 a 50	34
08	Cinca Medio	00	3126
08	Cinca Medio	01	1573
08	Cinca Medio	02	852
08	Cinca Medio	03 a 05	361
08	Cinca Medio	06 a 10	63
08	Cinca Medio	11 a 20	48
08	Cinca Medio	21 a 50	13
08	Cinca Medio	50 o más	5
09	La Litera / La Llitera	00	4452
09	La Litera / La Llitera	01	1096
09	La Litera / La Llitera	02	815
09	La Litera / La Llitera	03 a 05	298
09	La Litera / La Llitera	06 a 10	28
09	La Litera / La Llitera	11 a 20	7
09	La Litera / La Llitera	21 a 50	2
10	Los Monegros	00	5156
10	Los Monegros	01	2360
10	Los Monegros	02	1222
10	Los Monegros	03 a 05	366
10	Los Monegros	06 a 10	22
10	Los Monegros	11 a 20	5
10	Los Monegros	21 a 50	1
11	Bajo Cinca / Baix Cinca	00	2989
