Provincia código	Provincia nombre	Número habitaciones	Número habitaciones
22	Huesca	01	158
22	Huesca	02	751
22	Huesca	03	3145
22	Huesca	04	10308
22	Huesca	05	25291
22	Huesca	06	21099
22	Huesca	07	6454
22	Huesca	08	3113
22	Huesca	09	1442
22	Huesca	10 o más	2025
44	Teruel	01	52
44	Teruel	02	373
44	Teruel	03	1756
44	Teruel	04	5917
44	Teruel	05	17161
44	Teruel	06	16190
44	Teruel	07	5198
44	Teruel	08	2350
44	Teruel	09	948
44	Teruel	10 o más	1125
50	Zaragoza	01	484
50	Zaragoza	02	3010
50	Zaragoza	03	15584
50	Zaragoza	04	65413
50	Zaragoza	05	134391
50	Zaragoza	06	67735
50	Zaragoza	07	17557
50	Zaragoza	08	7689
50	Zaragoza	09	3037
50	Zaragoza	10 o más	3487
