Año	Comarca código	Comarca nombre	Urbana   Número de recibos	Urbana   Base imponible (miles de euros)	Urbana   Base liquidable (miles de euros)	Urbana   Cuota íntegra (euros)	Urbana   Cuota líquida (euros)
2014	04	La Ribagorza	21307	763062	617361	4250651	4243964
2014	05	Cinco Villas	30845	1138130	1037527	6394335	6346829
2014	06	Hoya de Huesca / Plana de Uesca	71073	1994133	1964039	17523283	17348672
2014	07	Somontano de Barbastro	23005	679389	665886	5445045	5437486
2014	08	Cinca Medio	20246	471063	467519	4594757	4564751
2014	09	La Litera / La Llitera	16063	546021	413794	3651804	3647626
2014	10	Los Monegros	17324	433114	425973	2885467	2882957
2014	11	Bajo Cinca / Baix Cinca	17837	656440	454720	3635095	3635070
2014	12	Tarazona y el Moncayo	17041	279003	273372	2302654	2276380
2014	13	Campo de Borja	14511	277169	263950	2165126	2153349
2014	14	Aranda	10008	182865	162909	825574	735106
2014	15	Ribera Alta del Ebro	21953	1111561	1058114	6530661	6505576
2014	16	Valdejalón	27259	1094016	959523	6623544	6538225
2014	17	D.C. Zaragoza	554451	42193722	29159919	197896665	171635333
2014	18	Ribera Baja del Ebro	8151	225888	223563	1134118	1126722
2014	19	Bajo Aragón-Caspe / Baix Aragó-Casp	13263	324554	319738	2359468	2344303
2014	20	Comunidad de Calatayud	52053	1139965	1063516	6413705	6373606
2014	21	Campo de Cariñena	11580	287689	272836	1963213	1949360
2014	22	Campo de Belchite	6884	105811	85531	468998	466459
2014	23	Bajo Martín	8461	149823	149823	949095	868594
2014	24	Campo de Daroca	11342	180172	160589	886414	863783
2014	25	Jiloca	21841	342862	338311	2261522	2075330
2014	26	Cuencas Mineras	14115	170796	153299	1143846	967819
2014	27	Andorra-Sierra de Arcos	11735	310336	255294	1895533	1587849
2014	28	Bajo Aragón	31398	713480	703461	5113228	4744682
2014	29	Comunidad de Teruel	53265	1619048	1588776	9889374	8881183
2014	30	Maestrazgo	7256	92028	82307	480526	416306
2014	31	Sierra de Albarracín	10762	170158	158949	977137	850987
2014	32	Gúdar-Javalambre	22377	355808	332445	2252398	2041460
2014	33	Matarraña / Matarranya	11393	238300	226678	1630821	1492357
2015	01	La Jacetania	43923	2058896	1836767	9867123	9815925
2015	02	Alto Gállego	32133	1224076	966148	7111938	7085588
2015	03	Sobrarbe	11038	453497	314047	2362085	2361314
2015	04	La Ribagorza	21605	857905	668868	4470397	4465473
2015	05	Cinco Villas	31466	1146191	1065963	6486866	6432440
2015	06	Hoya de Huesca / Plana de Uesca	71746	2285758	2024930	17366616	17182917
2015	07	Somontano de Barbastro	23558	845185	759315	5730838	5724750
2015	08	Cinca Medio	20448	571683	522137	4680291	4655887
2015	09	La Litera / La Llitera	16179	605428	444629	3919009	3915590
2015	10	Los Monegros	17557	527188	468621	3097160	3090741
2015	11	Bajo Cinca / Baix Cinca	17917	714285	489072	3691153	3691127
2015	12	Tarazona y el Moncayo	17257	318557	313970	2630399	2594846
2015	13	Campo de Borja	14696	309301	297913	2322874	2298842
2015	14	Aranda	10178	199970	181212	937255	828904
