Año	Municipio código	Municipio nombre	Tipo de vehículo	Tipo de vehículo (orden)	Cantidad
2000	22001	Abiego	Autobuses	4	0
2000	22001	Abiego	Camiones y furgonetas	3	50
2000	22001	Abiego	Motocicletas	2	8
2000	22001	Abiego	Otros vehículos	6	2
2000	22001	Abiego	Tractores industriales	5	2
2000	22001	Abiego	Turismos	1	100
2000	22002	Abizanda	Autobuses	4	0
2000	22002	Abizanda	Camiones y furgonetas	3	23
2000	22002	Abizanda	Motocicletas	2	4
2000	22002	Abizanda	Otros vehículos	6	1
2000	22002	Abizanda	Tractores industriales	5	0
2000	22002	Abizanda	Turismos	1	41
2000	22003	Adahuesca	Autobuses	4	0
2000	22003	Adahuesca	Camiones y furgonetas	3	26
2000	22003	Adahuesca	Motocicletas	2	4
2000	22003	Adahuesca	Otros vehículos	6	2
2000	22003	Adahuesca	Tractores industriales	5	0
2000	22003	Adahuesca	Turismos	1	79
2000	22004	Agüero	Autobuses	4	0
2000	22004	Agüero	Camiones y furgonetas	3	26
2000	22004	Agüero	Motocicletas	2	5
2000	22004	Agüero	Otros vehículos	6	2
2000	22004	Agüero	Tractores industriales	5	1
2000	22004	Agüero	Turismos	1	57
2000	22006	Aísa	Autobuses	4	3
2000	22006	Aísa	Camiones y furgonetas	3	76
2000	22006	Aísa	Motocicletas	2	12
2000	22006	Aísa	Otros vehículos	6	5
2000	22006	Aísa	Tractores industriales	5	0
2000	22006	Aísa	Turismos	1	130
2000	22007	Albalate de Cinca	Autobuses	4	0
2000	22007	Albalate de Cinca	Camiones y furgonetas	3	174
2000	22007	Albalate de Cinca	Motocicletas	2	38
2000	22007	Albalate de Cinca	Otros vehículos	6	17
2000	22007	Albalate de Cinca	Tractores industriales	5	5
2000	22007	Albalate de Cinca	Turismos	1	502
2000	22008	Albalatillo	Autobuses	4	0
2000	22008	Albalatillo	Camiones y furgonetas	3	27
2000	22008	Albalatillo	Motocicletas	2	11
2000	22008	Albalatillo	Otros vehículos	6	1
2000	22008	Albalatillo	Tractores industriales	5	0
2000	22008	Albalatillo	Turismos	1	117
2000	22009	Albelda	Autobuses	4	0
2000	22009	Albelda	Camiones y furgonetas	3	153
2000	22009	Albelda	Motocicletas	2	23
2000	22009	Albelda	Otros vehículos	6	5
2000	22009	Albelda	Tractores industriales	5	2
2000	22009	Albelda	Turismos	1	370
2000	22011	Albero Alto	Autobuses	4	0
2000	22011	Albero Alto	Camiones y furgonetas	3	6
2000	22011	Albero Alto	Motocicletas	2	1
2000	22011	Albero Alto	Otros vehículos	6	0
2000	22011	Albero Alto	Tractores industriales	5	0
2000	22011	Albero Alto	Turismos	1	43
2000	22012	Albero Bajo	Autobuses	4	0
2000	22012	Albero Bajo	Camiones y furgonetas	3	19
2000	22012	Albero Bajo	Motocicletas	2	5
2000	22012	Albero Bajo	Otros vehículos	6	1
2000	22012	Albero Bajo	Tractores industriales	5	0
2000	22012	Albero Bajo	Turismos	1	51
2000	22013	Alberuela de Tubo	Autobuses	4	0
2000	22013	Alberuela de Tubo	Camiones y furgonetas	3	34
2000	22013	Alberuela de Tubo	Motocicletas	2	14
2000	22013	Alberuela de Tubo	Otros vehículos	6	6
2000	22013	Alberuela de Tubo	Tractores industriales	5	0
2000	22013	Alberuela de Tubo	Turismos	1	162
2000	22014	Alcalá de Gurrea	Autobuses	4	0
2000	22014	Alcalá de Gurrea	Camiones y furgonetas	3	46
2000	22014	Alcalá de Gurrea	Motocicletas	2	13
2000	22014	Alcalá de Gurrea	Otros vehículos	6	2
2000	22014	Alcalá de Gurrea	Tractores industriales	5	0
2000	22014	Alcalá de Gurrea	Turismos	1	153
2000	22015	Alcalá del Obispo	Autobuses	4	0
2000	22015	Alcalá del Obispo	Camiones y furgonetas	3	62
2000	22015	Alcalá del Obispo	Motocicletas	2	8
2000	22015	Alcalá del Obispo	Otros vehículos	6	1
2000	22015	Alcalá del Obispo	Tractores industriales	5	2
2000	22015	Alcalá del Obispo	Turismos	1	200
2000	22016	Alcampell	Autobuses	4	0
