Año	Nº Accidentes	División (2 dígitos) Código	División (2 dígitos) Descripción	Comarca Código	Comarca Nombre	Comarca Código
2008	628	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	17	Central	17
2008	605	85	Actividades sanitarias y veterinarias, servicio social	17	Central	17
2007	590	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	17	Central	17
2007	587	85	Actividades sanitarias y veterinarias, servicio social	17	Central	17
2006	582	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	17	Central	17
2005	564	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	17	Central	17
2005	535	85	Actividades sanitarias y veterinarias, servicio social	17	Central	17
2004	522	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	17	Central	17
2003	512	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	17	Central	17
2006	492	85	Actividades sanitarias y veterinarias, servicio social	17	Central	17
2004	477	85	Actividades sanitarias y veterinarias, servicio social	17	Central	17
2008	476	55	Hostelería	17	Central	17
2007	398	55	Hostelería	17	Central	17
2003	391	85	Actividades sanitarias y veterinarias, servicio social	17	Central	17
2003	359	74	Otras actividades empresariales	17	Central	17
2006	354	55	Hostelería	17	Central	17
2005	344	55	Hostelería	17	Central	17
2003	331	55	Hostelería	17	Central	17
2008	324	74	Otras actividades empresariales	17	Central	17
2004	308	55	Hostelería	17	Central	17
2007	289	74	Otras actividades empresariales	17	Central	17
2004	278	74	Otras actividades empresariales	17	Central	17
2005	258	74	Otras actividades empresariales	17	Central	17
2006	255	74	Otras actividades empresariales	17	Central	17
2005	205	75	Administración pública, defensa y seguridad social obligatoria	17	Central	17
2006	179	75	Administración pública, defensa y seguridad social obligatoria	17	Central	17
2004	150	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	17	Central	17
2007	136	75	Administración pública, defensa y seguridad social obligatoria	17	Central	17
2003	136	75	Administración pública, defensa y seguridad social obligatoria	17	Central	17
2008	129	75	Administración pública, defensa y seguridad social obligatoria	17	Central	17
2006	88	34	Fabricación de vehículos de motor, remolques y semirremolques	15	Ribera Alta del Ebro	15
2003	79	34	Fabricación de vehículos de motor, remolques y semirremolques	15	Ribera Alta del Ebro	15
2004	77	34	Fabricación de vehículos de motor, remolques y semirremolques	15	Ribera Alta del Ebro	15
2007	75	34	Fabricación de vehículos de motor, remolques y semirremolques	15	Ribera Alta del Ebro	15
2007	63	85	Actividades sanitarias y veterinarias, servicio social	06	Hoya de Huesca / Plana de Uesca	06
2008	61	85	Actividades sanitarias y veterinarias, servicio social	06	Hoya de Huesca / Plana de Uesca	06
2008	59	85	Actividades sanitarias y veterinarias, servicio social	29	Comunidad de Teruel	29
2005	58	34	Fabricación de vehículos de motor, remolques y semirremolques	15	Ribera Alta del Ebro	15
