Comarca código	Comarca nombre	Contaminación	Ruidos exteriores	Número hogares
01	La Jacetania	Con contaminación o malos olores	Con ruidos exteriores	111
01	La Jacetania	Con contaminación o malos olores	Sin ruidos exteriores	122
01	La Jacetania	Sin contaminación o malos olores	Con ruidos exteriores	541
01	La Jacetania	Sin contaminación o malos olores	Sin ruidos exteriores	5456
02	Alto Gállego	Con contaminación o malos olores	Con ruidos exteriores	181
02	Alto Gállego	Con contaminación o malos olores	Sin ruidos exteriores	168
02	Alto Gállego	Sin contaminación o malos olores	Con ruidos exteriores	414
02	Alto Gállego	Sin contaminación o malos olores	Sin ruidos exteriores	3637
03	Sobrarbe	Con contaminación o malos olores	Con ruidos exteriores	38
03	Sobrarbe	Con contaminación o malos olores	Sin ruidos exteriores	59
03	Sobrarbe	Sin contaminación o malos olores	Con ruidos exteriores	109
03	Sobrarbe	Sin contaminación o malos olores	Sin ruidos exteriores	2249
04	La Ribagorza	Con contaminación o malos olores	Con ruidos exteriores	102
04	La Ribagorza	Con contaminación o malos olores	Sin ruidos exteriores	205
04	La Ribagorza	Sin contaminación o malos olores	Con ruidos exteriores	299
04	La Ribagorza	Sin contaminación o malos olores	Sin ruidos exteriores	3852
05	Cinco Villas	Con contaminación o malos olores	Con ruidos exteriores	480
05	Cinco Villas	Con contaminación o malos olores	Sin ruidos exteriores	347
05	Cinco Villas	Sin contaminación o malos olores	Con ruidos exteriores	1110
05	Cinco Villas	Sin contaminación o malos olores	Sin ruidos exteriores	9651
06	Hoya de Huesca / Plana de Uesca	Con contaminación o malos olores	Con ruidos exteriores	1065
06	Hoya de Huesca / Plana de Uesca	Con contaminación o malos olores	Sin ruidos exteriores	805
06	Hoya de Huesca / Plana de Uesca	Sin contaminación o malos olores	Con ruidos exteriores	3315
06	Hoya de Huesca / Plana de Uesca	Sin contaminación o malos olores	Sin ruidos exteriores	16516
07	Somontano de Barbastro	Con contaminación o malos olores	Con ruidos exteriores	404
07	Somontano de Barbastro	Con contaminación o malos olores	Sin ruidos exteriores	264
07	Somontano de Barbastro	Sin contaminación o malos olores	Con ruidos exteriores	1176
07	Somontano de Barbastro	Sin contaminación o malos olores	Sin ruidos exteriores	6378
08	Cinca Medio	Con contaminación o malos olores	Con ruidos exteriores	545
08	Cinca Medio	Con contaminación o malos olores	Sin ruidos exteriores	501
08	Cinca Medio	Sin contaminación o malos olores	Con ruidos exteriores	1320
08	Cinca Medio	Sin contaminación o malos olores	Sin ruidos exteriores	5395
09	La Litera / La Llitera	Con contaminación o malos olores	Con ruidos exteriores	427
09	La Litera / La Llitera	Con contaminación o malos olores	Sin ruidos exteriores	487
09	La Litera / La Llitera	Sin contaminación o malos olores	Con ruidos exteriores	686
09	La Litera / La Llitera	Sin contaminación o malos olores	Sin ruidos exteriores	5001
10	Los Monegros	Con contaminación o malos olores	Con ruidos exteriores	277
10	Los Monegros	Con contaminación o malos olores	Sin ruidos exteriores	489
10	Los Monegros	Sin contaminación o malos olores	Con ruidos exteriores	395
10	Los Monegros	Sin contaminación o malos olores	Sin ruidos exteriores	6274
11	Bajo Cinca / Baix Cinca	Con contaminación o malos olores	Con ruidos exteriores	301
11	Bajo Cinca / Baix Cinca	Con contaminación o malos olores	Sin ruidos exteriores	291
11	Bajo Cinca / Baix Cinca	Sin contaminación o malos olores	Con ruidos exteriores	911
11	Bajo Cinca / Baix Cinca	Sin contaminación o malos olores	Sin ruidos exteriores	5924
12	Tarazona y el Moncayo	Con contaminación o malos olores	Con ruidos exteriores	440
12	Tarazona y el Moncayo	Con contaminación o malos olores	Sin ruidos exteriores	304
12	Tarazona y el Moncayo	Sin contaminación o malos olores	Con ruidos exteriores	613
12	Tarazona y el Moncayo	Sin contaminación o malos olores	Sin ruidos exteriores	3910
13	Campo de Borja	Con contaminación o malos olores	Con ruidos exteriores	347
13	Campo de Borja	Con contaminación o malos olores	Sin ruidos exteriores	409
13	Campo de Borja	Sin contaminación o malos olores	Con ruidos exteriores	487
13	Campo de Borja	Sin contaminación o malos olores	Sin ruidos exteriores	4122
14	Aranda	Con contaminación o malos olores	Con ruidos exteriores	104
14	Aranda	Con contaminación o malos olores	Sin ruidos exteriores	73
14	Aranda	Sin contaminación o malos olores	Con ruidos exteriores	325
14	Aranda	Sin contaminación o malos olores	Sin ruidos exteriores	2394
15	Ribera Alta del Ebro	Con contaminación o malos olores	Con ruidos exteriores	322
15	Ribera Alta del Ebro	Con contaminación o malos olores	Sin ruidos exteriores	444
15	Ribera Alta del Ebro	Sin contaminación o malos olores	Con ruidos exteriores	823
15	Ribera Alta del Ebro	Sin contaminación o malos olores	Sin ruidos exteriores	6476
16	Valdejalón	Con contaminación o malos olores	Con ruidos exteriores	414
16	Valdejalón	Con contaminación o malos olores	Sin ruidos exteriores	377
16	Valdejalón	Sin contaminación o malos olores	Con ruidos exteriores	731
16	Valdejalón	Sin contaminación o malos olores	Sin ruidos exteriores	6848
17	D.C. Zaragoza	Con contaminación o malos olores	Con ruidos exteriores	39723
17	D.C. Zaragoza	Con contaminación o malos olores	Sin ruidos exteriores	22843
17	D.C. Zaragoza	Sin contaminación o malos olores	Con ruidos exteriores	41474
17	D.C. Zaragoza	Sin contaminación o malos olores	Sin ruidos exteriores	137295
18	Ribera Baja del Ebro	Con contaminación o malos olores	Con ruidos exteriores	216
18	Ribera Baja del Ebro	Con contaminación o malos olores	Sin ruidos exteriores	454
18	Ribera Baja del Ebro	Sin contaminación o malos olores	Con ruidos exteriores	285
18	Ribera Baja del Ebro	Sin contaminación o malos olores	Sin ruidos exteriores	2762
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Con contaminación o malos olores	Con ruidos exteriores	165
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Con contaminación o malos olores	Sin ruidos exteriores	127
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Sin contaminación o malos olores	Con ruidos exteriores	513
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Sin contaminación o malos olores	Sin ruidos exteriores	4028
20	Comunidad de Calatayud	Con contaminación o malos olores	Con ruidos exteriores	520
20	Comunidad de Calatayud	Con contaminación o malos olores	Sin ruidos exteriores	383
20	Comunidad de Calatayud	Sin contaminación o malos olores	Con ruidos exteriores	1709
20	Comunidad de Calatayud	Sin contaminación o malos olores	Sin ruidos exteriores	12648
21	Campo de Cariñena	Con contaminación o malos olores	Con ruidos exteriores	104
21	Campo de Cariñena	Con contaminación o malos olores	Sin ruidos exteriores	146
21	Campo de Cariñena	Sin contaminación o malos olores	Con ruidos exteriores	222
21	Campo de Cariñena	Sin contaminación o malos olores	Sin ruidos exteriores	3304
22	Campo de Belchite	Con contaminación o malos olores	Con ruidos exteriores	33
22	Campo de Belchite	Con contaminación o malos olores	Sin ruidos exteriores	45
22	Campo de Belchite	Sin contaminación o malos olores	Con ruidos exteriores	64
22	Campo de Belchite	Sin contaminación o malos olores	Sin ruidos exteriores	2206
23	Bajo Martín	Con contaminación o malos olores	Con ruidos exteriores	140
23	Bajo Martín	Con contaminación o malos olores	Sin ruidos exteriores	342
23	Bajo Martín	Sin contaminación o malos olores	Con ruidos exteriores	140
23	Bajo Martín	Sin contaminación o malos olores	Sin ruidos exteriores	2282
24	Campo de Daroca	Con contaminación o malos olores	Con ruidos exteriores	97
24	Campo de Daroca	Con contaminación o malos olores	Sin ruidos exteriores	71
24	Campo de Daroca	Sin contaminación o malos olores	Con ruidos exteriores	124
24	Campo de Daroca	Sin contaminación o malos olores	Sin ruidos exteriores	2371
25	Jiloca	Con contaminación o malos olores	Con ruidos exteriores	66
25	Jiloca	Con contaminación o malos olores	Sin ruidos exteriores	275
25	Jiloca	Sin contaminación o malos olores	Con ruidos exteriores	166
25	Jiloca	Sin contaminación o malos olores	Sin ruidos exteriores	5048
26	Cuencas Mineras	Con contaminación o malos olores	Con ruidos exteriores	140
26	Cuencas Mineras	Con contaminación o malos olores	Sin ruidos exteriores	229
26	Cuencas Mineras	Sin contaminación o malos olores	Con ruidos exteriores	238
26	Cuencas Mineras	Sin contaminación o malos olores	Sin ruidos exteriores	2978
27	Andorra-Sierra de Arcos	Con contaminación o malos olores	Con ruidos exteriores	103
27	Andorra-Sierra de Arcos	Con contaminación o malos olores	Sin ruidos exteriores	171
27	Andorra-Sierra de Arcos	Sin contaminación o malos olores	Con ruidos exteriores	409
27	Andorra-Sierra de Arcos	Sin contaminación o malos olores	Sin ruidos exteriores	3270
28	Bajo Aragón	Con contaminación o malos olores	Con ruidos exteriores	477
28	Bajo Aragón	Con contaminación o malos olores	Sin ruidos exteriores	638
28	Bajo Aragón	Sin contaminación o malos olores	Con ruidos exteriores	1002
28	Bajo Aragón	Sin contaminación o malos olores	Sin ruidos exteriores	7396
29	Comunidad de Teruel	Con contaminación o malos olores	Con ruidos exteriores	673
29	Comunidad de Teruel	Con contaminación o malos olores	Sin ruidos exteriores	527
29	Comunidad de Teruel	Sin contaminación o malos olores	Con ruidos exteriores	1937
29	Comunidad de Teruel	Sin contaminación o malos olores	Sin ruidos exteriores	12360
30	Maestrazgo	Con contaminación o malos olores	Con ruidos exteriores	9
30	Maestrazgo	Con contaminación o malos olores	Sin ruidos exteriores	13
30	Maestrazgo	Sin contaminación o malos olores	Con ruidos exteriores	26
30	Maestrazgo	Sin contaminación o malos olores	Sin ruidos exteriores	1455
31	Sierra de Albarracín	Con contaminación o malos olores	Con ruidos exteriores	11
31	Sierra de Albarracín	Con contaminación o malos olores	Sin ruidos exteriores	19
31	Sierra de Albarracín	Sin contaminación o malos olores	Con ruidos exteriores	15
31	Sierra de Albarracín	Sin contaminación o malos olores	Sin ruidos exteriores	1973
32	Gúdar-Javalambre	Con contaminación o malos olores	Con ruidos exteriores	32
32	Gúdar-Javalambre	Con contaminación o malos olores	Sin ruidos exteriores	141
32	Gúdar-Javalambre	Sin contaminación o malos olores	Con ruidos exteriores	87
32	Gúdar-Javalambre	Sin contaminación o malos olores	Sin ruidos exteriores	2947
33	Matarraña / Matarranya	Con contaminación o malos olores	Con ruidos exteriores	75
33	Matarraña / Matarranya	Con contaminación o malos olores	Sin ruidos exteriores	136
33	Matarraña / Matarranya	Sin contaminación o malos olores	Con ruidos exteriores	181
33	Matarraña / Matarranya	Sin contaminación o malos olores	Sin ruidos exteriores	2943
