Año	CCAA código	CCAA nombre	Urbana   Número de recibos	Urbana   Base imponible (miles de euros)	Urbana   Base liquidable (miles de euros)	Urbana   Cuota íntegra (euros)	Urbana   Cuota líquida (euros)
2003	02	Aragón	993435	27709136	26393118	128383907	126666441
2004	02	Aragón	1023799	29029214	27573340	143114538	141321856
2005	02	Aragón	1040996	30600095	29115403	169501253	165132418
2006	02	Aragón	1055894	31324439	29616599	174352661	171891568
2007	02	Aragón	1072345	33699541	31300098	184799162	181195347
2008	02	Aragón	1105607	35983952	33365515	198922774	196153578
2009	02	Aragón	1146900	39697949	36082723	220762103	218099060
2010	02	Aragón	1181149	42699948	38391048	232881430	228434927
2011	02	Aragón	1206180	44072682	40094092	244974775	240471653
2012	02	Aragón	1224786	44800744	41412868	287353839	281828606
2013	02	Aragón	1232323	61558575	43835871	302265974	296492356
2014	02	Aragón	1245334	62122550	47046459	323053546	293437721
2015	02	Aragón	1258971	64079633	50604885	345066460	300567138
2016	02	Aragón	1261696	63804829,68	53133976,49	345764783	303995836
