Provincia código	Provincia nombre	Espacios Naturales Protegidos	Superficie de Espacios Naturales Protegidos	Lugares de Importancia Comunitaria	Superficie Lugares de Importacia Comunitaria	Zonas de especial Protección para las Aves	Superficie Zonas de Especial Protección para las Aves
22	Huesca	15	136129,2542	68	402360,5571	25	361705,6866
44	Teruel	6	8163,827169	48	347812,9314	10	175565,7812
50	Zaragoza	4	14125,46485	59	293816,29	19	310123,3241
