Comarca código	Comarca nombre	Viviendas en el edificio	Número de edificios
01	La Jacetania	01	3966
02	Alto Gállego	01	2365
03	Sobrarbe	01	2762
04	La Ribagorza	01	5368
05	Cinco Villas	01	9812
06	Hoya de Huesca / Plana de Uesca	01	8564
07	Somontano de Barbastro	01	5430
08	Cinca Medio	01	5030
09	La Litera / La Llitera	01	5804
10	Los Monegros	01	8335
11	Bajo Cinca / Baix Cinca	01	5251
12	Tarazona y el Moncayo	01	3832
13	Campo de Borja	01	6018
14	Aranda	01	2710
15	Ribera Alta del Ebro	01	8020
16	Valdejalón	01	9397
17	D.C. Zaragoza	01	30320
18	Ribera Baja del Ebro	01	4576
19	Bajo Aragón-Caspe / Baix Aragó-Casp	01	4739
20	Comunidad de Calatayud	01	15934
21	Campo de Cariñena	01	4277
22	Campo de Belchite	01	3884
23	Bajo Martín	01	4134
24	Campo de Daroca	01	4871
25	Jiloca	01	9412
26	Cuencas Mineras	01	5470
27	Andorra-Sierra de Arcos	01	4242
28	Bajo Aragón	01	7692
29	Comunidad de Teruel	01	11034
30	Maestrazgo	01	2983
31	Sierra de Albarracín	01	3897
32	Gúdar-Javalambre	01	7438
33	Matarraña / Matarranya	01	5266
01	La Jacetania	02	389
02	Alto Gállego	02	299
03	Sobrarbe	02	207
04	La Ribagorza	02	331
05	Cinco Villas	02	907
06	Hoya de Huesca / Plana de Uesca	02	535
07	Somontano de Barbastro	02	443
08	Cinca Medio	02	419
09	La Litera / La Llitera	02	502
10	Los Monegros	02	590
11	Bajo Cinca / Baix Cinca	02	729
12	Tarazona y el Moncayo	02	332
13	Campo de Borja	02	663
14	Aranda	02	224
15	Ribera Alta del Ebro	02	590
16	Valdejalón	02	744
17	D.C. Zaragoza	02	2269
18	Ribera Baja del Ebro	02	457
19	Bajo Aragón-Caspe / Baix Aragó-Casp	02	561
20	Comunidad de Calatayud	02	1225
21	Campo de Cariñena	02	277
22	Campo de Belchite	02	245
23	Bajo Martín	02	233
24	Campo de Daroca	02	250
25	Jiloca	02	341
26	Cuencas Mineras	02	287
27	Andorra-Sierra de Arcos	02	363
28	Bajo Aragón	02	703
