Año	Código del municipio	Nombre del municipio	Hectáreas en tierras labradas con cultivos herbáceos	Hectáreas en tierras labradas con cultivos frutales	Hectáreas en tierras labradas con cultivo olivar	Hectáreas en tierras labradas con cultivo viñedo	Hectáreas en tierras labradas con otros cultivos	Hectáreas en tierras labradas de secano	Hectáreas en tierras labradas de regadío	Hectáreas en tierras labradas de secano cultivos herbáceos	Hectáreas en tierras labradas de secano cultivos frutales	Hectáreas en tierras labradas de secano cultivo olivar	Hectáreas en tierras labradas de secano cultivo viñedo	Hectáreas en tierras labradas de secano otros cultivos	Hectáreas en tierras labradas de regadío cultivos herbáceos	Hectáreas en tierras labradas de regadío cultivos frutales	Hectáreas en tierras labradas de regadío cultivo olivar	Hectáreas en tierras labradas de regadío cultivo viñedo	Hectáreas en tierras labradas de regadío otros cultivos	Número total de parcelas
1989	22044	Bailo	2674	0	0	0	0	2639	35	2639	0	0	0	0	35	0	0	0	0	983
1989	22045	Baldellou	325	115	110	1	0	551	0	325	115	110	1	0	0	0	0	0	0	482
1989	22046	Ballobar	5998	259	97	3	0	6026	330	5912	15	97	3	0	86	244	0	0	0	1775
1989	22047	Banastás	536	16	3	4	0	544	15	521	16	3	4	0	15	0	0	0	0	218
1989	22048	Barbastro	4212	633	671	602	0	4287	1831	2702	585	650	351	0	1510	48	22	251	0	1841
1989	22049	Barbués	1496	0	0	0	0	349	1147	349	0	0	0	0	1147	0	0	0	0	719
1989	22050	Barbuñales	1165	33	6	71	0	1271	4	1162	33	6	71	0	3	0	0	0	0	331
1989	22051	Bárcabo	1068	66	30	0	0	1156	7	1061	66	30	0	0	7	0	0	0	0	766
1989	22052	Belver de Cinca	4727	510	16	137	1	691	4699	691	0	0	0	0	4035	510	16	137	1	1268
1989	22053	Benabarre	4527	109	39	15	1	4590	101	4432	104	39	15	1	96	5	0	0	0	2096
1989	22054	Benasque	2	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	553
1989	22055	Berbegal	3449	118	34	37	0	2596	1041	2413	114	32	37	0	1036	3	2	0	0	1209
1989	22057	Bielsa	16	0	0	0	0	13	2	13	0	0	0	0	2	0	0	0	0	721
1989	22058	Bierge	1109	233	227	8	0	1575	2	1107	233	227	8	0	2	0	0	0	0	2409
1989	22059	Biescas	452	0	0	0	0	345	107	345	0	0	0	0	107	0	0	0	0	3835
1989	22060	Binaced	3854	733	9	3	0	993	3605	957	29	7	1	0	2897	705	2	2	0	1266
1989	22061	Binéfar	1404	86	1	4	0	160	1335	157	1	1	0	0	1247	85	0	4	0	428
1989	22062	Bisaurri	8	0	0	0	0	2	6	2	0	0	0	0	6	0	0	0	0	1538
1989	22063	Biscarrués	1580	177	2	8	0	1742	25	1556	177	2	8	0	25	0	0	0	0	583
1989	22064	Blecua y Torres	2756	59	9	30	0	2754	100	2656	59	9	30	0	100	0	0	0	0	830
1989	22066	Boltaña	431	3	1	0	0	262	173	258	3	1	0	0	173	0	0	0	0	647
1989	22067	Bonansa	41	0	0	0	0	41	0	41	0	0	0	0	0	0	0	0	0	735
1989	22068	Borau	8	0	0	0	0	4	4	4	0	0	0	0	4	0	0	0	0	711
1989	22069	Broto	25	0	0	0	0	13	13	13	0	0	0	0	13	0	0	0	0	2027
1989	22072	Caldearenas	1430	0	0	0	0	1400	29	1400	0	0	0	0	29	0	0	0	0	1592
1989	22074	Campo	148	0	0	0	0	130	18	130	0	0	0	0	18	0	0	0	0	240
1989	22075	Camporrells	681	81	12	1	0	732	42	654	66	12	1	0	27	15	0	0	0	581
1989	22076	Canal de Berdún	3995	4	0	2	0	3989	13	3984	3	0	2	0	11	2	0	0	0	1689
1989	22077	Candasnos	8771	41	66	3	0	8874	7	8771	34	66	3	0	0	7	0	0	0	1872
1989	22078	Canfranc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57
1989	22079	Capdesaso	1128	42	3	0	3	62	1114	61	1	0	0	0	1067	41	3	0	3	402
1989	22080	Capella	1438	92	47	28	0	1596	11	1428	92	47	28	0	11	0	0	0	0	1133
1989	22081	Casbas de Huesca	3488	139	108	39	0	3771	3	3485	139	108	39	0	3	0	0	0	0	2309
1989	22082	Castejón del Puente	1835	20	16	5	0	629	1248	592	17	15	5	0	1243	3	2	0	0	475
1989	22083	Castejón de Monegros	8622	28	34	73	0	8099	658	7972	20	34	73	0	651	8	0	0	0	1669
1989	22084	Castejón de Sos	4	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	899
1989	22085	Castelflorite	2163	31	41	1	1	798	1438	747	16	34	1	0	1416	15	7	0	1	419
1989	22086	Castiello de Jaca	268	0	0	0	0	243	25	243	0	0	0	0	25	0	0	0	0	324
1989	22087	Castigaleu	949	0	1	1	0	950	0	949	0	1	1	0	0	0	0	0	0	185
1989	22088	Castillazuelo	860	79	82	58	0	1029	50	809	79	82	58	0	50	0	0	0	0	645
1989	22089	Castillonroy	1288	333	129	8	0	1572	187	1244	191	129	8	0	44	143	0	0	0	665
1989	22090	Colungo	413	171	165	7	0	738	18	395	171	165	7	0	18	0	0	0	0	543
1989	22094	Chalamera	351	44	1	0	0	190	207	187	2	1	0	0	164	42	0	0	0	315
1989	22095	Chía	42	0	0	0	0	42	0	42	0	0	0	0	0	0	0	0	0	426
1989	22096	Chimillas	937	14	0	9	0	929	31	906	14	0	9	0	31	0	0	0	0	355
1989	22099	Esplús	6120	234	0	1	0	537	5818	537	0	0	0	0	5583	234	0	1	0	443
1989	22102	Estada	294	58	89	0	0	234	207	92	53	89	0	0	202	5	0	0	0	304
1989	22103	Estadilla	1388	288	137	10	0	1166	658	774	244	137	10	0	614	43	0	0	0	838
1989	22105	Estopiñán del Castillo	1954	67	18	2	0	1898	143	1811	67	18	2	0	143	0	0	0	0	1210
1989	22106	Fago	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42
1989	22107	Fanlo	7	0	0	0	0	6	0	6	0	0	0	0	0	0	0	0	0	533
1989	22109	Fiscal	335	0	0	0	0	280	55	280	0	0	0	0	55	0	0	0	0	888
1989	22110	Fonz	3362	187	124	2	0	2479	1197	2187	166	124	2	0	1175	21	0	1	0	1180
1989	22111	Foradada del Toscar	666	6	0	2	0	641	33	634	6	0	2	0	33	0	0	0	0	692
1989	22112	Fraga	15252	4335	94	6	9	14330	5367	14256	24	44	6	0	996	4311	51	0	9	3610
1989	22113	Fueva (La)	3001	27	21	21	0	3065	5	2997	27	21	21	0	5	0	0	0	0	2743
1989	22114	Gistaín	6	0	0	0	0	5	1	5	0	0	0	0	1	0	0	0	0	603
1989	22115	Grado (El)	1278	221	273	66	0	1582	256	1025	219	271	66	0	253	2	1	0	0	1776
1989	22116	Grañén	8535	47	3	2	0	2343	6244	2300	39	3	2	0	6235	9	0	0	0	2469
1989	22117	Graus	4444	319	220	70	3	4926	130	4325	309	220	70	3	120	10	0	1	0	3396
1989	22119	Gurrea de Gállego	11745	183	18	55	0	8848	3152	8721	55	18	54	0	3023	128	0	1	0	3741
1989	22122	Hoz de Jaca	31	0	0	0	0	31	0	31	0	0	0	0	0	0	0	0	0	374
1989	22124	Huerto	5431	80	30	3	0	4670	873	4558	80	30	3	0	873	0	0	0	0	1136
1989	22125	Huesca	9925	153	34	17	0	7993	2135	7796	147	34	17	0	2129	6	0	0	0	2458
1989	22126	Ibieca	715	89	41	10	0	848	8	708	89	41	10	0	8	0	0	0	0	622
1989	22127	Igriés	1088	49	9	12	0	1119	38	1050	49	9	12	0	38	0	0	0	0	571
1989	22128	Ilche	3494	86	17	1	0	1353	2246	1276	64	12	1	0	2219	23	5	0	0	932
1989	22129	Isábena	781	10	15	0	0	777	28	753	10	15	0	0	28	0	0	0	0	683
1989	22130	Jaca	8544	0	0	0	0	8199	346	8199	0	0	0	0	346	0	0	0	0	5582
1989	22131	Jasa	6	0	0	0	0	3	3	3	0	0	0	0	3	0	0	0	0	127
1989	22133	Labuerda	152	0	0	0	0	134	18	134	0	0	0	0	18	0	0	0	0	380
1989	22135	Laluenga	2768	72	43	10	0	2373	520	2248	72	43	10	0	520	0	0	0	0	853
1989	22136	Lalueza	6272	44	14	13	0	934	5409	879	29	14	12	0	5393	15	0	1	0	1617
1989	22137	Lanaja	10203	59	60	38	0	6485	3875	6328	59	60	38	0	3875	0	0	0	0	1361
1989	22139	Laperdiguera	696	28	4	4	0	621	111	585	28	4	4	0	111	0	0	0	0	276
1989	22141	Lascellas-Ponzano	1298	117	17	44	0	1461	15	1283	117	17	44	0	15	0	0	0	0	593
1989	22142	Lascuarre	727	39	36	3	0	797	8	719	39	36	3	0	8	0	0	0	0	423
1989	22143	Laspaúles	35	0	0	0	0	31	4	31	0	0	0	0	4	0	0	0	0	1562
1989	22144	Laspuña	330	0	0	0	0	318	12	318	0	0	0	0	12	0	0	0	0	652
1989	22149	Loarre	1973	559	29	20	0	2551	30	1943	559	29	20	0	30	0	0	0	0	1515
1989	22150	Loporzano	4392	339	128	44	0	4761	141	4255	335	128	44	0	137	4	0	0	0	2669
1989	22151	Loscorrales	2647	58	2	4	0	2528	182	2465	58	2	4	0	182	0	0	0	0	703
1989	22155	Monesma y Cajigar	1461	0	1	0	0	1461	0	1460	0	1	0	0	0	0	0	0	0	389
1989	22156	Monflorite-Lascasas	2226	5	0	0	0	1366	865	1361	5	0	0	0	865	0	0	0	0	549
1989	22157	Montanuy	147	0	0	0	0	146	1	146	0	0	0	0	1	0	0	0	0	2149
1989	22158	Monzón	9458	279	26	2	0	1754	8011	1699	33	21	1	0	7759	245	5	1	0	2515
1989	22160	Naval	318	192	62	6	0	576	2	316	192	62	6	0	2	0	0	0	0	464
1989	22162	Novales	1545	35	7	1	0	1384	204	1340	35	7	1	0	204	0	0	0	0	525
1989	22163	Nueno	1435	159	27	12	1	1425	208	1231	158	25	12	0	204	2	2	0	1	1363
1989	22164	Olvena	170	90	54	0	0	271	44	128	89	54	0	0	43	1	0	0	0	352
1989	22165	Ontiñena	6788	63	41	2	0	6512	382	6451	18	41	2	0	337	45	0	0	0	858
1989	22167	Osso de Cinca	1182	426	1	0	0	120	1490	118	2	0	0	0	1064	425	1	0	0	658
1989	22168	Palo	251	6	34	1	0	291	0	251	6	34	1	0	0	0	0	0	0	472
1989	22170	Panticosa	9	0	0	0	0	4	5	4	0	0	0	0	5	0	0	0	0	578
1989	22172	Peñalba	9045	23	8	5	0	9000	80	8987	1	8	5	0	58	22	0	0	0	1862
1989	22173	Peñas de Riglos (Las)	1437	107	12	2	0	1516	42	1394	107	12	2	0	42	0	0	0	0	1351
1989	22174	Peralta de Alcofea	8579	241	134	8	0	6914	2047	6538	237	131	8	0	2040	4	3	0	0	2695
1989	22175	Peralta de Calasanz	3734	441	337	11	0	4312	212	3539	424	337	11	0	195	17	0	0	0	1484
1989	22176	Peraltilla	640	164	22	14	0	787	54	586	164	22	14	0	54	0	0	0	0	508
1989	22177	Perarrúa	290	29	6	9	0	283	52	239	29	6	9	0	51	0	0	0	0	533
1989	22178	Pertusa	1418	15	7	9	0	1366	83	1335	15	7	9	0	83	0	0	0	0	532
1989	22181	Piracés	1143	0	5	0	0	917	231	912	0	5	0	0	231	0	0	0	0	810
1989	22182	Plan	9	0	0	0	0	2	7	2	0	0	0	0	7	0	0	0	0	662
1989	22184	Poleñino	1839	2	3	1	0	308	1536	303	2	3	1	0	1536	0	0	0	0	378
1989	22186	Pozán de Vero	678	200	69	107	0	1031	22	656	200	69	107	0	22	0	0	0	0	559
1989	22187	Puebla de Castro (La)	460	161	51	15	0	684	3	457	161	51	15	0	3	0	0	0	0	607
1989	22188	Puente de Montañana	460	2	0	1	0	454	8	452	2	0	1	0	8	0	0	0	0	164
1989	22189	Puértolas	200	0	0	0	0	192	8	192	0	0	0	0	8	0	0	0	0	938
1989	22190	Pueyo de Araguás (El)	574	4	0	0	0	552	26	552	0	0	0	0	23	4	0	0	0	679
1989	22193	Pueyo de Santa Cruz	637	44	0	0	0	36	646	36	0	0	0	0	602	44	0	0	0	324
1989	22195	Quicena	227	0	1	1	0	152	76	151	0	1	1	0	76	0	0	0	0	153
1989	22197	Robres	3632	20	1	26	0	2511	1168	2464	20	1	26	0	1168	0	0	0	0	1185
1989	22199	Sabiñánigo	5532	0	0	0	0	5280	253	5280	0	0	0	0	253	0	0	0	0	6934
1989	22200	Sahún	6	0	0	0	0	5	1	5	0	0	0	0	1	0	0	0	0	866
1989	22201	Salas Altas	568	404	147	475	0	1589	5	565	402	147	475	0	3	2	0	0	0	729
1989	22202	Salas Bajas	295	99	63	174	0	620	12	284	99	63	174	0	11	0	0	1	0	389
1989	22203	Salillas	1960	12	0	6	0	1845	133	1827	12	0	6	0	133	0	0	0	0	489
1989	22204	Sallent de Gállego	47	0	0	0	0	39	8	39	0	0	0	0	8	0	0	0	0	855
1989	22205	San Esteban de Litera	4076	151	26	8	0	2233	2028	2114	90	25	5	0	1962	61	1	3	0	1453
1989	22206	Sangarrén	2247	26	1	1	0	1045	1230	1042	2	1	1	0	1206	24	0	0	0	939
1989	22207	San Juan de Plan	30	0	0	0	0	20	10	20	0	0	0	0	10	0	0	0	0	458
1989	22208	Santa Cilia	964	0	0	2	0	938	28	937	0	0	2	0	28	0	0	0	0	308
1989	22209	Santa Cruz de la Serós	487	0	0	0	0	446	41	446	0	0	0	0	41	0	0	0	0	280
1989	22212	Santaliestra y San Quílez	178	24	5	1	0	187	21	157	24	5	1	0	21	0	0	0	0	223
1989	22213	Sariñena	15945	85	51	17	0	6315	9783	6234	35	32	14	0	9711	49	19	3	0	4003
1989	22214	Secastilla	518	96	29	32	0	668	6	512	96	29	32	0	6	0	0	0	0	503
1989	22215	Seira	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	370
1989	22217	Sena	5402	82	48	11	0	3096	2448	3052	28	13	3	0	2350	54	35	8	0	805
1989	22218	Senés de Alcubierre	1476	6	0	1	0	1071	412	1069	2	0	1	0	408	4	0	0	0	298
1989	22220	Sesa	1951	15	1	4	0	1715	256	1695	15	1	4	0	256	0	0	0	0	752
1989	22221	Sesué	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244
1989	22222	Siétamo	3128	66	57	14	0	3097	168	2959	66	57	14	0	168	0	0	0	0	1539
1989	22223	Sopeira	342	0	0	0	0	342	0	342	0	0	0	0	0	0	0	0	0	634
1989	22225	Tamarite de Litera	7900	647	151	3	2	1612	7091	1410	58	143	1	0	6490	589	8	3	2	1628
1989	22226	Tardienta	4373	9	7	46	0	3545	890	3486	6	7	46	0	887	3	0	0	0	3692
1989	22227	Tella-Sin	11	0	0	0	0	9	1	9	0	0	0	0	1	0	0	0	0	572
1989	22228	Tierz	321	7	0	0	0	172	155	166	7	0	0	0	155	0	0	0	0	194
1989	22229	Tolva	1655	13	17	1	0	1668	18	1637	13	17	1	0	18	0	0	0	0	635
1989	22230	Torla-Ordesa	25	0	2	0	0	12	16	10	0	2	0	0	16	0	0	0	0	780
1989	22232	Torralba de Aragón	2310	0	0	0	0	1439	871	1439	0	0	0	0	871	0	0	0	0	829
1989	22233	Torre la Ribera	176	0	0	0	0	168	9	168	0	0	0	0	9	0	0	0	0	342
1989	22234	Torrente de Cinca	1516	523	22	0	0	1403	657	1318	65	21	0	0	198	458	1	0	0	347
1989	22235	Torres de Alcanadre	1384	21	9	15	0	925	503	883	21	9	13	0	501	1	0	2	0	653
1989	22236	Torres de Barbués	1048	2	0	0	0	62	987	62	0	0	0	0	986	2	0	0	0	560
1989	22239	Tramaced	1097	1	9	0	0	313	792	305	0	9	0	0	792	1	0	0	0	466
1989	22242	Valfarta	3100	6	23	5	0	3133	0	3100	6	23	5	0	0	0	0	0	0	671
1989	22243	Valle de Bardají	187	0	0	0	0	179	8	179	0	0	0	0	8	0	0	0	0	229
1989	22244	Valle de Lierp	292	0	0	0	0	289	2	289	0	0	0	0	2	0	0	0	0	283
1989	22245	Velilla de Cinca	288	164	10	0	0	112	350	102	1	10	0	0	186	164	1	0	0	487
1989	22246	Beranuy	217	2	0	0	0	208	11	206	2	0	0	0	11	0	0	0	0	620
1989	22247	Viacamp y Litera	356	5	0	0	0	346	15	344	2	0	0	0	12	3	0	0	0	305
1989	22248	Vicién	1471	0	0	0	0	1060	411	1060	0	0	0	0	411	0	0	0	0	116
1989	22249	Villanova	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127
1989	22250	Villanúa	75	0	0	0	0	69	6	69	0	0	0	0	6	0	0	0	0	376
1989	22251	Villanueva de Sigena	8610	88	20	3	2	6497	2226	6466	13	17	3	0	2144	76	4	0	2	814
1989	22252	Yebra de Basa	495	2	0	0	0	491	6	489	2	0	0	0	6	0	0	0	0	1112
1989	22253	Yésero	5	0	0	0	0	5	0	5	0	0	0	0	0	0	0	0	0	361
1989	22254	Zaidín	3518	1389	19	0	6	718	4214	717	1	1	0	0	2801	1388	18	0	6	1328
1989	22901	Valle de Hecho	250	0	0	4	0	140	113	137	0	0	4	0	113	0	0	0	0	1366
1989	22902	Puente la Reina de Jaca	1962	38	0	1	6	1942	65	1903	38	0	1	0	59	0	0	0	6	710
1989	22903	San Miguel del Cinca	7198	101	6	1	8	1125	6188	1122	2	1	0	0	6076	100	5	1	8	1497
1989	22904	Sotonera (La)	8755	655	82	22	0	9433	80	8678	652	82	22	0	77	3	0	0	0	3325
1989	22905	Lupiñén-Ortilla	8745	12	0	5	0	7767	995	7750	12	0	5	0	995	0	0	0	0	771
1989	22906	Santa María de Dulcis	569	207	135	96	0	954	53	517	207	133	96	0	51	0	1	0	0	549
1989	22907	Aínsa-Sobrarbe	3293	80	32	14	0	3324	95	3200	78	32	14	0	93	2	0	0	0	2893
1989	22908	Hoz y Costeán	1450	292	508	58	0	2242	66	1387	292	505	58	0	64	0	3	0	0	1012
1989	22909	Vencillón	795	22	0	0	0	51	766	51	0	0	0	0	744	22	0	0	0	97
1989	44001	Ababuj	1933	0	0	0	0	1921	12	1921	0	0	0	0	12	0	0	0	0	1920
1989	44002	Abejuela	406	3	0	0	0	389	20	386	3	0	0	0	20	0	0	0	0	253
1989	44003	Aguatón	641	0	0	0	0	639	2	639	0	0	0	0	2	0	0	0	0	301
1989	44004	Aguaviva	747	107	71	38	0	701	262	565	27	71	38	0	182	80	0	0	0	1784
1989	44005	Aguilar del Alfambra	1231	0	0	0	0	1174	57	1174	0	0	0	0	57	0	0	0	0	1643
1989	44006	Alacón	1371	54	90	118	0	1582	51	1325	53	86	118	0	46	1	3	0	0	2837
1989	44007	Alba	2318	0	0	0	0	1863	455	1863	0	0	0	0	455	0	0	0	0	1427
1989	44008	Albalate del Arzobispo	7906	408	875	65	0	8675	579	7475	286	849	65	0	431	121	26	0	0	4895
1989	44009	Albarracín	2903	0	0	0	0	2816	88	2816	0	0	0	0	88	0	0	0	0	1291
1989	44010	Albentosa	848	86	1	0	0	896	39	811	84	1	0	0	37	2	0	0	0	2193
1989	44011	Alcaine	154	2	8	1	0	161	3	152	1	8	1	0	2	1	0	0	0	810
1989	44012	Alcalá de la Selva	558	0	0	0	0	547	11	547	0	0	0	0	11	0	0	0	0	909
1989	44013	Alcañiz	16716	2904	2325	41	0	18256	3731	14112	1817	2285	41	0	2604	1087	40	0	0	14885
1989	44014	Alcorisa	3849	612	884	68	0	5125	289	3663	568	826	68	0	187	44	59	0	0	5046
1989	44016	Alfambra	6331	0	0	0	0	5917	414	5917	0	0	0	0	414	0	0	0	0	2437
1989	44017	Aliaga	1440	1	0	0	0	1409	32	1409	0	0	0	0	31	1	0	0	0	1793
1989	44018	Almohaja	282	0	0	0	0	281	1	281	0	0	0	0	1	0	0	0	0	409
1989	44019	Alobras	496	0	0	0	0	490	7	490	0	0	0	0	7	0	0	0	0	1574
1989	44020	Alpeñés	857	0	0	0	0	857	0	857	0	0	0	0	0	0	0	0	0	689
1989	44021	Allepuz	1279	0	0	0	0	1217	62	1217	0	0	0	0	62	0	0	0	0	1751
1989	44022	Alloza	1370	205	552	55	0	2107	75	1333	168	551	55	0	37	37	1	0	0	3391
1989	44023	Allueva	7	0	0	0	0	7	0	7	0	0	0	0	0	0	0	0	0	34
1989	44024	Anadón	474	0	0	0	0	475	0	474	0	0	0	0	0	0	0	0	0	802
1989	44025	Andorra	6164	155	557	55	0	6866	65	6113	142	556	55	0	51	13	1	0	0	5380
1989	44026	Arcos de las Salinas	153	5	0	0	0	134	24	130	4	0	0	0	23	1	0	0	0	431
1989	44027	Arens de Lledó	121	410	373	118	0	1006	15	108	408	373	117	0	13	2	0	0	0	1083
1989	44028	Argente	3560	0	0	0	0	3559	2	3559	0	0	0	0	2	0	0	0	0	3223
1989	44029	Ariño	131	21	66	6	0	196	28	113	12	65	6	0	18	9	1	0	0	1686
1989	44031	Azaila	6221	5	42	2	0	6023	246	6009	4	8	2	0	212	1	34	0	0	1230
1989	44032	Bádenas	731	10	0	0	0	740	0	731	10	0	0	0	0	0	0	0	0	404
1989	44033	Báguena	778	211	0	558	0	1373	175	605	209	0	558	0	173	2	0	0	0	2235
1989	44034	Bañón	2137	0	0	0	0	2120	17	2120	0	0	0	0	17	0	0	0	0	2160
1989	44035	Barrachina	865	0	0	0	0	776	89	776	0	0	0	0	89	0	0	0	0	817
1989	44036	Bea	359	1	0	0	0	358	2	357	1	0	0	0	2	0	0	0	0	234
1989	44037	Beceite	124	319	180	11	0	550	83	63	296	180	10	0	61	22	0	0	0	873
1989	44038	Belmonte de San José	60	186	236	6	0	483	6	57	183	236	6	0	3	2	0	0	0	846
1989	44039	Bello	4055	0	0	0	0	3932	123	3932	0	0	0	0	123	0	0	0	0	4465
1989	44040	Berge	412	118	142	5	0	625	52	371	108	141	5	0	40	10	2	0	0	973
1989	44041	Bezas	131	0	0	0	0	131	0	131	0	0	0	0	0	0	0	0	0	495
1989	44042	Blancas	2865	0	0	0	0	2857	9	2857	0	0	0	0	9	0	0	0	0	2135
1989	44043	Blesa	2554	27	0	56	0	2623	15	2540	27	0	56	0	15	0	0	0	0	2761
1989	44044	Bordón	312	6	2	1	0	285	36	277	5	2	1	0	36	1	0	0	0	665
1989	44045	Bronchales	1253	0	0	0	0	1253	0	1253	0	0	0	0	0	0	0	0	0	1819
1989	44046	Bueña	1387	0	0	0	0	1373	14	1373	0	0	0	0	14	0	0	0	0	1295
1989	44047	Burbáguena	940	238	0	263	0	1297	144	801	233	0	263	0	139	5	0	0	0	1701
1989	44048	Cabra de Mora	282	1	0	0	0	265	18	264	1	0	0	0	18	0	0	0	0	347
1989	44049	Calaceite	266	1681	1961	334	1	4147	96	214	1646	1957	329	0	52	35	4	5	1	3009
1989	44050	Calamocha	11700	132	0	210	0	10986	1056	10648	128	0	210	0	1052	3	0	0	0	15382
1989	44051	Calanda	3680	978	1684	22	0	5573	790	3589	505	1457	22	0	91	473	227	0	0	4463
1989	44052	Calomarde	290	0	0	0	0	266	24	266	0	0	0	0	24	0	0	0	0	559
1989	44053	Camañas	3261	0	0	0	0	3236	25	3236	0	0	0	0	25	0	0	0	0	1327
1989	44054	Camarena de la Sierra	57	0	0	0	0	38	20	38	0	0	0	0	20	0	0	0	0	4685
1989	44055	Camarillas	2099	0	0	0	0	2092	6	2092	0	0	0	0	6	0	0	0	0	1518
1989	44056	Caminreal	3158	0	0	0	0	2702	457	2702	0	0	0	0	457	0	0	0	0	5169
1989	44059	Cantavieja	620	1	0	0	0	615	7	613	1	0	0	0	7	0	0	0	0	1102
