Año	Código del municipio	Nombre del municipio	Hectáreas en tierras labradas con cultivos herbáceos	Hectáreas en tierras labradas con cultivos frutales	Hectáreas en tierras labradas con cultivo olivar	Hectáreas en tierras labradas con cultivo viñedo	Hectáreas en tierras labradas con otros cultivos	Hectáreas en tierras labradas de secano	Hectáreas en tierras labradas de regadío	Hectáreas en tierras labradas de secano cultivos herbáceos	Hectáreas en tierras labradas de secano cultivos frutales	Hectáreas en tierras labradas de secano cultivo olivar	Hectáreas en tierras labradas de secano cultivo viñedo	Hectáreas en tierras labradas de secano otros cultivos	Hectáreas en tierras labradas de regadío cultivos herbáceos	Hectáreas en tierras labradas de regadío cultivos frutales	Hectáreas en tierras labradas de regadío cultivo olivar	Hectáreas en tierras labradas de regadío cultivo viñedo	Hectáreas en tierras labradas de regadío otros cultivos	Número total de parcelas
1989	22001	Abiego	1912	270	94	30	0	2294	12	1900	270	94	30	0	12	0	0	0	0	1306
1989	22002	Abizanda	629	92	93	5	0	809	10	619	92	93	5	0	10	0	0	0	0	533
1989	22003	Adahuesca	1230	185	95	12	0	1510	13	1217	185	95	12	0	13	0	0	0	0	607
1989	22004	Agüero	344	54	4	4	0	402	4	340	54	4	4	0	4	0	0	0	0	374
1989	22006	Aísa	53	0	0	0	0	24	29	24	0	0	0	0	29	0	0	0	0	731
1989	22007	Albalate de Cinca	2506	521	0	4	0	539	2492	522	17	0	0	0	1983	505	0	4	0	1676
1989	22008	Albalatillo	276	3	2	0	0	150	131	149	0	1	0	0	127	3	1	0	0	112
1989	22009	Albelda	2272	704	137	2	0	894	2221	717	43	133	0	0	1555	660	4	2	0	1138
1989	22011	Albero Alto	1587	3	2	1	0	1564	29	1558	3	2	1	0	29	0	0	0	0	507
1989	22012	Albero Bajo	1364	8	1	1	0	1147	227	1138	8	1	1	0	227	0	0	0	0	494
1989	22013	Alberuela de Tubo	1849	6	26	1	0	479	1402	447	6	26	1	0	1402	0	0	0	0	431
1989	22014	Alcalá de Gurrea	3765	42	2	6	0	3618	197	3568	42	2	6	0	197	0	0	0	0	641
1989	22015	Alcalá del Obispo	3717	64	1	9	0	3301	490	3228	63	1	9	0	489	2	0	0	0	1261
1989	22016	Alcampell	3014	459	205	2	0	2445	1234	1880	359	205	1	0	1134	100	0	0	0	1730
1989	22017	Alcolea de Cinca	4940	169	8	7	0	1494	3630	1484	6	3	2	0	3456	164	5	5	0	1488
1989	22018	Alcubierre	5799	52	44	34	0	5469	460	5339	52	44	34	0	460	0	0	0	0	1148
1989	22019	Alerre	600	9	0	5	0	606	10	591	9	0	5	0	10	0	0	0	0	241
1989	22020	Alfántega	246	60	2	0	0	141	166	139	0	2	0	0	107	60	0	0	0	188
1989	22021	Almudévar	14667	291	96	137	6	11870	3327	11350	288	96	136	0	3317	3	0	1	6	5767
1989	22022	Almunia de San Juan	1809	60	5	0	0	1022	852	1002	15	5	0	0	807	45	0	0	0	497
1989	22023	Almuniente	2583	11	0	1	0	87	2508	86	1	0	0	0	2497	10	0	1	0	1180
1989	22024	Alquézar	685	240	251	30	0	1206	1	684	240	251	30	0	1	0	0	0	0	667
1989	22025	Altorricón	1817	433	0	1	0	62	2189	60	1	0	0	0	1756	432	0	1	0	701
1989	22027	Angüés	2967	74	25	144	0	3202	8	2959	74	25	144	0	8	0	0	0	0	1367
1989	22028	Ansó	5	0	0	0	0	1	4	1	0	0	0	0	4	0	0	0	0	101
1989	22029	Antillón	1775	107	9	26	0	1897	20	1756	107	9	26	0	20	0	0	0	0	683
1989	22032	Aragüés del Puerto	5	0	0	0	0	3	2	3	0	0	0	0	2	0	0	0	0	385
1989	22035	Arén	1333	0	0	0	0	1332	1	1332	0	0	0	0	1	0	0	0	0	2228
1989	22036	Argavieso	759	10	0	1	0	529	240	518	10	0	1	0	240	0	0	0	0	557
1989	22037	Arguis	233	1	0	0	0	232	1	232	1	0	0	0	1	0	0	0	0	69
1989	22039	Ayerbe	2875	332	25	27	0	3210	49	2826	332	25	27	0	49	0	0	0	0	1429
1989	22040	Azanuy-Alins	2688	148	140	0	0	2903	73	2616	148	140	0	0	72	0	0	0	0	899
1989	22041	Azara	715	163	28	33	0	937	2	714	163	28	33	0	2	0	0	0	0	535
1989	22042	Azlor	701	197	59	35	0	991	2	700	197	59	35	0	2	0	0	0	0	660
1989	22043	Baells	1194	125	54	10	0	1292	91	1105	123	54	10	0	89	1	0	0	0	750
