CCAA código	CCAA nombre	Año	División (2 dígitos) código	División (2 dígitos) descripción	Número de actividades
02	Aragón	2014	37	Recogida y tratamiento de aguas residuales	244
02	Aragón	2014	38	Recogida, tratamiento y eliminación de residuos; valorización	160
02	Aragón	2014	39	Actividades de descontaminación y otros servicios de gestión de residuos	148
02	Aragón	2014	41	Construcción de edificios	8115
02	Aragón	2014	42	Ingeniería civil	1235
02	Aragón	2014	43	Actividades de construcción especializada	13913
02	Aragón	2014	45	Venta y reparación de vehículos de motor y motocicletas	4156
02	Aragón	2014	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	11111
02	Aragón	2014	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	31144
02	Aragón	2014	49	Transporte terrestre y por tubería	7117
02	Aragón	2014	50	Transporte marítimo y por vías navegables interiores	4
02	Aragón	2014	51	Transporte aéreo	13
02	Aragón	2014	52	Almacenamiento y actividades anexas al transporte	925
02	Aragón	2014	53	Actividades postales y de correos	309
02	Aragón	2014	55	Servicios de alojamiento	2053
02	Aragón	2014	56	Servicios de comidas y bebidas	11873
02	Aragón	2014	58	Edición	467
02	Aragón	2014	59	Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical	345
02	Aragón	2014	60	Actividades de programación y emisión de radio y televisión	125
02	Aragón	2014	61	Telecomunicaciones	187
02	Aragón	2014	62	Programación, consultoría y otras actividades relacionadas con la informática	1310
02	Aragón	2014	63	Servicios de información	150
02	Aragón	2014	64	Servicios financieros, excepto seguros y fondos de pensiones	1521
02	Aragón	2014	65	Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria	189
02	Aragón	2014	66	Actividades auxiliares a los servicios financieros y a los seguros	3147
02	Aragón	2014	68	Actividades inmobiliarias	16933
02	Aragón	2014	69	Actividades jurídicas y de contabilidad	5612
02	Aragón	2014	71	Servicios técnicos de arquitectura e ingeniería; ensayos y análisis técnicos	4894
02	Aragón	2014	72	Investigación y desarrollo	960
02	Aragón	2014	73	Publicidad y estudios de mercado	1516
02	Aragón	2014	74	Otras actividades profesionales, científicas y técnicas	2096
02	Aragón	2014	75	Actividades veterinarias	499
02	Aragón	2014	77	Actividades de alquiler	1868
02	Aragón	2014	78	Actividades relacionadas con el empleo	255
02	Aragón	2014	79	Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos	464
02	Aragón	2014	80	Actividades de seguridad e investigación	142
02	Aragón	2014	81	Servicios a edificios y actividades de jardinería	1465
02	Aragón	2014	82	Actividades administrativas de oficina y otras actividades auxiliares a las empresas	4608
02	Aragón	2014	85	Educación	5402
02	Aragón	2014	86	Actividades sanitarias	4605
02	Aragón	2014	87	Asistencia en establecimientos residenciales	406
02	Aragón	2014	88	Actividades de servicios sociales sin alojamiento	363
02	Aragón	2014	90	Actividades de creación, artísticas y espectáculos	1825
02	Aragón	2014	91	Actividades de bibliotecas, archivos, museos y otras actividades culturales	403
02	Aragón	2014	92	Actividades de juegos de azar y apuestas	690
02	Aragón	2014	93	Actividades deportivas, recreativas y de entretenimiento	1290
02	Aragón	2014	95	Reparación de ordenadores, efectos personales y artículos de uso doméstico	1550
02	Aragón	2014	96	Otros servicios personales	5648
02	Aragón	2015	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	8700
02	Aragón	2015	02	Silvicultura y explotación forestal	219
02	Aragón	2015	05	Extracción de antracita, hulla y lignito	33
02	Aragón	2015	06	Extracción de crudo de petróleo y gas natural	3
02	Aragón	2015	07	Extracción de minerales metálicos	2
02	Aragón	2015	08	Otras industrias extractivas	293
02	Aragón	2015	09	Actividades de apoyo a las industrias extractivas	1
02	Aragón	2015	10	Industria de la alimentación	1710
02	Aragón	2015	11	Fabricación de bebidas	303
02	Aragón	2015	13	Industria textil	293
02	Aragón	2015	14	Confección de prendas de vestir	546
02	Aragón	2015	15	Industria del cuero y del calzado	217
02	Aragón	2015	16	Industria de la madera y del corcho, excepto muebles; cestería y espartería	641
02	Aragón	2015	17	Industria del papel	95
02	Aragón	2015	18	Artes gráficas y reproducción de soportes grabados	720
02	Aragón	2015	20	Industria química	281
02	Aragón	2015	21	Fabricación de productos farmacéuticos	43
02	Aragón	2015	22	Fabricación de productos de caucho y plásticos	296
02	Aragón	2015	23	Fabricación de otros productos minerales no metálicos	528
02	Aragón	2015	24	Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	77
02	Aragón	2015	25	Fabricación de productos metálicos, excepto maquinaria y equipo	2392
02	Aragón	2015	26	Fabricación de productos informáticos, electrónicos y ópticos	164
02	Aragón	2015	27	Fabricación de material y equipo eléctrico	221
02	Aragón	2015	28	Fabricación de maquinaria y equipo n.c.o.p.	670
02	Aragón	2015	29	Fabricación de vehículos de motor, remolques y semirremolques	250
02	Aragón	2015	30	Fabricación de otro material de transporte	55
02	Aragón	2015	31	Fabricación de muebles	677
02	Aragón	2015	32	Otras industrias manufactureras	502
02	Aragón	2015	33	Reparación e instalación de maquinaria y equipo	655
02	Aragón	2015	35	Suministro de energía eléctrica, gas, vapor y aire acondicionado	1930
02	Aragón	2015	36	Captación, depuración y distribución de agua	104
02	Aragón	2015	37	Recogida y tratamiento de aguas residuales	250
02	Aragón	2015	38	Recogida, tratamiento y eliminación de residuos; valorización	165
02	Aragón	2015	39	Actividades de descontaminación y otros servicios de gestión de residuos	170
02	Aragón	2015	41	Construcción de edificios	8569
02	Aragón	2015	42	Ingeniería civil	1350
02	Aragón	2015	43	Actividades de construcción especializada	16283
02	Aragón	2015	45	Venta y reparación de vehículos de motor y motocicletas	4496
02	Aragón	2015	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	12260
02	Aragón	2015	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	34410
02	Aragón	2015	49	Transporte terrestre y por tubería	7506
02	Aragón	2015	50	Transporte marítimo y por vías navegables interiores	4
02	Aragón	2015	51	Transporte aéreo	12
02	Aragón	2015	52	Almacenamiento y actividades anexas al transporte	1018
02	Aragón	2015	53	Actividades postales y de correos	388
02	Aragón	2015	55	Servicios de alojamiento	2279
02	Aragón	2015	56	Servicios de comidas y bebidas	14050
02	Aragón	2015	58	Edición	506
02	Aragón	2015	59	Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical	437
02	Aragón	2015	60	Actividades de programación y emisión de radio y televisión	134
02	Aragón	2015	61	Telecomunicaciones	208
02	Aragón	2015	62	Programación, consultoría y otras actividades relacionadas con la informática	1586
02	Aragón	2015	63	Servicios de información	225
02	Aragón	2015	64	Servicios financieros, excepto seguros y fondos de pensiones	1402
02	Aragón	2015	65	Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria	189
02	Aragón	2015	66	Actividades auxiliares a los servicios financieros y a los seguros	3678
02	Aragón	2015	68	Actividades inmobiliarias	19058
02	Aragón	2015	69	Actividades jurídicas y de contabilidad	6315
02	Aragón	2015	71	Servicios técnicos de arquitectura e ingeniería; ensayos y análisis técnicos	5687
02	Aragón	2015	72	Investigación y desarrollo	1088
02	Aragón	2015	73	Publicidad y estudios de mercado	1839
02	Aragón	2015	74	Otras actividades profesionales, científicas y técnicas	2873
02	Aragón	2015	75	Actividades veterinarias	616
02	Aragón	2015	77	Actividades de alquiler	2029
02	Aragón	2015	78	Actividades relacionadas con el empleo	307
02	Aragón	2015	79	Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos	528
02	Aragón	2015	80	Actividades de seguridad e investigación	170
02	Aragón	2015	81	Servicios a edificios y actividades de jardinería	1687
02	Aragón	2015	82	Actividades administrativas de oficina y otras actividades auxiliares a las empresas	5510
02	Aragón	2015	85	Educación	6808
02	Aragón	2015	86	Actividades sanitarias	5296
02	Aragón	2015	87	Asistencia en establecimientos residenciales	432
02	Aragón	2015	88	Actividades de servicios sociales sin alojamiento	407
02	Aragón	2015	90	Actividades de creación, artísticas y espectáculos	2480
02	Aragón	2015	91	Actividades de bibliotecas, archivos, museos y otras actividades culturales	472
02	Aragón	2015	92	Actividades de juegos de azar y apuestas	739
02	Aragón	2015	93	Actividades deportivas, recreativas y de entretenimiento	1522
02	Aragón	2015	95	Reparación de ordenadores, efectos personales y artículos de uso doméstico	1794
02	Aragón	2015	96	Otros servicios personales	6449
02	Aragón	2016	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	8854
02	Aragón	2016	02	Silvicultura y explotación forestal	214
02	Aragón	2016	05	Extracción de antracita, hulla y lignito	23
02	Aragón	2016	06	Extracción de crudo de petróleo y gas natural	3
02	Aragón	2016	07	Extracción de minerales metálicos	2
02	Aragón	2016	08	Otras industrias extractivas	289
02	Aragón	2016	09	Actividades de apoyo a las industrias extractivas	2
02	Aragón	2016	10	Industria de la alimentación	1757
02	Aragón	2016	11	Fabricación de bebidas	314
02	Aragón	2016	13	Industria textil	302
02	Aragón	2016	14	Confección de prendas de vestir	559
02	Aragón	2016	15	Industria del cuero y del calzado	220
02	Aragón	2016	16	Industria de la madera y del corcho, excepto muebles; cestería y espartería	622
02	Aragón	2016	17	Industria del papel	102
02	Aragón	2016	18	Artes gráficas y reproducción de soportes grabados	751
02	Aragón	2016	20	Industria química	281
02	Aragón	2016	21	Fabricación de productos farmacéuticos	41
02	Aragón	2016	22	Fabricación de productos de caucho y plásticos	302
02	Aragón	2016	23	Fabricación de otros productos minerales no metálicos	505
02	Aragón	2016	24	Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	77
02	Aragón	2016	25	Fabricación de productos metálicos, excepto maquinaria y equipo	2376
02	Aragón	2016	26	Fabricación de productos informáticos, electrónicos y ópticos	172
02	Aragón	2016	27	Fabricación de material y equipo eléctrico	209
02	Aragón	2016	28	Fabricación de maquinaria y equipo n.c.o.p.	680
02	Aragón	2016	29	Fabricación de vehículos de motor, remolques y semirremolques	248
02	Aragón	2016	30	Fabricación de otro material de transporte	56
02	Aragón	2016	31	Fabricación de muebles	664
02	Aragón	2016	32	Otras industrias manufactureras	528
02	Aragón	2016	33	Reparación e instalación de maquinaria y equipo	670
02	Aragón	2016	35	Suministro de energía eléctrica, gas, vapor y aire acondicionado	2045
02	Aragón	2016	36	Captación, depuración y distribución de agua	107
02	Aragón	2016	37	Recogida y tratamiento de aguas residuales	252
02	Aragón	2016	38	Recogida, tratamiento y eliminación de residuos; valorización	168
02	Aragón	2016	39	Actividades de descontaminación y otros servicios de gestión de residuos	163
02	Aragón	2016	41	Construcción de edificios	8570
02	Aragón	2016	42	Ingeniería civil	1336
02	Aragón	2016	43	Actividades de construcción especializada	16135
02	Aragón	2016	45	Venta y reparación de vehículos de motor y motocicletas	4657
02	Aragón	2016	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	12441
02	Aragón	2016	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	34496
02	Aragón	2016	49	Transporte terrestre y por tubería	7560
02	Aragón	2016	50	Transporte marítimo y por vías navegables interiores	4
02	Aragón	2016	51	Transporte aéreo	10
02	Aragón	2016	52	Almacenamiento y actividades anexas al transporte	1058
02	Aragón	2016	53	Actividades postales y de correos	400
02	Aragón	2016	55	Servicios de alojamiento	2382
02	Aragón	2016	56	Servicios de comidas y bebidas	14283
02	Aragón	2016	58	Edición	537
02	Aragón	2016	59	Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical	454
02	Aragón	2016	60	Actividades de programación y emisión de radio y televisión	134
02	Aragón	2016	61	Telecomunicaciones	212
02	Aragón	2016	62	Programación, consultoría y otras actividades relacionadas con la informática	1650
02	Aragón	2016	63	Servicios de información	229
02	Aragón	2016	64	Servicios financieros, excepto seguros y fondos de pensiones	1354
02	Aragón	2016	65	Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria	171
02	Aragón	2016	66	Actividades auxiliares a los servicios financieros y a los seguros	3719
02	Aragón	2016	68	Actividades inmobiliarias	20502
02	Aragón	2016	69	Actividades jurídicas y de contabilidad	6455
02	Aragón	2016	71	Servicios técnicos de arquitectura e ingeniería; ensayos y análisis técnicos	5695
02	Aragón	2016	72	Investigación y desarrollo	1082
02	Aragón	2016	73	Publicidad y estudios de mercado	1888
02	Aragón	2016	74	Otras actividades profesionales, científicas y técnicas	3060
02	Aragón	2016	75	Actividades veterinarias	647
02	Aragón	2016	77	Actividades de alquiler	2122
02	Aragón	2016	78	Actividades relacionadas con el empleo	321
02	Aragón	2016	79	Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos	538
02	Aragón	2016	80	Actividades de seguridad e investigación	175
02	Aragón	2016	81	Servicios a edificios y actividades de jardinería	1745
02	Aragón	2016	82	Actividades administrativas de oficina y otras actividades auxiliares a las empresas	5412
02	Aragón	2016	85	Educación	7237
02	Aragón	2016	86	Actividades sanitarias	5515
02	Aragón	2016	87	Asistencia en establecimientos residenciales	441
02	Aragón	2016	88	Actividades de servicios sociales sin alojamiento	421
02	Aragón	2016	90	Actividades de creación, artísticas y espectáculos	2721
02	Aragón	2016	91	Actividades de bibliotecas, archivos, museos y otras actividades culturales	526
02	Aragón	2016	92	Actividades de juegos de azar y apuestas	749
02	Aragón	2016	93	Actividades deportivas, recreativas y de entretenimiento	1614
02	Aragón	2016	95	Reparación de ordenadores, efectos personales y artículos de uso doméstico	1824
02	Aragón	2016	96	Otros servicios personales	6600
02	Aragón	2017	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	9000
02	Aragón	2017	02	Silvicultura y explotación forestal	217
02	Aragón	2017	05	Extracción de antracita, hulla y lignito	19
02	Aragón	2017	06	Extracción de crudo de petróleo y gas natural	3
02	Aragón	2017	07	Extracción de minerales metálicos	2
02	Aragón	2017	08	Otras industrias extractivas	285
02	Aragón	2017	09	Actividades de apoyo a las industrias extractivas	2
02	Aragón	2017	10	Industria de la alimentación	1786
02	Aragón	2017	11	Fabricación de bebidas	319
02	Aragón	2017	13	Industria textil	304
02	Aragón	2017	14	Confección de prendas de vestir	522
02	Aragón	2017	15	Industria del cuero y del calzado	197
02	Aragón	2017	16	Industria de la madera y del corcho, excepto muebles; cestería y espartería	602
02	Aragón	2017	17	Industria del papel	101
02	Aragón	2017	18	Artes gráficas y reproducción de soportes grabados	744
02	Aragón	2017	20	Industria química	284
02	Aragón	2017	21	Fabricación de productos farmacéuticos	39
02	Aragón	2017	22	Fabricación de productos de caucho y plásticos	299
02	Aragón	2017	23	Fabricación de otros productos minerales no metálicos	503
02	Aragón	2017	24	Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	75
02	Aragón	2017	25	Fabricación de productos metálicos, excepto maquinaria y equipo	2325
02	Aragón	2017	26	Fabricación de productos informáticos, electrónicos y ópticos	174
02	Aragón	2017	27	Fabricación de material y equipo eléctrico	204
02	Aragón	2017	28	Fabricación de maquinaria y equipo n.c.o.p.	659
02	Aragón	2017	29	Fabricación de vehículos de motor, remolques y semirremolques	244
02	Aragón	2017	30	Fabricación de otro material de transporte	57
02	Aragón	2017	31	Fabricación de muebles	640
02	Aragón	2017	32	Otras industrias manufactureras	512
02	Aragón	2017	33	Reparación e instalación de maquinaria y equipo	667
02	Aragón	2017	35	Suministro de energía eléctrica, gas, vapor y aire acondicionado	1903
02	Aragón	2017	36	Captación, depuración y distribución de agua	107
02	Aragón	2017	37	Recogida y tratamiento de aguas residuales	263
02	Aragón	2017	38	Recogida, tratamiento y eliminación de residuos; valorización	167
02	Aragón	2017	39	Actividades de descontaminación y otros servicios de gestión de residuos	160
02	Aragón	2017	41	Construcción de edificios	8516
02	Aragón	2017	42	Ingeniería civil	1266
02	Aragón	2017	43	Actividades de construcción especializada	15517
02	Aragón	2017	45	Venta y reparación de vehículos de motor y motocicletas	4662
02	Aragón	2017	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	12473
02	Aragón	2017	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	33311
02	Aragón	2017	49	Transporte terrestre y por tubería	7531
02	Aragón	2017	50	Transporte marítimo y por vías navegables interiores	3
02	Aragón	2017	51	Transporte aéreo	9
02	Aragón	2017	52	Almacenamiento y actividades anexas al transporte	1099
02	Aragón	2017	53	Actividades postales y de correos	777
02	Aragón	2017	55	Servicios de alojamiento	2359
02	Aragón	2017	56	Servicios de comidas y bebidas	13800
02	Aragón	2017	58	Edición	558
02	Aragón	2017	59	Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical	459
02	Aragón	2017	60	Actividades de programación y emisión de radio y televisión	137
02	Aragón	2017	61	Telecomunicaciones	216
02	Aragón	2017	62	Programación, consultoría y otras actividades relacionadas con la informática	1671
02	Aragón	2017	63	Servicios de información	216
02	Aragón	2017	64	Servicios financieros, excepto seguros y fondos de pensiones	1314
02	Aragón	2017	65	Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria	168
02	Aragón	2017	66	Actividades auxiliares a los servicios financieros y a los seguros	3685
02	Aragón	2017	68	Actividades inmobiliarias	21799
02	Aragón	2017	69	Actividades jurídicas y de contabilidad	6700
02	Aragón	2017	71	Servicios técnicos de arquitectura e ingeniería; ensayos y análisis técnicos	5745
02	Aragón	2017	72	Investigación y desarrollo	1093
02	Aragón	2017	73	Publicidad y estudios de mercado	1875
02	Aragón	2017	74	Otras actividades profesionales, científicas y técnicas	3169
02	Aragón	2017	75	Actividades veterinarias	663
02	Aragón	2017	77	Actividades de alquiler	2131
02	Aragón	2017	78	Actividades relacionadas con el empleo	332
02	Aragón	2017	79	Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos	567
02	Aragón	2017	80	Actividades de seguridad e investigación	178
02	Aragón	2017	81	Servicios a edificios y actividades de jardinería	1751
02	Aragón	2017	82	Actividades administrativas de oficina y otras actividades auxiliares a las empresas	5285
02	Aragón	2017	85	Educación	7337
02	Aragón	2017	86	Actividades sanitarias	5673
02	Aragón	2017	87	Asistencia en establecimientos residenciales	455
02	Aragón	2017	88	Actividades de servicios sociales sin alojamiento	454
02	Aragón	2017	90	Actividades de creación, artísticas y espectáculos	2882
02	Aragón	2017	91	Actividades de bibliotecas, archivos, museos y otras actividades culturales	557
02	Aragón	2017	92	Actividades de juegos de azar y apuestas	751
02	Aragón	2017	93	Actividades deportivas, recreativas y de entretenimiento	1663
02	Aragón	2017	95	Reparación de ordenadores, efectos personales y artículos de uso doméstico	1782
02	Aragón	2017	96	Otros servicios personales	6558
02	Aragón	2018	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	9188
02	Aragón	2018	02	Silvicultura y explotación forestal	224
02	Aragón	2018	05	Extracción de antracita, hulla y lignito	20
02	Aragón	2018	06	Extracción de crudo de petróleo y gas natural	2
02	Aragón	2018	07	Extracción de minerales metálicos	2
02	Aragón	2018	08	Otras industrias extractivas	286
02	Aragón	2018	09	Actividades de apoyo a las industrias extractivas	2
02	Aragón	2018	10	Industria de la alimentación	1809
02	Aragón	2018	11	Fabricación de bebidas	318
02	Aragón	2018	13	Industria textil	317
02	Aragón	2018	14	Confección de prendas de vestir	516
02	Aragón	2018	15	Industria del cuero y del calzado	201
02	Aragón	2018	16	Industria de la madera y del corcho, excepto muebles; cestería y espartería	593
02	Aragón	2018	17	Industria del papel	96
02	Aragón	2018	18	Artes gráficas y reproducción de soportes grabados	733
02	Aragón	2018	20	Industria química	306
02	Aragón	2018	21	Fabricación de productos farmacéuticos	38
02	Aragón	2018	22	Fabricación de productos de caucho y plásticos	293
02	Aragón	2018	23	Fabricación de otros productos minerales no metálicos	511
02	Aragón	2018	24	Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	74
02	Aragón	2018	25	Fabricación de productos metálicos, excepto maquinaria y equipo	2317
02	Aragón	2018	26	Fabricación de productos informáticos, electrónicos y ópticos	170
02	Aragón	2018	27	Fabricación de material y equipo eléctrico	196
02	Aragón	2018	28	Fabricación de maquinaria y equipo n.c.o.p.	669
02	Aragón	2018	29	Fabricación de vehículos de motor, remolques y semirremolques	243
02	Aragón	2018	30	Fabricación de otro material de transporte	66
02	Aragón	2018	31	Fabricación de muebles	626
02	Aragón	2018	32	Otras industrias manufactureras	535
02	Aragón	2018	33	Reparación e instalación de maquinaria y equipo	686
02	Aragón	2018	35	Suministro de energía eléctrica, gas, vapor y aire acondicionado	1889
02	Aragón	2018	36	Captación, depuración y distribución de agua	98
02	Aragón	2018	37	Recogida y tratamiento de aguas residuales	265
02	Aragón	2018	38	Recogida, tratamiento y eliminación de residuos; valorización	179
02	Aragón	2018	39	Actividades de descontaminación y otros servicios de gestión de residuos	167
02	Aragón	2018	41	Construcción de edificios	9223
02	Aragón	2018	42	Ingeniería civil	1313
02	Aragón	2018	43	Actividades de construcción especializada	15614
02	Aragón	2018	45	Venta y reparación de vehículos de motor y motocicletas	4802
02	Aragón	2018	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	12662
02	Aragón	2018	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	34906
02	Aragón	2018	49	Transporte terrestre y por tubería	7510
02	Aragón	2018	50	Transporte marítimo y por vías navegables interiores	6
02	Aragón	2018	51	Transporte aéreo	7
02	Aragón	2018	52	Almacenamiento y actividades anexas al transporte	1243
02	Aragón	2018	53	Actividades postales y de correos	989
02	Aragón	2018	55	Servicios de alojamiento	2440
02	Aragón	2018	56	Servicios de comidas y bebidas	13922
02	Aragón	2018	58	Edición	555
02	Aragón	2018	59	Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical	484
02	Aragón	2018	60	Actividades de programación y emisión de radio y televisión	142
02	Aragón	2018	61	Telecomunicaciones	232
02	Aragón	2018	62	Programación, consultoría y otras actividades relacionadas con la informática	1736
02	Aragón	2018	63	Servicios de información	212
02	Aragón	2018	64	Servicios financieros, excepto seguros y fondos de pensiones	1267
02	Aragón	2018	65	Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria	169
02	Aragón	2018	66	Actividades auxiliares a los servicios financieros y a los seguros	3822
02	Aragón	2018	68	Actividades inmobiliarias	23127
02	Aragón	2018	69	Actividades jurídicas y de contabilidad	6749
02	Aragón	2018	71	Servicios técnicos de arquitectura e ingeniería; ensayos y análisis técnicos	5825
02	Aragón	2018	72	Investigación y desarrollo	1132
02	Aragón	2018	73	Publicidad y estudios de mercado	1984
02	Aragón	2018	74	Otras actividades profesionales, científicas y técnicas	3453
02	Aragón	2018	75	Actividades veterinarias	638
02	Aragón	2018	77	Actividades de alquiler	2234
02	Aragón	2018	78	Actividades relacionadas con el empleo	390
02	Aragón	2018	79	Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos	615
02	Aragón	2018	80	Actividades de seguridad e investigación	180
02	Aragón	2018	81	Servicios a edificios y actividades de jardinería	1825
02	Aragón	2018	82	Actividades administrativas de oficina y otras actividades auxiliares a las empresas	5366
02	Aragón	2018	85	Educación	7844
02	Aragón	2018	86	Actividades sanitarias	5903
02	Aragón	2018	87	Asistencia en establecimientos residenciales	472
02	Aragón	2018	88	Actividades de servicios sociales sin alojamiento	469
02	Aragón	2018	90	Actividades de creación, artísticas y espectáculos	3237
02	Aragón	2018	91	Actividades de bibliotecas, archivos, museos y otras actividades culturales	607
02	Aragón	2018	92	Actividades de juegos de azar y apuestas	736
02	Aragón	2018	93	Actividades deportivas, recreativas y de entretenimiento	1801
02	Aragón	2018	95	Reparación de ordenadores, efectos personales y artículos de uso doméstico	1737
02	Aragón	2018	96	Otros servicios personales	6709
02	Aragón	2019	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	8988
02	Aragón	2019	02	Silvicultura y explotación forestal	216
02	Aragón	2019	05	Extracción de antracita, hulla y lignito	19
02	Aragón	2019	06	Extracción de crudo de petróleo y gas natural	2
02	Aragón	2019	07	Extracción de minerales metálicos	4
02	Aragón	2019	08	Otras industrias extractivas	288
02	Aragón	2019	09	Actividades de apoyo a las industrias extractivas	2
02	Aragón	2019	10	Industria de la alimentación	1847
02	Aragón	2019	11	Fabricación de bebidas	329
02	Aragón	2019	13	Industria textil	307
02	Aragón	2019	14	Confección de prendas de vestir	477
02	Aragón	2019	15	Industria del cuero y del calzado	174
02	Aragón	2019	16	Industria de la madera y del corcho, excepto muebles; cestería y espartería	581
02	Aragón	2019	17	Industria del papel	105
02	Aragón	2019	18	Artes gráficas y reproducción de soportes grabados	770
02	Aragón	2019	20	Industria química	312
02	Aragón	2019	21	Fabricación de productos farmacéuticos	41
02	Aragón	2019	22	Fabricación de productos de caucho y plásticos	298
02	Aragón	2019	23	Fabricación de otros productos minerales no metálicos	513
02	Aragón	2019	24	Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	73
02	Aragón	2019	25	Fabricación de productos metálicos, excepto maquinaria y equipo	2259
02	Aragón	2019	26	Fabricación de productos informáticos, electrónicos y ópticos	176
02	Aragón	2019	27	Fabricación de material y equipo eléctrico	191
02	Aragón	2019	28	Fabricación de maquinaria y equipo n.c.o.p.	644
02	Aragón	2019	29	Fabricación de vehículos de motor, remolques y semirremolques	247
02	Aragón	2019	30	Fabricación de otro material de transporte	65
02	Aragón	2019	31	Fabricación de muebles	606
02	Aragón	2019	32	Otras industrias manufactureras	506
02	Aragón	2019	33	Reparación e instalación de maquinaria y equipo	703
02	Aragón	2019	35	Suministro de energía eléctrica, gas, vapor y aire acondicionado	1961
02	Aragón	2019	36	Captación, depuración y distribución de agua	96
02	Aragón	2019	37	Recogida y tratamiento de aguas residuales	254
02	Aragón	2019	38	Recogida, tratamiento y eliminación de residuos; valorización	208
02	Aragón	2019	39	Actividades de descontaminación y otros servicios de gestión de residuos	177
02	Aragón	2019	41	Construcción de edificios	9238
02	Aragón	2019	42	Ingeniería civil	1254
02	Aragón	2019	43	Actividades de construcción especializada	14883
02	Aragón	2019	45	Venta y reparación de vehículos de motor y motocicletas	4705
02	Aragón	2019	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	12432
02	Aragón	2019	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	34257
02	Aragón	2019	49	Transporte terrestre y por tubería	7303
02	Aragón	2019	50	Transporte marítimo y por vías navegables interiores	5
02	Aragón	2019	51	Transporte aéreo	7
02	Aragón	2019	52	Almacenamiento y actividades anexas al transporte	1202
02	Aragón	2019	53	Actividades postales y de correos	1095
02	Aragón	2019	55	Servicios de alojamiento	2445
02	Aragón	2019	56	Servicios de comidas y bebidas	13299
02	Aragón	2019	58	Edición	580
02	Aragón	2019	59	Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical	499
02	Aragón	2019	60	Actividades de programación y emisión de radio y televisión	152
02	Aragón	2019	61	Telecomunicaciones	234
02	Aragón	2019	62	Programación, consultoría y otras actividades relacionadas con la informática	1739
02	Aragón	2019	63	Servicios de información	191
02	Aragón	2019	64	Servicios financieros, excepto seguros y fondos de pensiones	1219
02	Aragón	2019	65	Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria	153
02	Aragón	2019	66	Actividades auxiliares a los servicios financieros y a los seguros	3747
02	Aragón	2019	68	Actividades inmobiliarias	24347
02	Aragón	2019	69	Actividades jurídicas y de contabilidad	6682
02	Aragón	2019	71	Servicios técnicos de arquitectura e ingeniería; ensayos y análisis técnicos	5733
02	Aragón	2019	72	Investigación y desarrollo	1117
02	Aragón	2019	73	Publicidad y estudios de mercado	1980
02	Aragón	2019	74	Otras actividades profesionales, científicas y técnicas	3444
02	Aragón	2019	75	Actividades veterinarias	623
02	Aragón	2019	77	Actividades de alquiler	2323
02	Aragón	2019	78	Actividades relacionadas con el empleo	397
02	Aragón	2019	79	Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos	613
