CCAA código	CCAA nombre	Año	División (2 dígitos) código	División (2 dígitos) descripción	Número de actividades
02	Aragón	2010	10	Industria de la alimentación	1514
02	Aragón	2010	11	Fabricación de bebidas	251
02	Aragón	2010	13	Industria textil	247
02	Aragón	2010	14	Confección de prendas de vestir	447
02	Aragón	2010	15	Industria del cuero y del calzado	189
02	Aragón	2010	16	Industria de la madera y del corcho, excepto muebles; cestería y espartería	672
02	Aragón	2010	17	Industria del papel	83
02	Aragón	2010	18	Artes gráficas y reproducción de soportes grabados	572
02	Aragón	2010	20	Industria química	234
02	Aragón	2010	21	Fabricación de productos farmacéuticos	24
02	Aragón	2010	22	Fabricación de productos de caucho y plásticos	273
02	Aragón	2010	23	Fabricación de otros productos minerales no metálicos	552
02	Aragón	2010	24	Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	72
02	Aragón	2010	25	Fabricación de productos metálicos, excepto maquinaria y equipo	2394
02	Aragón	2010	26	Fabricación de productos informáticos, electrónicos y ópticos	148
02	Aragón	2010	27	Fabricación de material y equipo eléctrico	212
02	Aragón	2010	28	Fabricación de maquinaria y equipo n.c.o.p.	622
02	Aragón	2010	29	Fabricación de vehículos de motor, remolques y semirremolques	258
02	Aragón	2010	30	Fabricación de otro material de transporte	41
02	Aragón	2010	31	Fabricación de muebles	679
02	Aragón	2010	32	Otras industrias manufactureras	348
02	Aragón	2010	33	Reparación e instalación de maquinaria y equipo	569
02	Aragón	2010	35	Suministro de energía eléctrica, gas, vapor y aire acondicionado	1897
02	Aragón	2010	36	Captación, depuración y distribución de agua	52
02	Aragón	2010	37	Recogida y tratamiento de aguas residuales	139
02	Aragón	2010	38	Recogida, tratamiento y eliminación de residuos; valorización	109
02	Aragón	2010	39	Actividades de descontaminación y otros servicios de gestión de residuos	130
02	Aragón	2010	41	Construcción de edificios	8363
02	Aragón	2010	42	Ingeniería civil	1319
02	Aragón	2010	43	Actividades de construcción especializada	16249
02	Aragón	2010	45	Venta y reparación de vehículos de motor y motocicletas	3638
02	Aragón	2010	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	9725
02	Aragón	2010	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	29248
02	Aragón	2010	49	Transporte terrestre y por tubería	7646
02	Aragón	2010	50	Transporte marítimo y por vías navegables interiores	4
02	Aragón	2010	51	Transporte aéreo	16
02	Aragón	2010	52	Almacenamiento y actividades anexas al transporte	836
02	Aragón	2010	53	Actividades postales y de correos	209
02	Aragón	2010	55	Servicios de alojamiento	1972
