Año	Comarca código	Comarca nombre	Rústico, parcelas	Rústico, subparcelas	Rústico, superficie	Rústico, valor catastral
2001	01	La Jacetania	38839	71521	181969	23732,87
2001	02	Alto Gállego	31850	53326	131702	9544,66
2001	03	Sobrarbe	44692	114638	216318	15658,4
2001	04	La Ribagorza	66570	150227	239361	25691,62
2001	05	Cinco Villas	99245	173381	296250	223283,58
2001	06	Hoya de Huesca / Plana de Uesca	89604	143407	250731	124830,51
2001	07	Somontano de Barbastro	54311	86238	116257	51934,19
2001	08	Cinca Medio	27026	38793	56046	86966,49
2001	09	La Litera / La Llitera	31026	50116	72889	74318,99
2001	10	Los Monegros	97665	142999	273326	184366,3
2001	11	Bajo Cinca / Baix Cinca	49058	77313	137673	124276,98
2001	12	Tarazona y el Moncayo	60015	72020	45264	25942,69
2001	13	Campo de Borja	77443	87826	68910	41723,86
2001	14	Aranda	42786	53537	55592	8459,01
2001	15	Ribera Alta del Ebro	38681	42247	41181	66841,03
2001	16	Valdejalón	66352	81142	92137	87848,06
2001	17	D.C. Zaragoza	80804	112795	225867	149439,02
2001	18	Ribera Baja del Ebro	31986	52982	97398	50561,29
2001	19	Bajo Aragón-Caspe / Baix Aragó-Casp	61810	95568	91506	41570,32
2001	20	Comunidad de Calatayud	228359	298148	249111	78926,58
2001	21	Campo de Cariñena	50053	62253	77252	37417,49
2001	22	Campo de Belchite	73689	88965	103977	28384,89
2001	23	Bajo Martín	52243	68780	77801	28551,64
2001	24	Campo de Daroca	85237	105206	107942	30015,39
2001	25	Jiloca	167872	216837	191592	49171,98
2001	26	Cuencas Mineras	111159	198184	138706	21770,69
2001	27	Andorra-Sierra de Arcos	63039	107257	65704	10963
2001	28	Bajo Aragón	100349	127745	128245	36308,94
2001	29	Comunidad de Teruel	189911	265780	275390	60199,13
2001	30	Maestrazgo	36047	133164	116529	14048,06
2001	31	Sierra de Albarracín	105620	170004	139789	11313,99
2001	32	Gúdar-Javalambre	133443	181849	230470	20452,63
2001	33	Matarraña / Matarranya	51580	94931	93135	15257,89
2002	01	La Jacetania	38970	70250	182159	24244
2002	02	Alto Gállego	31871	53357	131423	9597
2002	03	Sobrarbe	45205	109544	217041	16595
2002	04	La Ribagorza	69006	136675	243542	27300
2002	05	Cinco Villas	99376	161094	301141	228581
2002	06	Hoya de Huesca / Plana de Uesca	89475	134690	252609	128749
2002	07	Somontano de Barbastro	54437	82717	116881	54954
2002	08	Cinca Medio	27619	38745	56398	89830
2002	09	La Litera / La Llitera	31467	50119	73179	74831
2002	10	Los Monegros	97971	142998	273499	188899
2002	11	Bajo Cinca / Baix Cinca	50023	78999	138174	128534
2002	12	Tarazona y el Moncayo	59995	71976	45265	26441
2002	13	Campo de Borja	77341	87757	68911	42482
2002	14	Aranda	43068	51370	56471	8434
2002	15	Ribera Alta del Ebro	38686	42269	41243	68365
2002	16	Valdejalón	66696	81196	92192	89598
2002	17	D.C. Zaragoza	81599	114624	226047	152589
2002	18	Ribera Baja del Ebro	31969	52953	97364	51457
2002	19	Bajo Aragón-Caspe / Baix Aragó-Casp	61794	95532	91508	42593
2002	20	Comunidad de Calatayud	227413	286044	250884	81034
2002	21	Campo de Cariñena	49938	61271	77373	38834
2002	22	Campo de Belchite	70790	87629	104526	28906
2002	23	Bajo Martín	52245	68459	77800	29148
2002	24	Campo de Daroca	85245	105198	107943	30618
2002	25	Jiloca	164231	204681	191874	50400
2002	26	Cuencas Mineras	110922	192234	139515	23580
2002	27	Andorra-Sierra de Arcos	63047	107274	65728	11177
2002	28	Bajo Aragón	100347	128261	128235	37093
2002	29	Comunidad de Teruel	187936	237591	275848	63292
2002	30	Maestrazgo	36531	122367	116756	14298
2002	31	Sierra de Albarracín	105601	169589	139755	11466
2002	32	Gúdar-Javalambre	134106	183634	229925	20112
2002	33	Matarraña / Matarranya	51591	95298	93132	15574
2003	01	La Jacetania	38975	70246	182206	37956
2003	02	Alto Gállego	31876	53363	131423	16188
2003	03	Sobrarbe	46868	93981	219059	27867
2003	04	La Ribagorza	69049	136921	243539	33225
2003	05	Cinco Villas	100394	160941	302347	237201
2003	06	Hoya de Huesca / Plana de Uesca	89529	135266	252643	134788
2003	07	Somontano de Barbastro	54452	83621	116865	56749
2003	08	Cinca Medio	27661	39095	56507	92505
2003	09	La Litera / La Llitera	31588	51125	73291	77040
2003	10	Los Monegros	98498	147898	274043	196758
2003	11	Bajo Cinca / Baix Cinca	50026	79897	138168	134542
2003	12	Tarazona y el Moncayo	59934	71971	45248	27067
2003	13	Campo de Borja	77263	87977	68909	42505
2003	14	Aranda	43069	51600	56474	8884
2003	15	Ribera Alta del Ebro	38709	42330	41287	69815
2003	16	Valdejalón	66699	81332	92192	91959
2003	17	D.C. Zaragoza	81281	114682	225639	160818
2003	18	Ribera Baja del Ebro	35190	52349	98354	57739
2003	19	Bajo Aragón-Caspe / Baix Aragó-Casp	61240	95152	91872	44602
2003	20	Comunidad de Calatayud	227330	286167	250854	83909
2003	21	Campo de Cariñena	49909	61311	77369	40130
2003	22	Campo de Belchite	70804	87625	104521	29670
2003	23	Bajo Martín	52729	68459	78171	30162
2003	24	Campo de Daroca	85635	104407	108085	32270
2003	25	Jiloca	164145	204677	191944	52543
2003	26	Cuencas Mineras	110926	186961	139509	24424
2003	27	Andorra-Sierra de Arcos	63065	107274	65739	12206
2003	28	Bajo Aragón	100865	128261	128767	40909
2003	29	Comunidad de Teruel	187887	237618	275704	66882
2003	30	Maestrazgo	36564	122367	116987	17941
2003	31	Sierra de Albarracín	105634	169589	139630	40421
2003	32	Gúdar-Javalambre	135792	183652	231769	35965
2003	33	Matarraña / Matarranya	51606	95298	93089	21441
2004	01	La Jacetania	38961	70192	182215	38703
2004	02	Alto Gállego	33104	50079	133457	17205
2004	03	Sobrarbe	50494	83971	220309	30428
2004	04	La Ribagorza	69369	131876	243837	33910
2004	05	Cinco Villas	99756	162868	303990	249253
2004	06	Hoya de Huesca / Plana de Uesca	89903	135875	252840	137764
2004	07	Somontano de Barbastro	55114	83464	117057	59523
2004	08	Cinca Medio	27641	39340	56541	95203
2004	09	La Litera / La Llitera	31773	52275	73274	78984
2004	10	Los Monegros	93894	144333	274807	204188
2004	11	Bajo Cinca / Baix Cinca	50304	81097	138355	141933
2004	12	Tarazona y el Moncayo	59911	72057	45249	27693
2004	13	Campo de Borja	77211	88043	69011	43196
2004	14	Aranda	43072	51662	56149	9038
2004	15	Ribera Alta del Ebro	38580	42194	40944	70538
2004	16	Valdejalón	66148	81708	92877	95506
2004	17	D.C. Zaragoza	80188	112477	226561	162971
2004	18	Ribera Baja del Ebro	31743	48544	99580	61922
2004	19	Bajo Aragón-Caspe / Baix Aragó-Casp	62679	98151	97379	50434
2004	20	Comunidad de Calatayud	227343	286298	250878	85542
2004	21	Campo de Cariñena	49886	61495	77368	40723
2004	22	Campo de Belchite	70478	87729	103934	30309
2004	23	Bajo Martín	52236	68131	78214	30706
2004	24	Campo de Daroca	84543	107056	109187	33008
2004	25	Jiloca	162947	201133	193164	53847
2004	26	Cuencas Mineras	109910	175455	140243	25377
2004	27	Andorra-Sierra de Arcos	63321	99001	66210	12312
2004	28	Bajo Aragón	100855	129215	128776	42164
2004	29	Comunidad de Teruel	187867	237613	275685	68373
2004	30	Maestrazgo	37217	105774	117525	18456
2004	31	Sierra de Albarracín	105526	169088	139790	41249
2004	32	Gúdar-Javalambre	138037	184448	233308	36806
2004	33	Matarraña / Matarranya	51570	97041	93083	21633
2005	01	La Jacetania	38983	70229	182221	39443
2005	02	Alto Gállego	33109	50134	133457	17543
2005	03	Sobrarbe	50491	79712	220523	31229
2005	04	La Ribagorza	69388	131930	243833	34606
2005	05	Cinco Villas	99799	163015	303989	256862
2005	06	Hoya de Huesca / Plana de Uesca	89909	135938	252823	140805
2005	07	Somontano de Barbastro	55218	83875	117059	60867
2005	08	Cinca Medio	28696	42112	57152	97482
2005	09	La Litera / La Llitera	33475	53994	73352	80400
2005	10	Los Monegros	96995	146333	275228	208767
2005	11	Bajo Cinca / Baix Cinca	50337	81152	138369	147726
2005	12	Tarazona y el Moncayo	59880	72054	45249	28439
2005	13	Campo de Borja	76800	87634	69009	43623
2005	14	Aranda	43086	51707	56155	9266
2005	15	Ribera Alta del Ebro	38581	42235	41103	71968
2005	16	Valdejalón	66003	81575	92832	98308
2005	17	D.C. Zaragoza	79991	112341	226437	166301
2005	18	Ribera Baja del Ebro	31743	48592	99563	63012
2005	19	Bajo Aragón-Caspe / Baix Aragó-Casp	63905	100897	99838	53709
2005	20	Comunidad de Calatayud	226925	286402	251287	87453
2005	21	Campo de Cariñena	49805	61436	77368	41774
2005	22	Campo de Belchite	71529	89317	104207	30967
2005	23	Bajo Martín	52849	68653	78732	31335
2005	24	Campo de Daroca	85062	109769	110287	33468
2005	25	Jiloca	161998	200178	192830	54771
2005	26	Cuencas Mineras	109879	175484	140248	25908
2005	27	Andorra-Sierra de Arcos	63321	99039	66181	12581
2005	28	Bajo Aragón	100871	129619	128783	43145
2005	29	Comunidad de Teruel	187903	237653	275727	69844
2005	30	Maestrazgo	39966	84914	119305	18591
2005	31	Sierra de Albarracín	105521	169074	139793	42076
2005	32	Gúdar-Javalambre	138042	184451	233232	37559
2005	33	Matarraña / Matarranya	51577	97496	93082	22101
2006	01	La Jacetania	41161	68472	185145,27	43723,89
2006	02	Alto Gállego	32887	46415	136384,47	19534,4
2006	03	Sobrarbe	50524	79754	220522,28	31854,68
2006	04	La Ribagorza	71448	117910	246715,43	35698,4
2006	05	Cinco Villas	103251	169438	306184,62	261965,81
2006	06	Hoya de Huesca / Plana de Uesca	89735	136500	252928,29	144056,76
2006	07	Somontano de Barbastro	55706	84008	117217,25	62403,75
2006	08	Cinca Medio	28806	42038	57422,5	99700,51
2006	09	La Litera / La Llitera	33590	55677	73396,89	81551,55
2006	10	Los Monegros	98375	148147	275386,47	214535,96
2006	11	Bajo Cinca / Baix Cinca	50329	81045	138365,51	151276,95
2006	12	Tarazona y el Moncayo	59859	72051	45250,68	29037,65
2006	13	Campo de Borja	76696	87575	69006,34	44446,46
2006	14	Aranda	43093	51739	56155,7	9454,97
2006	15	Ribera Alta del Ebro	38539	42036	41050,86	72864,75
2006	16	Valdejalón	66240	84304	94267,91	109603,61
2006	17	D.C. Zaragoza	80603	114399	225833,83	167025,28
2006	18	Ribera Baja del Ebro	31762	48588	99518	64381,24
2006	19	Bajo Aragón-Caspe / Baix Aragó-Casp	63886	101083	99841,98	54872,29
2006	20	Comunidad de Calatayud	225218	285064	251275,26	89597,69
2006	21	Campo de Cariñena	49822	61479	77353,51	42740,89
2006	22	Campo de Belchite	71525	89341	104204,55	31638,6
2006	23	Bajo Martín	53220	71092	79469,84	32089,9
2006	24	Campo de Daroca	84733	111291	110642,36	34004,59
2006	25	Jiloca	162006	199900	193074,15	56131,99
2006	26	Cuencas Mineras	110126	169877	141310,75	26028,37
2006	27	Andorra-Sierra de Arcos	64919	100698	67387,16	12850,91
2006	28	Bajo Aragón	101425	130281	129462,23	44116,94
