Mes y año	Municipio código	Municipio nombre	Sexo	Régimen	Afiliaciones en alta
Septiembre 2014	22060	Binaced	Hombres	General	247
Septiembre 2014	22060	Binaced	Mujeres	General	95
Septiembre 2014	22061	Binéfar	Hombres	General	1863
Septiembre 2014	22061	Binéfar	Mujeres	General	1008
Septiembre 2014	22062	Bisaurri	Hombres	General	30
Septiembre 2014	22062	Bisaurri	Mujeres	General	25
Septiembre 2014	22063	Biscarrués	Hombres	General	7
Septiembre 2014	22063	Biscarrués	Mujeres	General	3
Septiembre 2014	22064	Blecua y Torres	Hombres	General	8
Septiembre 2014	22064	Blecua y Torres	Mujeres	General	3
Septiembre 2014	22066	Boltaña	Hombres	General	110
Septiembre 2014	22066	Boltaña	Mujeres	General	159
Septiembre 2014	22067	Bonansa	Hombres	General	3
Septiembre 2014	22067	Bonansa	Mujeres	General	5
Septiembre 2014	22068	Borau	Hombres	General	1
Septiembre 2014	22069	Broto	Hombres	General	37
Septiembre 2014	22069	Broto	Mujeres	General	50
Septiembre 2014	22072	Caldearenas	Hombres	General	11
Septiembre 2014	22072	Caldearenas	Mujeres	General	6
Septiembre 2014	22074	Campo	Hombres	General	54
Septiembre 2014	22074	Campo	Mujeres	General	44
Septiembre 2014	22075	Camporrells	Hombres	General	7
Septiembre 2014	22075	Camporrells	Mujeres	General	6
Septiembre 2014	22076	Canal de Berdún	Hombres	General	21
Septiembre 2014	22076	Canal de Berdún	Mujeres	General	15
Septiembre 2014	22077	Candasnos	Hombres	General	101
Septiembre 2014	22077	Candasnos	Mujeres	General	124
Septiembre 2014	22078	Canfranc	Hombres	General	144
Septiembre 2014	22078	Canfranc	Mujeres	General	68
Septiembre 2014	22079	Capdesaso	Hombres	General	22
Septiembre 2014	22079	Capdesaso	Mujeres	General	10
Septiembre 2014	22080	Capella	Hombres	General	102
Septiembre 2014	22080	Capella	Mujeres	General	27
Septiembre 2014	22081	Casbas de Huesca	Hombres	General	19
Septiembre 2014	22081	Casbas de Huesca	Mujeres	General	10
Septiembre 2014	22082	Castejón del Puente	Hombres	General	107
Septiembre 2014	22082	Castejón del Puente	Mujeres	General	25
Septiembre 2014	22083	Castejón de Monegros	Hombres	General	32
Septiembre 2014	22083	Castejón de Monegros	Mujeres	General	10
Septiembre 2014	22084	Castejón de Sos	Hombres	General	35
Septiembre 2014	22084	Castejón de Sos	Mujeres	General	53
Septiembre 2014	22085	Castelflorite	Hombres	General	11
Septiembre 2014	22085	Castelflorite	Mujeres	General	5
Septiembre 2014	22086	Castiello de Jaca	Hombres	General	13
Septiembre 2014	22086	Castiello de Jaca	Mujeres	General	17
Septiembre 2014	22087	Castigaleu	Hombres	General	13
Septiembre 2014	22087	Castigaleu	Mujeres	General	4
Septiembre 2014	22088	Castillazuelo	Hombres	General	18
Septiembre 2014	22088	Castillazuelo	Mujeres	General	15
Septiembre 2014	22089	Castillonroy	Hombres	General	25
Septiembre 2014	22089	Castillonroy	Mujeres	General	11
Septiembre 2014	22090	Colungo	Hombres	General	5
Septiembre 2014	22090	Colungo	Mujeres	General	6
Septiembre 2014	22094	Chalamera	Hombres	General	8
Septiembre 2014	22095	Chía	Mujeres	General	4
Septiembre 2014	22096	Chimillas	Hombres	General	14
Septiembre 2014	22096	Chimillas	Mujeres	General	49
Septiembre 2014	22099	Esplús	Hombres	General	242
Septiembre 2014	22099	Esplús	Mujeres	General	140
Septiembre 2014	22102	Estada	Hombres	General	18
Septiembre 2014	22102	Estada	Mujeres	General	4
Septiembre 2014	22103	Estadilla	Hombres	General	97
Septiembre 2014	22103	Estadilla	Mujeres	General	41
Septiembre 2014	22105	Estopiñán del Castillo	Hombres	General	29
Septiembre 2014	22105	Estopiñán del Castillo	Mujeres	General	20
Septiembre 2014	22107	Fanlo	Hombres	General	5
Septiembre 2014	22107	Fanlo	Mujeres	General	7
