Año	Comarca código	Comarca nombre	Municipio nombre	Urbano, superficie	% Urbana	Rústico, superficie	% Rústica
2015	01	La Jacetania	Ansó	12,39	0,047475193349335	26085,45	99,9525248066507
2015	01	La Jacetania	Aragüés del Puerto	8,78	0,136351071396403	6430,48	99,8636489286036
2015	01	La Jacetania	Artieda	1,81	0,136898233937148	1320,34	99,8631017660629
2015	01	La Jacetania	Aísa	43,14	0,526802319688657	8145,89	99,4731976803113
2015	01	La Jacetania	Bailo	9,63	0,058800434500407	16367,8	99,9411995654996
2015	01	La Jacetania	Borau	4,15	0,099986507844725	4146,41	99,9000134921553
2015	01	La Jacetania	Canal de Berdún	30,98	0,230979770257888	13381,45	99,7690202297421
2015	01	La Jacetania	Canfranc	48,47	0,686062887918527	7016,48	99,3139371120815
2015	01	La Jacetania	Castiello de Jaca	23,51	1,37290283398446	1688,92	98,6270971660156
2015	01	La Jacetania	Fago	1,36	100	0	0
2015	01	La Jacetania	Jaca	466,28	1,15926088541198	39755,9	98,840739114588
2015	01	La Jacetania	Jasa	5,2	0,5832931384536	886,29	99,4167068615464
2015	01	La Jacetania	Mianos	1,36	0,089715680453856	1514,54	99,9102843195462
2015	01	La Jacetania	Puente la Reina de Jaca	10,63	0,220826677025924	4803,1	99,7791733229741
2015	01	La Jacetania	Salvatierra de Esca	5,03	0,061441042860929	8181,68	99,9385589571391
2015	01	La Jacetania	Santa Cilia	26,99	0,946243947930289	2825,34	99,0537560520697
2015	01	La Jacetania	Santa Cruz de la Serós	12,16	0,444696374042312	2722,29	99,5553036259577
2015	01	La Jacetania	Sigüés	5,85	0,056992880274033	10258,59	99,943007119726
2015	01	La Jacetania	Valle de Hecho	29,8	0,127621923904785	23320,42	99,8723780760952
2015	01	La Jacetania	Villanúa	93,68	1,60489829762229	5743,45	98,3951017023777
2015	02	Alto Gállego	Biescas	189,39	1,006313435897	18630,79	98,993686564103
2015	02	Alto Gállego	Caldearenas	28,81	0,148731164677045	19341,71	99,851268835323
2015	02	Alto Gállego	Hoz de Jaca	7,04	0,568562683228209	1231,17	99,4314373167718
2015	02	Alto Gállego	Panticosa	63,49	0,807116969033608	7802,78	99,1928830309664
2015	02	Alto Gállego	Sabiñánigo	851,07	1,4457901323681	58014,32	98,5542098676319
2015	02	Alto Gállego	Sallent de Gállego	140,5	0,873192553563061	15949,88	99,1268074464369
2015	02	Alto Gállego	Yebra de Basa	14,5	0,159732970537529	9063,15	99,8402670294625
