Comarca codigo	Comarca nombre	Número total de explotaciones	Producción estándar total (euros)
01	La Jacetania	699	28135822,49
02	Alto Gállego	435	14880565,7
03	Sobrarbe	812	42245109,99
04	La Ribagorza	1586	112467081,01
05	Cinco Villas	3491	288029797,1
06	Hoya de Huesca / Plana de Uesca	2547	219749274,46
07	Somontano de Barbastro	2087	103541448,36
08	Cinca Medio	1584	139920898,66
09	La Litera / La Llitera	2112	190918444,24
10	Los Monegros	3299	318222142,82
11	Bajo Cinca / Baix Cinca	2405	265284340,72
12	Tarazona y el Moncayo	822	22278041,95
13	Campo de Borja	1774	57213719,1
14	Aranda	685	13566935
15	Ribera Alta del Ebro	1107	46091187,53
16	Valdejalón	2515	135058617,51
17	D.C. Zaragoza	2609	107816060,46
18	Ribera Baja del Ebro	1079	60316876,66
19	Bajo Aragón-Caspe / Baix Aragó-Casp	1617	116679305,52
20	Comunidad de Calatayud	3355	112744261,31
21	Campo de Cariñena	1976	58338546,89
22	Campo de Belchite	1130	56677265,39
23	Bajo Martín	856	39295851,48
24	Campo de Daroca	1227	55121936,13
25	Jiloca	1894	85686060,59
26	Cuencas Mineras	635	26412339,34
27	Andorra-Sierra de Arcos	757	16121015,03
28	Bajo Aragón	2145	100863992,38
29	Comunidad de Teruel	2147	79217346,07
30	Maestrazgo	596	29825463,99
31	Sierra de Albarracín	363	15989100,94
32	Gúdar-Javalambre	798	20177341,51
33	Matarraña / Matarranya	1630	83686014,75
