Provincia código	Provincia nombre	Tipo variación	Sexo	Nacionalidad Continente codigo	Nacionalidad Continente	Año	Variaciones
22	Huesca	Externa	Hombres	1	Europa	2017	2098
22	Huesca	Externa	Hombres	2	África	2017	408
22	Huesca	Externa	Hombres	3	América	2017	152
22	Huesca	Externa	Hombres	4	Asia	2017	38
22	Huesca	Externa	Hombres	5	Otros continentes	2017	1
22	Huesca	Externa	Mujeres	1	Europa	2017	1893
22	Huesca	Externa	Mujeres	2	África	2017	149
22	Huesca	Externa	Mujeres	3	América	2017	202
22	Huesca	Externa	Mujeres	4	Asia	2017	33
22	Huesca	Externa	Mujeres	5	Otros continentes	2017	3
22	Huesca	Interna	Hombres	1	Europa	2017	1833
22	Huesca	Interna	Hombres	2	África	2017	170
22	Huesca	Interna	Hombres	3	América	2017	67
22	Huesca	Interna	Hombres	4	Asia	2017	16
22	Huesca	Interna	Hombres	5	Otros continentes	2017	1
22	Huesca	Interna	Mujeres	1	Europa	2017	1902
22	Huesca	Interna	Mujeres	2	África	2017	95
22	Huesca	Interna	Mujeres	3	América	2017	147
22	Huesca	Interna	Mujeres	4	Asia	2017	7
22	Huesca	Interna	Mujeres	5	Otros continentes	2017	1
44	Teruel	Externa	Hombres	1	Europa	2017	1251
44	Teruel	Externa	Hombres	2	África	2017	196
44	Teruel	Externa	Hombres	3	América	2017	86
44	Teruel	Externa	Hombres	4	Asia	2017	33
44	Teruel	Externa	Mujeres	1	Europa	2017	1093
44	Teruel	Externa	Mujeres	2	África	2017	99
44	Teruel	Externa	Mujeres	3	América	2017	107
44	Teruel	Externa	Mujeres	4	Asia	2017	25
44	Teruel	Externa	Mujeres	5	Otros continentes	2017	1
44	Teruel	Interna	Hombres	1	Europa	2017	1122
44	Teruel	Interna	Hombres	2	África	2017	257
44	Teruel	Interna	Hombres	3	América	2017	41
44	Teruel	Interna	Hombres	4	Asia	2017	19
44	Teruel	Interna	Hombres	5	Otros continentes	2017	2
44	Teruel	Interna	Mujeres	1	Europa	2017	1243
44	Teruel	Interna	Mujeres	2	África	2017	175
44	Teruel	Interna	Mujeres	3	América	2017	50
44	Teruel	Interna	Mujeres	4	Asia	2017	18
44	Teruel	Interna	Mujeres	5	Otros continentes	2017	1
50	Zaragoza	Externa	Hombres	1	Europa	2017	5696
50	Zaragoza	Externa	Hombres	2	África	2017	2151
50	Zaragoza	Externa	Hombres	3	América	2017	1517
50	Zaragoza	Externa	Hombres	4	Asia	2017	977
50	Zaragoza	Externa	Hombres	5	Otros continentes	2017	13
50	Zaragoza	Externa	Mujeres	1	Europa	2017	5301
50	Zaragoza	Externa	Mujeres	2	África	2017	900
50	Zaragoza	Externa	Mujeres	3	América	2017	2155
50	Zaragoza	Externa	Mujeres	4	Asia	2017	515
50	Zaragoza	Externa	Mujeres	5	Otros continentes	2017	4
50	Zaragoza	Interna	Hombres	1	Europa	2017	5818
50	Zaragoza	Interna	Hombres	2	África	2017	398
50	Zaragoza	Interna	Hombres	3	América	2017	176
50	Zaragoza	Interna	Hombres	4	Asia	2017	91
50	Zaragoza	Interna	Hombres	5	Otros continentes	2017	2
50	Zaragoza	Interna	Mujeres	1	Europa	2017	6024
50	Zaragoza	Interna	Mujeres	2	África	2017	216
50	Zaragoza	Interna	Mujeres	3	América	2017	405
50	Zaragoza	Interna	Mujeres	4	Asia	2017	27
50	Zaragoza	Interna	Mujeres	5	Otros continentes	2017	1
22	Huesca	Externa	Hombres	1	Europa	2016	1970
22	Huesca	Externa	Hombres	2	África	2016	441
22	Huesca	Externa	Hombres	3	América	2016	119
22	Huesca	Externa	Hombres	4	Asia	2016	37
22	Huesca	Externa	Hombres	5	Otros continentes	2016	1
22	Huesca	Externa	Mujeres	1	Europa	2016	1841
22	Huesca	Externa	Mujeres	2	África	2016	140
22	Huesca	Externa	Mujeres	3	América	2016	164
22	Huesca	Externa	Mujeres	4	Asia	2016	24
22	Huesca	Externa	Mujeres	5	Otros continentes	2016	2
22	Huesca	Interna	Hombres	1	Europa	2016	1789
22	Huesca	Interna	Hombres	2	África	2016	141
22	Huesca	Interna	Hombres	3	América	2016	54
22	Huesca	Interna	Hombres	4	Asia	2016	19
22	Huesca	Interna	Mujeres	1	Europa	2016	1833
22	Huesca	Interna	Mujeres	2	África	2016	75
22	Huesca	Interna	Mujeres	3	América	2016	106
