Comarca código	Comarca nombre	Año	Sistema de cultivo	Total (A+B+C1+C2+D)	(A) FRUTALES. Total	Manzano	Peral	Membrillero	Albaricoquero	Cerezo y Guindo	Melocotonero	Ciruelo	Higuera	Palmera datilera	Azufaifo y otros	Almendro	Nogal	Avellano	Nectarina	Otros frutales	(B) VIÑEDO. Total	Viñedo de uva de mesa	Viñedo de uva de vino	Viñedo de uva para pasas	(C1) OLIVAR. Total	Olivar de aceituna de mesa y para aceite	(C2) OTROS CULTIVOS LEÑOSOS. Total	(D) VIVEROS. Total
21	Campo de Cariñena	2019	Regadío	5455	1123	112	74	0	53	291	317	42	0	0	7	150	7	0	64	6	4171	10	4161	0	161	161	0	0
21	Campo de Cariñena	2019	Secano	11412	1563	2	0	0	2	72	11	0	0	0	13	1447	13	0	0	3	9521	31	9488	2	300	300	28	0
22	Campo de Belchite	2019	Regadío	1956	614	5	26	0	2	2	0	5	0	0	8	551	15	0	0	0	134	0	134	0	1208	1208	0	0
22	Campo de Belchite	2019	Secano	1998	1647	0	1	0	0	2	0	0	1	0	51	1583	9	0	0	0	251	0	251	0	93	93	7	0
23	Bajo Martín	2019	Regadío	858	330	0	3	0	11	7	106	1	4	0	4	192	1	0	0	1	19	0	19	0	508	508	1	0
23	Bajo Martín	2019	Secano	3012	1508	0	0	0	9	11	3	0	0	0	7	1478	0	0	0	0	186	0	186	0	1315	1315	3	0
24	Campo de Daroca	2019	Regadío	80	72	0	0	0	0	17	0	0	0	0	0	52	3	0	0	0	6	0	6	0	0	0	2	0
24	Campo de Daroca	2019	Secano	3154	2150	0	1	0	1	148	0	5	0	0	23	1952	16	0	0	4	837	0	837	0	13	13	154	0
25	Jiloca	2019	Regadío	83	40	1	0	0	0	7	0	0	0	0	8	6	17	0	0	1	1	0	1	0	0	0	42	0
25	Jiloca	2019	Secano	1548	665	0	0	0	0	19	0	0	0	0	14	599	33	0	0	0	364	2	362	0	0	0	519	0
26	Cuencas Mineras	2019	Regadío	18	4	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	4	0	4	0	2	2	8	0
26	Cuencas Mineras	2019	Secano	1212	717	0	0	0	0	0	0	0	0	0	9	703	5	0	0	0	167	3	164	0	51	51	277	0
27	Andorra-Sierra de Arcos	2019	Regadío	91	31	0	0	0	0	8	0	0	0	0	6	14	3	0	0	0	0	0	0	0	60	60	0	0
27	Andorra-Sierra de Arcos	2019	Secano	2603	631	0	0	0	0	19	0	0	0	0	16	594	2	0	0	0	165	0	165	0	1719	1719	88	0
28	Bajo Aragón	2019	Regadío	4079	2801	16	9	0	130	8	1372	27	1	0	17	1181	28	0	8	4	9	0	9	0	1241	1241	28	0
28	Bajo Aragón	2019	Secano	16992	7681	0	0	0	4	0	44	1	0	0	24	7603	5	0	0	0	204	2	202	0	8980	8980	127	0
29	Comunidad de Teruel	2019	Regadío	139	106	88	0	0	0	0	0	1	0	0	0	14	3	0	0	0	1	0	1	0	0	0	32	0
29	Comunidad de Teruel	2019	Secano	1483	467	0	0	0	0	1	0	0	0	0	12	445	9	0	0	0	12	0	12	0	0	0	1004	0
30	Maestrazgo	2019	Regadío	110	24	0	0	0	0	0	8	0	0	0	0	13	3	0	0	0	0	0	0	0	86	86	0	0
30	Maestrazgo	2019	Secano	1061	337	0	0	0	0	0	4	0	0	0	0	332	1	0	0	0	48	0	48	0	374	374	302	0
31	Sierra de Albarracín	2019	Regadío	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	Sierra de Albarracín	2019	Secano	61	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	59	0
32	Gúdar-Javalambre	2019	Regadío	723	23	0	0	0	0	9	0	0	0	0	5	9	0	0	0	0	1	0	1	0	0	0	699	0
32	Gúdar-Javalambre	2019	Secano	4123	260	0	0	0	0	15	0	0	0	0	3	237	5	0	0	0	0	0	0	0	0	0	3863	0
33	Matarraña / Matarranya	2019	Regadío	538	278	0	0	0	10	25	132	3	0	0	1	95	3	7	0	2	7	0	7	0	251	251	2	0
33	Matarraña / Matarranya	2019	Secano	18737	8434	1	0	0	0	23	18	1	0	0	1	8347	15	28	0	0	571	0	571	0	9480	9480	252	0
