Municipio código	Municipio nombre	Grupo clase explotación	Explotaciones
22218	Senés de Alcubierre	d) Con tierras labradas y otras tierras, y sin pastos permanentes	1
22218	Senés de Alcubierre	e) Con tierras labradas, sin pastos permanentes ni otras tierras	9
22218	Senés de Alcubierre	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	1
22220	Sesa	a) Sin tierras	1
22220	Sesa	b) Con tierras labradas, pastos permanentes y otras tierras	1
22220	Sesa	c) Con tierras labradas, pastos permanentes y sin otras tierras	1
22220	Sesa	d) Con tierras labradas y otras tierras, y sin pastos permanentes	20
22220	Sesa	e) Con tierras labradas, sin pastos permanentes ni otras tierras	11
22221	Sesué	a) Sin tierras	1
22221	Sesué	b) Con tierras labradas, pastos permanentes y otras tierras	4
22221	Sesué	c) Con tierras labradas, pastos permanentes y sin otras tierras	2
22221	Sesué	f) Sin tierras labradas, con pastos permanentes y con otras tierras	3
22221	Sesué	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	1
22222	Siétamo	a) Sin tierras	2
22222	Siétamo	b) Con tierras labradas, pastos permanentes y otras tierras	12
22222	Siétamo	c) Con tierras labradas, pastos permanentes y sin otras tierras	8
22222	Siétamo	d) Con tierras labradas y otras tierras, y sin pastos permanentes	22
22222	Siétamo	e) Con tierras labradas, sin pastos permanentes ni otras tierras	16
22223	Sopeira	a) Sin tierras	2
22223	Sopeira	b) Con tierras labradas, pastos permanentes y otras tierras	9
22223	Sopeira	c) Con tierras labradas, pastos permanentes y sin otras tierras	2
22223	Sopeira	d) Con tierras labradas y otras tierras, y sin pastos permanentes	3
22223	Sopeira	e) Con tierras labradas, sin pastos permanentes ni otras tierras	2
22223	Sopeira	f) Sin tierras labradas, con pastos permanentes y con otras tierras	2
22223	Sopeira	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	2
22225	Tamarite de Litera	a) Sin tierras	22
22225	Tamarite de Litera	b) Con tierras labradas, pastos permanentes y otras tierras	16
22225	Tamarite de Litera	c) Con tierras labradas, pastos permanentes y sin otras tierras	12
22225	Tamarite de Litera	d) Con tierras labradas y otras tierras, y sin pastos permanentes	138
22225	Tamarite de Litera	e) Con tierras labradas, sin pastos permanentes ni otras tierras	269
22225	Tamarite de Litera	f) Sin tierras labradas, con pastos permanentes y con otras tierras	5
22225	Tamarite de Litera	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	14
22225	Tamarite de Litera	h) Sin tierras labradas, sin pastos permanentes, con otras tierras	4
22226	Tardienta	a) Sin tierras	1
22226	Tardienta	b) Con tierras labradas, pastos permanentes y otras tierras	5
22226	Tardienta	c) Con tierras labradas, pastos permanentes y sin otras tierras	13
22226	Tardienta	d) Con tierras labradas y otras tierras, y sin pastos permanentes	13
22226	Tardienta	e) Con tierras labradas, sin pastos permanentes ni otras tierras	43
22226	Tardienta	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	3
22227	Tella-Sin	a) Sin tierras	2
22227	Tella-Sin	b) Con tierras labradas, pastos permanentes y otras tierras	6
22227	Tella-Sin	c) Con tierras labradas, pastos permanentes y sin otras tierras	2
22227	Tella-Sin	e) Con tierras labradas, sin pastos permanentes ni otras tierras	3
22227	Tella-Sin	f) Sin tierras labradas, con pastos permanentes y con otras tierras	5
22227	Tella-Sin	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	3
22227	Tella-Sin	h) Sin tierras labradas, sin pastos permanentes, con otras tierras	1
22228	Tierz	a) Sin tierras	1
22228	Tierz	d) Con tierras labradas y otras tierras, y sin pastos permanentes	4
22228	Tierz	e) Con tierras labradas, sin pastos permanentes ni otras tierras	11
22229	Tolva	a) Sin tierras	1
22229	Tolva	b) Con tierras labradas, pastos permanentes y otras tierras	19
22229	Tolva	c) Con tierras labradas, pastos permanentes y sin otras tierras	6
22229	Tolva	d) Con tierras labradas y otras tierras, y sin pastos permanentes	17
22229	Tolva	e) Con tierras labradas, sin pastos permanentes ni otras tierras	11
22229	Tolva	f) Sin tierras labradas, con pastos permanentes y con otras tierras	3
22229	Tolva	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	3
22230	Torla	a) Sin tierras	4
22230	Torla	b) Con tierras labradas, pastos permanentes y otras tierras	7
22230	Torla	c) Con tierras labradas, pastos permanentes y sin otras tierras	7
22230	Torla	e) Con tierras labradas, sin pastos permanentes ni otras tierras	2
22230	Torla	f) Sin tierras labradas, con pastos permanentes y con otras tierras	8
22230	Torla	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	7
22232	Torralba de Aragón	b) Con tierras labradas, pastos permanentes y otras tierras	2
22232	Torralba de Aragón	c) Con tierras labradas, pastos permanentes y sin otras tierras	9
22232	Torralba de Aragón	d) Con tierras labradas y otras tierras, y sin pastos permanentes	11
22232	Torralba de Aragón	e) Con tierras labradas, sin pastos permanentes ni otras tierras	18
22232	Torralba de Aragón	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	6
22233	Torre la Ribera	b) Con tierras labradas, pastos permanentes y otras tierras	8
22233	Torre la Ribera	c) Con tierras labradas, pastos permanentes y sin otras tierras	2
22233	Torre la Ribera	d) Con tierras labradas y otras tierras, y sin pastos permanentes	2
22233	Torre la Ribera	e) Con tierras labradas, sin pastos permanentes ni otras tierras	3
22233	Torre la Ribera	f) Sin tierras labradas, con pastos permanentes y con otras tierras	8
22234	Torrente de Cinca	a) Sin tierras	2
22234	Torrente de Cinca	d) Con tierras labradas y otras tierras, y sin pastos permanentes	21
22234	Torrente de Cinca	e) Con tierras labradas, sin pastos permanentes ni otras tierras	65
22234	Torrente de Cinca	f) Sin tierras labradas, con pastos permanentes y con otras tierras	2
22234	Torrente de Cinca	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	1
22234	Torrente de Cinca	h) Sin tierras labradas, sin pastos permanentes, con otras tierras	1
22235	Torres de Alcanadre	a) Sin tierras	3
22235	Torres de Alcanadre	c) Con tierras labradas, pastos permanentes y sin otras tierras	1
22235	Torres de Alcanadre	d) Con tierras labradas y otras tierras, y sin pastos permanentes	10
22235	Torres de Alcanadre	e) Con tierras labradas, sin pastos permanentes ni otras tierras	9
22236	Torres de Barbués	a) Sin tierras	2
22236	Torres de Barbués	b) Con tierras labradas, pastos permanentes y otras tierras	2
22236	Torres de Barbués	c) Con tierras labradas, pastos permanentes y sin otras tierras	1
22236	Torres de Barbués	d) Con tierras labradas y otras tierras, y sin pastos permanentes	10
22236	Torres de Barbués	e) Con tierras labradas, sin pastos permanentes ni otras tierras	29
22236	Torres de Barbués	h) Sin tierras labradas, sin pastos permanentes, con otras tierras	2
22239	Tramaced	a) Sin tierras	5
22239	Tramaced	b) Con tierras labradas, pastos permanentes y otras tierras	1
22239	Tramaced	c) Con tierras labradas, pastos permanentes y sin otras tierras	4
22239	Tramaced	d) Con tierras labradas y otras tierras, y sin pastos permanentes	2
22239	Tramaced	e) Con tierras labradas, sin pastos permanentes ni otras tierras	17
22242	Valfarta	b) Con tierras labradas, pastos permanentes y otras tierras	1
22242	Valfarta	c) Con tierras labradas, pastos permanentes y sin otras tierras	1
22242	Valfarta	d) Con tierras labradas y otras tierras, y sin pastos permanentes	12
22242	Valfarta	e) Con tierras labradas, sin pastos permanentes ni otras tierras	16
22243	Valle de Bardají	b) Con tierras labradas, pastos permanentes y otras tierras	8
22243	Valle de Bardají	c) Con tierras labradas, pastos permanentes y sin otras tierras	4
22243	Valle de Bardají	d) Con tierras labradas y otras tierras, y sin pastos permanentes	1
22243	Valle de Bardají	e) Con tierras labradas, sin pastos permanentes ni otras tierras	1
22243	Valle de Bardají	f) Sin tierras labradas, con pastos permanentes y con otras tierras	5
22243	Valle de Bardají	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	10
22244	Valle de Lierp	b) Con tierras labradas, pastos permanentes y otras tierras	11
22244	Valle de Lierp	c) Con tierras labradas, pastos permanentes y sin otras tierras	5
22244	Valle de Lierp	d) Con tierras labradas y otras tierras, y sin pastos permanentes	3
22244	Valle de Lierp	e) Con tierras labradas, sin pastos permanentes ni otras tierras	3
22244	Valle de Lierp	f) Sin tierras labradas, con pastos permanentes y con otras tierras	7
22244	Valle de Lierp	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	5
22245	Velilla de Cinca	b) Con tierras labradas, pastos permanentes y otras tierras	1
22245	Velilla de Cinca	c) Con tierras labradas, pastos permanentes y sin otras tierras	2
22245	Velilla de Cinca	d) Con tierras labradas y otras tierras, y sin pastos permanentes	12
22245	Velilla de Cinca	e) Con tierras labradas, sin pastos permanentes ni otras tierras	36
22245	Velilla de Cinca	f) Sin tierras labradas, con pastos permanentes y con otras tierras	1
22245	Velilla de Cinca	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	1
22246	Veracruz	b) Con tierras labradas, pastos permanentes y otras tierras	14
22246	Veracruz	c) Con tierras labradas, pastos permanentes y sin otras tierras	1
22246	Veracruz	d) Con tierras labradas y otras tierras, y sin pastos permanentes	1
22246	Veracruz	e) Con tierras labradas, sin pastos permanentes ni otras tierras	1
22246	Veracruz	f) Sin tierras labradas, con pastos permanentes y con otras tierras	3
22247	Viacamp y Litera	b) Con tierras labradas, pastos permanentes y otras tierras	12
22247	Viacamp y Litera	c) Con tierras labradas, pastos permanentes y sin otras tierras	9
22247	Viacamp y Litera	d) Con tierras labradas y otras tierras, y sin pastos permanentes	6
22247	Viacamp y Litera	e) Con tierras labradas, sin pastos permanentes ni otras tierras	3
22247	Viacamp y Litera	f) Sin tierras labradas, con pastos permanentes y con otras tierras	8
22247	Viacamp y Litera	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	4
22248	Vicién	b) Con tierras labradas, pastos permanentes y otras tierras	1
22248	Vicién	d) Con tierras labradas y otras tierras, y sin pastos permanentes	5
22248	Vicién	e) Con tierras labradas, sin pastos permanentes ni otras tierras	5
22249	Villanova	a) Sin tierras	1
22249	Villanova	b) Con tierras labradas, pastos permanentes y otras tierras	3
22249	Villanova	c) Con tierras labradas, pastos permanentes y sin otras tierras	1
22249	Villanova	f) Sin tierras labradas, con pastos permanentes y con otras tierras	2
22249	Villanova	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	1
22250	Villanúa	b) Con tierras labradas, pastos permanentes y otras tierras	4
22250	Villanúa	c) Con tierras labradas, pastos permanentes y sin otras tierras	3
22250	Villanúa	d) Con tierras labradas y otras tierras, y sin pastos permanentes	1
22250	Villanúa	e) Con tierras labradas, sin pastos permanentes ni otras tierras	2
22250	Villanúa	f) Sin tierras labradas, con pastos permanentes y con otras tierras	2
22250	Villanúa	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	1
22251	Villanueva de Sigena	a) Sin tierras	3
22251	Villanueva de Sigena	b) Con tierras labradas, pastos permanentes y otras tierras	10
22251	Villanueva de Sigena	c) Con tierras labradas, pastos permanentes y sin otras tierras	13
22251	Villanueva de Sigena	d) Con tierras labradas y otras tierras, y sin pastos permanentes	29
22251	Villanueva de Sigena	e) Con tierras labradas, sin pastos permanentes ni otras tierras	57
22251	Villanueva de Sigena	f) Sin tierras labradas, con pastos permanentes y con otras tierras	2
22251	Villanueva de Sigena	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	6
22251	Villanueva de Sigena	h) Sin tierras labradas, sin pastos permanentes, con otras tierras	2
22252	Yebra de Basa	b) Con tierras labradas, pastos permanentes y otras tierras	7
22252	Yebra de Basa	c) Con tierras labradas, pastos permanentes y sin otras tierras	7
22252	Yebra de Basa	d) Con tierras labradas y otras tierras, y sin pastos permanentes	3
22252	Yebra de Basa	e) Con tierras labradas, sin pastos permanentes ni otras tierras	6
22252	Yebra de Basa	f) Sin tierras labradas, con pastos permanentes y con otras tierras	2
22252	Yebra de Basa	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	1
22253	Yésero	d) Con tierras labradas y otras tierras, y sin pastos permanentes	1
22253	Yésero	f) Sin tierras labradas, con pastos permanentes y con otras tierras	1
22253	Yésero	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	1
22254	Zaidín	a) Sin tierras	12
22254	Zaidín	b) Con tierras labradas, pastos permanentes y otras tierras	9
22254	Zaidín	c) Con tierras labradas, pastos permanentes y sin otras tierras	12
22254	Zaidín	d) Con tierras labradas y otras tierras, y sin pastos permanentes	107
22254	Zaidín	e) Con tierras labradas, sin pastos permanentes ni otras tierras	176
22254	Zaidín	f) Sin tierras labradas, con pastos permanentes y con otras tierras	1
22254	Zaidín	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	2
22254	Zaidín	h) Sin tierras labradas, sin pastos permanentes, con otras tierras	5
22901	Valle de Hecho	a) Sin tierras	2
22901	Valle de Hecho	b) Con tierras labradas, pastos permanentes y otras tierras	15
22901	Valle de Hecho	c) Con tierras labradas, pastos permanentes y sin otras tierras	18
22901	Valle de Hecho	d) Con tierras labradas y otras tierras, y sin pastos permanentes	2
22901	Valle de Hecho	e) Con tierras labradas, sin pastos permanentes ni otras tierras	11
22901	Valle de Hecho	f) Sin tierras labradas, con pastos permanentes y con otras tierras	9
22901	Valle de Hecho	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	7
22902	Puente la Reina de Jaca	a) Sin tierras	1
22902	Puente la Reina de Jaca	b) Con tierras labradas, pastos permanentes y otras tierras	19
22902	Puente la Reina de Jaca	c) Con tierras labradas, pastos permanentes y sin otras tierras	6
22902	Puente la Reina de Jaca	d) Con tierras labradas y otras tierras, y sin pastos permanentes	13
22902	Puente la Reina de Jaca	e) Con tierras labradas, sin pastos permanentes ni otras tierras	5
22902	Puente la Reina de Jaca	f) Sin tierras labradas, con pastos permanentes y con otras tierras	2
22902	Puente la Reina de Jaca	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	1
22903	San Miguel del Cinca	a) Sin tierras	5
22903	San Miguel del Cinca	b) Con tierras labradas, pastos permanentes y otras tierras	11
22903	San Miguel del Cinca	c) Con tierras labradas, pastos permanentes y sin otras tierras	11
22903	San Miguel del Cinca	d) Con tierras labradas y otras tierras, y sin pastos permanentes	54
22903	San Miguel del Cinca	e) Con tierras labradas, sin pastos permanentes ni otras tierras	116
22903	San Miguel del Cinca	f) Sin tierras labradas, con pastos permanentes y con otras tierras	2
22903	San Miguel del Cinca	h) Sin tierras labradas, sin pastos permanentes, con otras tierras	2
22904	Sotonera (La)	a) Sin tierras	3
22904	Sotonera (La)	b) Con tierras labradas, pastos permanentes y otras tierras	14
22904	Sotonera (La)	c) Con tierras labradas, pastos permanentes y sin otras tierras	4
22904	Sotonera (La)	d) Con tierras labradas y otras tierras, y sin pastos permanentes	61
22904	Sotonera (La)	e) Con tierras labradas, sin pastos permanentes ni otras tierras	139
22904	Sotonera (La)	f) Sin tierras labradas, con pastos permanentes y con otras tierras	1
22905	Lupiñén-Ortilla	a) Sin tierras	3
22905	Lupiñén-Ortilla	b) Con tierras labradas, pastos permanentes y otras tierras	7
22905	Lupiñén-Ortilla	d) Con tierras labradas y otras tierras, y sin pastos permanentes	17
22905	Lupiñén-Ortilla	e) Con tierras labradas, sin pastos permanentes ni otras tierras	44
22906	Santa María de Dulcis	b) Con tierras labradas, pastos permanentes y otras tierras	10
22906	Santa María de Dulcis	c) Con tierras labradas, pastos permanentes y sin otras tierras	3
22906	Santa María de Dulcis	d) Con tierras labradas y otras tierras, y sin pastos permanentes	23
22906	Santa María de Dulcis	e) Con tierras labradas, sin pastos permanentes ni otras tierras	24
22907	Aínsa-Sobrarbe	b) Con tierras labradas, pastos permanentes y otras tierras	56
22907	Aínsa-Sobrarbe	c) Con tierras labradas, pastos permanentes y sin otras tierras	13
22907	Aínsa-Sobrarbe	d) Con tierras labradas y otras tierras, y sin pastos permanentes	30
22907	Aínsa-Sobrarbe	e) Con tierras labradas, sin pastos permanentes ni otras tierras	29
22907	Aínsa-Sobrarbe	f) Sin tierras labradas, con pastos permanentes y con otras tierras	5
22908	Hoz y Costeán	a) Sin tierras	2
22908	Hoz y Costeán	b) Con tierras labradas, pastos permanentes y otras tierras	12
22908	Hoz y Costeán	c) Con tierras labradas, pastos permanentes y sin otras tierras	7
22908	Hoz y Costeán	d) Con tierras labradas y otras tierras, y sin pastos permanentes	29
22908	Hoz y Costeán	e) Con tierras labradas, sin pastos permanentes ni otras tierras	42
22908	Hoz y Costeán	f) Sin tierras labradas, con pastos permanentes y con otras tierras	6
22909	Vencillón	a) Sin tierras	1
22909	Vencillón	b) Con tierras labradas, pastos permanentes y otras tierras	3
22909	Vencillón	c) Con tierras labradas, pastos permanentes y sin otras tierras	6
22909	Vencillón	d) Con tierras labradas y otras tierras, y sin pastos permanentes	21
22909	Vencillón	e) Con tierras labradas, sin pastos permanentes ni otras tierras	36
22909	Vencillón	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	2
22909	Vencillón	h) Sin tierras labradas, sin pastos permanentes, con otras tierras	1
44001	Ababuj	b) Con tierras labradas, pastos permanentes y otras tierras	4
44001	Ababuj	c) Con tierras labradas, pastos permanentes y sin otras tierras	3
44001	Ababuj	d) Con tierras labradas y otras tierras, y sin pastos permanentes	3
44001	Ababuj	e) Con tierras labradas, sin pastos permanentes ni otras tierras	10
44001	Ababuj	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	1
44002	Abejuela	d) Con tierras labradas y otras tierras, y sin pastos permanentes	5
44002	Abejuela	e) Con tierras labradas, sin pastos permanentes ni otras tierras	5
44002	Abejuela	f) Sin tierras labradas, con pastos permanentes y con otras tierras	1
44003	Aguatón	b) Con tierras labradas, pastos permanentes y otras tierras	1
44003	Aguatón	c) Con tierras labradas, pastos permanentes y sin otras tierras	1
44003	Aguatón	d) Con tierras labradas y otras tierras, y sin pastos permanentes	1
44003	Aguatón	e) Con tierras labradas, sin pastos permanentes ni otras tierras	6
44004	Aguaviva	a) Sin tierras	5
44004	Aguaviva	b) Con tierras labradas, pastos permanentes y otras tierras	1
44004	Aguaviva	c) Con tierras labradas, pastos permanentes y sin otras tierras	4
44004	Aguaviva	d) Con tierras labradas y otras tierras, y sin pastos permanentes	9
44004	Aguaviva	e) Con tierras labradas, sin pastos permanentes ni otras tierras	23
44005	Aguilar del Alfambra	a) Sin tierras	1
44005	Aguilar del Alfambra	b) Con tierras labradas, pastos permanentes y otras tierras	1
44005	Aguilar del Alfambra	c) Con tierras labradas, pastos permanentes y sin otras tierras	9
44005	Aguilar del Alfambra	d) Con tierras labradas y otras tierras, y sin pastos permanentes	1
44005	Aguilar del Alfambra	e) Con tierras labradas, sin pastos permanentes ni otras tierras	9
44006	Alacón	a) Sin tierras	3
44006	Alacón	b) Con tierras labradas, pastos permanentes y otras tierras	1
44006	Alacón	c) Con tierras labradas, pastos permanentes y sin otras tierras	7
44006	Alacón	d) Con tierras labradas y otras tierras, y sin pastos permanentes	11
44006	Alacón	e) Con tierras labradas, sin pastos permanentes ni otras tierras	47
44006	Alacón	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	1
44007	Alba	a) Sin tierras	1
44007	Alba	b) Con tierras labradas, pastos permanentes y otras tierras	6
44007	Alba	c) Con tierras labradas, pastos permanentes y sin otras tierras	7
44007	Alba	d) Con tierras labradas y otras tierras, y sin pastos permanentes	8
44007	Alba	e) Con tierras labradas, sin pastos permanentes ni otras tierras	38
44007	Alba	f) Sin tierras labradas, con pastos permanentes y con otras tierras	3
44008	Albalate del Arzobispo	a) Sin tierras	4
44008	Albalate del Arzobispo	b) Con tierras labradas, pastos permanentes y otras tierras	6
44008	Albalate del Arzobispo	c) Con tierras labradas, pastos permanentes y sin otras tierras	10
44008	Albalate del Arzobispo	d) Con tierras labradas y otras tierras, y sin pastos permanentes	62
44008	Albalate del Arzobispo	e) Con tierras labradas, sin pastos permanentes ni otras tierras	252
44008	Albalate del Arzobispo	f) Sin tierras labradas, con pastos permanentes y con otras tierras	1
44008	Albalate del Arzobispo	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	1
44008	Albalate del Arzobispo	h) Sin tierras labradas, sin pastos permanentes, con otras tierras	1
44009	Albarracín	a) Sin tierras	2
44009	Albarracín	b) Con tierras labradas, pastos permanentes y otras tierras	8
44009	Albarracín	c) Con tierras labradas, pastos permanentes y sin otras tierras	5
44009	Albarracín	d) Con tierras labradas y otras tierras, y sin pastos permanentes	11
44009	Albarracín	e) Con tierras labradas, sin pastos permanentes ni otras tierras	25
44009	Albarracín	f) Sin tierras labradas, con pastos permanentes y con otras tierras	4
44010	Albentosa	a) Sin tierras	1
44010	Albentosa	b) Con tierras labradas, pastos permanentes y otras tierras	8
44010	Albentosa	c) Con tierras labradas, pastos permanentes y sin otras tierras	5
44010	Albentosa	d) Con tierras labradas y otras tierras, y sin pastos permanentes	14
44010	Albentosa	e) Con tierras labradas, sin pastos permanentes ni otras tierras	22
44010	Albentosa	f) Sin tierras labradas, con pastos permanentes y con otras tierras	2
44010	Albentosa	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	1
44011	Alcaine	b) Con tierras labradas, pastos permanentes y otras tierras	1
44011	Alcaine	c) Con tierras labradas, pastos permanentes y sin otras tierras	3
44011	Alcaine	d) Con tierras labradas y otras tierras, y sin pastos permanentes	1
44011	Alcaine	e) Con tierras labradas, sin pastos permanentes ni otras tierras	3
44011	Alcaine	f) Sin tierras labradas, con pastos permanentes y con otras tierras	1
44012	Alcalá de la Selva	b) Con tierras labradas, pastos permanentes y otras tierras	17
44012	Alcalá de la Selva	c) Con tierras labradas, pastos permanentes y sin otras tierras	6
44012	Alcalá de la Selva	d) Con tierras labradas y otras tierras, y sin pastos permanentes	6
44012	Alcalá de la Selva	e) Con tierras labradas, sin pastos permanentes ni otras tierras	5
44012	Alcalá de la Selva	f) Sin tierras labradas, con pastos permanentes y con otras tierras	2
44013	Alcañiz	a) Sin tierras	20
44013	Alcañiz	b) Con tierras labradas, pastos permanentes y otras tierras	17
44013	Alcañiz	c) Con tierras labradas, pastos permanentes y sin otras tierras	27
44013	Alcañiz	d) Con tierras labradas y otras tierras, y sin pastos permanentes	97
44013	Alcañiz	e) Con tierras labradas, sin pastos permanentes ni otras tierras	450
44013	Alcañiz	f) Sin tierras labradas, con pastos permanentes y con otras tierras	1
44013	Alcañiz	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	6
44013	Alcañiz	h) Sin tierras labradas, sin pastos permanentes, con otras tierras	2
44014	Alcorisa	a) Sin tierras	2
44014	Alcorisa	b) Con tierras labradas, pastos permanentes y otras tierras	11
44014	Alcorisa	c) Con tierras labradas, pastos permanentes y sin otras tierras	13
44014	Alcorisa	d) Con tierras labradas y otras tierras, y sin pastos permanentes	49
44014	Alcorisa	e) Con tierras labradas, sin pastos permanentes ni otras tierras	276
44014	Alcorisa	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	1
44016	Alfambra	a) Sin tierras	5
44016	Alfambra	b) Con tierras labradas, pastos permanentes y otras tierras	4
44016	Alfambra	c) Con tierras labradas, pastos permanentes y sin otras tierras	7
44016	Alfambra	d) Con tierras labradas y otras tierras, y sin pastos permanentes	47
44016	Alfambra	e) Con tierras labradas, sin pastos permanentes ni otras tierras	45
44016	Alfambra	f) Sin tierras labradas, con pastos permanentes y con otras tierras	3
44016	Alfambra	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	2
44017	Aliaga	a) Sin tierras	1
44017	Aliaga	b) Con tierras labradas, pastos permanentes y otras tierras	14
44017	Aliaga	c) Con tierras labradas, pastos permanentes y sin otras tierras	9
44017	Aliaga	d) Con tierras labradas y otras tierras, y sin pastos permanentes	8
44017	Aliaga	e) Con tierras labradas, sin pastos permanentes ni otras tierras	11
44017	Aliaga	f) Sin tierras labradas, con pastos permanentes y con otras tierras	4
44017	Aliaga	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	6
44018	Almohaja	a) Sin tierras	1
44018	Almohaja	c) Con tierras labradas, pastos permanentes y sin otras tierras	1
44018	Almohaja	e) Con tierras labradas, sin pastos permanentes ni otras tierras	3
44018	Almohaja	f) Sin tierras labradas, con pastos permanentes y con otras tierras	1
44019	Alobras	b) Con tierras labradas, pastos permanentes y otras tierras	1
44019	Alobras	c) Con tierras labradas, pastos permanentes y sin otras tierras	2
44019	Alobras	d) Con tierras labradas y otras tierras, y sin pastos permanentes	2
44019	Alobras	e) Con tierras labradas, sin pastos permanentes ni otras tierras	6
44019	Alobras	f) Sin tierras labradas, con pastos permanentes y con otras tierras	1
44020	Alpeñés	b) Con tierras labradas, pastos permanentes y otras tierras	2
44020	Alpeñés	c) Con tierras labradas, pastos permanentes y sin otras tierras	2
44020	Alpeñés	e) Con tierras labradas, sin pastos permanentes ni otras tierras	8
44021	Allepuz	a) Sin tierras	2
44021	Allepuz	b) Con tierras labradas, pastos permanentes y otras tierras	5
44021	Allepuz	c) Con tierras labradas, pastos permanentes y sin otras tierras	10
44021	Allepuz	d) Con tierras labradas y otras tierras, y sin pastos permanentes	5
44021	Allepuz	e) Con tierras labradas, sin pastos permanentes ni otras tierras	14
44021	Allepuz	f) Sin tierras labradas, con pastos permanentes y con otras tierras	4
44021	Allepuz	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	1
44021	Allepuz	h) Sin tierras labradas, sin pastos permanentes, con otras tierras	1
44022	Alloza	b) Con tierras labradas, pastos permanentes y otras tierras	3
44022	Alloza	c) Con tierras labradas, pastos permanentes y sin otras tierras	11
44022	Alloza	d) Con tierras labradas y otras tierras, y sin pastos permanentes	22
44022	Alloza	e) Con tierras labradas, sin pastos permanentes ni otras tierras	175
44022	Alloza	f) Sin tierras labradas, con pastos permanentes y con otras tierras	1
44022	Alloza	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	1
44023	Allueva	e) Con tierras labradas, sin pastos permanentes ni otras tierras	1
44024	Anadón	b) Con tierras labradas, pastos permanentes y otras tierras	1
44024	Anadón	e) Con tierras labradas, sin pastos permanentes ni otras tierras	3
44024	Anadón	f) Sin tierras labradas, con pastos permanentes y con otras tierras	1
44025	Andorra	a) Sin tierras	2
44025	Andorra	b) Con tierras labradas, pastos permanentes y otras tierras	6
44025	Andorra	c) Con tierras labradas, pastos permanentes y sin otras tierras	4
44025	Andorra	d) Con tierras labradas y otras tierras, y sin pastos permanentes	23
44025	Andorra	e) Con tierras labradas, sin pastos permanentes ni otras tierras	230
44026	Arcos de las Salinas	b) Con tierras labradas, pastos permanentes y otras tierras	2
44026	Arcos de las Salinas	c) Con tierras labradas, pastos permanentes y sin otras tierras	4
44026	Arcos de las Salinas	d) Con tierras labradas y otras tierras, y sin pastos permanentes	1
44026	Arcos de las Salinas	e) Con tierras labradas, sin pastos permanentes ni otras tierras	3
44026	Arcos de las Salinas	f) Sin tierras labradas, con pastos permanentes y con otras tierras	2
44026	Arcos de las Salinas	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	1
44027	Arens de Lledó	a) Sin tierras	2
44027	Arens de Lledó	b) Con tierras labradas, pastos permanentes y otras tierras	7
44027	Arens de Lledó	c) Con tierras labradas, pastos permanentes y sin otras tierras	2
44027	Arens de Lledó	d) Con tierras labradas y otras tierras, y sin pastos permanentes	26
44027	Arens de Lledó	e) Con tierras labradas, sin pastos permanentes ni otras tierras	25
44028	Argente	a) Sin tierras	2
44028	Argente	b) Con tierras labradas, pastos permanentes y otras tierras	1
44028	Argente	c) Con tierras labradas, pastos permanentes y sin otras tierras	7
44028	Argente	d) Con tierras labradas y otras tierras, y sin pastos permanentes	5
44028	Argente	e) Con tierras labradas, sin pastos permanentes ni otras tierras	52
44028	Argente	f) Sin tierras labradas, con pastos permanentes y con otras tierras	1
44029	Ariño	c) Con tierras labradas, pastos permanentes y sin otras tierras	1
44029	Ariño	d) Con tierras labradas y otras tierras, y sin pastos permanentes	9
44029	Ariño	e) Con tierras labradas, sin pastos permanentes ni otras tierras	28
