Año	Provincia código	Provincia nombre	Urbana   Número de recibos	Urbana   Base imponible (miles de euros)	Urbana   Base liquidable (miles de euros)	Cuota (euros)
2001	22	Huesca	208541	4246243,82	3595757,65	25314264,27
2001	44	Teruel	144617	2115040,56	2071263,23	10685850
2001	50	Zaragoza	616265	19220170,84	18797277,74	80656748
2002	22	Huesca	202621	4368888	3672235	26290903
2002	44	Teruel	143424	2194756	2156626	11174822
2002	50	Zaragoza	624293	19968662	19591845	84184212
