Año	Provincia código	Provincia nombre	Depuradoras	Habitantes equivalentes	Colectores
2012	22	Huesca	62	436084	
2012	44	Teruel	57	293224	
2012	50	Zaragoza	111	6336070	
2014	22	Huesca	59	395216	2
2014	44	Teruel	46	292064	7
2014	50	Zaragoza	82	6380104	31
2016	22	Huesca	71	423851	5
2016	44	Teruel	51	302513	7
2016	50	Zaragoza	82	6380104	31
