Municipio código	Municipio nombre	Explotaciones	Superficie total código	Superficie total
22001	Abiego	1	01	Sin tierras
22001	Abiego	2	05	1  a  < 2 Ha
22001	Abiego	2	06	2 a < 3 Ha
22001	Abiego	2	07	3 a < 4 Ha
22001	Abiego	1	08	4 a < 5 Ha
22001	Abiego	4	09	5 a < 10 Ha
22001	Abiego	14	10	10 a <20 Ha
22001	Abiego	6	11	20 a < 30 Ha
22001	Abiego	8	12	30 a < 50 Ha
22001	Abiego	4	13	50 a < 70 Ha
22001	Abiego	1	14	70 a < 100 Ha
22001	Abiego	2	15	100 a <150 Ha
22001	Abiego	3	16	150 a < 200 Ha
22001	Abiego	1	17	200 a < 300 Ha
22001	Abiego	2	19	500 a < 1000 Ha
22002	Abizanda	2	01	Sin tierras
22002	Abizanda	1	09	5 a < 10 Ha
22002	Abizanda	4	10	10 a <20 Ha
22002	Abizanda	3	11	20 a < 30 Ha
22002	Abizanda	5	12	30 a < 50 Ha
22002	Abizanda	2	13	50 a < 70 Ha
22002	Abizanda	4	14	70 a < 100 Ha
22002	Abizanda	5	15	100 a <150 Ha
22002	Abizanda	1	16	150 a < 200 Ha
22003	Adahuesca	1	01	Sin tierras
22003	Adahuesca	3	05	1  a  < 2 Ha
22003	Adahuesca	3	06	2 a < 3 Ha
22003	Adahuesca	1	07	3 a < 4 Ha
22003	Adahuesca	2	08	4 a < 5 Ha
22003	Adahuesca	6	09	5 a < 10 Ha
22003	Adahuesca	5	10	10 a <20 Ha
22003	Adahuesca	6	11	20 a < 30 Ha
22003	Adahuesca	11	12	30 a < 50 Ha
22003	Adahuesca	8	13	50 a < 70 Ha
22003	Adahuesca	6	14	70 a < 100 Ha
22003	Adahuesca	2	15	100 a <150 Ha
22003	Adahuesca	2	17	200 a < 300 Ha
22004	Agüero	1	05	1  a  < 2 Ha
22004	Agüero	4	06	2 a < 3 Ha
22004	Agüero	1	07	3 a < 4 Ha
22004	Agüero	3	08	4 a < 5 Ha
22004	Agüero	6	09	5 a < 10 Ha
22004	Agüero	2	10	10 a <20 Ha
22004	Agüero	1	11	20 a < 30 Ha
22004	Agüero	2	12	30 a < 50 Ha
22004	Agüero	1	13	50 a < 70 Ha
22004	Agüero	1	14	70 a < 100 Ha
22004	Agüero	2	15	100 a <150 Ha
22004	Agüero	2	16	150 a < 200 Ha
22006	Aísa	1	05	1  a  < 2 Ha
22006	Aísa	1	07	3 a < 4 Ha
22006	Aísa	2	09	5 a < 10 Ha
22006	Aísa	4	10	10 a <20 Ha
22006	Aísa	2	11	20 a < 30 Ha
22006	Aísa	1	13	50 a < 70 Ha
22006	Aísa	3	14	70 a < 100 Ha
22006	Aísa	2	16	150 a < 200 Ha
22006	Aísa	1	17	200 a < 300 Ha
22006	Aísa	1	19	500 a < 1000 Ha
22006	Aísa	1	20	1000 a < 2500 Ha
22006	Aísa	1	21	2500 Ha
22007	Albalate de Cinca	3	01	Sin tierras
22007	Albalate de Cinca	1	03	0,2  a  < 0,5 Ha
22007	Albalate de Cinca	1	04	0,5  a  < 1 Ha
22007	Albalate de Cinca	9	05	1  a  < 2 Ha
22007	Albalate de Cinca	8	06	2 a < 3 Ha
22007	Albalate de Cinca	15	07	3 a < 4 Ha
22007	Albalate de Cinca	11	08	4 a < 5 Ha
22007	Albalate de Cinca	28	09	5 a < 10 Ha
22007	Albalate de Cinca	34	10	10 a <20 Ha
22007	Albalate de Cinca	10	11	20 a < 30 Ha
22007	Albalate de Cinca	22	12	30 a < 50 Ha
22007	Albalate de Cinca	6	13	50 a < 70 Ha
22007	Albalate de Cinca	1	14	70 a < 100 Ha
22007	Albalate de Cinca	1	16	150 a < 200 Ha
22007	Albalate de Cinca	4	17	200 a < 300 Ha
22008	Albalatillo	2	01	Sin tierras
22008	Albalatillo	1	02	0,1  a  < 0,2
22008	Albalatillo	2	10	10 a <20 Ha
22008	Albalatillo	7	12	30 a < 50 Ha
22008	Albalatillo	1	13	50 a < 70 Ha
22008	Albalatillo	1	14	70 a < 100 Ha
22008	Albalatillo	1	15	100 a <150 Ha
22008	Albalatillo	2	16	150 a < 200 Ha
22009	Albelda	1	03	0,2  a  < 0,5 Ha
22009	Albelda	2	04	0,5  a  < 1 Ha
22009	Albelda	22	05	1  a  < 2 Ha
22009	Albelda	20	06	2 a < 3 Ha
22009	Albelda	16	07	3 a < 4 Ha
22009	Albelda	15	08	4 a < 5 Ha
22009	Albelda	74	09	5 a < 10 Ha
22009	Albelda	56	10	10 a <20 Ha
22009	Albelda	24	11	20 a < 30 Ha
22009	Albelda	12	12	30 a < 50 Ha
22009	Albelda	7	13	50 a < 70 Ha
22009	Albelda	4	14	70 a < 100 Ha
22009	Albelda	4	15	100 a <150 Ha
22009	Albelda	1	16	150 a < 200 Ha
22009	Albelda	1	17	200 a < 300 Ha
22011	Albero Alto	2	01	Sin tierras
22011	Albero Alto	1	09	5 a < 10 Ha
22011	Albero Alto	1	11	20 a < 30 Ha
22011	Albero Alto	5	12	30 a < 50 Ha
22011	Albero Alto	4	13	50 a < 70 Ha
22011	Albero Alto	3	14	70 a < 100 Ha
22011	Albero Alto	2	15	100 a <150 Ha
22011	Albero Alto	3	17	200 a < 300 Ha
22012	Albero Bajo	1	06	2 a < 3 Ha
22012	Albero Bajo	1	09	5 a < 10 Ha
22012	Albero Bajo	3	10	10 a <20 Ha
22012	Albero Bajo	6	11	20 a < 30 Ha
22012	Albero Bajo	9	12	30 a < 50 Ha
22012	Albero Bajo	6	13	50 a < 70 Ha
22012	Albero Bajo	2	14	70 a < 100 Ha
22012	Albero Bajo	3	15	100 a <150 Ha
22012	Albero Bajo	1	16	150 a < 200 Ha
22013	Alberuela de Tubo	1	05	1  a  < 2 Ha
22013	Alberuela de Tubo	1	07	3 a < 4 Ha
22013	Alberuela de Tubo	1	08	4 a < 5 Ha
22013	Alberuela de Tubo	2	09	5 a < 10 Ha
22013	Alberuela de Tubo	5	10	10 a <20 Ha
22013	Alberuela de Tubo	8	11	20 a < 30 Ha
22013	Alberuela de Tubo	5	12	30 a < 50 Ha
22013	Alberuela de Tubo	8	13	50 a < 70 Ha
22013	Alberuela de Tubo	4	14	70 a < 100 Ha
22013	Alberuela de Tubo	4	15	100 a <150 Ha
22013	Alberuela de Tubo	1	16	150 a < 200 Ha
22013	Alberuela de Tubo	1	17	200 a < 300 Ha
22014	Alcalá de Gurrea	1	05	1  a  < 2 Ha
22014	Alcalá de Gurrea	1	07	3 a < 4 Ha
22014	Alcalá de Gurrea	2	08	4 a < 5 Ha
22014	Alcalá de Gurrea	5	09	5 a < 10 Ha
22014	Alcalá de Gurrea	1	10	10 a <20 Ha
22014	Alcalá de Gurrea	4	11	20 a < 30 Ha
22014	Alcalá de Gurrea	2	12	30 a < 50 Ha
22014	Alcalá de Gurrea	2	13	50 a < 70 Ha
22014	Alcalá de Gurrea	9	14	70 a < 100 Ha
22014	Alcalá de Gurrea	5	15	100 a <150 Ha
22014	Alcalá de Gurrea	2	16	150 a < 200 Ha
22014	Alcalá de Gurrea	4	17	200 a < 300 Ha
22014	Alcalá de Gurrea	3	18	300 a < 500 Ha
22014	Alcalá de Gurrea	3	19	500 a < 1000 Ha
22015	Alcalá del Obispo	2	01	Sin tierras
22015	Alcalá del Obispo	1	03	0,2  a  < 0,5 Ha
22015	Alcalá del Obispo	1	04	0,5  a  < 1 Ha
22015	Alcalá del Obispo	3	05	1  a  < 2 Ha
22015	Alcalá del Obispo	1	06	2 a < 3 Ha
22015	Alcalá del Obispo	2	07	3 a < 4 Ha
22015	Alcalá del Obispo	1	08	4 a < 5 Ha
22015	Alcalá del Obispo	14	09	5 a < 10 Ha
22015	Alcalá del Obispo	16	10	10 a <20 Ha
22015	Alcalá del Obispo	3	11	20 a < 30 Ha
22015	Alcalá del Obispo	13	12	30 a < 50 Ha
22015	Alcalá del Obispo	3	13	50 a < 70 Ha
22015	Alcalá del Obispo	7	14	70 a < 100 Ha
22015	Alcalá del Obispo	7	15	100 a <150 Ha
22015	Alcalá del Obispo	2	16	150 a < 200 Ha
22015	Alcalá del Obispo	1	17	200 a < 300 Ha
22015	Alcalá del Obispo	2	18	300 a < 500 Ha
22015	Alcalá del Obispo	1	19	500 a < 1000 Ha
22016	Alcampell	5	01	Sin tierras
22016	Alcampell	1	04	0,5  a  < 1 Ha
22016	Alcampell	12	05	1  a  < 2 Ha
22016	Alcampell	15	06	2 a < 3 Ha
22016	Alcampell	10	07	3 a < 4 Ha
22016	Alcampell	8	08	4 a < 5 Ha
22016	Alcampell	34	09	5 a < 10 Ha
22016	Alcampell	35	10	10 a <20 Ha
22016	Alcampell	29	11	20 a < 30 Ha
22016	Alcampell	28	12	30 a < 50 Ha
22016	Alcampell	8	13	50 a < 70 Ha
22016	Alcampell	6	14	70 a < 100 Ha
22016	Alcampell	1	15	100 a <150 Ha
22016	Alcampell	3	16	150 a < 200 Ha
22017	Alcolea de Cinca	7	01	Sin tierras
22017	Alcolea de Cinca	3	04	0,5  a  < 1 Ha
22017	Alcolea de Cinca	5	05	1  a  < 2 Ha
22017	Alcolea de Cinca	3	06	2 a < 3 Ha
22017	Alcolea de Cinca	11	07	3 a < 4 Ha
22017	Alcolea de Cinca	5	08	4 a < 5 Ha
22017	Alcolea de Cinca	17	09	5 a < 10 Ha
22017	Alcolea de Cinca	26	10	10 a <20 Ha
22017	Alcolea de Cinca	30	11	20 a < 30 Ha
22017	Alcolea de Cinca	21	12	30 a < 50 Ha
22017	Alcolea de Cinca	19	13	50 a < 70 Ha
22017	Alcolea de Cinca	8	14	70 a < 100 Ha
22017	Alcolea de Cinca	5	15	100 a <150 Ha
22017	Alcolea de Cinca	1	16	150 a < 200 Ha
22017	Alcolea de Cinca	2	17	200 a < 300 Ha
22017	Alcolea de Cinca	1	18	300 a < 500 Ha
22018	Alcubierre	5	01	Sin tierras
22018	Alcubierre	1	04	0,5  a  < 1 Ha
22018	Alcubierre	2	05	1  a  < 2 Ha
22018	Alcubierre	1	06	2 a < 3 Ha
22018	Alcubierre	1	07	3 a < 4 Ha
22018	Alcubierre	2	08	4 a < 5 Ha
22018	Alcubierre	6	09	5 a < 10 Ha
22018	Alcubierre	13	10	10 a <20 Ha
22018	Alcubierre	4	11	20 a < 30 Ha
22018	Alcubierre	10	12	30 a < 50 Ha
22018	Alcubierre	11	13	50 a < 70 Ha
22018	Alcubierre	11	14	70 a < 100 Ha
22018	Alcubierre	6	15	100 a <150 Ha
22018	Alcubierre	2	16	150 a < 200 Ha
22018	Alcubierre	2	17	200 a < 300 Ha
22018	Alcubierre	1	18	300 a < 500 Ha
22018	Alcubierre	1	19	500 a < 1000 Ha
22019	Alerre	1	05	1  a  < 2 Ha
22019	Alerre	1	09	5 a < 10 Ha
22019	Alerre	4	10	10 a <20 Ha
22019	Alerre	1	11	20 a < 30 Ha
22019	Alerre	4	13	50 a < 70 Ha
22019	Alerre	1	14	70 a < 100 Ha
22019	Alerre	1	15	100 a <150 Ha
22019	Alerre	1	16	150 a < 200 Ha
22020	Alfántega	2	01	Sin tierras
22020	Alfántega	4	05	1  a  < 2 Ha
22020	Alfántega	2	06	2 a < 3 Ha
22020	Alfántega	1	08	4 a < 5 Ha
22020	Alfántega	4	09	5 a < 10 Ha
22020	Alfántega	2	10	10 a <20 Ha
22020	Alfántega	2	11	20 a < 30 Ha
22020	Alfántega	2	12	30 a < 50 Ha
22020	Alfántega	1	13	50 a < 70 Ha
22020	Alfántega	1	14	70 a < 100 Ha
22020	Alfántega	2	16	150 a < 200 Ha
22021	Almudévar	4	01	Sin tierras
22021	Almudévar	2	03	0,2  a  < 0,5 Ha
22021	Almudévar	2	04	0,5  a  < 1 Ha
22021	Almudévar	31	05	1  a  < 2 Ha
22021	Almudévar	16	06	2 a < 3 Ha
22021	Almudévar	14	07	3 a < 4 Ha
22021	Almudévar	10	08	4 a < 5 Ha
22021	Almudévar	57	09	5 a < 10 Ha
22021	Almudévar	49	10	10 a <20 Ha
22021	Almudévar	26	11	20 a < 30 Ha
22021	Almudévar	34	12	30 a < 50 Ha
22021	Almudévar	17	13	50 a < 70 Ha
22021	Almudévar	21	14	70 a < 100 Ha
22021	Almudévar	17	15	100 a <150 Ha
22021	Almudévar	8	16	150 a < 200 Ha
22021	Almudévar	15	17	200 a < 300 Ha
22021	Almudévar	6	18	300 a < 500 Ha
22021	Almudévar	2	19	500 a < 1000 Ha
22022	Almunia de San Juan	1	03	0,2  a  < 0,5 Ha
22022	Almunia de San Juan	10	05	1  a  < 2 Ha
22022	Almunia de San Juan	1	06	2 a < 3 Ha
22022	Almunia de San Juan	6	07	3 a < 4 Ha
22022	Almunia de San Juan	4	08	4 a < 5 Ha
22022	Almunia de San Juan	9	09	5 a < 10 Ha
22022	Almunia de San Juan	12	10	10 a <20 Ha
22022	Almunia de San Juan	1	11	20 a < 30 Ha
22022	Almunia de San Juan	12	12	30 a < 50 Ha
22022	Almunia de San Juan	3	13	50 a < 70 Ha
22022	Almunia de San Juan	8	14	70 a < 100 Ha
22022	Almunia de San Juan	4	15	100 a <150 Ha
22022	Almunia de San Juan	1	16	150 a < 200 Ha
22022	Almunia de San Juan	5	17	200 a < 300 Ha
22023	Almuniente	4	01	Sin tierras
22023	Almuniente	1	03	0,2  a  < 0,5 Ha
22023	Almuniente	2	05	1  a  < 2 Ha
22023	Almuniente	2	06	2 a < 3 Ha
22023	Almuniente	1	07	3 a < 4 Ha
22023	Almuniente	1	08	4 a < 5 Ha
22023	Almuniente	24	09	5 a < 10 Ha
22023	Almuniente	36	10	10 a <20 Ha
22023	Almuniente	11	11	20 a < 30 Ha
22023	Almuniente	13	12	30 a < 50 Ha
22023	Almuniente	4	13	50 a < 70 Ha
22023	Almuniente	2	14	70 a < 100 Ha
22023	Almuniente	4	15	100 a <150 Ha
22023	Almuniente	1	17	200 a < 300 Ha
22023	Almuniente	1	19	500 a < 1000 Ha
22024	Alquézar	1	01	Sin tierras
22024	Alquézar	6	05	1  a  < 2 Ha
22024	Alquézar	6	06	2 a < 3 Ha
22024	Alquézar	7	07	3 a < 4 Ha
22024	Alquézar	5	08	4 a < 5 Ha
22024	Alquézar	10	09	5 a < 10 Ha
22024	Alquézar	8	10	10 a <20 Ha
22024	Alquézar	2	11	20 a < 30 Ha
22024	Alquézar	7	12	30 a < 50 Ha
22024	Alquézar	1	13	50 a < 70 Ha
22024	Alquézar	1	17	200 a < 300 Ha
22024	Alquézar	1	18	300 a < 500 Ha
22025	Altorricón	11	01	Sin tierras
22025	Altorricón	4	03	0,2  a  < 0,5 Ha
22025	Altorricón	2	04	0,5  a  < 1 Ha
22025	Altorricón	17	05	1  a  < 2 Ha
22025	Altorricón	6	06	2 a < 3 Ha
22025	Altorricón	12	07	3 a < 4 Ha
22025	Altorricón	13	08	4 a < 5 Ha
22025	Altorricón	37	09	5 a < 10 Ha
22025	Altorricón	30	10	10 a <20 Ha
22025	Altorricón	14	11	20 a < 30 Ha
22025	Altorricón	21	12	30 a < 50 Ha
22025	Altorricón	9	13	50 a < 70 Ha
22025	Altorricón	1	14	70 a < 100 Ha
22025	Altorricón	3	16	150 a < 200 Ha
22027	Angüés	6	05	1  a  < 2 Ha
22027	Angüés	1	06	2 a < 3 Ha
22027	Angüés	2	07	3 a < 4 Ha
22027	Angüés	3	08	4 a < 5 Ha
22027	Angüés	8	09	5 a < 10 Ha
22027	Angüés	10	10	10 a <20 Ha
22027	Angüés	8	11	20 a < 30 Ha
22027	Angüés	10	12	30 a < 50 Ha
22027	Angüés	1	13	50 a < 70 Ha
22027	Angüés	4	14	70 a < 100 Ha
22027	Angüés	4	15	100 a <150 Ha
22027	Angüés	3	16	150 a < 200 Ha
22027	Angüés	3	17	200 a < 300 Ha
22027	Angüés	2	18	300 a < 500 Ha
22028	Ansó	5	01	Sin tierras
22028	Ansó	1	04	0,5  a  < 1 Ha
22028	Ansó	4	05	1  a  < 2 Ha
22028	Ansó	2	07	3 a < 4 Ha
22028	Ansó	2	08	4 a < 5 Ha
22028	Ansó	2	09	5 a < 10 Ha
22028	Ansó	2	10	10 a <20 Ha
22028	Ansó	1	12	30 a < 50 Ha
22028	Ansó	2	13	50 a < 70 Ha
22028	Ansó	1	14	70 a < 100 Ha
22028	Ansó	1	15	100 a <150 Ha
22028	Ansó	1	19	500 a < 1000 Ha
22028	Ansó	1	21	2500 Ha
22029	Antillón	1	05	1  a  < 2 Ha
22029	Antillón	2	07	3 a < 4 Ha
22029	Antillón	1	08	4 a < 5 Ha
22029	Antillón	5	09	5 a < 10 Ha
22029	Antillón	1	10	10 a <20 Ha
22029	Antillón	1	11	20 a < 30 Ha
22029	Antillón	8	12	30 a < 50 Ha
22029	Antillón	9	13	50 a < 70 Ha
22029	Antillón	6	14	70 a < 100 Ha
22029	Antillón	5	15	100 a <150 Ha
22029	Antillón	1	16	150 a < 200 Ha
22032	Aragüés del Puerto	1	06	2 a < 3 Ha
22032	Aragüés del Puerto	3	09	5 a < 10 Ha
22032	Aragüés del Puerto	1	13	50 a < 70 Ha
22032	Aragüés del Puerto	2	15	100 a <150 Ha
22032	Aragüés del Puerto	1	17	200 a < 300 Ha
22032	Aragüés del Puerto	1	21	2500 Ha
22035	Arén	2	01	Sin tierras
22035	Arén	2	05	1  a  < 2 Ha
22035	Arén	1	07	3 a < 4 Ha
22035	Arén	1	08	4 a < 5 Ha
22035	Arén	10	09	5 a < 10 Ha
22035	Arén	8	10	10 a <20 Ha
22035	Arén	5	11	20 a < 30 Ha
22035	Arén	19	12	30 a < 50 Ha
22035	Arén	11	13	50 a < 70 Ha
22035	Arén	5	14	70 a < 100 Ha
22035	Arén	10	15	100 a <150 Ha
22035	Arén	2	16	150 a < 200 Ha
22035	Arén	4	17	200 a < 300 Ha
22035	Arén	2	18	300 a < 500 Ha
22035	Arén	3	19	500 a < 1000 Ha
22036	Argavieso	2	01	Sin tierras
22036	Argavieso	1	05	1  a  < 2 Ha
22036	Argavieso	1	08	4 a < 5 Ha
22036	Argavieso	3	09	5 a < 10 Ha
22036	Argavieso	9	10	10 a <20 Ha
22036	Argavieso	5	11	20 a < 30 Ha
22036	Argavieso	4	12	30 a < 50 Ha
22036	Argavieso	2	15	100 a <150 Ha
22036	Argavieso	1	16	150 a < 200 Ha
22037	Arguis	1	05	1  a  < 2 Ha
22037	Arguis	1	09	5 a < 10 Ha
22037	Arguis	2	11	20 a < 30 Ha
22037	Arguis	3	12	30 a < 50 Ha
22037	Arguis	1	14	70 a < 100 Ha
22037	Arguis	1	15	100 a <150 Ha
22037	Arguis	2	16	150 a < 200 Ha
22037	Arguis	2	17	200 a < 300 Ha
22037	Arguis	1	20	1000 a < 2500 Ha
22039	Ayerbe	1	04	0,5  a  < 1 Ha
22039	Ayerbe	10	05	1  a  < 2 Ha
22039	Ayerbe	8	06	2 a < 3 Ha
22039	Ayerbe	7	07	3 a < 4 Ha
22039	Ayerbe	7	08	4 a < 5 Ha
22039	Ayerbe	14	09	5 a < 10 Ha
22039	Ayerbe	13	10	10 a <20 Ha
22039	Ayerbe	5	11	20 a < 30 Ha
22039	Ayerbe	6	12	30 a < 50 Ha
22039	Ayerbe	5	13	50 a < 70 Ha
22039	Ayerbe	4	14	70 a < 100 Ha
22039	Ayerbe	2	15	100 a <150 Ha
22039	Ayerbe	2	16	150 a < 200 Ha
22039	Ayerbe	3	17	200 a < 300 Ha
22039	Ayerbe	4	18	300 a < 500 Ha
22040	Azanuy-Alins	1	01	Sin tierras
22040	Azanuy-Alins	3	05	1  a  < 2 Ha
22040	Azanuy-Alins	4	06	2 a < 3 Ha
22040	Azanuy-Alins	2	07	3 a < 4 Ha
22040	Azanuy-Alins	1	08	4 a < 5 Ha
22040	Azanuy-Alins	9	09	5 a < 10 Ha
22040	Azanuy-Alins	12	10	10 a <20 Ha
22040	Azanuy-Alins	6	11	20 a < 30 Ha
22040	Azanuy-Alins	6	12	30 a < 50 Ha
22040	Azanuy-Alins	4	13	50 a < 70 Ha
22040	Azanuy-Alins	5	14	70 a < 100 Ha
22040	Azanuy-Alins	5	15	100 a <150 Ha
22040	Azanuy-Alins	3	16	150 a < 200 Ha
22040	Azanuy-Alins	1	17	200 a < 300 Ha
22041	Azara	3	05	1  a  < 2 Ha
22041	Azara	5	06	2 a < 3 Ha
22041	Azara	3	07	3 a < 4 Ha
22041	Azara	1	08	4 a < 5 Ha
22041	Azara	3	09	5 a < 10 Ha
22041	Azara	7	10	10 a <20 Ha
22041	Azara	8	11	20 a < 30 Ha
22041	Azara	4	12	30 a < 50 Ha
22041	Azara	2	13	50 a < 70 Ha
22041	Azara	2	14	70 a < 100 Ha
22041	Azara	1	16	150 a < 200 Ha
22042	Azlor	2	05	1  a  < 2 Ha
22042	Azlor	4	07	3 a < 4 Ha
22042	Azlor	2	08	4 a < 5 Ha
22042	Azlor	6	09	5 a < 10 Ha
22042	Azlor	10	10	10 a <20 Ha
22042	Azlor	3	11	20 a < 30 Ha
22042	Azlor	8	12	30 a < 50 Ha
22042	Azlor	3	14	70 a < 100 Ha
22042	Azlor	2	15	100 a <150 Ha
22043	Baells	1	01	Sin tierras
22043	Baells	2	05	1  a  < 2 Ha
22043	Baells	2	08	4 a < 5 Ha
22043	Baells	4	09	5 a < 10 Ha
22043	Baells	6	10	10 a <20 Ha
22043	Baells	5	11	20 a < 30 Ha
22043	Baells	12	12	30 a < 50 Ha
22043	Baells	4	13	50 a < 70 Ha
22043	Baells	6	14	70 a < 100 Ha
22043	Baells	4	15	100 a <150 Ha
22044	Bailo	1	01	Sin tierras
22044	Bailo	2	05	1  a  < 2 Ha
22044	Bailo	1	07	3 a < 4 Ha
22044	Bailo	1	08	4 a < 5 Ha
22044	Bailo	5	09	5 a < 10 Ha
22044	Bailo	12	10	10 a <20 Ha
22044	Bailo	12	11	20 a < 30 Ha
22044	Bailo	10	12	30 a < 50 Ha
22044	Bailo	2	13	50 a < 70 Ha
22044	Bailo	4	14	70 a < 100 Ha
22044	Bailo	5	15	100 a <150 Ha
22044	Bailo	3	16	150 a < 200 Ha
22044	Bailo	6	17	200 a < 300 Ha
22044	Bailo	2	18	300 a < 500 Ha
22044	Bailo	1	19	500 a < 1000 Ha
22044	Bailo	3	20	1000 a < 2500 Ha
22044	Bailo	1	21	2500 Ha
22045	Baldellou	5	05	1  a  < 2 Ha
22045	Baldellou	2	06	2 a < 3 Ha
22045	Baldellou	3	07	3 a < 4 Ha
22045	Baldellou	5	08	4 a < 5 Ha
22045	Baldellou	19	09	5 a < 10 Ha
22045	Baldellou	5	10	10 a <20 Ha
22045	Baldellou	3	11	20 a < 30 Ha
22045	Baldellou	4	12	30 a < 50 Ha
22045	Baldellou	1	13	50 a < 70 Ha
22045	Baldellou	2	14	70 a < 100 Ha
22045	Baldellou	2	15	100 a <150 Ha
22046	Ballobar	1	01	Sin tierras
22046	Ballobar	1	04	0,5  a  < 1 Ha
22046	Ballobar	18	05	1  a  < 2 Ha
22046	Ballobar	4	06	2 a < 3 Ha
22046	Ballobar	6	07	3 a < 4 Ha
22046	Ballobar	3	08	4 a < 5 Ha
22046	Ballobar	12	09	5 a < 10 Ha
22046	Ballobar	11	10	10 a <20 Ha
22046	Ballobar	10	11	20 a < 30 Ha
22046	Ballobar	22	12	30 a < 50 Ha
22046	Ballobar	16	13	50 a < 70 Ha
22046	Ballobar	20	14	70 a < 100 Ha
22046	Ballobar	10	15	100 a <150 Ha
22046	Ballobar	3	16	150 a < 200 Ha
22046	Ballobar	5	17	200 a < 300 Ha
22046	Ballobar	2	18	300 a < 500 Ha
22046	Ballobar	2	19	500 a < 1000 Ha
22046	Ballobar	1	20	1000 a < 2500 Ha
22047	Banastás	1	04	0,5  a  < 1 Ha
22047	Banastás	1	10	10 a <20 Ha
22047	Banastás	2	13	50 a < 70 Ha
22047	Banastás	1	16	150 a < 200 Ha
22048	Barbastro	10	01	Sin tierras
22048	Barbastro	5	03	0,2  a  < 0,5 Ha
22048	Barbastro	6	04	0,5  a  < 1 Ha
22048	Barbastro	54	05	1  a  < 2 Ha
22048	Barbastro	47	06	2 a < 3 Ha
22048	Barbastro	31	07	3 a < 4 Ha
22048	Barbastro	13	08	4 a < 5 Ha
22048	Barbastro	71	09	5 a < 10 Ha
22048	Barbastro	56	10	10 a <20 Ha
22048	Barbastro	23	11	20 a < 30 Ha
22048	Barbastro	28	12	30 a < 50 Ha
22048	Barbastro	5	13	50 a < 70 Ha
22048	Barbastro	7	14	70 a < 100 Ha
22048	Barbastro	6	15	100 a <150 Ha
22048	Barbastro	3	16	150 a < 200 Ha
22048	Barbastro	3	17	200 a < 300 Ha
22048	Barbastro	4	18	300 a < 500 Ha
22048	Barbastro	2	19	500 a < 1000 Ha
22049	Barbués	1	05	1  a  < 2 Ha
22049	Barbués	1	07	3 a < 4 Ha
22049	Barbués	3	09	5 a < 10 Ha
22049	Barbués	7	10	10 a <20 Ha
22049	Barbués	5	11	20 a < 30 Ha
22049	Barbués	5	12	30 a < 50 Ha
22049	Barbués	1	13	50 a < 70 Ha
22049	Barbués	2	14	70 a < 100 Ha
22049	Barbués	2	15	100 a <150 Ha
22049	Barbués	2	16	150 a < 200 Ha
22049	Barbués	2	17	200 a < 300 Ha
22050	Barbuñales	1	06	2 a < 3 Ha
22050	Barbuñales	1	07	3 a < 4 Ha
22050	Barbuñales	2	09	5 a < 10 Ha
22050	Barbuñales	8	10	10 a <20 Ha
22050	Barbuñales	1	11	20 a < 30 Ha
22050	Barbuñales	8	12	30 a < 50 Ha
22050	Barbuñales	2	13	50 a < 70 Ha
22050	Barbuñales	1	17	200 a < 300 Ha
22050	Barbuñales	1	20	1000 a < 2500 Ha
22051	Bárcabo	1	05	1  a  < 2 Ha
22051	Bárcabo	4	09	5 a < 10 Ha
22051	Bárcabo	3	10	10 a <20 Ha
22051	Bárcabo	3	11	20 a < 30 Ha
22051	Bárcabo	28	12	30 a < 50 Ha
22051	Bárcabo	13	13	50 a < 70 Ha
22051	Bárcabo	7	14	70 a < 100 Ha
22051	Bárcabo	4	15	100 a <150 Ha
22051	Bárcabo	2	16	150 a < 200 Ha
22051	Bárcabo	3	17	200 a < 300 Ha
22052	Belver de Cinca	10	01	Sin tierras
22052	Belver de Cinca	4	03	0,2  a  < 0,5 Ha
22052	Belver de Cinca	3	04	0,5  a  < 1 Ha
22052	Belver de Cinca	29	05	1  a  < 2 Ha
22052	Belver de Cinca	26	06	2 a < 3 Ha
22052	Belver de Cinca	17	07	3 a < 4 Ha
22052	Belver de Cinca	15	08	4 a < 5 Ha
22052	Belver de Cinca	46	09	5 a < 10 Ha
22052	Belver de Cinca	33	10	10 a <20 Ha
22052	Belver de Cinca	16	11	20 a < 30 Ha
22052	Belver de Cinca	14	12	30 a < 50 Ha
22052	Belver de Cinca	5	13	50 a < 70 Ha
22052	Belver de Cinca	2	14	70 a < 100 Ha
22052	Belver de Cinca	4	15	100 a <150 Ha
22052	Belver de Cinca	1	16	150 a < 200 Ha
22052	Belver de Cinca	1	17	200 a < 300 Ha
22052	Belver de Cinca	1	18	300 a < 500 Ha
22052	Belver de Cinca	3	19	500 a < 1000 Ha
22052	Belver de Cinca	1	20	1000 a < 2500 Ha
22053	Benabarre	10	01	Sin tierras
22053	Benabarre	6	05	1  a  < 2 Ha
22053	Benabarre	4	06	2 a < 3 Ha
22053	Benabarre	6	07	3 a < 4 Ha
22053	Benabarre	4	08	4 a < 5 Ha
22053	Benabarre	11	09	5 a < 10 Ha
22053	Benabarre	14	10	10 a <20 Ha
22053	Benabarre	18	11	20 a < 30 Ha
22053	Benabarre	32	12	30 a < 50 Ha
22053	Benabarre	20	13	50 a < 70 Ha
22053	Benabarre	13	14	70 a < 100 Ha
22053	Benabarre	11	15	100 a <150 Ha
22053	Benabarre	7	16	150 a < 200 Ha
