Comarca código	Comarca nombre	Continente	Area nacionalidad, código	Área	Nacionalidad, código	Nacionalidad, nombre	Personas
06	Hoya de Huesca / Plana de Uesca	África	04	Resto de África	233	NIGER	2
06	Hoya de Huesca / Plana de Uesca	África	04	Resto de África	234	NIGERIA	19
06	Hoya de Huesca / Plana de Uesca	África	04	Resto de África	239	SENEGAL	49
06	Hoya de Huesca / Plana de Uesca	África	04	Resto de África	241	SIERRA LEONA	4
07	Somontano de Barbastro	América	05	América del Norte	301	CANADA	1
07	Somontano de Barbastro	América	05	América del Norte	302	ESTADOS UNIDOS DE AMERICA	2
07	Somontano de Barbastro	América	06	Resto de América	303	MEXICO	3
07	Somontano de Barbastro	América	06	Resto de América	315	CUBA	7
07	Somontano de Barbastro	América	06	Resto de América	317	EL SALVADOR	2
07	Somontano de Barbastro	América	06	Resto de América	319	GUATEMALA	9
07	Somontano de Barbastro	América	06	Resto de América	323	NICARAGUA	2
07	Somontano de Barbastro	América	06	Resto de América	324	PANAMA	5
07	Somontano de Barbastro	América	06	Resto de América	326	REPUBLICA DOMINICANA	18
07	Somontano de Barbastro	América	06	Resto de América	340	ARGENTINA	8
07	Somontano de Barbastro	América	06	Resto de América	342	BRASIL	8
07	Somontano de Barbastro	América	06	Resto de América	343	COLOMBIA	21
07	Somontano de Barbastro	América	06	Resto de América	344	CHILE	2
07	Somontano de Barbastro	América	06	Resto de América	345	ECUADOR	102
07	Somontano de Barbastro	América	06	Resto de América	348	PERU	1
07	Somontano de Barbastro	América	06	Resto de América	351	VENEZUELA	6
07	Somontano de Barbastro	Asia	07	Asia	401	AFGANISTAN	1
07	Somontano de Barbastro	Asia	07	Asia	407	CHINA	11
07	Somontano de Barbastro	Asia	07	Asia	410	INDIA	1
07	Somontano de Barbastro	Asia	07	Asia	416	JORDANIA	1
07	Somontano de Barbastro	Europa	01	UE-15	102	AUSTRIA	1
07	Somontano de Barbastro	Europa	01	UE-15	103	BELGICA	7
07	Somontano de Barbastro	Europa	01	UE-15	107	DINAMARCA	1
07	Somontano de Barbastro	Europa	01	UE-15	110	FRANCIA	40
07	Somontano de Barbastro	Europa	01	UE-15	115	ITALIA	2
07	Somontano de Barbastro	Europa	01	UE-15	121	PAISES BAJOS	2
07	Somontano de Barbastro	Europa	01	UE-15	123	PORTUGAL	12
07	Somontano de Barbastro	Europa	01	UE-15	125	REINO UNIDO	4
07	Somontano de Barbastro	Europa	01	UE-15	126	ALEMANIA	3
07	Somontano de Barbastro	Europa	02	Resto de Europa	104	BULGARIA	13
07	Somontano de Barbastro	Europa	02	Resto de Europa	122	POLONIA	12
07	Somontano de Barbastro	Europa	02	Resto de Europa	128	RUMANIA	21
07	Somontano de Barbastro	Europa	02	Resto de Europa	132	SUIZA	8
07	Somontano de Barbastro	Europa	02	Resto de Europa	135	UCRANIA	33
07	Somontano de Barbastro	Europa	02	Resto de Europa	142	LITUANIA	1
07	Somontano de Barbastro	Europa	02	Resto de Europa	143	REPUBLICA CHECA	1
07	Somontano de Barbastro	Europa	02	Resto de Europa	144	REPUBLICA ESLOVACA	6
07	Somontano de Barbastro	Europa	02	Resto de Europa	154	RUSIA	1
07	Somontano de Barbastro	Europa	02	Resto de Europa	155	YUGOSLAVIA	1
07	Somontano de Barbastro	Oceanía	08	Oceanía	501	AUSTRALIA	2
07	Somontano de Barbastro	África	03	Magreb	203	ARGELIA	12
07	Somontano de Barbastro	África	03	Magreb	228	MARRUECOS	203
07	Somontano de Barbastro	África	04	Resto de África	211	COSTA DE MARFIL	1
07	Somontano de Barbastro	África	04	Resto de África	216	GAMBIA	32
07	Somontano de Barbastro	África	04	Resto de África	217	GHANA	1
07	Somontano de Barbastro	África	04	Resto de África	219	GUINEA-BISSAU	1
07	Somontano de Barbastro	África	04	Resto de África	220	GUINEA ECUATORIAL	1
07	Somontano de Barbastro	África	04	Resto de África	221	KENIA	6
07	Somontano de Barbastro	África	04	Resto de África	227	MALI	20
07	Somontano de Barbastro	África	04	Resto de África	234	NIGERIA	1
07	Somontano de Barbastro	África	04	Resto de África	236	SUDAFRICA	1
08	Cinca Medio	América	05	América del Norte	302	ESTADOS UNIDOS DE AMERICA	5
08	Cinca Medio	América	06	Resto de América	303	MEXICO	4
08	Cinca Medio	América	06	Resto de América	315	CUBA	10
08	Cinca Medio	América	06	Resto de América	320	HAITI	1
08	Cinca Medio	América	06	Resto de América	326	REPUBLICA DOMINICANA	1
08	Cinca Medio	América	06	Resto de América	340	ARGENTINA	10
08	Cinca Medio	América	06	Resto de América	342	BRASIL	2
08	Cinca Medio	América	06	Resto de América	343	COLOMBIA	17
08	Cinca Medio	América	06	Resto de América	344	CHILE	2
08	Cinca Medio	América	06	Resto de América	345	ECUADOR	16
08	Cinca Medio	América	06	Resto de América	348	PERU	13
08	Cinca Medio	América	06	Resto de América	351	VENEZUELA	5
08	Cinca Medio	Asia	07	Asia	407	CHINA	5
08	Cinca Medio	Asia	07	Asia	433	SIRIA	1
08	Cinca Medio	Asia	07	Asia	447	UZBEKISTAN	3
08	Cinca Medio	Europa	01	UE-15	102	AUSTRIA	1
08	Cinca Medio	Europa	01	UE-15	103	BELGICA	1
08	Cinca Medio	Europa	01	UE-15	107	DINAMARCA	1
08	Cinca Medio	Europa	01	UE-15	110	FRANCIA	16
08	Cinca Medio	Europa	01	UE-15	113	IRLANDA	1
08	Cinca Medio	Europa	01	UE-15	115	ITALIA	6
08	Cinca Medio	Europa	01	UE-15	123	PORTUGAL	1
08	Cinca Medio	Europa	01	UE-15	125	REINO UNIDO	2
08	Cinca Medio	Europa	01	UE-15	126	ALEMANIA	5
08	Cinca Medio	Europa	02	Resto de Europa	104	BULGARIA	4
08	Cinca Medio	Europa	02	Resto de Europa	122	POLONIA	11
08	Cinca Medio	Europa	02	Resto de Europa	128	RUMANIA	120
08	Cinca Medio	Europa	02	Resto de Europa	135	UCRANIA	33
08	Cinca Medio	Europa	02	Resto de Europa	142	LITUANIA	1
08	Cinca Medio	Europa	02	Resto de Europa	143	REPUBLICA CHECA	1
08	Cinca Medio	Europa	02	Resto de Europa	154	RUSIA	2
08	Cinca Medio	Oceanía	08	Oceanía	512	TUVALU	15
08	Cinca Medio	África	03	Magreb	203	ARGELIA	135
08	Cinca Medio	África	03	Magreb	228	MARRUECOS	262
08	Cinca Medio	África	03	Magreb	230	MAURITANIA	1
08	Cinca Medio	África	03	Magreb	248	TUNEZ	2
08	Cinca Medio	África	04	Resto de África	216	GAMBIA	79
08	Cinca Medio	África	04	Resto de África	218	GUINEA	87
08	Cinca Medio	África	04	Resto de África	220	GUINEA ECUATORIAL	2
08	Cinca Medio	África	04	Resto de África	221	KENIA	1
08	Cinca Medio	África	04	Resto de África	227	MALI	75
08	Cinca Medio	África	04	Resto de África	239	SENEGAL	18
08	Cinca Medio	África	04	Resto de África	241	SIERRA LEONA	1
09	La Litera / La Llitera	América	05	América del Norte	302	ESTADOS UNIDOS DE AMERICA	3
09	La Litera / La Llitera	América	06	Resto de América	315	CUBA	32
09	La Litera / La Llitera	América	06	Resto de América	318	GRANADA	1
09	La Litera / La Llitera	América	06	Resto de América	321	HONDURAS	4
09	La Litera / La Llitera	América	06	Resto de América	326	REPUBLICA DOMINICANA	4
09	La Litera / La Llitera	América	06	Resto de América	340	ARGENTINA	32
09	La Litera / La Llitera	América	06	Resto de América	342	BRASIL	2
09	La Litera / La Llitera	América	06	Resto de América	343	COLOMBIA	33
09	La Litera / La Llitera	América	06	Resto de América	345	ECUADOR	39
09	La Litera / La Llitera	América	06	Resto de América	348	PERU	12
09	La Litera / La Llitera	América	06	Resto de América	351	VENEZUELA	4
09	La Litera / La Llitera	Asia	07	Asia	409	FILIPINAS	5
09	La Litera / La Llitera	Asia	07	Asia	426	PAKISTAN	1
09	La Litera / La Llitera	Asia	07	Asia	435	TAILANDIA	1
09	La Litera / La Llitera	Europa	01	UE-15	110	FRANCIA	17
09	La Litera / La Llitera	Europa	01	UE-15	115	ITALIA	1
09	La Litera / La Llitera	Europa	01	UE-15	123	PORTUGAL	9
09	La Litera / La Llitera	Europa	01	UE-15	125	REINO UNIDO	1
09	La Litera / La Llitera	Europa	01	UE-15	126	ALEMANIA	1
09	La Litera / La Llitera	Europa	02	Resto de Europa	104	BULGARIA	18
09	La Litera / La Llitera	Europa	02	Resto de Europa	122	POLONIA	15
09	La Litera / La Llitera	Europa	02	Resto de Europa	128	RUMANIA	38
09	La Litera / La Llitera	Europa	02	Resto de Europa	132	SUIZA	3
09	La Litera / La Llitera	Europa	02	Resto de Europa	135	UCRANIA	10
09	La Litera / La Llitera	Europa	02	Resto de Europa	154	RUSIA	1
09	La Litera / La Llitera	Oceanía	08	Oceanía	511	MICRONESIA	2
09	La Litera / La Llitera	Oceanía	08	Oceanía	512	TUVALU	1
09	La Litera / La Llitera	África	03	Magreb	203	ARGELIA	36
09	La Litera / La Llitera	África	03	Magreb	228	MARRUECOS	23
09	La Litera / La Llitera	África	04	Resto de África	204	BENIN	2
09	La Litera / La Llitera	África	04	Resto de África	206	BURUNDI	1
09	La Litera / La Llitera	África	04	Resto de África	208	CAMERUN	10
09	La Litera / La Llitera	África	04	Resto de África	211	COSTA DE MARFIL	3
09	La Litera / La Llitera	África	04	Resto de África	216	GAMBIA	102
09	La Litera / La Llitera	África	04	Resto de África	218	GUINEA	6
09	La Litera / La Llitera	África	04	Resto de África	219	GUINEA-BISSAU	4
09	La Litera / La Llitera	África	04	Resto de África	220	GUINEA ECUATORIAL	2
09	La Litera / La Llitera	África	04	Resto de África	227	MALI	131
09	La Litera / La Llitera	África	04	Resto de África	234	NIGERIA	2
09	La Litera / La Llitera	África	04	Resto de África	239	SENEGAL	11
09	La Litera / La Llitera	África	04	Resto de África	242	SOMALIA	2
09	La Litera / La Llitera	África	04	Resto de África	250	REP.DEMOCRATICA DEL CONGO	1
10	Los Monegros	América	05	América del Norte	302	ESTADOS UNIDOS DE AMERICA	7
10	Los Monegros	América	06	Resto de América	303	MEXICO	2
10	Los Monegros	América	06	Resto de América	315	CUBA	18
10	Los Monegros	América	06	Resto de América	316	DOMINICA	3
10	Los Monegros	América	06	Resto de América	326	REPUBLICA DOMINICANA	16
10	Los Monegros	América	06	Resto de América	340	ARGENTINA	4
10	Los Monegros	América	06	Resto de América	342	BRASIL	3
10	Los Monegros	América	06	Resto de América	343	COLOMBIA	70
10	Los Monegros	América	06	Resto de América	345	ECUADOR	10
10	Los Monegros	América	06	Resto de América	351	VENEZUELA	2
10	Los Monegros	Europa	01	UE-15	110	FRANCIA	27
10	Los Monegros	Europa	01	UE-15	121	PAISES BAJOS	1
10	Los Monegros	Europa	01	UE-15	123	PORTUGAL	5
10	Los Monegros	Europa	01	UE-15	125	REINO UNIDO	5
