Mes (código)	Mes y año	Dirección provincial (código)	Dirección provincial nombre	Sector código	Sector descripción	Cuentas cotización con trabajadores
201512	Diciembre 2015	50	Zaragoza	3	Construcción	2384
201512	Diciembre 2015	50	Zaragoza	4	Servicios	36189
201509	Septiembre 2015	22	Huesca	1	Agricultura, ganadería y pesca	1456
201509	Septiembre 2015	22	Huesca	2	Industria y energía	991
201509	Septiembre 2015	22	Huesca	3	Construcción	1008
201509	Septiembre 2015	22	Huesca	4	Servicios	8702
201509	Septiembre 2015	44	Teruel	1	Agricultura, ganadería y pesca	633
201509	Septiembre 2015	44	Teruel	2	Industria y energía	611
201509	Septiembre 2015	44	Teruel	3	Construcción	708
201509	Septiembre 2015	44	Teruel	4	Servicios	4683
201509	Septiembre 2015	50	Zaragoza	1	Agricultura, ganadería y pesca	1984
201509	Septiembre 2015	50	Zaragoza	2	Industria y energía	3490
201509	Septiembre 2015	50	Zaragoza	3	Construcción	2464
201509	Septiembre 2015	50	Zaragoza	4	Servicios	35822
201506	Junio 2015	22	Huesca	1	Agricultura, ganadería y pesca	1812
201506	Junio 2015	22	Huesca	2	Industria y energía	1001
201506	Junio 2015	22	Huesca	3	Construcción	1015
201506	Junio 2015	22	Huesca	4	Servicios	8878
201506	Junio 2015	44	Teruel	1	Agricultura, ganadería y pesca	666
201506	Junio 2015	44	Teruel	2	Industria y energía	615
201506	Junio 2015	44	Teruel	3	Construcción	722
201506	Junio 2015	44	Teruel	4	Servicios	4694
201506	Junio 2015	50	Zaragoza	1	Agricultura, ganadería y pesca	2096
201506	Junio 2015	50	Zaragoza	2	Industria y energía	3483
201506	Junio 2015	50	Zaragoza	3	Construcción	2458
201506	Junio 2015	50	Zaragoza	4	Servicios	36331
201503	Marzo 2015	22	Huesca	1	Agricultura, ganadería y pesca	1418
201503	Marzo 2015	22	Huesca	2	Industria y energía	983
201503	Marzo 2015	22	Huesca	3	Construcción	931
201503	Marzo 2015	22	Huesca	4	Servicios	8786
201503	Marzo 2015	44	Teruel	1	Agricultura, ganadería y pesca	579
201503	Marzo 2015	44	Teruel	2	Industria y energía	599
201503	Marzo 2015	44	Teruel	3	Construcción	643
201503	Marzo 2015	44	Teruel	4	Servicios	4619
201503	Marzo 2015	50	Zaragoza	1	Agricultura, ganadería y pesca	1681
201503	Marzo 2015	50	Zaragoza	2	Industria y energía	3449
201503	Marzo 2015	50	Zaragoza	3	Construcción	2388
201503	Marzo 2015	50	Zaragoza	4	Servicios	36327
201412	Diciembre 2014	22	Huesca	1	Agricultura, ganadería y pesca	1443
201412	Diciembre 2014	22	Huesca	2	Industria y energía	978
201412	Diciembre 2014	22	Huesca	3	Construcción	914
201412	Diciembre 2014	22	Huesca	4	Servicios	8767
201412	Diciembre 2014	44	Teruel	1	Agricultura, ganadería y pesca	590
201412	Diciembre 2014	44	Teruel	2	Industria y energía	608
201412	Diciembre 2014	44	Teruel	3	Construcción	640
201412	Diciembre 2014	44	Teruel	4	Servicios	4609
201412	Diciembre 2014	50	Zaragoza	1	Agricultura, ganadería y pesca	1713
201412	Diciembre 2014	50	Zaragoza	2	Industria y energía	3445
201412	Diciembre 2014	50	Zaragoza	3	Construcción	2331
201412	Diciembre 2014	50	Zaragoza	4	Servicios	36394
201409	Septiembre 2014	22	Huesca	1	Agricultura, ganadería y pesca	1411
201409	Septiembre 2014	22	Huesca	2	Industria y energía	972
201409	Septiembre 2014	22	Huesca	3	Construcción	972
201409	Septiembre 2014	22	Huesca	4	Servicios	8533
201409	Septiembre 2014	44	Teruel	1	Agricultura, ganadería y pesca	606
201409	Septiembre 2014	44	Teruel	2	Industria y energía	604
201409	Septiembre 2014	44	Teruel	3	Construcción	696
201409	Septiembre 2014	44	Teruel	4	Servicios	4608
201409	Septiembre 2014	50	Zaragoza	1	Agricultura, ganadería y pesca	1921
201409	Septiembre 2014	50	Zaragoza	2	Industria y energía	3490
201409	Septiembre 2014	50	Zaragoza	3	Construcción	2377
201409	Septiembre 2014	50	Zaragoza	4	Servicios	35910
201406	Junio 2014	22	Huesca	1	Agricultura, ganadería y pesca	1789
201406	Junio 2014	22	Huesca	2	Industria y energía	951
201406	Junio 2014	22	Huesca	3	Construcción	959
201406	Junio 2014	22	Huesca	4	Servicios	8697
201406	Junio 2014	44	Teruel	1	Agricultura, ganadería y pesca	632
201406	Junio 2014	44	Teruel	2	Industria y energía	610
201406	Junio 2014	44	Teruel	3	Construcción	714
201406	Junio 2014	44	Teruel	4	Servicios	4636
201406	Junio 2014	50	Zaragoza	1	Agricultura, ganadería y pesca	2070
201406	Junio 2014	50	Zaragoza	2	Industria y energía	3505
201406	Junio 2014	50	Zaragoza	3	Construcción	2443
201406	Junio 2014	50	Zaragoza	4	Servicios	36202
201403	Marzo 2014	22	Huesca	1	Agricultura, ganadería y pesca	1386
201403	Marzo 2014	22	Huesca	2	Industria y energía	941
201403	Marzo 2014	22	Huesca	3	Construcción	910
201403	Marzo 2014	22	Huesca	4	Servicios	8543
201403	Marzo 2014	44	Teruel	1	Agricultura, ganadería y pesca	540
201403	Marzo 2014	44	Teruel	2	Industria y energía	609
201403	Marzo 2014	44	Teruel	3	Construcción	667
201403	Marzo 2014	44	Teruel	4	Servicios	4551
201403	Marzo 2014	50	Zaragoza	1	Agricultura, ganadería y pesca	1616
201403	Marzo 2014	50	Zaragoza	2	Industria y energía	3468
201403	Marzo 2014	50	Zaragoza	3	Construcción	2423
201403	Marzo 2014	50	Zaragoza	4	Servicios	36039
201312	Diciembre 2013	22	Huesca	1	Agricultura, ganadería y pesca	1342
201312	Diciembre 2013	22	Huesca	2	Industria y energía	946
201312	Diciembre 2013	22	Huesca	3	Construcción	913
201312	Diciembre 2013	22	Huesca	4	Servicios	8559
201312	Diciembre 2013	44	Teruel	1	Agricultura, ganadería y pesca	544
201312	Diciembre 2013	44	Teruel	2	Industria y energía	622
201312	Diciembre 2013	44	Teruel	3	Construcción	650
201312	Diciembre 2013	44	Teruel	4	Servicios	4626
201312	Diciembre 2013	50	Zaragoza	1	Agricultura, ganadería y pesca	1637
201312	Diciembre 2013	50	Zaragoza	2	Industria y energía	3480
201312	Diciembre 2013	50	Zaragoza	3	Construcción	2348
201312	Diciembre 2013	50	Zaragoza	4	Servicios	36027
201309	Septiembre 2013	22	Huesca	1	Agricultura, ganadería y pesca	1422
201309	Septiembre 2013	22	Huesca	2	Industria y energía	931
201309	Septiembre 2013	22	Huesca	3	Construcción	981
201309	Septiembre 2013	22	Huesca	4	Servicios	8405
201309	Septiembre 2013	44	Teruel	1	Agricultura, ganadería y pesca	564
201309	Septiembre 2013	44	Teruel	2	Industria y energía	623
201309	Septiembre 2013	44	Teruel	3	Construcción	704
201309	Septiembre 2013	44	Teruel	4	Servicios	4557
201309	Septiembre 2013	50	Zaragoza	1	Agricultura, ganadería y pesca	1877
201309	Septiembre 2013	50	Zaragoza	2	Industria y energía	3484
201309	Septiembre 2013	50	Zaragoza	3	Construcción	2468
201309	Septiembre 2013	50	Zaragoza	4	Servicios	35717
201306	Junio 2013	22	Huesca	1	Agricultura, ganadería y pesca	1676
201306	Junio 2013	22	Huesca	2	Industria y energía	942
201306	Junio 2013	22	Huesca	3	Construcción	984
201306	Junio 2013	22	Huesca	4	Servicios	8598
201306	Junio 2013	44	Teruel	1	Agricultura, ganadería y pesca	606
201306	Junio 2013	44	Teruel	2	Industria y energía	629
201306	Junio 2013	44	Teruel	3	Construcción	729
201306	Junio 2013	44	Teruel	4	Servicios	4611
201306	Junio 2013	50	Zaragoza	1	Agricultura, ganadería y pesca	1910
201306	Junio 2013	50	Zaragoza	2	Industria y energía	3496
201306	Junio 2013	50	Zaragoza	3	Construcción	2581
201306	Junio 2013	50	Zaragoza	4	Servicios	36332
201303	Marzo 2013	22	Huesca	1	Agricultura, ganadería y pesca	1290
201303	Marzo 2013	22	Huesca	2	Industria y energía	942
201303	Marzo 2013	22	Huesca	3	Construcción	939
201303	Marzo 2013	22	Huesca	4	Servicios	8632
201303	Marzo 2013	44	Teruel	1	Agricultura, ganadería y pesca	500
201303	Marzo 2013	44	Teruel	2	Industria y energía	627
201303	Marzo 2013	44	Teruel	3	Construcción	700
201303	Marzo 2013	44	Teruel	4	Servicios	4527
201303	Marzo 2013	50	Zaragoza	1	Agricultura, ganadería y pesca	1517
201303	Marzo 2013	50	Zaragoza	2	Industria y energía	3486
201303	Marzo 2013	50	Zaragoza	3	Construcción	2564
201303	Marzo 2013	50	Zaragoza	4	Servicios	36327
201212	Diciembre 2012	22	Huesca	1	Agricultura, ganadería y pesca	1258
201212	Diciembre 2012	22	Huesca	2	Industria y energía	957
201212	Diciembre 2012	22	Huesca	3	Construcción	983
201212	Diciembre 2012	22	Huesca	4	Servicios	8569
201212	Diciembre 2012	44	Teruel	1	Agricultura, ganadería y pesca	493
201212	Diciembre 2012	44	Teruel	2	Industria y energía	638
201212	Diciembre 2012	44	Teruel	3	Construcción	718
201212	Diciembre 2012	44	Teruel	4	Servicios	4583
201212	Diciembre 2012	50	Zaragoza	1	Agricultura, ganadería y pesca	1508
201212	Diciembre 2012	50	Zaragoza	2	Industria y energía	3557
201212	Diciembre 2012	50	Zaragoza	3	Construcción	2638
201212	Diciembre 2012	50	Zaragoza	4	Servicios	36451
201209	Septiembre 2012	22	Huesca	1	Agricultura, ganadería y pesca	1306
201209	Septiembre 2012	22	Huesca	2	Industria y energía	967
201209	Septiembre 2012	22	Huesca	3	Construcción	1046
201209	Septiembre 2012	22	Huesca	4	Servicios	8309
201209	Septiembre 2012	44	Teruel	1	Agricultura, ganadería y pesca	538
201209	Septiembre 2012	44	Teruel	2	Industria y energía	644
201209	Septiembre 2012	44	Teruel	3	Construcción	797
201209	Septiembre 2012	44	Teruel	4	Servicios	4551
201209	Septiembre 2012	50	Zaragoza	1	Agricultura, ganadería y pesca	1785
201209	Septiembre 2012	50	Zaragoza	2	Industria y energía	3613
201209	Septiembre 2012	50	Zaragoza	3	Construcción	2839
201209	Septiembre 2012	50	Zaragoza	4	Servicios	35315
201206	Junio 2012	22	Huesca	1	Agricultura, ganadería y pesca	1566
201206	Junio 2012	22	Huesca	2	Industria y energía	986
201206	Junio 2012	22	Huesca	3	Construcción	1097
201206	Junio 2012	22	Huesca	4	Servicios	7828
201206	Junio 2012	44	Teruel	1	Agricultura, ganadería y pesca	592
201206	Junio 2012	44	Teruel	2	Industria y energía	637
201206	Junio 2012	44	Teruel	3	Construcción	848
201206	Junio 2012	44	Teruel	4	Servicios	4297
201206	Junio 2012	50	Zaragoza	1	Agricultura, ganadería y pesca	1823
201206	Junio 2012	50	Zaragoza	2	Industria y energía	3659
201206	Junio 2012	50	Zaragoza	3	Construcción	2972
201206	Junio 2012	50	Zaragoza	4	Servicios	32746
201203	Marzo 2012	22	Huesca	1	Agricultura, ganadería y pesca	1223
201203	Marzo 2012	22	Huesca	2	Industria y energía	974
201203	Marzo 2012	22	Huesca	3	Construcción	1088
201203	Marzo 2012	22	Huesca	4	Servicios	7326
201203	Marzo 2012	44	Teruel	1	Agricultura, ganadería y pesca	515
201203	Marzo 2012	44	Teruel	2	Industria y energía	640
201203	Marzo 2012	44	Teruel	3	Construcción	828
201203	Marzo 2012	44	Teruel	4	Servicios	4074
201203	Marzo 2012	50	Zaragoza	1	Agricultura, ganadería y pesca	1428
201203	Marzo 2012	50	Zaragoza	2	Industria y energía	3692
201203	Marzo 2012	50	Zaragoza	3	Construcción	2966
201203	Marzo 2012	50	Zaragoza	4	Servicios	29424
201112	Diciembre 2011	22	Huesca	1	Agricultura, ganadería y pesca	443
201112	Diciembre 2011	22	Huesca	2	Industria y energía	986
201112	Diciembre 2011	22	Huesca	3	Construcción	1112
201112	Diciembre 2011	22	Huesca	4	Servicios	7136
201112	Diciembre 2011	44	Teruel	1	Agricultura, ganadería y pesca	159
201112	Diciembre 2011	44	Teruel	2	Industria y energía	664
201112	Diciembre 2011	44	Teruel	3	Construcción	867
201112	Diciembre 2011	44	Teruel	4	Servicios	4026
201112	Diciembre 2011	50	Zaragoza	1	Agricultura, ganadería y pesca	441
201112	Diciembre 2011	50	Zaragoza	2	Industria y energía	3741
201112	Diciembre 2011	50	Zaragoza	3	Construcción	3035
201112	Diciembre 2011	50	Zaragoza	4	Servicios	27864
201109	Septiembre 2011	22	Huesca	1	Agricultura, ganadería y pesca	452
201109	Septiembre 2011	22	Huesca	2	Industria y energía	991
201109	Septiembre 2011	22	Huesca	3	Construcción	1205
201109	Septiembre 2011	22	Huesca	4	Servicios	7050
201109	Septiembre 2011	44	Teruel	1	Agricultura, ganadería y pesca	156
201109	Septiembre 2011	44	Teruel	2	Industria y energía	654
201109	Septiembre 2011	44	Teruel	3	Construcción	951
201109	Septiembre 2011	44	Teruel	4	Servicios	4018
201109	Septiembre 2011	50	Zaragoza	1	Agricultura, ganadería y pesca	455
201109	Septiembre 2011	50	Zaragoza	2	Industria y energía	3791
201109	Septiembre 2011	50	Zaragoza	3	Construcción	3253
201109	Septiembre 2011	50	Zaragoza	4	Servicios	27818
201106	Junio 2011	22	Huesca	1	Agricultura, ganadería y pesca	459
201106	Junio 2011	22	Huesca	2	Industria y energía	1004
201106	Junio 2011	22	Huesca	3	Construcción	1240
201106	Junio 2011	22	Huesca	4	Servicios	7117
201106	Junio 2011	44	Teruel	1	Agricultura, ganadería y pesca	161
201106	Junio 2011	44	Teruel	2	Industria y energía	667
201106	Junio 2011	44	Teruel	3	Construcción	984
201106	Junio 2011	44	Teruel	4	Servicios	4031
201106	Junio 2011	50	Zaragoza	1	Agricultura, ganadería y pesca	456
201106	Junio 2011	50	Zaragoza	2	Industria y energía	3862
201106	Junio 2011	50	Zaragoza	3	Construcción	3379
201106	Junio 2011	50	Zaragoza	4	Servicios	28015
201103	Marzo 2011	22	Huesca	1	Agricultura, ganadería y pesca	416
201103	Marzo 2011	22	Huesca	2	Industria y energía	1006
201103	Marzo 2011	22	Huesca	3	Construcción	1243
201103	Marzo 2011	22	Huesca	4	Servicios	7066
201103	Marzo 2011	44	Teruel	1	Agricultura, ganadería y pesca	157
201103	Marzo 2011	44	Teruel	2	Industria y energía	674
201103	Marzo 2011	44	Teruel	3	Construcción	960
201103	Marzo 2011	44	Teruel	4	Servicios	3958
201103	Marzo 2011	50	Zaragoza	1	Agricultura, ganadería y pesca	441
201103	Marzo 2011	50	Zaragoza	2	Industria y energía	3879
201103	Marzo 2011	50	Zaragoza	3	Construcción	3391
201103	Marzo 2011	50	Zaragoza	4	Servicios	27929
201012	Diciembre 2010	22	Huesca	1	Agricultura, ganadería y pesca	419
201012	Diciembre 2010	22	Huesca	2	Industria y energía	1004
201012	Diciembre 2010	22	Huesca	3	Construcción	1261
201012	Diciembre 2010	22	Huesca	4	Servicios	7172
201012	Diciembre 2010	44	Teruel	1	Agricultura, ganadería y pesca	158
201012	Diciembre 2010	44	Teruel	2	Industria y energía	686
201012	Diciembre 2010	44	Teruel	3	Construcción	967
201012	Diciembre 2010	44	Teruel	4	Servicios	4031
201012	Diciembre 2010	50	Zaragoza	1	Agricultura, ganadería y pesca	440
201012	Diciembre 2010	50	Zaragoza	2	Industria y energía	3928
201012	Diciembre 2010	50	Zaragoza	3	Construcción	3403
201012	Diciembre 2010	50	Zaragoza	4	Servicios	27951
201009	Septiembre 2010	22	Huesca	1	Agricultura, ganadería y pesca	432
201009	Septiembre 2010	22	Huesca	2	Industria y energía	1006
201009	Septiembre 2010	22	Huesca	3	Construcción	1358
201009	Septiembre 2010	22	Huesca	4	Servicios	7050
201009	Septiembre 2010	44	Teruel	1	Agricultura, ganadería y pesca	164
201009	Septiembre 2010	44	Teruel	2	Industria y energía	674
201009	Septiembre 2010	44	Teruel	3	Construcción	1027
201009	Septiembre 2010	44	Teruel	4	Servicios	4055
201009	Septiembre 2010	50	Zaragoza	1	Agricultura, ganadería y pesca	441
201009	Septiembre 2010	50	Zaragoza	2	Industria y energía	3953
201009	Septiembre 2010	50	Zaragoza	3	Construcción	3604
201009	Septiembre 2010	50	Zaragoza	4	Servicios	27822
201006	Junio 2010	22	Huesca	1	Agricultura, ganadería y pesca	433
201006	Junio 2010	22	Huesca	2	Industria y energía	1024
201006	Junio 2010	22	Huesca	3	Construcción	1419
201006	Junio 2010	22	Huesca	4	Servicios	7174
201006	Junio 2010	44	Teruel	1	Agricultura, ganadería y pesca	167
201006	Junio 2010	44	Teruel	2	Industria y energía	685
201006	Junio 2010	44	Teruel	3	Construcción	1063
201006	Junio 2010	44	Teruel	4	Servicios	4043
201006	Junio 2010	50	Zaragoza	1	Agricultura, ganadería y pesca	443
201006	Junio 2010	50	Zaragoza	2	Industria y energía	4011
201006	Junio 2010	50	Zaragoza	3	Construcción	3790
201006	Junio 2010	50	Zaragoza	4	Servicios	27900
201003	Marzo 2010	22	Huesca	1	Agricultura, ganadería y pesca	408
201003	Marzo 2010	22	Huesca	2	Industria y energía	1022
201003	Marzo 2010	22	Huesca	3	Construcción	1370
201003	Marzo 2010	22	Huesca	4	Servicios	7131
201003	Marzo 2010	44	Teruel	1	Agricultura, ganadería y pesca	161
201003	Marzo 2010	44	Teruel	2	Industria y energía	683
201003	Marzo 2010	44	Teruel	3	Construcción	1005
201003	Marzo 2010	44	Teruel	4	Servicios	4013
201003	Marzo 2010	50	Zaragoza	1	Agricultura, ganadería y pesca	437
201003	Marzo 2010	50	Zaragoza	2	Industria y energía	4013
201003	Marzo 2010	50	Zaragoza	3	Construcción	3749
201003	Marzo 2010	50	Zaragoza	4	Servicios	27793
