Año	Municipio código	Municipio nombre	Urbana   Número de recibos	Urbana   Base imponible (miles de euros)	Urbana   Base liquidable (miles de euros)	Urbana   Cuota íntegra (euros)	Urbana   Cuota líquida (euros)
2003	22001	Abiego	385	3003	3003	18020	18020
2003	22002	Abizanda	86	11119	11119	138318	138318
2003	22003	Adahuesca	163	1638	1638	9829	9829
2003	22004	Agüero	381	1602	1602	12019	12019
2003	22006	Aísa	2861	51630	51630	438856	438856
2003	22007	Albalate de Cinca	724	10345	10345	51723	51723
2003	22008	Albalatillo	259	2650	2650	10599	10599
2003	22009	Albelda	776	7925	7925	39623	39623
2003	22011	Albero Alto	87	843	843	3372	3372
2003	22012	Albero Bajo	94	1087	1087	9237	9237
2003	22013	Alberuela de Tubo	168	2020	2020	10099	10099
2003	22014	Alcalá de Gurrea	350	28877	28877	245457	245457
2003	22015	Alcalá del Obispo	383	4079	4079	16315	16315
2003	22016	Alcampell	883	9317	9317	55904	55904
2003	22017	Alcolea de Cinca	1147	16461	15585	81041	80938
2003	22018	Alcubierre	381	3524	3524	20087	20087
2003	22019	Alerre	167	3500	3500	17499	17499
2003	22020	Alfántega	131	873	873	5673	5673
2003	22021	Almudévar	1844	22736	22736	149828	149828
2003	22022	Almunia de San Juan	534	6402	6402	35403	35403
2003	22023	Almuniente	343	3407	3407	23507	23507
2003	22024	Alquézar	360	3460	3460	22488	22488
2003	22025	Altorricón	962	14173	14173	86316	86316
2003	22027	Angüés	514	4493	4493	17971	17971
2003	22028	Ansó	669	5245	5245	31472	31472
2003	22029	Antillón	118	685	685	4453	4453
2003	22032	Aragüés del Puerto	207	1972	1972	11832	11832
2003	22035	Arén	429	3994	3994	19972	19972
2003	22036	Argavieso	113	833	833	3332	3332
2003	22037	Arguis	293	3635	3635	18177	18177
2003	22039	Ayerbe	1116	12150	12150	85051	85051
2003	22040	Azanuy-Alins	326	2175	2175	18486	18486
2003	22041	Azara	164	1354	1354	6768	6768
2003	22042	Azlor	183	1259	1259	8812	8812
2003	22043	Baells	193	1416	1416	4247	4247
2003	22044	Bailo	402	2341	2341	15215	15215
2003	22045	Baldellou	245	3563	3563	14252	14252
2003	22046	Ballobar	945	13542	10018	62108	62023
2003	22047	Banastás	141	3265	3265	13061	13061
2003	22048	Barbastro	11715	347731	254190	1700534	1693243
2003	22049	Barbués	85	800	800	3202	3202
2003	22050	Barbuñales	125	1136	1136	6815	6815
2003	22051	Bárcabo	169	1382	1382	5529	5529
2003	22052	Belver de Cinca	842	10552	10552	36931	36931
2003	22053	Benabarre	1254	12254	12254	91904	91904
2003	22054	Benasque	3911	92820	92820	519792	519792
2003	22055	Berbegal	323	2598	2598	11689	11689
2003	22057	Bielsa	554	13664	13664	123338	123338
2003	22058	Bierge	375	2626	2626	15758	15758
2003	22059	Biescas	4107	143725	68597	589892	588820
2003	22060	Binaced	1030	16850	16850	74142	74142
2003	22061	Binéfar	5375	145539	120524	983473	983297
2003	22062	Bisaurri	163	1360	1360	6120	6120
2003	22063	Biscarrués	268	2431	2431	24320	24320
2003	22064	Blecua y Torres	201	1609	1609	7238	7238
2003	22066	Boltaña	1011	14582	14582	109364	109364
2003	22067	Bonansa	75	1974	1974	22202	22202
2003	22068	Borau	103	960	960	5760	5760
2003	22069	Broto	823	10086	10086	58501	58501
2003	22072	Caldearenas	262	4039	4039	34065	34065
2003	22074	Campo	497	8020	8020	48117	48117
2003	22075	Camporrells	308	1896	1896	10427	10427
2003	22076	Canal de Berdún	619	4596	4596	27575	27575
2003	22077	Candasnos	367	29133	25285	113784	33906
2003	22078	Canfranc	1483	27202	27202	200838	200736
2003	22079	Capdesaso	169	1654	1654	6616	6616
2003	22080	Capella	423	2834	2834	12755	12755
2003	22081	Casbas de Huesca	499	3258	3258	17922	17922
2003	22082	Castejón del Puente	356	4405	4405	22025	22025
2003	22083	Castejón de Monegros	556	6617	6617	29776	29776
2003	22084	Castejón de Sos	648	10358	10358	77545	77545
2003	22085	Castelflorite	106	1307	1307	5880	5880
