Municipio código	Municipio nombre	Tipo edificio (agregado)	Tipo edificio (detalle)	Número de edificios
22001	Abiego	Otro tipo	Locales	6
22001	Abiego	Principalmente vivienda	Edificio sólo con una vivienda familiar	176
22001	Abiego	Principalmente vivienda	Edificio sólo con varias viviendas familiares	8
22001	Abiego	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	2
22002	Abizanda	Otro tipo	Locales	14
22002	Abizanda	Principalmente vivienda	Edificio sólo con una vivienda familiar	79
22002	Abizanda	Principalmente vivienda	Edificio sólo con varias viviendas familiares	7
22002	Abizanda	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	3
22003	Adahuesca	Otro tipo	Locales	7
22003	Adahuesca	Principalmente vivienda	Edificio sólo con una vivienda familiar	107
22003	Adahuesca	Principalmente vivienda	Edificio sólo con varias viviendas familiares	8
22003	Adahuesca	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	1
22004	Agüero	Principalmente vivienda	Edificio sólo con una vivienda familiar	203
22004	Agüero	Principalmente vivienda	Edificio sólo con varias viviendas familiares	5
22004	Agüero	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	3
22004	Agüero	Principalmente vivienda	Edificios principalmente con vivienda colectiva: hotel, albergue, pensión	1
22004	Agüero	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	1
22006	Aísa	Otro tipo	Locales	16
22006	Aísa	Principalmente vivienda	Edificio sólo con una vivienda familiar	138
22006	Aísa	Principalmente vivienda	Edificio sólo con varias viviendas familiares	54
22006	Aísa	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	15
22006	Aísa	Principalmente vivienda	Edificios principalmente con vivienda colectiva: hotel, albergue, pensión	1
22007	Albalate de Cinca	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	3
22007	Albalate de Cinca	Otro tipo	Locales	26
22007	Albalate de Cinca	Principalmente vivienda	Edificio sólo con una vivienda familiar	349
22007	Albalate de Cinca	Principalmente vivienda	Edificio sólo con varias viviendas familiares	40
22007	Albalate de Cinca	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	21
22008	Albalatillo	Otro tipo	Locales	3
22008	Albalatillo	Principalmente vivienda	Edificio sólo con una vivienda familiar	115
22008	Albalatillo	Principalmente vivienda	Edificio sólo con varias viviendas familiares	11
22009	Albelda	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	1
22009	Albelda	Otro tipo	Locales	69
22009	Albelda	Principalmente vivienda	Edificio sólo con una vivienda familiar	355
22009	Albelda	Principalmente vivienda	Edificio sólo con varias viviendas familiares	44
22009	Albelda	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	35
22009	Albelda	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	1
22011	Albero Alto	Otro tipo	Locales	5
22011	Albero Alto	Principalmente vivienda	Edificio sólo con una vivienda familiar	48
22011	Albero Alto	Principalmente vivienda	Edificio sólo con varias viviendas familiares	2
22012	Albero Bajo	Otro tipo	Locales	1
22012	Albero Bajo	Principalmente vivienda	Edificio sólo con una vivienda familiar	43
22012	Albero Bajo	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	1
22013	Alberuela de Tubo	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	1
22013	Alberuela de Tubo	Otro tipo	Locales	10
22013	Alberuela de Tubo	Principalmente vivienda	Edificio sólo con una vivienda familiar	135
22013	Alberuela de Tubo	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	1
22014	Alcalá de Gurrea	Otro tipo	Locales	19
22014	Alcalá de Gurrea	Principalmente vivienda	Edificio sólo con una vivienda familiar	197
22014	Alcalá de Gurrea	Principalmente vivienda	Edificio sólo con varias viviendas familiares	12
22014	Alcalá de Gurrea	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	7
22015	Alcalá del Obispo	Otro tipo	Locales	12
22015	Alcalá del Obispo	Principalmente vivienda	Edificio sólo con una vivienda familiar	255
22015	Alcalá del Obispo	Principalmente vivienda	Edificio sólo con varias viviendas familiares	8
22015	Alcalá del Obispo	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	3
22016	Alcampell	Otro tipo	Locales	15
22016	Alcampell	Principalmente vivienda	Edificio sólo con una vivienda familiar	472
22016	Alcampell	Principalmente vivienda	Edificio sólo con varias viviendas familiares	8
22016	Alcampell	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	22
22017	Alcolea de Cinca	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	4
22017	Alcolea de Cinca	Otro tipo	Locales	17
22017	Alcolea de Cinca	Principalmente vivienda	Edificio sólo con una vivienda familiar	329
22017	Alcolea de Cinca	Principalmente vivienda	Edificio sólo con varias viviendas familiares	47
22017	Alcolea de Cinca	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	32
22018	Alcubierre	Otro tipo	Locales	7
22018	Alcubierre	Principalmente vivienda	Edificio sólo con una vivienda familiar	251
22018	Alcubierre	Principalmente vivienda	Edificio sólo con varias viviendas familiares	13
22018	Alcubierre	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	1
22019	Alerre	Principalmente vivienda	Edificio sólo con una vivienda familiar	60
22019	Alerre	Principalmente vivienda	Edificio sólo con varias viviendas familiares	4
22020	Alfántega	Otro tipo	Locales	4
22020	Alfántega	Principalmente vivienda	Edificio sólo con una vivienda familiar	68
22020	Alfántega	Principalmente vivienda	Edificio sólo con varias viviendas familiares	3
22020	Alfántega	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	1
22021	Almudévar	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	3
22021	Almudévar	Otro tipo	Locales	80
22021	Almudévar	Principalmente vivienda	Edificio sólo con una vivienda familiar	902
22021	Almudévar	Principalmente vivienda	Edificio sólo con varias viviendas familiares	56
22021	Almudévar	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	48
22021	Almudévar	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	1
22022	Almunia de San Juan	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	2
22022	Almunia de San Juan	Otro tipo	Locales	16
22022	Almunia de San Juan	Principalmente vivienda	Edificio sólo con una vivienda familiar	328
22022	Almunia de San Juan	Principalmente vivienda	Edificio sólo con varias viviendas familiares	9
22022	Almunia de San Juan	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	12
22023	Almuniente	Otro tipo	Locales	12
22023	Almuniente	Principalmente vivienda	Edificio sólo con una vivienda familiar	247
22023	Almuniente	Principalmente vivienda	Edificio sólo con varias viviendas familiares	5
22023	Almuniente	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	5
22024	Alquézar	Otro tipo	Locales	22
22024	Alquézar	Principalmente vivienda	Edificio sólo con una vivienda familiar	188
22024	Alquézar	Principalmente vivienda	Edificio sólo con varias viviendas familiares	10
22024	Alquézar	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	4
22025	Altorricón	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	6
22025	Altorricón	Otro tipo	Locales	36
22025	Altorricón	Principalmente vivienda	Edificio sólo con una vivienda familiar	472
22025	Altorricón	Principalmente vivienda	Edificio sólo con varias viviendas familiares	33
22025	Altorricón	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	49
22025	Altorricón	Principalmente vivienda	Edificios principalmente con vivienda colectiva: hospitales, instituciones para discapacitados,¿	1
22027	Angüés	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	1
22027	Angüés	Otro tipo	Locales	35
22027	Angüés	Principalmente vivienda	Edificio sólo con una vivienda familiar	302
22027	Angüés	Principalmente vivienda	Edificio sólo con varias viviendas familiares	5
22027	Angüés	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	11
22027	Angüés	Principalmente vivienda	Edificios principalmente con vivienda colectiva: hospitales, instituciones para discapacitados,¿	1
22028	Ansó	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	3
22028	Ansó	Otro tipo	Locales	30
22028	Ansó	Principalmente vivienda	Edificio sólo con una vivienda familiar	275
22028	Ansó	Principalmente vivienda	Edificio sólo con varias viviendas familiares	41
22028	Ansó	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	21
22028	Ansó	Principalmente vivienda	Edificios principalmente con vivienda colectiva: hotel, albergue, pensión	1
22029	Antillón	Otro tipo	Locales	3
22029	Antillón	Principalmente vivienda	Edificio sólo con una vivienda familiar	66
22029	Antillón	Principalmente vivienda	Edificio sólo con varias viviendas familiares	1
22029	Antillón	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	1
22032	Aragüés del Puerto	Otro tipo	Locales	13
22032	Aragüés del Puerto	Principalmente vivienda	Edificio sólo con una vivienda familiar	119
22032	Aragüés del Puerto	Principalmente vivienda	Edificio sólo con varias viviendas familiares	9
22032	Aragüés del Puerto	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	5
22035	Arén	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	4
22035	Arén	Otro tipo	Locales	13
22035	Arén	Principalmente vivienda	Edificio sólo con una vivienda familiar	197
22035	Arén	Principalmente vivienda	Edificio sólo con varias viviendas familiares	31
22035	Arén	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	1
22036	Argavieso	Otro tipo	Locales	3
22036	Argavieso	Principalmente vivienda	Edificio sólo con una vivienda familiar	65
22036	Argavieso	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	1
22037	Arguis	Principalmente vivienda	Edificio sólo con una vivienda familiar	56
22037	Arguis	Principalmente vivienda	Edificio sólo con varias viviendas familiares	4
22039	Ayerbe	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	2
22039	Ayerbe	Otro tipo	Locales	75
22039	Ayerbe	Principalmente vivienda	Edificio sólo con una vivienda familiar	399
22039	Ayerbe	Principalmente vivienda	Edificio sólo con varias viviendas familiares	92
22039	Ayerbe	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	41
22039	Ayerbe	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	1
22040	Azanuy-Alins	Otro tipo	Locales	4
22040	Azanuy-Alins	Principalmente vivienda	Edificio sólo con una vivienda familiar	196
22040	Azanuy-Alins	Principalmente vivienda	Edificio sólo con varias viviendas familiares	2
22040	Azanuy-Alins	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	2
22041	Azara	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	1
22041	Azara	Otro tipo	Locales	6
22041	Azara	Principalmente vivienda	Edificio sólo con una vivienda familiar	87
22041	Azara	Principalmente vivienda	Edificio sólo con varias viviendas familiares	6
22041	Azara	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	2
22042	Azlor	Otro tipo	Locales	3
22042	Azlor	Principalmente vivienda	Edificio sólo con una vivienda familiar	99
22042	Azlor	Principalmente vivienda	Edificio sólo con varias viviendas familiares	4
22043	Baells	Otro tipo	Locales	8
22043	Baells	Principalmente vivienda	Edificio sólo con una vivienda familiar	95
22043	Baells	Principalmente vivienda	Edificio sólo con varias viviendas familiares	2
22044	Bailo	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	1
22044	Bailo	Otro tipo	Locales	4
22044	Bailo	Principalmente vivienda	Edificio sólo con una vivienda familiar	148
22044	Bailo	Principalmente vivienda	Edificio sólo con varias viviendas familiares	6
22044	Bailo	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	5
22045	Baldellou	Otro tipo	Locales	4
22045	Baldellou	Principalmente vivienda	Edificio sólo con una vivienda familiar	143
22046	Ballobar	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	6
22046	Ballobar	Otro tipo	Locales	15
22046	Ballobar	Principalmente vivienda	Edificio sólo con una vivienda familiar	423
22046	Ballobar	Principalmente vivienda	Edificio sólo con varias viviendas familiares	23
22046	Ballobar	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	23
22047	Banastás	Principalmente vivienda	Edificio sólo con una vivienda familiar	67
22047	Banastás	Principalmente vivienda	Edificio sólo con varias viviendas familiares	1
22048	Barbastro	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	20
22048	Barbastro	Otro tipo	Locales	176
22048	Barbastro	Principalmente vivienda	Edificio sólo con una vivienda familiar	1070
22048	Barbastro	Principalmente vivienda	Edificio sólo con varias viviendas familiares	464
22048	Barbastro	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	491
22048	Barbastro	Principalmente vivienda	Edificios principalmente con vivienda colectiva: hotel, albergue, pensión	2
22048	Barbastro	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	9
22048	Barbastro	Principalmente vivienda	Edificios principalmente con vivienda colectiva: hospitales, instituciones para discapacitados,¿	4
22049	Barbués	Otro tipo	Locales	2
22049	Barbués	Principalmente vivienda	Edificio sólo con una vivienda familiar	57
22049	Barbués	Principalmente vivienda	Edificio sólo con varias viviendas familiares	1
22049	Barbués	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	1
22050	Barbuñales	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	1
22050	Barbuñales	Otro tipo	Locales	4
22050	Barbuñales	Principalmente vivienda	Edificio sólo con una vivienda familiar	75
22050	Barbuñales	Principalmente vivienda	Edificio sólo con varias viviendas familiares	11
22050	Barbuñales	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	1
22051	Bárcabo	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	1
22051	Bárcabo	Otro tipo	Locales	8
22051	Bárcabo	Principalmente vivienda	Edificio sólo con una vivienda familiar	59
22051	Bárcabo	Principalmente vivienda	Edificio sólo con varias viviendas familiares	2
22051	Bárcabo	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	5
22052	Belver de Cinca	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	3
22052	Belver de Cinca	Otro tipo	Locales	47
22052	Belver de Cinca	Principalmente vivienda	Edificio sólo con una vivienda familiar	452
22052	Belver de Cinca	Principalmente vivienda	Edificio sólo con varias viviendas familiares	44
22052	Belver de Cinca	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	42
22053	Benabarre	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	1
22053	Benabarre	Otro tipo	Locales	22
22053	Benabarre	Principalmente vivienda	Edificio sólo con una vivienda familiar	487
22053	Benabarre	Principalmente vivienda	Edificio sólo con varias viviendas familiares	55
22053	Benabarre	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	22
22053	Benabarre	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	1
22054	Benasque	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	2
22054	Benasque	Otro tipo	Locales	23
22054	Benasque	Principalmente vivienda	Edificio sólo con una vivienda familiar	278
22054	Benasque	Principalmente vivienda	Edificio sólo con varias viviendas familiares	118
22054	Benasque	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	77
22055	Berbegal	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	1
22055	Berbegal	Otro tipo	Locales	14
22055	Berbegal	Principalmente vivienda	Edificio sólo con una vivienda familiar	253
22055	Berbegal	Principalmente vivienda	Edificio sólo con varias viviendas familiares	6
22055	Berbegal	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	13
22057	Bielsa	Otro tipo	Locales	41
22057	Bielsa	Principalmente vivienda	Edificio sólo con una vivienda familiar	216
22057	Bielsa	Principalmente vivienda	Edificio sólo con varias viviendas familiares	32
22057	Bielsa	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	20
22058	Bierge	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	1
22058	Bierge	Otro tipo	Locales	11
22058	Bierge	Principalmente vivienda	Edificio sólo con una vivienda familiar	175
22058	Bierge	Principalmente vivienda	Edificio sólo con varias viviendas familiares	9
22058	Bierge	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	9
22059	Biescas	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	10
22059	Biescas	Otro tipo	Locales	97
22059	Biescas	Principalmente vivienda	Edificio sólo con una vivienda familiar	551
22059	Biescas	Principalmente vivienda	Edificio sólo con varias viviendas familiares	211
22059	Biescas	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	82
22059	Biescas	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	1
22059	Biescas	Principalmente vivienda	Alojamientos	1
22060	Binaced	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	6
22060	Binaced	Otro tipo	Locales	36
22060	Binaced	Principalmente vivienda	Edificio sólo con una vivienda familiar	539
22060	Binaced	Principalmente vivienda	Edificio sólo con varias viviendas familiares	35
22060	Binaced	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	32
22060	Binaced	Principalmente vivienda	Edificios principalmente con vivienda colectiva: hotel, albergue, pensión	1
22061	Binéfar	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	25
22061	Binéfar	Otro tipo	Locales	129
22061	Binéfar	Principalmente vivienda	Edificio sólo con una vivienda familiar	1232
22061	Binéfar	Principalmente vivienda	Edificio sólo con varias viviendas familiares	376
22061	Binéfar	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	227
22062	Bisaurri	Otro tipo	Locales	12
22062	Bisaurri	Principalmente vivienda	Edificio sólo con una vivienda familiar	124
22062	Bisaurri	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	2
22063	Biscarrués	Otro tipo	Locales	3
22063	Biscarrués	Principalmente vivienda	Edificio sólo con una vivienda familiar	132
22063	Biscarrués	Principalmente vivienda	Edificio sólo con varias viviendas familiares	4
22063	Biscarrués	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	3
22063	Biscarrués	Principalmente vivienda	Edificios principalmente con vivienda colectiva: hotel, albergue, pensión	1
22064	Blecua y Torres	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	1
22064	Blecua y Torres	Otro tipo	Locales	7
22064	Blecua y Torres	Principalmente vivienda	Edificio sólo con una vivienda familiar	133
22064	Blecua y Torres	Principalmente vivienda	Edificio sólo con varias viviendas familiares	1
22064	Blecua y Torres	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	1
22066	Boltaña	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	1
22066	Boltaña	Otro tipo	Locales	19
22066	Boltaña	Principalmente vivienda	Edificio sólo con una vivienda familiar	231
22066	Boltaña	Principalmente vivienda	Edificio sólo con varias viviendas familiares	66
22066	Boltaña	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	36
22067	Bonansa	Otro tipo	Locales	7
22067	Bonansa	Principalmente vivienda	Edificio sólo con una vivienda familiar	50
22067	Bonansa	Principalmente vivienda	Edificio sólo con varias viviendas familiares	2
22067	Bonansa	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	1
22068	Borau	Otro tipo	Locales	23
22068	Borau	Principalmente vivienda	Edificio sólo con una vivienda familiar	78
22068	Borau	Principalmente vivienda	Edificio sólo con varias viviendas familiares	4
22068	Borau	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	1
22069	Broto	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	7
22069	Broto	Otro tipo	Locales	19
22069	Broto	Principalmente vivienda	Edificio sólo con una vivienda familiar	239
22069	Broto	Principalmente vivienda	Edificio sólo con varias viviendas familiares	47
22069	Broto	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	23
22072	Caldearenas	Otro tipo	Locales	27
22072	Caldearenas	Principalmente vivienda	Edificio sólo con una vivienda familiar	183
22072	Caldearenas	Principalmente vivienda	Edificio sólo con varias viviendas familiares	2
22072	Caldearenas	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	2
22072	Caldearenas	Principalmente vivienda	Edificios principalmente con vivienda colectiva: hotel, albergue, pensión	1
22074	Campo	Otro tipo	Locales	27
22074	Campo	Principalmente vivienda	Edificio sólo con una vivienda familiar	181
22074	Campo	Principalmente vivienda	Edificio sólo con varias viviendas familiares	12
22074	Campo	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	24
22075	Camporrells	Otro tipo	Locales	6
22075	Camporrells	Principalmente vivienda	Edificio sólo con una vivienda familiar	190
22075	Camporrells	Principalmente vivienda	Edificio sólo con varias viviendas familiares	8
22075	Camporrells	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	3
22076	Canal de Berdún	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	8
22076	Canal de Berdún	Otro tipo	Locales	11
22076	Canal de Berdún	Principalmente vivienda	Edificio sólo con una vivienda familiar	268
22076	Canal de Berdún	Principalmente vivienda	Edificio sólo con varias viviendas familiares	9
22076	Canal de Berdún	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	3
22077	Candasnos	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	1
22077	Candasnos	Otro tipo	Locales	19
22077	Candasnos	Principalmente vivienda	Edificio sólo con una vivienda familiar	247
22077	Candasnos	Principalmente vivienda	Edificio sólo con varias viviendas familiares	8
22077	Candasnos	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	16
22078	Canfranc	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	1
22078	Canfranc	Otro tipo	Locales	8
22078	Canfranc	Principalmente vivienda	Edificio sólo con una vivienda familiar	91
22078	Canfranc	Principalmente vivienda	Edificio sólo con varias viviendas familiares	55
22078	Canfranc	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	27
22079	Capdesaso	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	1
22079	Capdesaso	Otro tipo	Locales	8
22079	Capdesaso	Principalmente vivienda	Edificio sólo con una vivienda familiar	98
22079	Capdesaso	Principalmente vivienda	Edificio sólo con varias viviendas familiares	3
22080	Capella	Otro tipo	Locales	7
22080	Capella	Principalmente vivienda	Edificio sólo con una vivienda familiar	198
22080	Capella	Principalmente vivienda	Edificio sólo con varias viviendas familiares	15
22080	Capella	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	9
22081	Casbas de Huesca	Otro tipo	Locales	13
22081	Casbas de Huesca	Principalmente vivienda	Edificio sólo con una vivienda familiar	343
22081	Casbas de Huesca	Principalmente vivienda	Edificio sólo con varias viviendas familiares	6
22081	Casbas de Huesca	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	4
22081	Casbas de Huesca	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	1
22082	Castejón del Puente	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	1
22082	Castejón del Puente	Otro tipo	Locales	10
22082	Castejón del Puente	Principalmente vivienda	Edificio sólo con una vivienda familiar	214
22082	Castejón del Puente	Principalmente vivienda	Edificio sólo con varias viviendas familiares	7
22082	Castejón del Puente	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	2
22083	Castejón de Monegros	Otro tipo	Locales	18
22083	Castejón de Monegros	Principalmente vivienda	Edificio sólo con una vivienda familiar	321
22083	Castejón de Monegros	Principalmente vivienda	Edificio sólo con varias viviendas familiares	8
22083	Castejón de Monegros	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	14
22084	Castejón de Sos	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	1
22084	Castejón de Sos	Otro tipo	Locales	8
22084	Castejón de Sos	Principalmente vivienda	Edificio sólo con una vivienda familiar	166
22084	Castejón de Sos	Principalmente vivienda	Edificio sólo con varias viviendas familiares	42
22084	Castejón de Sos	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	28
22084	Castejón de Sos	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	1
22085	Castelflorite	Otro tipo	Locales	8
22085	Castelflorite	Principalmente vivienda	Edificio sólo con una vivienda familiar	57
22085	Castelflorite	Principalmente vivienda	Edificio sólo con varias viviendas familiares	4
22086	Castiello de Jaca	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	1
22086	Castiello de Jaca	Otro tipo	Locales	6
22086	Castiello de Jaca	Principalmente vivienda	Edificio sólo con una vivienda familiar	88
22086	Castiello de Jaca	Principalmente vivienda	Edificio sólo con varias viviendas familiares	37
22086	Castiello de Jaca	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	7
22087	Castigaleu	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	1
22087	Castigaleu	Otro tipo	Locales	6
22087	Castigaleu	Principalmente vivienda	Edificio sólo con una vivienda familiar	45
22087	Castigaleu	Principalmente vivienda	Edificio sólo con varias viviendas familiares	2
22088	Castillazuelo	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	1
22088	Castillazuelo	Otro tipo	Locales	2
22088	Castillazuelo	Principalmente vivienda	Edificio sólo con una vivienda familiar	124
22088	Castillazuelo	Principalmente vivienda	Edificio sólo con varias viviendas familiares	9
22088	Castillazuelo	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	1
22089	Castillonroy	Otro tipo	Locales	18
22089	Castillonroy	Principalmente vivienda	Edificio sólo con una vivienda familiar	240
22089	Castillonroy	Principalmente vivienda	Edificio sólo con varias viviendas familiares	9
22089	Castillonroy	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	7
22090	Colungo	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	1
22090	Colungo	Otro tipo	Locales	2
22090	Colungo	Principalmente vivienda	Edificio sólo con una vivienda familiar	77
22090	Colungo	Principalmente vivienda	Edificio sólo con varias viviendas familiares	8
22090	Colungo	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	10
22094	Chalamera	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	1
22094	Chalamera	Otro tipo	Locales	3
22094	Chalamera	Principalmente vivienda	Edificio sólo con una vivienda familiar	83
22094	Chalamera	Principalmente vivienda	Edificio sólo con varias viviendas familiares	6
22094	Chalamera	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	3
22095	Chía	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	1
22095	Chía	Otro tipo	Locales	3
22095	Chía	Principalmente vivienda	Edificio sólo con una vivienda familiar	52
22095	Chía	Principalmente vivienda	Edificio sólo con varias viviendas familiares	1
22095	Chía	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	3
22096	Chimillas	Otro tipo	Locales	2
22096	Chimillas	Principalmente vivienda	Edificio sólo con una vivienda familiar	71
22096	Chimillas	Principalmente vivienda	Edificio sólo con varias viviendas familiares	6
22099	Esplús	Otro tipo	Locales	12
22099	Esplús	Principalmente vivienda	Edificio sólo con una vivienda familiar	231
22099	Esplús	Principalmente vivienda	Edificio sólo con varias viviendas familiares	22
22099	Esplús	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	10
22099	Esplús	Principalmente vivienda	Edificios principalmente con vivienda colectiva: hospitales, instituciones para discapacitados,¿	1
22102	Estada	Otro tipo	Locales	3
22102	Estada	Principalmente vivienda	Edificio sólo con una vivienda familiar	92
22102	Estada	Principalmente vivienda	Edificio sólo con varias viviendas familiares	6
22102	Estada	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	2
22103	Estadilla	Otro tipo	Locales	9
22103	Estadilla	Principalmente vivienda	Edificio sólo con una vivienda familiar	324
