Año	Nº Accidentes	Grupo Grado Código	Grupo Grado Código	Régimen Código (2 dígitos)	Régimen (2 dígitos)	CCAA
2008	2	Graves o muy graves	2	06	Especial Agrario Cuenta Ajena	Aragón
2008	2	Graves o muy graves	2	07	Especial Agrario Cuenta Propia	Aragón
2008	1	Graves o muy graves	2	09	Especial Minería del Carbón	Aragón
2007	177	Graves o muy graves	2	01	General	Aragón
2007	3	Graves o muy graves	2	05	Trabajadores Autónomos	Aragón
2007	4	Graves o muy graves	2	06	Especial Agrario Cuenta Ajena	Aragón
2007	4	Graves o muy graves	2	07	Especial Agrario Cuenta Propia	Aragón
2007	2	Graves o muy graves	2	09	Especial Minería del Carbón	Aragón
2006	152	Graves o muy graves	2	01	General	Aragón
2006	6	Graves o muy graves	2	05	Trabajadores Autónomos	Aragón
2006	5	Graves o muy graves	2	06	Especial Agrario Cuenta Ajena	Aragón
2006	2	Graves o muy graves	2	07	Especial Agrario Cuenta Propia	Aragón
2006	3	Graves o muy graves	2	09	Especial Minería del Carbón	Aragón
2005	177	Graves o muy graves	2	01	General	Aragón
2005	3	Graves o muy graves	2	05	Trabajadores Autónomos	Aragón
2005	5	Graves o muy graves	2	06	Especial Agrario Cuenta Ajena	Aragón
2005	11	Graves o muy graves	2	07	Especial Agrario Cuenta Propia	Aragón
2005	2	Graves o muy graves	2	09	Especial Minería del Carbón	Aragón
2004	205	Graves o muy graves	2	01	General	Aragón
2004	1	Graves o muy graves	2	05	Trabajadores Autónomos	Aragón
2004	8	Graves o muy graves	2	06	Especial Agrario Cuenta Ajena	Aragón
2004	10	Graves o muy graves	2	07	Especial Agrario Cuenta Propia	Aragón
2004	2	Graves o muy graves	2	09	Especial Minería del Carbón	Aragón
2003	204	Graves o muy graves	2	01	General	Aragón
2003	4	Graves o muy graves	2	06	Especial Agrario Cuenta Ajena	Aragón
2003	19	Graves o muy graves	2	07	Especial Agrario Cuenta Propia	Aragón
2003	1	Graves o muy graves	2	09	Especial Minería del Carbón	Aragón
2018	24	Mortales	3	01	General	Aragón
2018	2	Mortales	3	05	Trabajadores Autónomos	Aragón
2017	26	Mortales	3	01	General	Aragón
2016	21	Mortales	3	01	General	Aragón
2016	2	Mortales	3	05	Trabajadores Autónomos	Aragón
2015	26	Mortales	3	01	General	Aragón
2015	2	Mortales	3	05	Trabajadores Autónomos	Aragón
2014	15	Mortales	3	01	General	Aragón
2013	16	Mortales	3	01	General	Aragón
2013	1	Mortales	3	05	Trabajadores Autónomos	Aragón
2012	16	Mortales	3	01	General	Aragón
2012	2	Mortales	3	05	Trabajadores Autónomos	Aragón
2012	1	Mortales	3	06	Especial Agrario Cuenta Ajena	Aragón
2011	20	Mortales	3	01	General	Aragón
2011	1	Mortales	3	06	Especial Agrario Cuenta Ajena	Aragón
2011	2	Mortales	3	07	Especial Agrario Cuenta Propia	Aragón
2010	25	Mortales	3	01	General	Aragón
2009	34	Mortales	3	01	General	Aragón
2009	1	Mortales	3	06	Especial Agrario Cuenta Ajena	Aragón
2009	1	Mortales	3	09	Especial Minería del Carbón	Aragón
2008	30	Mortales	3	01	General	Aragón
2007	36	Mortales	3	01	General	Aragón
2007	2	Mortales	3	06	Especial Agrario Cuenta Ajena	Aragón
2007	1	Mortales	3	07	Especial Agrario Cuenta Propia	Aragón
2006	32	Mortales	3	01	General	Aragón
2006	2	Mortales	3	06	Especial Agrario Cuenta Ajena	Aragón
2005	34	Mortales	3	01	General	Aragón
2005	1	Mortales	3	05	Trabajadores Autónomos	Aragón
2004	42	Mortales	3	01	General	Aragón
2004	2	Mortales	3	07	Especial Agrario Cuenta Propia	Aragón
2003	32	Mortales	3	01	General	Aragón
