Municipio código	Municipio nombre	Año	Sistema de cultivo	Total (A+B+C1+C2+D)	(A) FRUTALES. Total	Manzano	Peral	Membrillero	Albaricoquero	Cerezo y Guindo	Melocotonero	Ciruelo	Higuera	Palmera datilera	Azufaifo y otros	Almendro	Nogal	Avellano	Nectarina	Otros frutales	(B) VIÑEDO. Total	Viñedo de uva de mesa	Viñedo de uva de vino	Viñedo de uva para pasas	(C1) OLIVAR. Total	Olivar de aceituna de mesa y para aceite	(C2) OTROS CULTIVOS LEÑOSOS. Total	(D) VIVEROS. Total
22001	Abiego	2017	Regadío	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0
22001	Abiego	2017	Secano	334	229	0	0	0	0	0	0	0	0	0	0	228	0	0	0	1	31	0	31	0	71	71	3	0
22002	Abizanda	2017	Regadío	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22002	Abizanda	2017	Secano	152	58	1	0	0	0	0	0	0	0	0	0	53	4	0	0	0	11	1	10	0	83	83	0	0
22003	Adahuesca	2017	Regadío	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	15	0	0	0	0	0
22003	Adahuesca	2017	Secano	257	126	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	72	0	72	0	56	56	3	0
22004	Agüero	2017	Regadío	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22004	Agüero	2017	Secano	53	37	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	2	0	2	0	11	11	3	0
22006	Aísa	2017	Regadío											0														
22006	Aísa	2017	Secano											0														
22007	Albalate de Cinca	2017	Regadío	630	573	15	20	0	21	57	176	3	9	0	0	107	0	0	162	3	10	0	10	0	47	47	0	0
22007	Albalate de Cinca	2017	Secano	17	15	0	0	0	0	0	4	0	0	0	0	10	0	0	1	0	1	0	1	0	1	1	0	0
22008	Albalatillo	2017	Regadío	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0
22008	Albalatillo	2017	Secano	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22009	Albelda	2017	Regadío	501	484	30	42	0	0	1	286	1	3	0	0	27	0	0	93	1	0	0	0	0	17	17	0	0
22009	Albelda	2017	Secano	151	64	2	8	0	0	0	28	0	0	0	0	18	0	0	8	0	0	0	0	0	87	87	0	0
22011	Albero Alto	2017	Regadío	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22011	Albero Alto	2017	Secano	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
22012	Albero Bajo	2017	Regadío	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22012	Albero Bajo	2017	Secano	12	12	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0
22013	Alberuela de Tubo	2017	Regadío	12	8	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	4	4	0	0
22013	Alberuela de Tubo	2017	Secano	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0
22014	Alcalá de Gurrea	2017	Regadío	129	128	0	0	0	0	0	0	0	0	0	0	127	1	0	0	0	0	0	0	0	1	1	0	0
22014	Alcalá de Gurrea	2017	Secano	66	63	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	1	0	1	0	2	2	0	0
22015	Alcalá del Obispo	2017	Regadío	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
22015	Alcalá del Obispo	2017	Secano	36	32	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	1	0	1	0	3	3	0	0
22016	Alcampell	2017	Regadío	37	31	5	3	0	0	0	7	2	0	0	0	10	0	0	4	0	0	0	0	0	6	6	0	0
22016	Alcampell	2017	Secano	290	112	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	2	0	2	0	176	176	0	0
22017	Alcolea de Cinca	2017	Regadío	345	289	22	28	0	15	53	65	2	1	0	0	16	0	0	67	20	2	0	2	0	54	54	0	0
22017	Alcolea de Cinca	2017	Secano	22	13	0	0	0	0	6	1	0	0	0	0	6	0	0	0	0	0	0	0	0	9	9	0	0
22018	Alcubierre	2017	Regadío	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22018	Alcubierre	2017	Secano	71	19	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	29	0	29	0	23	23	0	0
22019	Alerre	2017	Regadío	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22019	Alerre	2017	Secano	10	6	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	3	0	3	0	1	1	0	0
22020	Alfántega	2017	Regadío	66	58	2	6	0	0	0	34	1	0	0	0	8	0	0	7	0	1	0	1	0	4	4	3	0
