Municipio código	Municipio nombre	Espacios Naturales Protegidos	Superficie de Espacios Naturales Protegidos	Lugares de Importancia Comunitaria	Superficie Lugares de Importacia Comunitaria	Zonas de especial Protección para las Aves	Superficie Zonas de Especial Protección para las Aves
22001	Abiego	1	105,05	1	98,5158814	1	572,1915876
22002	Abizanda	0	0	0	0	0	0
22003	Adahuesca	1	3661,97	1	3659,718813	1	3661,972037
22004	Agüero	0	0	1	210,9641372	1	1590,371297
22006	Aísa	1	2524,68	3	3446,4792	1	3711,997638
22007	Albalate de Cinca	0	0	1	280,7393838	0	0
22008	Albalatillo	0	0	1	58,1385041	0	0
22009	Albelda	0	0	1	2073,025217	0	0
22011	Albero Alto	0	0	0	0	1	6,232662569
22012	Albero Bajo	0	0	0	0	1	4,339755783
22013	Alberuela de Tubo	0	0	0	0	1	122,5453076
22014	Alcalá de Gurrea	0	0	0	0	1	1622,161073
22015	Alcalá del Obispo	0	0	0	0	0	0
22016	Alcampell	0	0	1	904,3269466	0	0
22017	Alcolea de Cinca	0	0	1	310,5138752	0	0
22018	Alcubierre	0	0	1	4198,191803	1	3987,245903
22019	Alerre	0	0	0	0	0	0
22020	Alfántega	0	0	1	198,6946084	0	0
22021	Almudévar	0	0	1	1,391037169	0	0
22022	Almunia de San Juan	0	0	2	1941,03155	0	0
22023	Almuniente	0	0	0	0	0	0
22024	Alquézar	1	1005,84	1	887,1383191	1	2304,813708
22025	Altorricón	0	0	0	0	0	0
22027	Angüés	0	0	0	0	0	0
22028	Ansó	3	15948,95	4	23255,04182	3	16233,57113
22029	Antillón	0	0	0	0	0	0
22032	Aragüés del Puerto	1	2648,97	3	5365,110255	1	2677,706843
22035	Arén	0	0	0	0	1	2994,108681
22036	Argavieso	0	0	0	0	0	0
22037	Arguis	0	0	2	2395,668333	2	3416,777796
22039	Ayerbe	0	0	0	0	1	269,9036352
22040	Azanuy-Alins	0	0	1	3,711596366	0	0
22041	Azara	0	0	1	8,444504049	0	0
22042	Azlor	0	0	0	0	0	0
22043	Baells	0	0	0	0	0	0
