Año	CCAA nombre	Superficie total de las explotaciones	Hectáreas en tierras labradas	Hectáreas en tierras para pastos permanentes	Hectáreas en especies arbóreas forestales	Hectáreas en otras tierras	Hectáreas en propiedad	Hectáreas en arrendamiento	Hectáreas en aparcería	Hectáreas en otros regímenes de tenencia de las tierras
1999	Aragón	4146171,59	1720205	742489	830205	853243	2997905	717354	212288	218633
1989	Aragón	4442988	1648258	811943	829776	1153066	3199150	503414	207967	532508
