Comarca código	Comarca nombre	CCAA 2ª residencia, código	CCAA 2ª residencia, nombre	Número hogares
01	La Jacetania	02	Aragón	787
01	La Jacetania	09	Cataluña	59
01	La Jacetania	15	Navarra (Comunidad Foral de)	41
01	La Jacetania	13	Madrid (Comunidad de)	37
01	La Jacetania	10	Comunitat Valenciana	33
01	La Jacetania	01	Andalucía	16
01	La Jacetania	16	País Vasco	16
01	La Jacetania	07	Castilla y León	13
01	La Jacetania	14	Murcia (Región de)	7
01	La Jacetania	06	Cantabria	5
01	La Jacetania	03	Asturias (Principado de)	4
01	La Jacetania	11	Extremadura	4
01	La Jacetania	12	Galicia	3
01	La Jacetania	04	Balears (Illes)	2
01	La Jacetania	05	Canarias	1
01	La Jacetania	08	Castilla-La Mancha	1
01	La Jacetania	17	Rioja (La)	1
02	Alto Gállego	02	Aragón	654
02	Alto Gállego	09	Cataluña	38
02	Alto Gállego	10	Comunitat Valenciana	16
02	Alto Gállego	13	Madrid (Comunidad de)	15
02	Alto Gállego	01	Andalucía	11
02	Alto Gállego	16	País Vasco	11
02	Alto Gállego	07	Castilla y León	9
02	Alto Gállego	12	Galicia	5
02	Alto Gállego	15	Navarra (Comunidad Foral de)	4
02	Alto Gállego	06	Cantabria	3
02	Alto Gállego	08	Castilla-La Mancha	3
02	Alto Gállego	14	Murcia (Región de)	3
02	Alto Gállego	04	Balears (Illes)	1
02	Alto Gállego	11	Extremadura	1
03	Sobrarbe	02	Aragón	428
03	Sobrarbe	09	Cataluña	79
03	Sobrarbe	13	Madrid (Comunidad de)	17
03	Sobrarbe	16	País Vasco	14
03	Sobrarbe	12	Galicia	8
03	Sobrarbe	10	Comunitat Valenciana	5
03	Sobrarbe	01	Andalucía	4
03	Sobrarbe	15	Navarra (Comunidad Foral de)	3
03	Sobrarbe	06	Cantabria	2
03	Sobrarbe	08	Castilla-La Mancha	2
03	Sobrarbe	07	Castilla y León	1
03	Sobrarbe	17	Rioja (La)	1
04	La Ribagorza	02	Aragón	487
04	La Ribagorza	09	Cataluña	222
04	La Ribagorza	13	Madrid (Comunidad de)	26
04	La Ribagorza	10	Comunitat Valenciana	12
04	La Ribagorza	15	Navarra (Comunidad Foral de)	7
04	La Ribagorza	01	Andalucía	6
04	La Ribagorza	07	Castilla y León	5
04	La Ribagorza	12	Galicia	5
04	La Ribagorza	08	Castilla-La Mancha	4
04	La Ribagorza	16	País Vasco	3
04	La Ribagorza	11	Extremadura	2
04	La Ribagorza	14	Murcia (Región de)	2
04	La Ribagorza	03	Asturias (Principado de)	1
05	Cinco Villas	02	Aragón	1359
05	Cinco Villas	09	Cataluña	120
05	Cinco Villas	10	Comunitat Valenciana	34
05	Cinco Villas	15	Navarra (Comunidad Foral de)	30
05	Cinco Villas	07	Castilla y León	15
05	Cinco Villas	13	Madrid (Comunidad de)	11
05	Cinco Villas	01	Andalucía	10
05	Cinco Villas	14	Murcia (Región de)	5
05	Cinco Villas	16	País Vasco	4
05	Cinco Villas	17	Rioja (La)	4
05	Cinco Villas	11	Extremadura	3
05	Cinco Villas	12	Galicia	3
05	Cinco Villas	06	Cantabria	1
05	Cinco Villas	08	Castilla-La Mancha	1
06	Hoya de Huesca / Plana de Uesca	02	Aragón	3678
06	Hoya de Huesca / Plana de Uesca	09	Cataluña	287
06	Hoya de Huesca / Plana de Uesca	10	Comunitat Valenciana	67
06	Hoya de Huesca / Plana de Uesca	07	Castilla y León	34
06	Hoya de Huesca / Plana de Uesca	01	Andalucía	33
06	Hoya de Huesca / Plana de Uesca	13	Madrid (Comunidad de)	23
06	Hoya de Huesca / Plana de Uesca	12	Galicia	18
06	Hoya de Huesca / Plana de Uesca	08	Castilla-La Mancha	15
06	Hoya de Huesca / Plana de Uesca	16	País Vasco	14
06	Hoya de Huesca / Plana de Uesca	11	Extremadura	13
06	Hoya de Huesca / Plana de Uesca	15	Navarra (Comunidad Foral de)	11
06	Hoya de Huesca / Plana de Uesca	03	Asturias (Principado de)	7
06	Hoya de Huesca / Plana de Uesca	04	Balears (Illes)	5
06	Hoya de Huesca / Plana de Uesca	06	Cantabria	4
06	Hoya de Huesca / Plana de Uesca	14	Murcia (Región de)	3
06	Hoya de Huesca / Plana de Uesca	05	Canarias	2
06	Hoya de Huesca / Plana de Uesca	17	Rioja (La)	2
06	Hoya de Huesca / Plana de Uesca	19	Ciudad Autónoma de Melilla	1
07	Somontano de Barbastro	02	Aragón	894
07	Somontano de Barbastro	09	Cataluña	174
07	Somontano de Barbastro	10	Comunitat Valenciana	13
07	Somontano de Barbastro	07	Castilla y León	12
07	Somontano de Barbastro	01	Andalucía	10
07	Somontano de Barbastro	13	Madrid (Comunidad de)	7
07	Somontano de Barbastro	12	Galicia	6
07	Somontano de Barbastro	14	Murcia (Región de)	3
07	Somontano de Barbastro	15	Navarra (Comunidad Foral de)	3
07	Somontano de Barbastro	19	Ciudad Autónoma de Melilla	3
07	Somontano de Barbastro	11	Extremadura	2
07	Somontano de Barbastro	17	Rioja (La)	2
07	Somontano de Barbastro	03	Asturias (Principado de)	1
08	Cinca Medio	02	Aragón	689
08	Cinca Medio	09	Cataluña	309
08	Cinca Medio	10	Comunitat Valenciana	30
08	Cinca Medio	08	Castilla-La Mancha	18
08	Cinca Medio	01	Andalucía	12
08	Cinca Medio	07	Castilla y León	7
08	Cinca Medio	13	Madrid (Comunidad de)	6
08	Cinca Medio	11	Extremadura	5
08	Cinca Medio	12	Galicia	4
08	Cinca Medio	15	Navarra (Comunidad Foral de)	4
08	Cinca Medio	04	Balears (Illes)	1
08	Cinca Medio	05	Canarias	1
08	Cinca Medio	06	Cantabria	1
08	Cinca Medio	14	Murcia (Región de)	1
09	La Litera / La Llitera	02	Aragón	497
09	La Litera / La Llitera	09	Cataluña	329
09	La Litera / La Llitera	10	Comunitat Valenciana	14
09	La Litera / La Llitera	01	Andalucía	7
09	La Litera / La Llitera	13	Madrid (Comunidad de)	4
09	La Litera / La Llitera	12	Galicia	3
09	La Litera / La Llitera	14	Murcia (Región de)	3
09	La Litera / La Llitera	07	Castilla y León	2
09	La Litera / La Llitera	11	Extremadura	2
09	La Litera / La Llitera	08	Castilla-La Mancha	1
09	La Litera / La Llitera	15	Navarra (Comunidad Foral de)	1
09	La Litera / La Llitera	16	País Vasco	1
09	La Litera / La Llitera	17	Rioja (La)	1
09	La Litera / La Llitera	19	Ciudad Autónoma de Melilla	1
10	Los Monegros	02	Aragón	1266
10	Los Monegros	09	Cataluña	121
10	Los Monegros	10	Comunitat Valenciana	25
10	Los Monegros	13	Madrid (Comunidad de)	12
10	Los Monegros	06	Cantabria	6
10	Los Monegros	08	Castilla-La Mancha	5
10	Los Monegros	15	Navarra (Comunidad Foral de)	5
10	Los Monegros	01	Andalucía	3
10	Los Monegros	07	Castilla y León	3
10	Los Monegros	03	Asturias (Principado de)	2
10	Los Monegros	11	Extremadura	2
10	Los Monegros	12	Galicia	2
10	Los Monegros	17	Rioja (La)	1
11	Bajo Cinca / Baix Cinca	09	Cataluña	249
11	Bajo Cinca / Baix Cinca	02	Aragón	236
11	Bajo Cinca / Baix Cinca	10	Comunitat Valenciana	10
11	Bajo Cinca / Baix Cinca	01	Andalucía	7
11	Bajo Cinca / Baix Cinca	07	Castilla y León	4
11	Bajo Cinca / Baix Cinca	13	Madrid (Comunidad de)	4
11	Bajo Cinca / Baix Cinca	04	Balears (Illes)	3
11	Bajo Cinca / Baix Cinca	08	Castilla-La Mancha	3
11	Bajo Cinca / Baix Cinca	11	Extremadura	3
11	Bajo Cinca / Baix Cinca	12	Galicia	3
11	Bajo Cinca / Baix Cinca	06	Cantabria	1
11	Bajo Cinca / Baix Cinca	15	Navarra (Comunidad Foral de)	1
12	Tarazona y el Moncayo	02	Aragón	453
12	Tarazona y el Moncayo	09	Cataluña	48
12	Tarazona y el Moncayo	07	Castilla y León	34
12	Tarazona y el Moncayo	10	Comunitat Valenciana	14
12	Tarazona y el Moncayo	15	Navarra (Comunidad Foral de)	14
12	Tarazona y el Moncayo	16	País Vasco	8
