Mes y año	División (2 dígitos) código	División (2 dígitos) descripción	Afiliaciones en alta
Marzo 2019	11	Fabricación de bebidas	1304
Marzo 2019	13	Industria textil	909
Marzo 2019	14	Confección de prendas de vestir	1363
Marzo 2019	15	Industria del cuero y del calzado	832
Marzo 2019	16	Industria de la madera y del corcho, excepto muebles; cestería y espartería	2025
Marzo 2019	17	Industria del papel	2615
Marzo 2019	18	Artes gráficas y reproducción de soportes grabados	1656
Marzo 2019	19	Coquerías y refino de petróleo	1
Marzo 2019	20	Industria química	4005
Marzo 2019	21	Fabricación de productos farmacéuticos	1327
Marzo 2019	22	Fabricación de productos de caucho y plásticos	4284
Marzo 2019	23	Fabricación de otros productos minerales no metálicos	3648
Marzo 2019	24	Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	3206
Marzo 2019	25	Fabricación de productos metálicos, excepto maquinaria y equipo	10301
Marzo 2019	26	Fabricación de productos informáticos, electrónicos y ópticos	1700
Marzo 2019	27	Fabricación de material y equipo eléctrico	5562
Marzo 2019	28	Fabricación de maquinaria y equipo n.c.o.p.	7056
Marzo 2019	29	Fabricación de vehículos de motor, remolques y semirremolques	17445
Marzo 2019	30	Fabricación de otro material de transporte	1316
Marzo 2019	31	Fabricación de muebles	3523
Marzo 2019	32	Otras industrias manufactureras	1562
Marzo 2019	33	Reparación e instalación de maquinaria y equipo	3468
Marzo 2019	35	Suministro de energía eléctrica, gas, vapor y aire acondicionado	1116
Marzo 2019	36	Captación, depuración y distribución de agua	1628
Marzo 2019	37	Recogida y tratamiento de aguas residuales	243
Marzo 2019	38	Recogida, tratamiento y eliminación de residuos; valorización	3232
Marzo 2019	39	Actividades de descontaminación y otros servicios de gestión de residuos	22
Marzo 2019	41	Construcción de edificios	11633
Marzo 2019	42	Ingeniería civil	1914
Marzo 2019	43	Actividades de construcción especializada	22577
Marzo 2019	45	Venta y reparación de vehículos de motor y motocicletas	9807
Marzo 2019	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	26582
Marzo 2019	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	49221
Marzo 2019	49	Transporte terrestre y por tubería	22667
Marzo 2019	50	Transporte marítimo y por vías navegables interiores	5
Marzo 2019	51	Transporte aéreo	68
Marzo 2019	52	Almacenamiento y actividades anexas al transporte	6818
Marzo 2019	53	Actividades postales y de correos	2176
Marzo 2019	55	Servicios de alojamiento	6149
Marzo 2019	56	Servicios de comidas y bebidas	33394
Marzo 2019	58	Edición	1205
Marzo 2019	59	Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical	996
Marzo 2019	60	Actividades de programación y emisión de radio y televisión	418
Marzo 2019	61	Telecomunicaciones	1127
Marzo 2019	62	Programación, consultoría y otras actividades relacionadas con la informática	6037
Marzo 2019	63	Servicios de información	393
Marzo 2019	64	Servicios financieros, excepto seguros y fondos de pensiones	5746
Marzo 2019	65	Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria	1172
Marzo 2019	66	Actividades auxiliares a los servicios financieros y a los seguros	2722
Marzo 2019	68	Actividades inmobiliarias	2855
Marzo 2019	69	Actividades jurídicas y de contabilidad	7369
Marzo 2019	70	Actividades de las sedes centrales; actividades de consultoría de gestión empresarial	1874
Marzo 2019	71	Servicios técnicos de arquitectura e ingeniería; ensayos y análisis técnicos	5587
Marzo 2019	72	Investigación y desarrollo	1843
Marzo 2019	73	Publicidad y estudios de mercado	1440
Marzo 2019	74	Otras actividades profesionales, científicas y técnicas	3252
Marzo 2019	75	Actividades veterinarias	660
Marzo 2019	77	Actividades de alquiler	1490
Marzo 2019	78	Actividades relacionadas con el empleo	8903
Marzo 2019	79	Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos	1097
Marzo 2019	80	Actividades de seguridad e investigación	2800
Marzo 2019	81	Servicios a edificios y actividades de jardinería	17678
