Año	Código de la comarca	Comarca	Número total de explotaciones	Explotaciones sin tierras	Explotaciones con tierras con < 25% de su propiedad	Explotaciones con tierras con >=25% y <50% de su propiedad	Explotaciones con tierras con >=50% y  <75% de su propiedad	Explotaciones con tierras con >=75% y  <100% de su propiedad	Explotaciones con tierras cuya superficie es totalmente de su propiedad	Explotaciones con tierras
1989	01	La Jacetania	1240	17	77	54	136	137	819	1223
1989	02	Alto Gállego	787	5	59	44	64	72	543	782
1989	03	Sobrarbe	1544	8	61	63	131	162	1119	1536
1989	04	La Ribagorza	2406	10	108	123	175	292	1698	2396
1989	05	Cinco Villas	7501	114	2692	626	510	506	3053	7387
1989	06	Hoya de Huesca / Plana de Uesca	3736	35	298	230	315	411	2447	3701
1989	07	Somontano de Barbastro	3147	14	100	125	189	240	2479	3133
1989	08	Cinca Medio	2368	12	274	143	172	190	1577	2356
1989	09	La Litera / La Llitera	2779	15	129	138	229	215	2053	2764
1989	10	Los Monegros	4155	55	1090	477	523	527	1483	4100
1989	11	Bajo Cinca / Baix Cinca	2989	21	178	140	218	272	2160	2968
1989	12	Tarazona y el Moncayo	2232	13	168	142	174	178	1557	2219
1989	13	Campo de Borja	3135	19	155	149	238	418	2156	3116
1989	14	Aranda	1627	18	80	36	50	66	1377	1609
1989	15	Ribera Alta del Ebro	3615	38	575	278	383	274	2067	3577
1989	16	Valdejalón	5310	76	573	249	256	292	3864	5234
1989	17	Central	6215	123	1335	622	613	400	3122	6092
1989	18	Ribera Baja del Ebro	1921	29	351	214	221	189	917	1892
1989	19	Bajo Aragón-Caspe / Baix Aragó-Casp	2501	46	80	95	124	166	1990	2455
1989	20	Comunidad de Calatayud	8991	106	445	307	405	532	7196	8885
1989	21	Campo de Cariñena	3488	26	68	81	119	124	3070	3462
1989	22	Campo de Belchite	1569	30	235	144	129	91	940	1539
1989	23	Bajo Martín	1412	48	284	149	132	134	665	1364
1989	24	Campo de Daroca	1783	28	207	153	166	130	1099	1755
1989	25	Jiloca	3521	20	477	426	396	402	1800	3501
1989	26	Cuencas Mineras	1672	18	205	127	89	104	1129	1654
1989	27	Andorra-Sierra de Arcos	1707	17	105	72	50	106	1357	1690
1989	28	Bajo Aragón	3473	31	317	204	259	272	2390	3442
1989	29	Comunidad de Teruel	4694	35	766	460	459	647	2327	4659
1989	30	Maestrazgo	1465	4	202	65	72	80	1042	1461
1989	31	Sierra de Albarracín	1041	17	253	89	85	57	540	1024
1989	32	Gúdar-Javalambre	3636	18	416	123	111	138	2830	3618
1989	33	Matarraña / Matarranya	3071	16	148	74	124	228	2481	3055
1999	01	La Jacetania	896	21	109	54	88	121	503	875
1999	02	Alto Gállego	537	21	33	18	39	63	363	516
1999	03	Sobrarbe	937	13	73	68	98	115	570	924
1999	04	La Ribagorza	2019	51	163	104	156	254	1291	1968
1999	05	Cinco Villas	4963	134	1352	448	449	429	2151	4829
1999	06	Hoya de Huesca / Plana de Uesca	3557	55	450	212	265	366	2209	3502
1999	07	Somontano de Barbastro	2798	38	192	118	133	248	2069	2760
1999	08	Cinca Medio	2213	90	282	118	127	182	1414	2123
1999	09	La Litera / La Llitera	2755	63	215	152	185	217	1923	2692
1999	10	Los Monegros	4133	108	736	394	426	454	2015	4025
1999	11	Bajo Cinca / Baix Cinca	3134	27	362	143	188	257	2157	3107
1999	12	Tarazona y el Moncayo	1919	20	143	82	97	114	1463	1899
1999	13	Campo de Borja	3021	42	192	130	185	294	2178	2979
1999	14	Aranda	1367	30	78	36	25	35	1163	1337
1999	15	Ribera Alta del Ebro	2403	23	367	199	230	234	1350	2380
1999	16	Valdejalón	4415	60	600	189	233	256	3077	4355
1999	17	Central	4362	105	1088	394	326	281	2168	4257
1999	18	Ribera Baja del Ebro	1532	67	370	189	167	146	593	1465
1999	19	Bajo Aragón-Caspe / Baix Aragó-Casp	2289	37	159	103	125	162	1703	2252
1999	20	Comunidad de Calatayud	6309	99	438	201	211	295	5065	6210
1999	21	Campo de Cariñena	3097	30	160	70	94	127	2616	3067
1999	22	Campo de Belchite	1525	30	212	123	118	126	916	1495
1999	23	Bajo Martín	1475	47	247	126	123	120	812	1428
1999	24	Campo de Daroca	1914	34	253	125	149	136	1217	1880
1999	25	Jiloca	2853	89	413	265	317	311	1458	2764
1999	26	Cuencas Mineras	914	64	183	62	91	80	434	850
1999	27	Andorra-Sierra de Arcos	1334	16	94	28	54	80	1062	1318
1999	28	Bajo Aragón	3327	49	304	154	191	256	2373	3278
1999	29	Comunidad de Teruel	2901	109	734	367	358	365	968	2792
1999	30	Maestrazgo	917	32	154	42	44	56	589	885
1999	31	Sierra de Albarracín	548	63	157	39	47	22	220	485
1999	32	Gúdar-Javalambre	1220	57	261	67	45	65	725	1163
1999	33	Matarraña / Matarranya	2437	53	75	63	111	185	1950	2384
