Municipio código	Municipio nombre	Contaminación	Ruidos exteriores	Número hogares
44010	Albentosa	Sin contaminación o malos olores	Con ruidos exteriores	5
44010	Albentosa	Sin contaminación o malos olores	Sin ruidos exteriores	85
44011	Alcaine	Sin contaminación o malos olores	Sin ruidos exteriores	44
44012	Alcalá de la Selva	Con contaminación o malos olores	Con ruidos exteriores	4
44012	Alcalá de la Selva	Con contaminación o malos olores	Sin ruidos exteriores	7
44012	Alcalá de la Selva	Sin contaminación o malos olores	Con ruidos exteriores	9
44012	Alcalá de la Selva	Sin contaminación o malos olores	Sin ruidos exteriores	186
44013	Alcañiz	Con contaminación o malos olores	Con ruidos exteriores	298
44013	Alcañiz	Con contaminación o malos olores	Sin ruidos exteriores	309
44013	Alcañiz	Sin contaminación o malos olores	Con ruidos exteriores	739
44013	Alcañiz	Sin contaminación o malos olores	Sin ruidos exteriores	3366
44014	Alcorisa	Con contaminación o malos olores	Con ruidos exteriores	63
44014	Alcorisa	Con contaminación o malos olores	Sin ruidos exteriores	47
44014	Alcorisa	Sin contaminación o malos olores	Con ruidos exteriores	143
44014	Alcorisa	Sin contaminación o malos olores	Sin ruidos exteriores	917
44016	Alfambra	Con contaminación o malos olores	Con ruidos exteriores	1
44016	Alfambra	Con contaminación o malos olores	Sin ruidos exteriores	1
44016	Alfambra	Sin contaminación o malos olores	Sin ruidos exteriores	250
44017	Aliaga	Sin contaminación o malos olores	Con ruidos exteriores	5
44017	Aliaga	Sin contaminación o malos olores	Sin ruidos exteriores	166
44018	Almohaja	Sin contaminación o malos olores	Sin ruidos exteriores	11
44019	Alobras	Con contaminación o malos olores	Sin ruidos exteriores	1
44019	Alobras	Sin contaminación o malos olores	Con ruidos exteriores	1
44019	Alobras	Sin contaminación o malos olores	Sin ruidos exteriores	40
44020	Alpeñés	Sin contaminación o malos olores	Sin ruidos exteriores	12
44021	Allepuz	Con contaminación o malos olores	Con ruidos exteriores	2
44021	Allepuz	Sin contaminación o malos olores	Sin ruidos exteriores	54
44022	Alloza	Con contaminación o malos olores	Sin ruidos exteriores	2
44022	Alloza	Sin contaminación o malos olores	Con ruidos exteriores	1
44022	Alloza	Sin contaminación o malos olores	Sin ruidos exteriores	312
44023	Allueva	Sin contaminación o malos olores	Sin ruidos exteriores	9
44024	Anadón	Sin contaminación o malos olores	Sin ruidos exteriores	6
44025	Andorra	Con contaminación o malos olores	Con ruidos exteriores	90
44025	Andorra	Con contaminación o malos olores	Sin ruidos exteriores	152
44025	Andorra	Sin contaminación o malos olores	Con ruidos exteriores	374
44025	Andorra	Sin contaminación o malos olores	Sin ruidos exteriores	2005
44026	Arcos de las Salinas	Sin contaminación o malos olores	Sin ruidos exteriores	65
44027	Arens de Lledó	Sin contaminación o malos olores	Sin ruidos exteriores	69
44028	Argente	Sin contaminación o malos olores	Sin ruidos exteriores	104
44029	Ariño	Con contaminación o malos olores	Con ruidos exteriores	3
44029	Ariño	Con contaminación o malos olores	Sin ruidos exteriores	1
44029	Ariño	Sin contaminación o malos olores	Con ruidos exteriores	13
44029	Ariño	Sin contaminación o malos olores	Sin ruidos exteriores	308
44031	Azaila	Con contaminación o malos olores	Con ruidos exteriores	1
44031	Azaila	Con contaminación o malos olores	Sin ruidos exteriores	1
44031	Azaila	Sin contaminación o malos olores	Con ruidos exteriores	9
44031	Azaila	Sin contaminación o malos olores	Sin ruidos exteriores	68
44032	Bádenas	Sin contaminación o malos olores	Sin ruidos exteriores	13
44033	Báguena	Sin contaminación o malos olores	Con ruidos exteriores	1
44033	Báguena	Sin contaminación o malos olores	Sin ruidos exteriores	196
44034	Bañón	Con contaminación o malos olores	Sin ruidos exteriores	3
44034	Bañón	Sin contaminación o malos olores	Sin ruidos exteriores	66
44035	Barrachina	Sin contaminación o malos olores	Sin ruidos exteriores	69
44036	Bea	Sin contaminación o malos olores	Sin ruidos exteriores	18
44037	Beceite	Con contaminación o malos olores	Con ruidos exteriores	3
44037	Beceite	Con contaminación o malos olores	Sin ruidos exteriores	5
44037	Beceite	Sin contaminación o malos olores	Con ruidos exteriores	5
44037	Beceite	Sin contaminación o malos olores	Sin ruidos exteriores	224
44038	Belmonte de San José	Con contaminación o malos olores	Sin ruidos exteriores	2
44038	Belmonte de San José	Sin contaminación o malos olores	Con ruidos exteriores	1
44038	Belmonte de San José	Sin contaminación o malos olores	Sin ruidos exteriores	59
44039	Bello	Con contaminación o malos olores	Con ruidos exteriores	1
44039	Bello	Con contaminación o malos olores	Sin ruidos exteriores	4
44039	Bello	Sin contaminación o malos olores	Con ruidos exteriores	1
44039	Bello	Sin contaminación o malos olores	Sin ruidos exteriores	153
44040	Berge	Con contaminación o malos olores	Con ruidos exteriores	1
44040	Berge	Con contaminación o malos olores	Sin ruidos exteriores	1
44040	Berge	Sin contaminación o malos olores	Sin ruidos exteriores	96
44041	Bezas	Sin contaminación o malos olores	Sin ruidos exteriores	34
44042	Blancas	Sin contaminación o malos olores	Sin ruidos exteriores	74
44043	Blesa	Sin contaminación o malos olores	Sin ruidos exteriores	67
44044	Bordón	Con contaminación o malos olores	Sin ruidos exteriores	1
44044	Bordón	Sin contaminación o malos olores	Sin ruidos exteriores	56
44045	Bronchales	Sin contaminación o malos olores	Sin ruidos exteriores	193
44046	Bueña	Sin contaminación o malos olores	Sin ruidos exteriores	42
44047	Burbáguena	Sin contaminación o malos olores	Sin ruidos exteriores	121
44048	Cabra de Mora	Con contaminación o malos olores	Sin ruidos exteriores	1
44048	Cabra de Mora	Sin contaminación o malos olores	Con ruidos exteriores	1
44048	Cabra de Mora	Sin contaminación o malos olores	Sin ruidos exteriores	40
44049	Calaceite	Con contaminación o malos olores	Con ruidos exteriores	8
44049	Calaceite	Con contaminación o malos olores	Sin ruidos exteriores	31
44049	Calaceite	Sin contaminación o malos olores	Con ruidos exteriores	42
44049	Calaceite	Sin contaminación o malos olores	Sin ruidos exteriores	373
44050	Calamocha	Con contaminación o malos olores	Con ruidos exteriores	27
44050	Calamocha	Con contaminación o malos olores	Sin ruidos exteriores	113
44050	Calamocha	Sin contaminación o malos olores	Con ruidos exteriores	79
44050	Calamocha	Sin contaminación o malos olores	Sin ruidos exteriores	1378
44051	Calanda	Con contaminación o malos olores	Con ruidos exteriores	88
44051	Calanda	Con contaminación o malos olores	Sin ruidos exteriores	229
44051	Calanda	Sin contaminación o malos olores	Con ruidos exteriores	65
44051	Calanda	Sin contaminación o malos olores	Sin ruidos exteriores	842
44052	Calomarde	Sin contaminación o malos olores	Sin ruidos exteriores	33
44053	Camañas	Sin contaminación o malos olores	Sin ruidos exteriores	57
44054	Camarena de la Sierra	Sin contaminación o malos olores	Sin ruidos exteriores	66
44055	Camarillas	Sin contaminación o malos olores	Sin ruidos exteriores	43
44056	Caminreal	Con contaminación o malos olores	Sin ruidos exteriores	1
44056	Caminreal	Sin contaminación o malos olores	Con ruidos exteriores	1
44056	Caminreal	Sin contaminación o malos olores	Sin ruidos exteriores	306
44059	Cantavieja	Con contaminación o malos olores	Con ruidos exteriores	1
44059	Cantavieja	Sin contaminación o malos olores	Con ruidos exteriores	3
44059	Cantavieja	Sin contaminación o malos olores	Sin ruidos exteriores	261
44060	Cañada de Benatanduz	Sin contaminación o malos olores	Sin ruidos exteriores	25
44061	Cañada de Verich (La)	Sin contaminación o malos olores	Sin ruidos exteriores	45
44062	Cañada Vellida	Sin contaminación o malos olores	Con ruidos exteriores	1
44062	Cañada Vellida	Sin contaminación o malos olores	Sin ruidos exteriores	20
44063	Cañizar del Olivar	Con contaminación o malos olores	Con ruidos exteriores	1
44063	Cañizar del Olivar	Sin contaminación o malos olores	Sin ruidos exteriores	43
44064	Cascante del Río	Con contaminación o malos olores	Con ruidos exteriores	1
44064	Cascante del Río	Sin contaminación o malos olores	Sin ruidos exteriores	51
44065	Castejón de Tornos	Sin contaminación o malos olores	Sin ruidos exteriores	43
44066	Castel de Cabra	Sin contaminación o malos olores	Con ruidos exteriores	2
44066	Castel de Cabra	Sin contaminación o malos olores	Sin ruidos exteriores	60
44067	Castelnou	Con contaminación o malos olores	Con ruidos exteriores	2
44067	Castelnou	Sin contaminación o malos olores	Sin ruidos exteriores	40
44068	Castelserás	Con contaminación o malos olores	Con ruidos exteriores	2
44068	Castelserás	Con contaminación o malos olores	Sin ruidos exteriores	4
44068	Castelserás	Sin contaminación o malos olores	Con ruidos exteriores	1
44068	Castelserás	Sin contaminación o malos olores	Sin ruidos exteriores	302
44070	Castellar (El)	Sin contaminación o malos olores	Sin ruidos exteriores	38
44071	Castellote	Con contaminación o malos olores	Con ruidos exteriores	2
44071	Castellote	Con contaminación o malos olores	Sin ruidos exteriores	8
44071	Castellote	Sin contaminación o malos olores	Con ruidos exteriores	8
44071	Castellote	Sin contaminación o malos olores	Sin ruidos exteriores	317
44074	Cedrillas	Con contaminación o malos olores	Sin ruidos exteriores	1
44074	Cedrillas	Sin contaminación o malos olores	Sin ruidos exteriores	190
44075	Celadas	Con contaminación o malos olores	Con ruidos exteriores	4
44075	Celadas	Con contaminación o malos olores	Sin ruidos exteriores	28
44075	Celadas	Sin contaminación o malos olores	Con ruidos exteriores	33
44075	Celadas	Sin contaminación o malos olores	Sin ruidos exteriores	135
44076	Cella	Con contaminación o malos olores	Con ruidos exteriores	7
44076	Cella	Con contaminación o malos olores	Sin ruidos exteriores	36
44076	Cella	Sin contaminación o malos olores	Con ruidos exteriores	58
44076	Cella	Sin contaminación o malos olores	Sin ruidos exteriores	985
44077	Cerollera (La)	Sin contaminación o malos olores	Sin ruidos exteriores	41
44080	Codoñera (La)	Sin contaminación o malos olores	Con ruidos exteriores	1
44080	Codoñera (La)	Sin contaminación o malos olores	Sin ruidos exteriores	128
44082	Corbalán	Sin contaminación o malos olores	Sin ruidos exteriores	38
44084	Cortes de Aragón	Con contaminación o malos olores	Con ruidos exteriores	1
44084	Cortes de Aragón	Sin contaminación o malos olores	Con ruidos exteriores	1
44084	Cortes de Aragón	Sin contaminación o malos olores	Sin ruidos exteriores	48
44085	Cosa	Sin contaminación o malos olores	Sin ruidos exteriores	38
44086	Cretas	Con contaminación o malos olores	Sin ruidos exteriores	1
44086	Cretas	Sin contaminación o malos olores	Con ruidos exteriores	2
44086	Cretas	Sin contaminación o malos olores	Sin ruidos exteriores	215
44087	Crivillén	Sin contaminación o malos olores	Con ruidos exteriores	2
44087	Crivillén	Sin contaminación o malos olores	Sin ruidos exteriores	46
44088	Cuba (La)	Sin contaminación o malos olores	Sin ruidos exteriores	27
44089	Cubla	Sin contaminación o malos olores	Sin ruidos exteriores	23
44090	Cucalón	Con contaminación o malos olores	Sin ruidos exteriores	2
44090	Cucalón	Sin contaminación o malos olores	Sin ruidos exteriores	30
44092	Cuervo (El)	Con contaminación o malos olores	Sin ruidos exteriores	2
44092	Cuervo (El)	Sin contaminación o malos olores	Sin ruidos exteriores	54
44093	Cuevas de Almudén	Con contaminación o malos olores	Sin ruidos exteriores	2
44093	Cuevas de Almudén	Sin contaminación o malos olores	Sin ruidos exteriores	35
44094	Cuevas Labradas	Sin contaminación o malos olores	Sin ruidos exteriores	63
44096	Ejulve	Con contaminación o malos olores	Sin ruidos exteriores	1
44096	Ejulve	Sin contaminación o malos olores	Con ruidos exteriores	6
44096	Ejulve	Sin contaminación o malos olores	Sin ruidos exteriores	81
44097	Escorihuela	Sin contaminación o malos olores	Sin ruidos exteriores	90
44099	Escucha	Con contaminación o malos olores	Con ruidos exteriores	37
44099	Escucha	Con contaminación o malos olores	Sin ruidos exteriores	30
44099	Escucha	Sin contaminación o malos olores	Con ruidos exteriores	26
44099	Escucha	Sin contaminación o malos olores	Sin ruidos exteriores	278
44100	Estercuel	Con contaminación o malos olores	Con ruidos exteriores	9
44100	Estercuel	Con contaminación o malos olores	Sin ruidos exteriores	8
44100	Estercuel	Sin contaminación o malos olores	Con ruidos exteriores	6
44100	Estercuel	Sin contaminación o malos olores	Sin ruidos exteriores	102
44101	Ferreruela de Huerva	Con contaminación o malos olores	Con ruidos exteriores	1
44101	Ferreruela de Huerva	Sin contaminación o malos olores	Sin ruidos exteriores	38
44102	Fonfría	Sin contaminación o malos olores	Sin ruidos exteriores	12
44103	Formiche Alto	Sin contaminación o malos olores	Sin ruidos exteriores	82
44105	Fórnoles	Sin contaminación o malos olores	Sin ruidos exteriores	48
44106	Fortanete	Sin contaminación o malos olores	Con ruidos exteriores	1
44106	Fortanete	Sin contaminación o malos olores	Sin ruidos exteriores	82
44107	Foz-Calanda	Con contaminación o malos olores	Con ruidos exteriores	1
44107	Foz-Calanda	Sin contaminación o malos olores	Sin ruidos exteriores	98
44108	Fresneda (La)	Sin contaminación o malos olores	Sin ruidos exteriores	182
44109	Frías de Albarracín	Sin contaminación o malos olores	Sin ruidos exteriores	65
44110	Fuenferrada	Sin contaminación o malos olores	Sin ruidos exteriores	19
44111	Fuentes Calientes	Sin contaminación o malos olores	Sin ruidos exteriores	49
44112	Fuentes Claras	Con contaminación o malos olores	Sin ruidos exteriores	1
44112	Fuentes Claras	Sin contaminación o malos olores	Sin ruidos exteriores	257
44113	Fuentes de Rubielos	Con contaminación o malos olores	Con ruidos exteriores	1
44113	Fuentes de Rubielos	Sin contaminación o malos olores	Sin ruidos exteriores	41
44114	Fuentespalda	Sin contaminación o malos olores	Sin ruidos exteriores	132
44115	Galve	Con contaminación o malos olores	Con ruidos exteriores	1
44115	Galve	Con contaminación o malos olores	Sin ruidos exteriores	5
44115	Galve	Sin contaminación o malos olores	Con ruidos exteriores	1
44115	Galve	Sin contaminación o malos olores	Sin ruidos exteriores	46
44116	Gargallo	Con contaminación o malos olores	Sin ruidos exteriores	1
44116	Gargallo	Sin contaminación o malos olores	Con ruidos exteriores	1
44116	Gargallo	Sin contaminación o malos olores	Sin ruidos exteriores	45
44117	Gea de Albarracín	Con contaminación o malos olores	Con ruidos exteriores	1
44117	Gea de Albarracín	Con contaminación o malos olores	Sin ruidos exteriores	7
44117	Gea de Albarracín	Sin contaminación o malos olores	Sin ruidos exteriores	170
44118	Ginebrosa (La)	Sin contaminación o malos olores	Sin ruidos exteriores	101
44119	Griegos	Sin contaminación o malos olores	Sin ruidos exteriores	57
44120	Guadalaviar	Sin contaminación o malos olores	Sin ruidos exteriores	104
44121	Gúdar	Sin contaminación o malos olores	Con ruidos exteriores	2
44121	Gúdar	Sin contaminación o malos olores	Sin ruidos exteriores	27
44122	Híjar	Con contaminación o malos olores	Con ruidos exteriores	88
44122	Híjar	Con contaminación o malos olores	Sin ruidos exteriores	170
44122	Híjar	Sin contaminación o malos olores	Con ruidos exteriores	73
44122	Híjar	Sin contaminación o malos olores	Sin ruidos exteriores	421
44123	Hinojosa de Jarque	Sin contaminación o malos olores	Sin ruidos exteriores	56
44124	Hoz de la Vieja (La)	Con contaminación o malos olores	Con ruidos exteriores	1
44124	Hoz de la Vieja (La)	Sin contaminación o malos olores	Sin ruidos exteriores	60
44125	Huesa del Común	Sin contaminación o malos olores	Sin ruidos exteriores	66
44126	Iglesuela del Cid (La)	Con contaminación o malos olores	Con ruidos exteriores	1
44126	Iglesuela del Cid (La)	Con contaminación o malos olores	Sin ruidos exteriores	1
44126	Iglesuela del Cid (La)	Sin contaminación o malos olores	Sin ruidos exteriores	189
44127	Jabaloyas	Con contaminación o malos olores	Sin ruidos exteriores	1
44127	Jabaloyas	Sin contaminación o malos olores	Sin ruidos exteriores	34
44128	Jarque de la Val	Con contaminación o malos olores	Sin ruidos exteriores	1
44128	Jarque de la Val	Sin contaminación o malos olores	Sin ruidos exteriores	38
44129	Jatiel	Sin contaminación o malos olores	Sin ruidos exteriores	25
44130	Jorcas	Sin contaminación o malos olores	Sin ruidos exteriores	20
44131	Josa	Sin contaminación o malos olores	Sin ruidos exteriores	20
44132	Lagueruela	Sin contaminación o malos olores	Sin ruidos exteriores	32
44133	Lanzuela	Sin contaminación o malos olores	Sin ruidos exteriores	14
44135	Libros	Con contaminación o malos olores	Sin ruidos exteriores	1
44135	Libros	Sin contaminación o malos olores	Con ruidos exteriores	16
44135	Libros	Sin contaminación o malos olores	Sin ruidos exteriores	58
44136	Lidón	Sin contaminación o malos olores	Con ruidos exteriores	1
44136	Lidón	Sin contaminación o malos olores	Sin ruidos exteriores	38
44137	Linares de Mora	Con contaminación o malos olores	Sin ruidos exteriores	1
44137	Linares de Mora	Sin contaminación o malos olores	Sin ruidos exteriores	121
44138	Loscos	Sin contaminación o malos olores	Con ruidos exteriores	1
44138	Loscos	Sin contaminación o malos olores	Sin ruidos exteriores	84
44141	Lledó	Sin contaminación o malos olores	Sin ruidos exteriores	68
44142	Maicas	Sin contaminación o malos olores	Sin ruidos exteriores	31
44143	Manzanera	Con contaminación o malos olores	Con ruidos exteriores	1
44143	Manzanera	Sin contaminación o malos olores	Con ruidos exteriores	6
44143	Manzanera	Sin contaminación o malos olores	Sin ruidos exteriores	196
44144	Martín del Río	Con contaminación o malos olores	Con ruidos exteriores	17
44144	Martín del Río	Con contaminación o malos olores	Sin ruidos exteriores	4
44144	Martín del Río	Sin contaminación o malos olores	Con ruidos exteriores	7
44144	Martín del Río	Sin contaminación o malos olores	Sin ruidos exteriores	157
44145	Mas de las Matas	Con contaminación o malos olores	Con ruidos exteriores	4
44145	Mas de las Matas	Con contaminación o malos olores	Sin ruidos exteriores	6
44145	Mas de las Matas	Sin contaminación o malos olores	Con ruidos exteriores	18
44145	Mas de las Matas	Sin contaminación o malos olores	Sin ruidos exteriores	487
44146	Mata de los Olmos (La)	Sin contaminación o malos olores	Con ruidos exteriores	4
44146	Mata de los Olmos (La)	Sin contaminación o malos olores	Sin ruidos exteriores	92
44147	Mazaleón	Sin contaminación o malos olores	Con ruidos exteriores	3
44147	Mazaleón	Sin contaminación o malos olores	Sin ruidos exteriores	221
44148	Mezquita de Jarque	Con contaminación o malos olores	Sin ruidos exteriores	1
44148	Mezquita de Jarque	Sin contaminación o malos olores	Con ruidos exteriores	2
44148	Mezquita de Jarque	Sin contaminación o malos olores	Sin ruidos exteriores	49
44149	Mirambel	Sin contaminación o malos olores	Sin ruidos exteriores	53
44150	Miravete de la Sierra	Con contaminación o malos olores	Con ruidos exteriores	1
44150	Miravete de la Sierra	Sin contaminación o malos olores	Sin ruidos exteriores	21
44151	Molinos	Con contaminación o malos olores	Sin ruidos exteriores	2
44151	Molinos	Sin contaminación o malos olores	Con ruidos exteriores	12
44151	Molinos	Sin contaminación o malos olores	Sin ruidos exteriores	112
44152	Monforte de Moyuela	Sin contaminación o malos olores	Sin ruidos exteriores	35
44153	Monreal del Campo	Con contaminación o malos olores	Con ruidos exteriores	12
44153	Monreal del Campo	Con contaminación o malos olores	Sin ruidos exteriores	61
44153	Monreal del Campo	Sin contaminación o malos olores	Con ruidos exteriores	60
44153	Monreal del Campo	Sin contaminación o malos olores	Sin ruidos exteriores	737
44154	Monroyo	Sin contaminación o malos olores	Sin ruidos exteriores	140
44155	Montalbán	Con contaminación o malos olores	Con ruidos exteriores	25
44155	Montalbán	Con contaminación o malos olores	Sin ruidos exteriores	47
44155	Montalbán	Sin contaminación o malos olores	Con ruidos exteriores	68
44155	Montalbán	Sin contaminación o malos olores	Sin ruidos exteriores	412
44156	Monteagudo del Castillo	Sin contaminación o malos olores	Sin ruidos exteriores	26
44157	Monterde de Albarracín	Sin contaminación o malos olores	Sin ruidos exteriores	39
44158	Mora de Rubielos	Con contaminación o malos olores	Con ruidos exteriores	3
44158	Mora de Rubielos	Con contaminación o malos olores	Sin ruidos exteriores	17
44158	Mora de Rubielos	Sin contaminación o malos olores	Con ruidos exteriores	25
44158	Mora de Rubielos	Sin contaminación o malos olores	Sin ruidos exteriores	491
44159	Moscardón	Sin contaminación o malos olores	Sin ruidos exteriores	27
44160	Mosqueruela	Con contaminación o malos olores	Sin ruidos exteriores	7
44160	Mosqueruela	Sin contaminación o malos olores	Con ruidos exteriores	1
44160	Mosqueruela	Sin contaminación o malos olores	Sin ruidos exteriores	257
44161	Muniesa	Con contaminación o malos olores	Con ruidos exteriores	5
44161	Muniesa	Con contaminación o malos olores	Sin ruidos exteriores	42
44161	Muniesa	Sin contaminación o malos olores	Con ruidos exteriores	14
44161	Muniesa	Sin contaminación o malos olores	Sin ruidos exteriores	238
44163	Noguera de Albarracín	Sin contaminación o malos olores	Sin ruidos exteriores	77
44164	Nogueras	Sin contaminación o malos olores	Sin ruidos exteriores	8
44165	Nogueruelas	Con contaminación o malos olores	Con ruidos exteriores	1
44165	Nogueruelas	Sin contaminación o malos olores	Sin ruidos exteriores	88
44167	Obón	Sin contaminación o malos olores	Sin ruidos exteriores	39
44168	Odón	Con contaminación o malos olores	Sin ruidos exteriores	3
44168	Odón	Sin contaminación o malos olores	Sin ruidos exteriores	94
44169	Ojos Negros	Con contaminación o malos olores	Sin ruidos exteriores	8
44169	Ojos Negros	Sin contaminación o malos olores	Con ruidos exteriores	6
44169	Ojos Negros	Sin contaminación o malos olores	Sin ruidos exteriores	217
44171	Olba	Con contaminación o malos olores	Sin ruidos exteriores	1
44171	Olba	Sin contaminación o malos olores	Con ruidos exteriores	6
44171	Olba	Sin contaminación o malos olores	Sin ruidos exteriores	89
44172	Oliete	Con contaminación o malos olores	Con ruidos exteriores	1
44172	Oliete	Con contaminación o malos olores	Sin ruidos exteriores	4
44172	Oliete	Sin contaminación o malos olores	Con ruidos exteriores	4
44172	Oliete	Sin contaminación o malos olores	Sin ruidos exteriores	209
44173	Olmos (Los)	Con contaminación o malos olores	Sin ruidos exteriores	4
44173	Olmos (Los)	Sin contaminación o malos olores	Sin ruidos exteriores	51
44174	Orihuela del Tremedal	Con contaminación o malos olores	Con ruidos exteriores	2
44174	Orihuela del Tremedal	Con contaminación o malos olores	Sin ruidos exteriores	1
44174	Orihuela del Tremedal	Sin contaminación o malos olores	Con ruidos exteriores	1
44174	Orihuela del Tremedal	Sin contaminación o malos olores	Sin ruidos exteriores	252
44175	Orrios	Sin contaminación o malos olores	Con ruidos exteriores	1
44175	Orrios	Sin contaminación o malos olores	Sin ruidos exteriores	61
44176	Palomar de Arroyos	Con contaminación o malos olores	Con ruidos exteriores	1
44176	Palomar de Arroyos	Con contaminación o malos olores	Sin ruidos exteriores	1
44176	Palomar de Arroyos	Sin contaminación o malos olores	Con ruidos exteriores	1
44176	Palomar de Arroyos	Sin contaminación o malos olores	Sin ruidos exteriores	75
44177	Pancrudo	Sin contaminación o malos olores	Sin ruidos exteriores	64
44178	Parras de Castellote (Las)	Sin contaminación o malos olores	Sin ruidos exteriores	36
44179	Peñarroya de Tastavins	Con contaminación o malos olores	Sin ruidos exteriores	23
44179	Peñarroya de Tastavins	Sin contaminación o malos olores	Con ruidos exteriores	3
44179	Peñarroya de Tastavins	Sin contaminación o malos olores	Sin ruidos exteriores	172
44180	Peracense	Sin contaminación o malos olores	Sin ruidos exteriores	53
44181	Peralejos	Con contaminación o malos olores	Con ruidos exteriores	1
44181	Peralejos	Sin contaminación o malos olores	Sin ruidos exteriores	35
44182	Perales del Alfambra	Con contaminación o malos olores	Sin ruidos exteriores	2
44182	Perales del Alfambra	Sin contaminación o malos olores	Sin ruidos exteriores	105
44183	Pitarque	Sin contaminación o malos olores	Sin ruidos exteriores	46
44184	Plou	Con contaminación o malos olores	Con ruidos exteriores	1
44184	Plou	Sin contaminación o malos olores	Sin ruidos exteriores	25
44185	Pobo (El)	Sin contaminación o malos olores	Sin ruidos exteriores	60
44187	Portellada (La)	Con contaminación o malos olores	Con ruidos exteriores	2
44187	Portellada (La)	Sin contaminación o malos olores	Con ruidos exteriores	17
44187	Portellada (La)	Sin contaminación o malos olores	Sin ruidos exteriores	95
44189	Pozondón	Sin contaminación o malos olores	Sin ruidos exteriores	41
44190	Pozuel del Campo	Sin contaminación o malos olores	Con ruidos exteriores	3
44190	Pozuel del Campo	Sin contaminación o malos olores	Sin ruidos exteriores	52
44191	Puebla de Híjar (La)	Con contaminación o malos olores	Con ruidos exteriores	6
44191	Puebla de Híjar (La)	Con contaminación o malos olores	Sin ruidos exteriores	61
44191	Puebla de Híjar (La)	Sin contaminación o malos olores	Con ruidos exteriores	1
44191	Puebla de Híjar (La)	Sin contaminación o malos olores	Sin ruidos exteriores	343
44192	Puebla de Valverde (La)	Con contaminación o malos olores	Con ruidos exteriores	2
44192	Puebla de Valverde (La)	Con contaminación o malos olores	Sin ruidos exteriores	21
44192	Puebla de Valverde (La)	Sin contaminación o malos olores	Con ruidos exteriores	3
44192	Puebla de Valverde (La)	Sin contaminación o malos olores	Sin ruidos exteriores	189
44193	Puertomingalvo	Sin contaminación o malos olores	Con ruidos exteriores	3
44193	Puertomingalvo	Sin contaminación o malos olores	Sin ruidos exteriores	64
44194	Ráfales	Sin contaminación o malos olores	Sin ruidos exteriores	86
44195	Rillo	Sin contaminación o malos olores	Sin ruidos exteriores	54
44196	Riodeva	Sin contaminación o malos olores	Sin ruidos exteriores	90
44197	Ródenas	Con contaminación o malos olores	Sin ruidos exteriores	3
44197	Ródenas	Sin contaminación o malos olores	Con ruidos exteriores	1
44197	Ródenas	Sin contaminación o malos olores	Sin ruidos exteriores	33
44198	Royuela	Con contaminación o malos olores	Con ruidos exteriores	1
44198	Royuela	Con contaminación o malos olores	Sin ruidos exteriores	1
44198	Royuela	Sin contaminación o malos olores	Sin ruidos exteriores	88
44199	Rubiales	Sin contaminación o malos olores	Con ruidos exteriores	1
44199	Rubiales	Sin contaminación o malos olores	Sin ruidos exteriores	22
44200	Rubielos de la Cérida	Sin contaminación o malos olores	Con ruidos exteriores	1
44200	Rubielos de la Cérida	Sin contaminación o malos olores	Sin ruidos exteriores	24
44201	Rubielos de Mora	Con contaminación o malos olores	Con ruidos exteriores	2
44201	Rubielos de Mora	Con contaminación o malos olores	Sin ruidos exteriores	76
44201	Rubielos de Mora	Sin contaminación o malos olores	Con ruidos exteriores	8
44201	Rubielos de Mora	Sin contaminación o malos olores	Sin ruidos exteriores	180
44203	Salcedillo	Sin contaminación o malos olores	Sin ruidos exteriores	6
44204	Saldón	Sin contaminación o malos olores	Sin ruidos exteriores	21
44205	Samper de Calanda	Con contaminación o malos olores	Con ruidos exteriores	1
44205	Samper de Calanda	Con contaminación o malos olores	Sin ruidos exteriores	8
44205	Samper de Calanda	Sin contaminación o malos olores	Con ruidos exteriores	5
44205	Samper de Calanda	Sin contaminación o malos olores	Sin ruidos exteriores	394
44206	San Agustín	Con contaminación o malos olores	Con ruidos exteriores	1
44206	San Agustín	Con contaminación o malos olores	Sin ruidos exteriores	1
44206	San Agustín	Sin contaminación o malos olores	Sin ruidos exteriores	62
44207	San Martín del Río	Con contaminación o malos olores	Con ruidos exteriores	2
44207	San Martín del Río	Con contaminación o malos olores	Sin ruidos exteriores	1
44207	San Martín del Río	Sin contaminación o malos olores	Sin ruidos exteriores	124
44208	Santa Cruz de Nogueras	Sin contaminación o malos olores	Sin ruidos exteriores	17
44209	Santa Eulalia	Con contaminación o malos olores	Sin ruidos exteriores	1
44209	Santa Eulalia	Sin contaminación o malos olores	Sin ruidos exteriores	490
44210	Sarrión	Con contaminación o malos olores	Con ruidos exteriores	9
44210	Sarrión	Con contaminación o malos olores	Sin ruidos exteriores	8
44210	Sarrión	Sin contaminación o malos olores	Con ruidos exteriores	18
44210	Sarrión	Sin contaminación o malos olores	Sin ruidos exteriores	372
44211	Segura de los Baños	Sin contaminación o malos olores	Sin ruidos exteriores	20
44212	Seno	Sin contaminación o malos olores	Sin ruidos exteriores	23
44213	Singra	Con contaminación o malos olores	Sin ruidos exteriores	1
44213	Singra	Sin contaminación o malos olores	Sin ruidos exteriores	40
44215	Terriente	Con contaminación o malos olores	Sin ruidos exteriores	1
44215	Terriente	Sin contaminación o malos olores	Con ruidos exteriores	2
44215	Terriente	Sin contaminación o malos olores	Sin ruidos exteriores	68
