Año	Residencia provincia código	Residencia provincia nombre	Nacionalidad área código	Nacionalidad área nombre	Nacionalidad país código	Nacionalidad país nombre	Sexo	Extranjeros
1998	22	Huesca	06	Resto de América	348	Perú	Mujeres	16
1998	22	Huesca	06	Resto de América	350	Uruguay	Hombres	2
1998	22	Huesca	06	Resto de América	351	Venezuela	Hombres	1
1998	22	Huesca	06	Resto de América	351	Venezuela	Mujeres	9
1998	22	Huesca	07	Asia	401	Afganistán	Hombres	1
1998	22	Huesca	07	Asia	407	China	Hombres	15
1998	22	Huesca	07	Asia	407	China	Mujeres	9
1998	22	Huesca	07	Asia	409	Filipinas	Hombres	2
1998	22	Huesca	07	Asia	409	Filipinas	Mujeres	3
1998	22	Huesca	07	Asia	415	Japón	Hombres	1
1998	22	Huesca	07	Asia	416	Jordania	Hombres	1
1998	22	Huesca	07	Asia	419	Laos	Hombres	1
1998	22	Huesca	07	Asia	419	Laos	Mujeres	2
1998	22	Huesca	07	Asia	420	Líbano	Hombres	2
1998	22	Huesca	07	Asia	423	Mongolia	Mujeres	1
1998	22	Huesca	07	Asia	426	Pakistán	Hombres	2
1998	22	Huesca	07	Asia	430	República de Corea	Hombres	2
1998	22	Huesca	07	Asia	430	República de Corea	Mujeres	2
1998	22	Huesca	07	Asia	433	Siria	Hombres	2
1998	22	Huesca	07	Asia	433	Siria	Mujeres	1
1998	22	Huesca	07	Asia	435	Tailandia	Mujeres	3
1998	22	Huesca	07	Asia	441	Yemen	Mujeres	1
1998	22	Huesca	08	Oceanía	501	Australia	Mujeres	4
1998	22	Huesca	08	Oceanía	511	Micronesia	Hombres	1
1998	22	Huesca	08	Oceanía	512	Tuvalu	Hombres	1
1998	44	Teruel	01	UE-15	102	Austria	Hombres	1
1998	44	Teruel	01	UE-15	103	Bélgica	Hombres	5
1998	44	Teruel	01	UE-15	103	Bélgica	Mujeres	5
1998	44	Teruel	01	UE-15	110	Francia	Hombres	29
1998	44	Teruel	01	UE-15	110	Francia	Mujeres	41
1998	44	Teruel	01	UE-15	111	Grecia	Hombres	3
1998	44	Teruel	01	UE-15	113	Irlanda	Hombres	1
1998	44	Teruel	01	UE-15	113	Irlanda	Mujeres	1
1998	44	Teruel	01	UE-15	115	Italia	Hombres	10
