Municipio codigo	Municipio nombre	Estado civil, código	Estado civil	Sexo, código	Sexo	Nº personas
22113	Fueva (La)	1	Soltero	1	Hombre	95,9899978581
22114	Gistaín	1	Soltero	1	Hombre	31,5178876894
22115	Grado (El)	1	Soltero	1	Hombre	93,8536551662
22116	Grañén	1	Soltero	1	Hombre	370,4150307554
22117	Graus	1	Soltero	1	Hombre	795,439184196
22119	Gurrea de Gállego	1	Soltero	1	Hombre	243,3076606702
22122	Hoz de Jaca	1	Soltero	1	Hombre	13,4056166062
22124	Huerto	1	Soltero	1	Hombre	45,3434352287
22125	Huesca	1	Soltero	1	Hombre	7176,8250677678
22126	Ibieca	1	Soltero	1	Hombre	19,3288366233
22127	Igriés	1	Soltero	1	Hombre	67,164151178
22128	Ilche	1	Soltero	1	Hombre	34,048667167
22129	Isábena	1	Soltero	1	Hombre	66,0543405116
22130	Jaca	1	Soltero	1	Hombre	1899,569810163
22131	Jasa	1	Soltero	1	Hombre	17,7266916112
22133	Labuerda	1	Soltero	1	Hombre	26,082176006
22135	Laluenga	1	Soltero	1	Hombre	46,1555353211
22136	Lalueza	1	Soltero	1	Hombre	174,7446724101
22137	Lanaja	1	Soltero	1	Hombre	242,143372154
22139	Laperdiguera	1	Soltero	1	Hombre	18,1712632915
22141	Lascellas-Ponzano	1	Soltero	1	Hombre	27,249692814
22142	Lascuarre	1	Soltero	1	Hombre	30,2638427645
22143	Laspaúles	1	Soltero	1	Hombre	65,305295759
22144	Laspuña	1	Soltero	1	Hombre	61,4507982688
22149	Loarre	1	Soltero	1	Hombre	87,8701561804
22150	Loporzano	1	Soltero	1	Hombre	82,9228245695
22151	Loscorrales	1	Soltero	1	Hombre	30,8833056377
22155	Monesma y Cajigar	1	Soltero	1	Hombre	26,1318711744
22156	Monflorite-Lascasas	1	Soltero	1	Hombre	55,133151258
22157	Montanuy	1	Soltero	1	Hombre	92,3990493339
22158	Monzón	1	Soltero	1	Hombre	2562,7167108046
22160	Naval	1	Soltero	1	Hombre	41,5283166543
22162	Novales	1	Soltero	1	Hombre	23,6226544091
22163	Nueno	1	Soltero	1	Hombre	86,7539170483
22164	Olvena	1	Soltero	1	Hombre	5,7146455639
22165	Ontiñena	1	Soltero	1	Hombre	106,5887331465
22167	Osso de Cinca	1	Soltero	1	Hombre	147,4689627532
22168	Palo	1	Soltero	1	Hombre	7,0260242937
22170	Panticosa	1	Soltero	1	Hombre	192,4985376387
22172	Peñalba	1	Soltero	1	Hombre	121,4903612912
22173	Peñas de Riglos (Las)	1	Soltero	1	Hombre	69,8751017035
22174	Peralta de Alcofea	1	Soltero	1	Hombre	111,5897433954
22175	Peralta de Calasanz	1	Soltero	1	Hombre	57,5221681959
22176	Peraltilla	1	Soltero	1	Hombre	46,0988510297
22177	Perarrúa	1	Soltero	1	Hombre	19,1309109518
22178	Pertusa	1	Soltero	1	Hombre	28,9139004584
22181	Piracés	1	Soltero	1	Hombre	22,5005748993
22182	Plan	1	Soltero	1	Hombre	69,4989028687
22184	Poleñino	1	Soltero	1	Hombre	37,0281354006
22186	Pozán de Vero	1	Soltero	1	Hombre	45,7766466019
22187	Puebla de Castro (La)	1	Soltero	1	Hombre	55,7051756971
22188	Puente de Montañana	1	Soltero	1	Hombre	17,4409315737
22189	Puértolas	1	Soltero	1	Hombre	54,0473282464
22190	Pueyo de Araguás (El)	1	Soltero	1	Hombre	50,0486560169
22193	Pueyo de Santa Cruz	1	Soltero	1	Hombre	65,6696389724
22195	Quicena	1	Soltero	1	Hombre	47,3575408446
22197	Robres	1	Soltero	1	Hombre	114,5113883932
22199	Sabiñánigo	1	Soltero	1	Hombre	1439,0346779802
22200	Sahún	1	Soltero	1	Hombre	74,0486188577
22201	Salas Altas	1	Soltero	1	Hombre	61,3038729017
22202	Salas Bajas	1	Soltero	1	Hombre	15,9021766263
22203	Salillas	1	Soltero	1	Hombre	21,1951273235
22204	Sallent de Gállego	1	Soltero	1	Hombre	233,8107529106
22205	San Esteban de Litera	1	Soltero	1	Hombre	74,8998911992
22206	Sangarrén	1	Soltero	1	Hombre	45,1793521843
22207	San Juan de Plan	1	Soltero	1	Hombre	32,0757905523
22208	Santa Cilia	1	Soltero	1	Hombre	42,1669915315
22209	Santa Cruz de la Serós	1	Soltero	1	Hombre	43,3838264279
22212	Santaliestra y San Quílez	1	Soltero	1	Hombre	10,9865708497
22213	Sariñena	1	Soltero	1	Hombre	718,4166620033
22214	Secastilla	1	Soltero	1	Hombre	25,6282888425
22215	Seira	1	Soltero	1	Hombre	21,5577080117
22217	Sena	1	Soltero	1	Hombre	77,7710424972
22218	Senés de Alcubierre	1	Soltero	1	Hombre	8,3485704845
22220	Sesa	1	Soltero	1	Hombre	40,7868454237
22221	Sesué	1	Soltero	1	Hombre	30,4618949016
22222	Siétamo	1	Soltero	1	Hombre	94,9494569439
22223	Sopeira	1	Soltero	1	Hombre	25,8492582694
22225	Tamarite de Litera	1	Soltero	1	Hombre	528,3499093022
22226	Tardienta	1	Soltero	1	Hombre	174,1958269915
22227	Tella-Sin	1	Soltero	1	Hombre	63,2086608815
22228	Tierz	1	Soltero	1	Hombre	78,1336648807
22229	Tolva	1	Soltero	1	Hombre	32,3450114271
22230	Torla	1	Soltero	1	Hombre	67,8596470227
22232	Torralba de Aragón	1	Soltero	1	Hombre	21,0470597447
22233	Torre la Ribera	1	Soltero	1	Hombre	28,1924075874
22234	Torrente de Cinca	1	Soltero	1	Hombre	233,3872293814
22235	Torres de Alcanadre	1	Soltero	1	Hombre	27,6636146919
22236	Torres de Barbués	1	Soltero	1	Hombre	46,7417219012
22239	Tramaced	1	Soltero	1	Hombre	35,882124531
22242	Valfarta	1	Soltero	1	Hombre	21,7158930637
22243	Valle de Bardají	1	Soltero	1	Hombre	9,6911755897
22244	Valle de Lierp	1	Soltero	1	Hombre	5,1617527881
22245	Velilla de Cinca	1	Soltero	1	Hombre	79,6032781987
22246	Beranuy	1	Soltero	1	Hombre	23,9331474942
22247	Viacamp y Litera	1	Soltero	1	Hombre	10,7919900092
22248	Vicién	1	Soltero	1	Hombre	16,6352230061
22249	Villanova	1	Soltero	1	Hombre	24,4161822393
22250	Villanúa	1	Soltero	1	Hombre	113,0073491641
22251	Villanueva de Sigena	1	Soltero	1	Hombre	67,9508681371
22252	Yebra de Basa	1	Soltero	1	Hombre	28,0731391203
22253	Yésero	1	Soltero	1	Hombre	15,1736173797
22254	Zaidín	1	Soltero	1	Hombre	249,5675093857
22901	Valle de Hecho	1	Soltero	1	Hombre	218,0504620682
22902	Puente la Reina de Jaca	1	Soltero	1	Hombre	62,7950484845
22903	San Miguel del Cinca	1	Soltero	1	Hombre	129,4845231763
22904	Sotonera (La)	1	Soltero	1	Hombre	226,8609504235
22905	Lupiñén-Ortilla	1	Soltero	1	Hombre	67,1754550099
22906	Santa María de Dulcis	1	Soltero	1	Hombre	33,6850654468
22907	Aínsa-Sobrarbe	1	Soltero	1	Hombre	325,2075776855
22908	Hoz y Costeán	1	Soltero	1	Hombre	35,7228786972
22909	Vencillón	1	Soltero	1	Hombre	58,2640594901
44001	Ababuj	1	Soltero	1	Hombre	22,5133690665
44002	Abejuela	1	Soltero	1	Hombre	10,5442819013
44003	Aguatón	1	Soltero	1	Hombre	2,2696449003
44004	Aguaviva	1	Soltero	1	Hombre	109,7159497675
44005	Aguilar del Alfambra	1	Soltero	1	Hombre	12,0102845563
44006	Alacón	1	Soltero	1	Hombre	52,2387274399
44007	Alba	1	Soltero	1	Hombre	37,361234048
44008	Albalate del Arzobispo	1	Soltero	1	Hombre	299,9188383777
