Municipio código	Municipio nombre	Lugar trabajo o estudio	Personas residentes viviendas familiares	Situación preferente
22001	Abiego	En mi propio domicilio	11	Trabajadores
22001	Abiego	En varios municipios (viajante, conductor,...)	14	Trabajadores
22001	Abiego	En este municipio	2	Estudiantes que no trabajan
22001	Abiego	En este municipio	51	Trabajadores
22001	Abiego	En otro municipio	18	Estudiantes que no trabajan
22001	Abiego	En otro municipio	25	Trabajadores
22002	Abizanda	En varios municipios (viajante, conductor,...)	4	Trabajadores
22002	Abizanda	En este municipio	1	Estudiantes que no trabajan
22002	Abizanda	En este municipio	12	Trabajadores
22002	Abizanda	En otro municipio	11	Estudiantes que no trabajan
22002	Abizanda	En otro municipio	38	Trabajadores
22002	Abizanda	En otro país	1	Trabajadores
22003	Adahuesca	En mi propio domicilio	2	Trabajadores
22003	Adahuesca	En varios municipios (viajante, conductor,...)	8	Trabajadores
22003	Adahuesca	En este municipio	3	Estudiantes que no trabajan
22003	Adahuesca	En este municipio	33	Trabajadores
22003	Adahuesca	En otro municipio	3	Estudiantes que no trabajan
22003	Adahuesca	En otro municipio	13	Trabajadores
22004	Agüero	En mi propio domicilio	1	Trabajadores
22004	Agüero	En varios municipios (viajante, conductor,...)	2	Trabajadores
22004	Agüero	En este municipio	22	Trabajadores
22004	Agüero	En otro municipio	1	Estudiantes que no trabajan
22004	Agüero	En otro municipio	28	Trabajadores
22006	Aísa	En mi propio domicilio	2	Estudiantes que no trabajan
22006	Aísa	En mi propio domicilio	7	Trabajadores
22006	Aísa	En varios municipios (viajante, conductor,...)	8	Trabajadores
22006	Aísa	En este municipio	2	Estudiantes que no trabajan
22006	Aísa	En este municipio	66	Trabajadores
22006	Aísa	En otro municipio	31	Estudiantes que no trabajan
22006	Aísa	En otro municipio	94	Trabajadores
22006	Aísa	En otro país	1	Estudiantes que no trabajan
22006	Aísa	En otro país	1	Trabajadores
22007	Albalate de Cinca	En mi propio domicilio	23	Trabajadores
22007	Albalate de Cinca	En varios municipios (viajante, conductor,...)	21	Trabajadores
22007	Albalate de Cinca	En este municipio	2	Estudiantes que no trabajan
22007	Albalate de Cinca	En este municipio	315	Trabajadores
22007	Albalate de Cinca	En otro municipio	54	Estudiantes que no trabajan
22007	Albalate de Cinca	En otro municipio	136	Trabajadores
22007	Albalate de Cinca	En otro país	1	Trabajadores
22008	Albalatillo	En varios municipios (viajante, conductor,...)	3	Trabajadores
22008	Albalatillo	En este municipio	2	Estudiantes que no trabajan
22008	Albalatillo	En este municipio	36	Trabajadores
22008	Albalatillo	En otro municipio	13	Estudiantes que no trabajan
22008	Albalatillo	En otro municipio	46	Trabajadores
22009	Albelda	En mi propio domicilio	29	Trabajadores
22009	Albelda	En varios municipios (viajante, conductor,...)	24	Trabajadores
22009	Albelda	En este municipio	134	Trabajadores
22009	Albelda	En otro municipio	46	Estudiantes que no trabajan
22009	Albelda	En otro municipio	123	Trabajadores
22009	Albelda	En otro país	2	Trabajadores
22011	Albero Alto	En mi propio domicilio	1	Estudiantes que no trabajan
22011	Albero Alto	En mi propio domicilio	7	Trabajadores
22011	Albero Alto	En varios municipios (viajante, conductor,...)	2	Trabajadores
22011	Albero Alto	En este municipio	14	Trabajadores
22011	Albero Alto	En otro municipio	3	Estudiantes que no trabajan
22011	Albero Alto	En otro municipio	20	Trabajadores
22012	Albero Bajo	En mi propio domicilio	1	Trabajadores
22012	Albero Bajo	En varios municipios (viajante, conductor,...)	3	Trabajadores
22012	Albero Bajo	En este municipio	1	Estudiantes que no trabajan
22012	Albero Bajo	En este municipio	21	Trabajadores
22012	Albero Bajo	En otro municipio	7	Estudiantes que no trabajan
22012	Albero Bajo	En otro municipio	18	Trabajadores
22013	Alberuela de Tubo	En mi propio domicilio	1	Estudiantes que no trabajan
22013	Alberuela de Tubo	En varios municipios (viajante, conductor,...)	1	Trabajadores
22013	Alberuela de Tubo	En este municipio	3	Estudiantes que no trabajan
22013	Alberuela de Tubo	En este municipio	71	Trabajadores
22013	Alberuela de Tubo	En otro municipio	21	Estudiantes que no trabajan
22013	Alberuela de Tubo	En otro municipio	71	Trabajadores
22014	Alcalá de Gurrea	En mi propio domicilio	5	Trabajadores
22014	Alcalá de Gurrea	En varios municipios (viajante, conductor,...)	9	Trabajadores
22014	Alcalá de Gurrea	En este municipio	2	Estudiantes que no trabajan
22014	Alcalá de Gurrea	En este municipio	36	Trabajadores
22014	Alcalá de Gurrea	En otro municipio	11	Estudiantes que no trabajan
22014	Alcalá de Gurrea	En otro municipio	55	Trabajadores
22015	Alcalá del Obispo	En mi propio domicilio	2	Estudiantes que no trabajan
22015	Alcalá del Obispo	En mi propio domicilio	9	Trabajadores
22015	Alcalá del Obispo	En varios municipios (viajante, conductor,...)	18	Trabajadores
22015	Alcalá del Obispo	En este municipio	38	Trabajadores
22015	Alcalá del Obispo	En otro municipio	23	Estudiantes que no trabajan
22015	Alcalá del Obispo	En otro municipio	67	Trabajadores
22015	Alcalá del Obispo	En otro país	1	Estudiantes que no trabajan
22016	Alcampell	En mi propio domicilio	3	Estudiantes que no trabajan
22016	Alcampell	En mi propio domicilio	26	Trabajadores
22016	Alcampell	En varios municipios (viajante, conductor,...)	41	Trabajadores
22016	Alcampell	En este municipio	1	Estudiantes que no trabajan
22016	Alcampell	En este municipio	137	Trabajadores
22016	Alcampell	En otro municipio	36	Estudiantes que no trabajan
22016	Alcampell	En otro municipio	83	Trabajadores
22016	Alcampell	En otro país	1	Trabajadores
22017	Alcolea de Cinca	En mi propio domicilio	2	Estudiantes que no trabajan
22017	Alcolea de Cinca	En mi propio domicilio	19	Trabajadores
22017	Alcolea de Cinca	En varios municipios (viajante, conductor,...)	19	Trabajadores
22017	Alcolea de Cinca	En este municipio	4	Estudiantes que no trabajan
22017	Alcolea de Cinca	En este municipio	312	Trabajadores
22017	Alcolea de Cinca	En otro municipio	63	Estudiantes que no trabajan
22017	Alcolea de Cinca	En otro municipio	139	Trabajadores
22018	Alcubierre	En varios municipios (viajante, conductor,...)	6	Trabajadores
22018	Alcubierre	En este municipio	91	Trabajadores
22018	Alcubierre	En otro municipio	13	Estudiantes que no trabajan
22018	Alcubierre	En otro municipio	68	Trabajadores
22018	Alcubierre	En otro país	1	Trabajadores
22019	Alerre	En mi propio domicilio	1	Estudiantes que no trabajan
22019	Alerre	En mi propio domicilio	2	Trabajadores
22019	Alerre	En varios municipios (viajante, conductor,...)	3	Trabajadores
22019	Alerre	En este municipio	1	Estudiantes que no trabajan
22019	Alerre	En este municipio	11	Trabajadores
22019	Alerre	En otro municipio	22	Estudiantes que no trabajan
22019	Alerre	En otro municipio	72	Trabajadores
22019	Alerre	En otro país	2	Estudiantes que no trabajan
22020	Alfántega	En mi propio domicilio	2	Trabajadores
22020	Alfántega	En varios municipios (viajante, conductor,...)	4	Trabajadores
22020	Alfántega	En este municipio	12	Trabajadores
22020	Alfántega	En otro municipio	4	Estudiantes que no trabajan
22020	Alfántega	En otro municipio	20	Trabajadores
22021	Almudévar	En mi propio domicilio	6	Estudiantes que no trabajan
22021	Almudévar	En mi propio domicilio	28	Trabajadores
22021	Almudévar	En varios municipios (viajante, conductor,...)	44	Trabajadores
22021	Almudévar	En este municipio	11	Estudiantes que no trabajan
22021	Almudévar	En este municipio	489	Trabajadores
22021	Almudévar	En otro municipio	115	Estudiantes que no trabajan
22021	Almudévar	En otro municipio	329	Trabajadores
22021	Almudévar	En otro país	1	Estudiantes que no trabajan
22021	Almudévar	En otro país	5	Trabajadores
22022	Almunia de San Juan	En mi propio domicilio	2	Estudiantes que no trabajan
22022	Almunia de San Juan	En mi propio domicilio	6	Trabajadores
22022	Almunia de San Juan	En varios municipios (viajante, conductor,...)	51	Trabajadores
22022	Almunia de San Juan	En este municipio	59	Trabajadores
22022	Almunia de San Juan	En otro municipio	37	Estudiantes que no trabajan
22022	Almunia de San Juan	En otro municipio	121	Trabajadores
22023	Almuniente	En mi propio domicilio	10	Trabajadores
22023	Almuniente	En varios municipios (viajante, conductor,...)	17	Trabajadores
22023	Almuniente	En este municipio	1	Estudiantes que no trabajan
22023	Almuniente	En este municipio	90	Trabajadores
22023	Almuniente	En otro municipio	33	Estudiantes que no trabajan
22023	Almuniente	En otro municipio	133	Trabajadores
22023	Almuniente	En otro país	1	Trabajadores
22024	Alquézar	En mi propio domicilio	12	Trabajadores
22024	Alquézar	En varios municipios (viajante, conductor,...)	12	Trabajadores
22024	Alquézar	En este municipio	66	Trabajadores
22024	Alquézar	En otro municipio	11	Estudiantes que no trabajan
22024	Alquézar	En otro municipio	16	Trabajadores
22025	Altorricón	En mi propio domicilio	1	Estudiantes que no trabajan
22025	Altorricón	En mi propio domicilio	28	Trabajadores
22025	Altorricón	En varios municipios (viajante, conductor,...)	12	Trabajadores
22025	Altorricón	En este municipio	5	Estudiantes que no trabajan
22025	Altorricón	En este municipio	336	Trabajadores
22025	Altorricón	En otro municipio	58	Estudiantes que no trabajan
22025	Altorricón	En otro municipio	229	Trabajadores
22025	Altorricón	En otro país	4	Trabajadores
22027	Angüés	En mi propio domicilio	8	Trabajadores
22027	Angüés	En varios municipios (viajante, conductor,...)	13	Trabajadores
22027	Angüés	En este municipio	1	Estudiantes que no trabajan
22027	Angüés	En este municipio	65	Trabajadores
22027	Angüés	En otro municipio	12	Estudiantes que no trabajan
22027	Angüés	En otro municipio	71	Trabajadores
22027	Angüés	En otro país	1	Trabajadores
22028	Ansó	En mi propio domicilio	1	Estudiantes que no trabajan
22028	Ansó	En mi propio domicilio	9	Trabajadores
22028	Ansó	En varios municipios (viajante, conductor,...)	3	Trabajadores
22028	Ansó	En este municipio	131	Trabajadores
22028	Ansó	En otro municipio	23	Estudiantes que no trabajan
22028	Ansó	En otro municipio	67	Trabajadores
22028	Ansó	En otro país	1	Trabajadores
22029	Antillón	En mi propio domicilio	5	Trabajadores
22029	Antillón	En varios municipios (viajante, conductor,...)	3	Trabajadores
22029	Antillón	En este municipio	22	Trabajadores
22029	Antillón	En otro municipio	11	Estudiantes que no trabajan
22029	Antillón	En otro municipio	36	Trabajadores
22032	Aragüés del Puerto	En mi propio domicilio	3	Estudiantes que no trabajan
22032	Aragüés del Puerto	En mi propio domicilio	2	Trabajadores
22032	Aragüés del Puerto	En varios municipios (viajante, conductor,...)	7	Trabajadores
22032	Aragüés del Puerto	En este municipio	2	Estudiantes que no trabajan
22032	Aragüés del Puerto	En este municipio	15	Trabajadores
22032	Aragüés del Puerto	En otro municipio	16	Estudiantes que no trabajan
22032	Aragüés del Puerto	En otro municipio	22	Trabajadores
22035	Arén	En mi propio domicilio	16	Trabajadores
22035	Arén	En varios municipios (viajante, conductor,...)	20	Trabajadores
22035	Arén	En este municipio	57	Trabajadores
22035	Arén	En otro municipio	18	Estudiantes que no trabajan
22035	Arén	En otro municipio	34	Trabajadores
22036	Argavieso	En varios municipios (viajante, conductor,...)	10	Trabajadores
22036	Argavieso	En este municipio	10	Trabajadores
22036	Argavieso	En otro municipio	3	Estudiantes que no trabajan
22036	Argavieso	En otro municipio	20	Trabajadores
22036	Argavieso	En otro país	1	Trabajadores
22037	Arguis	En mi propio domicilio	7	Trabajadores
22037	Arguis	En varios municipios (viajante, conductor,...)	1	Trabajadores
22037	Arguis	En este municipio	1	Estudiantes que no trabajan
22037	Arguis	En este municipio	6	Trabajadores
22037	Arguis	En otro municipio	5	Estudiantes que no trabajan
22037	Arguis	En otro municipio	14	Trabajadores
22039	Ayerbe	En mi propio domicilio	3	Estudiantes que no trabajan
22039	Ayerbe	En mi propio domicilio	22	Trabajadores
22039	Ayerbe	En varios municipios (viajante, conductor,...)	34	Trabajadores
22039	Ayerbe	En este municipio	2	Estudiantes que no trabajan
22039	Ayerbe	En este municipio	213	Trabajadores
22039	Ayerbe	En otro municipio	59	Estudiantes que no trabajan
22039	Ayerbe	En otro municipio	116	Trabajadores
22039	Ayerbe	En otro país	1	Estudiantes que no trabajan
22039	Ayerbe	En otro país	4	Trabajadores
22040	Azanuy-Alins	En varios municipios (viajante, conductor,...)	1	Trabajadores
22040	Azanuy-Alins	En este municipio	31	Trabajadores
22040	Azanuy-Alins	En otro municipio	13	Estudiantes que no trabajan
22040	Azanuy-Alins	En otro municipio	21	Trabajadores
22041	Azara	En mi propio domicilio	3	Trabajadores
22041	Azara	En varios municipios (viajante, conductor,...)	1	Trabajadores
22041	Azara	En este municipio	1	Estudiantes que no trabajan
22041	Azara	En este municipio	29	Trabajadores
22041	Azara	En otro municipio	4	Estudiantes que no trabajan
22041	Azara	En otro municipio	50	Trabajadores
22041	Azara	En otro país	1	Trabajadores
22042	Azlor	En varios municipios (viajante, conductor,...)	1	Trabajadores
22042	Azlor	En este municipio	2	Estudiantes que no trabajan
22042	Azlor	En este municipio	17	Trabajadores
22042	Azlor	En otro municipio	9	Estudiantes que no trabajan
22042	Azlor	En otro municipio	32	Trabajadores
22043	Baells	En mi propio domicilio	2	Trabajadores
22043	Baells	En varios municipios (viajante, conductor,...)	5	Trabajadores
22043	Baells	En este municipio	1	Estudiantes que no trabajan
22043	Baells	En este municipio	23	Trabajadores
22043	Baells	En otro municipio	12	Estudiantes que no trabajan
22043	Baells	En otro municipio	18	Trabajadores
22044	Bailo	En mi propio domicilio	9	Trabajadores
22044	Bailo	En varios municipios (viajante, conductor,...)	6	Trabajadores
22044	Bailo	En este municipio	3	Estudiantes que no trabajan
22044	Bailo	En este municipio	43	Trabajadores
22044	Bailo	En otro municipio	12	Estudiantes que no trabajan
22044	Bailo	En otro municipio	61	Trabajadores
22044	Bailo	En otro país	2	Estudiantes que no trabajan
22045	Baldellou	En mi propio domicilio	2	Trabajadores
22045	Baldellou	En varios municipios (viajante, conductor,...)	1	Trabajadores
22045	Baldellou	En este municipio	27	Trabajadores
22045	Baldellou	En otro municipio	5	Estudiantes que no trabajan
22045	Baldellou	En otro municipio	18	Trabajadores
22046	Ballobar	En mi propio domicilio	2	Estudiantes que no trabajan
22046	Ballobar	En mi propio domicilio	27	Trabajadores
22046	Ballobar	En varios municipios (viajante, conductor,...)	4	Trabajadores
22046	Ballobar	En este municipio	2	Estudiantes que no trabajan
22046	Ballobar	En este municipio	225	Trabajadores
22046	Ballobar	En otro municipio	50	Estudiantes que no trabajan
22046	Ballobar	En otro municipio	98	Trabajadores
22047	Banastás	En varios municipios (viajante, conductor,...)	5	Trabajadores
22047	Banastás	En este municipio	2	Estudiantes que no trabajan
22047	Banastás	En este municipio	30	Trabajadores
22047	Banastás	En otro municipio	9	Estudiantes que no trabajan
22047	Banastás	En otro municipio	57	Trabajadores
22047	Banastás	En otro país	1	Trabajadores
22048	Barbastro	En mi propio domicilio	36	Estudiantes que no trabajan
22048	Barbastro	En mi propio domicilio	147	Trabajadores
22048	Barbastro	En varios municipios (viajante, conductor,...)	375	Trabajadores
22048	Barbastro	En este municipio	414	Estudiantes que no trabajan
22048	Barbastro	En este municipio	4682	Trabajadores
22048	Barbastro	En otro municipio	504	Estudiantes que no trabajan
22048	Barbastro	En otro municipio	948	Trabajadores
22048	Barbastro	En otro país	9	Estudiantes que no trabajan
22048	Barbastro	En otro país	14	Trabajadores
22049	Barbués	En varios municipios (viajante, conductor,...)	1	Trabajadores
22049	Barbués	En este municipio	1	Estudiantes que no trabajan
22049	Barbués	En este municipio	15	Trabajadores
22049	Barbués	En otro municipio	5	Estudiantes que no trabajan
22049	Barbués	En otro municipio	13	Trabajadores
22050	Barbuñales	En este municipio	14	Trabajadores
22050	Barbuñales	En otro municipio	3	Estudiantes que no trabajan
22050	Barbuñales	En otro municipio	24	Trabajadores
22051	Bárcabo	En varios municipios (viajante, conductor,...)	4	Trabajadores
22051	Bárcabo	En este municipio	21	Trabajadores
22051	Bárcabo	En otro municipio	3	Estudiantes que no trabajan
22051	Bárcabo	En otro municipio	18	Trabajadores
22052	Belver de Cinca	En mi propio domicilio	18	Trabajadores
22052	Belver de Cinca	En varios municipios (viajante, conductor,...)	23	Trabajadores
22052	Belver de Cinca	En este municipio	1	Estudiantes que no trabajan
22052	Belver de Cinca	En este municipio	288	Trabajadores
22052	Belver de Cinca	En otro municipio	68	Estudiantes que no trabajan
22052	Belver de Cinca	En otro municipio	155	Trabajadores
22052	Belver de Cinca	En otro país	1	Estudiantes que no trabajan
22053	Benabarre	En mi propio domicilio	2	Estudiantes que no trabajan
22053	Benabarre	En mi propio domicilio	37	Trabajadores
22053	Benabarre	En varios municipios (viajante, conductor,...)	46	Trabajadores
22053	Benabarre	En este municipio	2	Estudiantes que no trabajan
22053	Benabarre	En este municipio	227	Trabajadores
22053	Benabarre	En otro municipio	45	Estudiantes que no trabajan
22053	Benabarre	En otro municipio	95	Trabajadores
22053	Benabarre	En otro país	1	Trabajadores
22054	Benasque	En mi propio domicilio	1	Estudiantes que no trabajan
22054	Benasque	En mi propio domicilio	65	Trabajadores
22054	Benasque	En varios municipios (viajante, conductor,...)	58	Trabajadores
22054	Benasque	En este municipio	30	Estudiantes que no trabajan
22054	Benasque	En este municipio	595	Trabajadores
22054	Benasque	En otro municipio	51	Estudiantes que no trabajan
22054	Benasque	En otro municipio	94	Trabajadores
22055	Berbegal	En mi propio domicilio	12	Trabajadores
22055	Berbegal	En varios municipios (viajante, conductor,...)	14	Trabajadores
22055	Berbegal	En este municipio	1	Estudiantes que no trabajan
22055	Berbegal	En este municipio	76	Trabajadores
22055	Berbegal	En otro municipio	18	Estudiantes que no trabajan
22055	Berbegal	En otro municipio	64	Trabajadores
22057	Bielsa	En mi propio domicilio	25	Trabajadores
22057	Bielsa	En varios municipios (viajante, conductor,...)	10	Trabajadores
22057	Bielsa	En este municipio	99	Trabajadores
22057	Bielsa	En otro municipio	22	Estudiantes que no trabajan
22057	Bielsa	En otro municipio	44	Trabajadores
22058	Bierge	En mi propio domicilio	3	Trabajadores
22058	Bierge	En varios municipios (viajante, conductor,...)	4	Trabajadores
22058	Bierge	En este municipio	1	Estudiantes que no trabajan
22058	Bierge	En este municipio	59	Trabajadores
22058	Bierge	En otro municipio	3	Estudiantes que no trabajan
22058	Bierge	En otro municipio	21	Trabajadores
22059	Biescas	En mi propio domicilio	3	Estudiantes que no trabajan
22059	Biescas	En mi propio domicilio	28	Trabajadores
22059	Biescas	En varios municipios (viajante, conductor,...)	1	Estudiantes que no trabajan
22059	Biescas	En varios municipios (viajante, conductor,...)	32	Trabajadores
22059	Biescas	En este municipio	8	Estudiantes que no trabajan
22059	Biescas	En este municipio	228	Trabajadores
22059	Biescas	En otro municipio	58	Estudiantes que no trabajan
22059	Biescas	En otro municipio	223	Trabajadores
22059	Biescas	En otro país	1	Estudiantes que no trabajan
22060	Binaced	En mi propio domicilio	3	Estudiantes que no trabajan
22060	Binaced	En mi propio domicilio	33	Trabajadores
22060	Binaced	En varios municipios (viajante, conductor,...)	40	Trabajadores
22060	Binaced	En este municipio	7	Estudiantes que no trabajan
22060	Binaced	En este municipio	441	Trabajadores
22060	Binaced	En otro municipio	77	Estudiantes que no trabajan
22060	Binaced	En otro municipio	187	Trabajadores
22061	Binéfar	En mi propio domicilio	12	Estudiantes que no trabajan
22061	Binéfar	En mi propio domicilio	117	Trabajadores
22061	Binéfar	En varios municipios (viajante, conductor,...)	261	Trabajadores
22061	Binéfar	En este municipio	125	Estudiantes que no trabajan
22061	Binéfar	En este municipio	2422	Trabajadores
22061	Binéfar	En otro municipio	330	Estudiantes que no trabajan
22061	Binéfar	En otro municipio	868	Trabajadores
22061	Binéfar	En otro país	2	Estudiantes que no trabajan
22061	Binéfar	En otro país	16	Trabajadores
22062	Bisaurri	En mi propio domicilio	23	Trabajadores
22062	Bisaurri	En varios municipios (viajante, conductor,...)	18	Trabajadores
22062	Bisaurri	En este municipio	33	Trabajadores
22062	Bisaurri	En otro municipio	14	Estudiantes que no trabajan
22062	Bisaurri	En otro municipio	28	Trabajadores
22063	Biscarrués	En mi propio domicilio	5	Trabajadores
22063	Biscarrués	En varios municipios (viajante, conductor,...)	10	Trabajadores
22063	Biscarrués	En este municipio	21	Trabajadores
22063	Biscarrués	En otro municipio	10	Estudiantes que no trabajan
22063	Biscarrués	En otro municipio	35	Trabajadores
22064	Blecua y Torres	En varios municipios (viajante, conductor,...)	4	Trabajadores
22064	Blecua y Torres	En este municipio	34	Trabajadores
22064	Blecua y Torres	En otro municipio	10	Estudiantes que no trabajan
22064	Blecua y Torres	En otro municipio	43	Trabajadores
22064	Blecua y Torres	En otro país	1	Trabajadores
22066	Boltaña	En mi propio domicilio	6	Estudiantes que no trabajan
22066	Boltaña	En mi propio domicilio	40	Trabajadores
22066	Boltaña	En varios municipios (viajante, conductor,...)	76	Trabajadores
22066	Boltaña	En este municipio	9	Estudiantes que no trabajan
22066	Boltaña	En este municipio	117	Trabajadores
22066	Boltaña	En otro municipio	46	Estudiantes que no trabajan
22066	Boltaña	En otro municipio	113	Trabajadores
22066	Boltaña	En otro país	3	Estudiantes que no trabajan
22066	Boltaña	En otro país	1	Trabajadores
22067	Bonansa	En mi propio domicilio	2	Trabajadores
22067	Bonansa	En varios municipios (viajante, conductor,...)	5	Trabajadores
22067	Bonansa	En este municipio	12	Trabajadores
22067	Bonansa	En otro municipio	4	Estudiantes que no trabajan
22067	Bonansa	En otro municipio	13	Trabajadores
22068	Borau	En varios municipios (viajante, conductor,...)	5	Trabajadores
22068	Borau	En este municipio	2	Estudiantes que no trabajan
22068	Borau	En este municipio	8	Trabajadores
22068	Borau	En otro municipio	1	Estudiantes que no trabajan
22068	Borau	En otro municipio	23	Trabajadores
22069	Broto	En mi propio domicilio	1	Estudiantes que no trabajan
22069	Broto	En mi propio domicilio	22	Trabajadores
22069	Broto	En varios municipios (viajante, conductor,...)	15	Trabajadores
22069	Broto	En este municipio	121	Trabajadores
22069	Broto	En otro municipio	18	Estudiantes que no trabajan
22069	Broto	En otro municipio	63	Trabajadores
22069	Broto	En otro país	1	Trabajadores
22072	Caldearenas	En mi propio domicilio	3	Trabajadores
22072	Caldearenas	En varios municipios (viajante, conductor,...)	12	Trabajadores
22072	Caldearenas	En este municipio	30	Trabajadores
22072	Caldearenas	En otro municipio	11	Estudiantes que no trabajan
22072	Caldearenas	En otro municipio	50	Trabajadores
22072	Caldearenas	En otro país	1	Trabajadores
22074	Campo	En mi propio domicilio	25	Trabajadores
22074	Campo	En varios municipios (viajante, conductor,...)	15	Trabajadores
22074	Campo	En este municipio	44	Trabajadores
22074	Campo	En otro municipio	27	Estudiantes que no trabajan
22074	Campo	En otro municipio	49	Trabajadores
22074	Campo	En otro país	1	Estudiantes que no trabajan
22074	Campo	En otro país	1	Trabajadores
22075	Camporrells	En varios municipios (viajante, conductor,...)	8	Trabajadores
22075	Camporrells	En este municipio	1	Estudiantes que no trabajan
22075	Camporrells	En este municipio	36	Trabajadores
22075	Camporrells	En otro municipio	9	Estudiantes que no trabajan
22075	Camporrells	En otro municipio	46	Trabajadores
22075	Camporrells	En otro país	1	Trabajadores
22076	Canal de Berdún	En mi propio domicilio	20	Trabajadores
22076	Canal de Berdún	En varios municipios (viajante, conductor,...)	4	Trabajadores
22076	Canal de Berdún	En este municipio	3	Estudiantes que no trabajan
22076	Canal de Berdún	En este municipio	85	Trabajadores
22076	Canal de Berdún	En otro municipio	17	Estudiantes que no trabajan
22076	Canal de Berdún	En otro municipio	46	Trabajadores
22077	Candasnos	En mi propio domicilio	11	Trabajadores
22077	Candasnos	En varios municipios (viajante, conductor,...)	18	Trabajadores
22077	Candasnos	En este municipio	174	Trabajadores
22077	Candasnos	En otro municipio	22	Estudiantes que no trabajan
22077	Candasnos	En otro municipio	60	Trabajadores
22078	Canfranc	En mi propio domicilio	1	Estudiantes que no trabajan
22078	Canfranc	En mi propio domicilio	34	Trabajadores
22078	Canfranc	En varios municipios (viajante, conductor,...)	22	Trabajadores
22078	Canfranc	En este municipio	1	Estudiantes que no trabajan
22078	Canfranc	En este municipio	128	Trabajadores
22078	Canfranc	En otro municipio	28	Estudiantes que no trabajan
22078	Canfranc	En otro municipio	121	Trabajadores
22079	Capdesaso	En varios municipios (viajante, conductor,...)	3	Trabajadores
22079	Capdesaso	En este municipio	19	Trabajadores
22079	Capdesaso	En otro municipio	14	Estudiantes que no trabajan
22079	Capdesaso	En otro municipio	30	Trabajadores
22080	Capella	En mi propio domicilio	10	Trabajadores
22080	Capella	En varios municipios (viajante, conductor,...)	23	Trabajadores
22080	Capella	En este municipio	61	Trabajadores
22080	Capella	En otro municipio	10	Estudiantes que no trabajan
22080	Capella	En otro municipio	44	Trabajadores
22080	Capella	En otro país	2	Trabajadores
22081	Casbas de Huesca	En mi propio domicilio	2	Estudiantes que no trabajan
22081	Casbas de Huesca	En mi propio domicilio	13	Trabajadores
22081	Casbas de Huesca	En varios municipios (viajante, conductor,...)	9	Trabajadores
22081	Casbas de Huesca	En este municipio	2	Estudiantes que no trabajan
22081	Casbas de Huesca	En este municipio	45	Trabajadores
22081	Casbas de Huesca	En otro municipio	15	Estudiantes que no trabajan
22081	Casbas de Huesca	En otro municipio	46	Trabajadores
22081	Casbas de Huesca	En otro país	1	Trabajadores
22082	Castejón del Puente	En mi propio domicilio	2	Trabajadores
22082	Castejón del Puente	En varios municipios (viajante, conductor,...)	18	Trabajadores
22082	Castejón del Puente	En este municipio	60	Trabajadores
22082	Castejón del Puente	En otro municipio	21	Estudiantes que no trabajan
22082	Castejón del Puente	En otro municipio	81	Trabajadores
22083	Castejón de Monegros	En mi propio domicilio	3	Trabajadores
22083	Castejón de Monegros	En este municipio	110	Trabajadores
22083	Castejón de Monegros	En otro municipio	21	Estudiantes que no trabajan
22083	Castejón de Monegros	En otro municipio	120	Trabajadores
22084	Castejón de Sos	En mi propio domicilio	2	Estudiantes que no trabajan
22084	Castejón de Sos	En mi propio domicilio	35	Trabajadores
22084	Castejón de Sos	En varios municipios (viajante, conductor,...)	28	Trabajadores
22084	Castejón de Sos	En este municipio	11	Estudiantes que no trabajan
22084	Castejón de Sos	En este municipio	104	Trabajadores
22084	Castejón de Sos	En otro municipio	26	Estudiantes que no trabajan
22084	Castejón de Sos	En otro municipio	105	Trabajadores
22085	Castelflorite	En mi propio domicilio	10	Trabajadores
22085	Castelflorite	En varios municipios (viajante, conductor,...)	1	Trabajadores
22085	Castelflorite	En este municipio	21	Trabajadores
22085	Castelflorite	En otro municipio	11	Estudiantes que no trabajan
22085	Castelflorite	En otro municipio	23	Trabajadores
22086	Castiello de Jaca	En mi propio domicilio	11	Trabajadores
22086	Castiello de Jaca	En varios municipios (viajante, conductor,...)	8	Trabajadores
22086	Castiello de Jaca	En este municipio	6	Estudiantes que no trabajan
22086	Castiello de Jaca	En este municipio	15	Trabajadores
22086	Castiello de Jaca	En otro municipio	3	Estudiantes que no trabajan
22086	Castiello de Jaca	En otro municipio	39	Trabajadores
22087	Castigaleu	En mi propio domicilio	3	Trabajadores
22087	Castigaleu	En varios municipios (viajante, conductor,...)	5	Trabajadores
22087	Castigaleu	En este municipio	22	Trabajadores
22087	Castigaleu	En otro municipio	3	Estudiantes que no trabajan
22087	Castigaleu	En otro municipio	14	Trabajadores
22088	Castillazuelo	En mi propio domicilio	2	Trabajadores
22088	Castillazuelo	En varios municipios (viajante, conductor,...)	7	Trabajadores
22088	Castillazuelo	En este municipio	1	Estudiantes que no trabajan
22088	Castillazuelo	En este municipio	24	Trabajadores
22088	Castillazuelo	En otro municipio	3	Estudiantes que no trabajan
22088	Castillazuelo	En otro municipio	39	Trabajadores
22089	Castillonroy	En mi propio domicilio	1	Estudiantes que no trabajan
22089	Castillonroy	En mi propio domicilio	25	Trabajadores
22089	Castillonroy	En varios municipios (viajante, conductor,...)	18	Trabajadores
22089	Castillonroy	En este municipio	2	Estudiantes que no trabajan
22089	Castillonroy	En este municipio	67	Trabajadores
