Año	Código de la comarca	Comarca	Superficie total de las explotaciones	Superficie Agrícola Utilizada (SAU)	Hectáreas de SAU en propiedad	Hectáreas de SAU en arrendamiento	Hectáreas de SAU en aparcería	Hectáreas de SAU en otros regímenes de tenencia de las tierras
1989	01	La Jacetania	189965	52140	45792	4868	1448	33
1989	02	Alto Gállego	128653	43203	35213	4922	202	2867
1989	03	Sobrarbe	208015	52049	46209	5283	43	514
1989	04	La Ribagorza	224238	90388	73142	16439	410	393
1989	05	Cinco Villas	286900	182755	127376	25134	14528	15717
1989	06	Hoya de Huesca / Plana de Uesca	235281	128684	93587	19639	9617	5845
1989	07	Somontano de Barbastro	101251	59228	46140	7474	4049	1566
1989	08	Cinca Medio	48024	38467	26287	4875	3740	3568
1989	09	La Litera / La Llitera	63851	43775	34408	4404	4932	32
1989	10	Los Monegros	248343	178761	115090	38918	19405	5351
1989	11	Bajo Cinca / Baix Cinca	124203	75492	57602	6625	9401	1866
1989	12	Tarazona y el Moncayo	39168	18663	12555	5280	633	194
1989	13	Campo de Borja	66725	47490	34121	5772	2491	5104
1989	14	Aranda	49266	37663	34018	2139	245	1263
1989	15	Ribera Alta del Ebro	37069	32626	22359	5934	3568	768
1989	16	Valdejalón	86974	62437	48462	8865	4697	415
1989	17	Central	169345	108012	66015	28781	9938	3276
1989	18	Ribera Baja del Ebro	93755	61149	38668	12681	9073	726
1989	19	Bajo Aragón-Caspe / Baix Aragó-Casp	114408	51976	27036	3193	6459	15285
1989	20	Comunidad de Calatayud	243655	136682	95276	27332	2550	11534
1989	21	Campo de Cariñena	77163	49754	38982	3942	4005	2828
1989	22	Campo de Belchite	112031	79995	48322	18852	9742	3081
1989	23	Bajo Martín	72671	59955	31596	6121	19756	2482
1989	24	Campo de Daroca	105736	67953	35449	17310	8111	7085
1989	25	Jiloca	184797	123832	72298	32918	12334	6287
1989	26	Cuencas Mineras	131647	73819	52340	13448	5467	2564
1989	27	Andorra-Sierra de Arcos	63009	39389	29580	3140	3991	2679
1989	28	Bajo Aragón	120376	60505	37692	6880	13703	2228
1989	29	Comunidad de Teruel	268236	175105	108773	37996	10476	17860
1989	30	Maestrazgo	108358	64644	35946	20709	1155	6830
1989	31	Sierra de Albarracín	139497	40765	25536	10041	214	4979
1989	32	Gúdar-Javalambre	222193	96326	43755	29453	2497	20621
1989	33	Matarraña / Matarranya	78185	26501	21958	2189	1691	662
1999	01	La Jacetania	174844,6	78788,03	46872	13907	1165	16844
1999	02	Alto Gállego	119007,47	39071,35	35711	3048	166	147
1999	03	Sobrarbe	197796,02	94223,61	83891	8388	1699	244
1999	04	La Ribagorza	214111,09	72885,16	50072	21683	981	150
1999	05	Cinco Villas	279714,64	183468,5	111638	45951	14511	11369
1999	06	Hoya de Huesca / Plana de Uesca	230317,86	137899,19	86298	33147	12533	5918
1999	07	Somontano de Barbastro	101639,89	64376,42	44024	11352	8525	476
1999	08	Cinca Medio	55006,03	46003,56	28157	12995	4396	456
1999	09	La Litera / La Llitera	64634,23	44546,19	32176	7159	4947	261
1999	10	Los Monegros	246674,43	192710,77	112484	65448	13264	1514
1999	11	Bajo Cinca / Baix Cinca	118821,78	72828,02	46422	19735	6563	108
1999	12	Tarazona y el Moncayo	36740,68	16271,92	7772	7050	207	1245
1999	13	Campo de Borja	62718,92	43758,82	32058	9371	1925	406
1999	14	Aranda	51190,42	27584,54	21363	5821	386	16
1999	15	Ribera Alta del Ebro	35851,92	32617,54	19488	8641	3769	720
1999	16	Valdejalón	85634,94	59203,25	36714	15309	4788	2395
1999	17	Central	170085,49	107954,19	52853	45894	8581	627
1999	18	Ribera Baja del Ebro	84630,45	64051,99	33891	17862	12301	1
1999	19	Bajo Aragón-Caspe / Baix Aragó-Casp	83863,69	45625,57	32384	5828	7139	274
1999	20	Comunidad de Calatayud	195162,79	100763,45	58629	38634	2744	756
1999	21	Campo de Cariñena	71616,14	54695,99	34354	10610	8836	898
1999	22	Campo de Belchite	93176,73	72626,24	38934	15991	17380	324
1999	23	Bajo Martín	74015,91	54937,89	27913	15321	10966	739
1999	24	Campo de Daroca	90576,13	68902,84	32729	30243	5659	273
1999	25	Jiloca	172774,55	123181,85	73183	37234	10217	2547
1999	26	Cuencas Mineras	121460,92	61545,23	43014	13983	3995	555
1999	27	Andorra-Sierra de Arcos	59664,94	28052,8	17298	8067	2572	115
1999	28	Bajo Aragón	118039,18	76275,65	51260	9636	14703	677
1999	29	Comunidad de Teruel	256182,28	150226,14	89587	52181	5035	3418
1999	30	Maestrazgo	95385,94	55088,34	30501	21036	3316	234
1999	31	Sierra de Albarracín	129259,48	75083,45	64566	10121	225	170
1999	32	Gúdar-Javalambre	183109,7	89569,71	58418	27493	1181	2481
1999	33	Matarraña / Matarranya	72462,35	27882,66	23190	2628	1940	123
