Comarca código	Comarca nombre	Año	Orden	Votos	Siglas
06	Hoya de Huesca / Plana de Uesca	2008	4	4509	CHA
06	Hoya de Huesca / Plana de Uesca	2008	5	3820	IU
06	Hoya de Huesca / Plana de Uesca	2008	6	2497	UPyD
06	Hoya de Huesca / Plana de Uesca	2008	7	1366	LV
06	Hoya de Huesca / Plana de Uesca	2008	8	108	C's
06	Hoya de Huesca / Plana de Uesca	2008	9	0	PACMA
06	Hoya de Huesca / Plana de Uesca	2008	10	112	PUM+J
06	Hoya de Huesca / Plana de Uesca	2008	11	74	pCUA
06	Hoya de Huesca / Plana de Uesca	2008	12	76	PSD-FIA
06	Hoya de Huesca / Plana de Uesca	2008	13	41	TA
06	Hoya de Huesca / Plana de Uesca	2008	14	65	FE de las JONS
06	Hoya de Huesca / Plana de Uesca	2008	15	78	PFyV
06	Hoya de Huesca / Plana de Uesca	2008	16	60	DN
06	Hoya de Huesca / Plana de Uesca	2008	17	33	POSI
06	Hoya de Huesca / Plana de Uesca	2008	18	0	AuN
06	Hoya de Huesca / Plana de Uesca	2008	19	0	FRENTE
06	Hoya de Huesca / Plana de Uesca	2008	20	21	AES
06	Hoya de Huesca / Plana de Uesca	2008	21	0	FA
06	Hoya de Huesca / Plana de Uesca	2008	22	17	PH
06	Hoya de Huesca / Plana de Uesca	2008	23	1	MCE
06	Hoya de Huesca / Plana de Uesca	2008	24	15	CTC
06	Hoya de Huesca / Plana de Uesca	2008	25	0	PCPE
07	Somontano de Barbastro	2008	1	19609	PSOE
07	Somontano de Barbastro	2008	2	16275	PP
07	Somontano de Barbastro	2008	3	2008	PAR
07	Somontano de Barbastro	2008	4	1697	CHA
07	Somontano de Barbastro	2008	5	736	IU
07	Somontano de Barbastro	2008	6	475	UPyD
07	Somontano de Barbastro	2008	7	240	LV
07	Somontano de Barbastro	2008	8	31	C's
07	Somontano de Barbastro	2008	9	0	PACMA
07	Somontano de Barbastro	2008	10	34	PUM+J
07	Somontano de Barbastro	2008	11	17	pCUA
07	Somontano de Barbastro	2008	12	18	PSD-FIA
07	Somontano de Barbastro	2008	13	16	TA
07	Somontano de Barbastro	2008	14	43	FE de las JONS
07	Somontano de Barbastro	2008	15	34	PFyV
07	Somontano de Barbastro	2008	16	33	DN
07	Somontano de Barbastro	2008	17	7	POSI
07	Somontano de Barbastro	2008	18	0	AuN
07	Somontano de Barbastro	2008	19	0	FRENTE
07	Somontano de Barbastro	2008	20	8	AES
07	Somontano de Barbastro	2008	21	0	FA
07	Somontano de Barbastro	2008	22	7	PH
07	Somontano de Barbastro	2008	23	0	MCE
07	Somontano de Barbastro	2008	24	5	CTC
07	Somontano de Barbastro	2008	25	0	PCPE
08	Cinca Medio	2008	1	18410	PSOE
08	Cinca Medio	2008	2	13716	PP
08	Cinca Medio	2008	3	2130	PAR
08	Cinca Medio	2008	4	1290	CHA
08	Cinca Medio	2008	5	1121	IU
08	Cinca Medio	2008	6	346	UPyD
08	Cinca Medio	2008	7	187	LV
08	Cinca Medio	2008	8	24	C's
08	Cinca Medio	2008	9	0	PACMA
08	Cinca Medio	2008	10	21	PUM+J
08	Cinca Medio	2008	11	30	pCUA
08	Cinca Medio	2008	12	27	PSD-FIA
08	Cinca Medio	2008	13	19	TA
08	Cinca Medio	2008	14	30	FE de las JONS
08	Cinca Medio	2008	15	33	PFyV
08	Cinca Medio	2008	16	50	DN
08	Cinca Medio	2008	17	8	POSI
08	Cinca Medio	2008	18	0	AuN
08	Cinca Medio	2008	19	0	FRENTE
08	Cinca Medio	2008	20	2	AES
08	Cinca Medio	2008	21	0	FA
08	Cinca Medio	2008	22	7	PH
08	Cinca Medio	2008	23	0	MCE
08	Cinca Medio	2008	24	4	CTC
08	Cinca Medio	2008	25	0	PCPE
09	La Litera / La Llitera	2008	1	15015	PSOE
09	La Litera / La Llitera	2008	2	11659	PP
09	La Litera / La Llitera	2008	3	1912	PAR
09	La Litera / La Llitera	2008	4	1012	CHA
09	La Litera / La Llitera	2008	5	453	IU
09	La Litera / La Llitera	2008	6	186	UPyD
09	La Litera / La Llitera	2008	7	190	LV
09	La Litera / La Llitera	2008	8	17	C's
09	La Litera / La Llitera	2008	9	0	PACMA
09	La Litera / La Llitera	2008	10	13	PUM+J
09	La Litera / La Llitera	2008	11	9	pCUA
09	La Litera / La Llitera	2008	12	20	PSD-FIA
09	La Litera / La Llitera	2008	13	9	TA
09	La Litera / La Llitera	2008	14	15	FE de las JONS
09	La Litera / La Llitera	2008	15	32	PFyV
09	La Litera / La Llitera	2008	16	5	DN
09	La Litera / La Llitera	2008	17	5	POSI
09	La Litera / La Llitera	2008	18	0	AuN
09	La Litera / La Llitera	2008	19	0	FRENTE
09	La Litera / La Llitera	2008	20	6	AES
09	La Litera / La Llitera	2008	21	0	FA
09	La Litera / La Llitera	2008	22	8	PH
09	La Litera / La Llitera	2008	23	0	MCE
09	La Litera / La Llitera	2008	24	5	CTC
09	La Litera / La Llitera	2008	25	0	PCPE
10	Los Monegros	2008	1	19092	PSOE
10	Los Monegros	2008	2	14004	PP
10	Los Monegros	2008	3	4529	PAR
10	Los Monegros	2008	4	997	CHA
10	Los Monegros	2008	5	636	IU
10	Los Monegros	2008	6	206	UPyD
10	Los Monegros	2008	7	89	LV
10	Los Monegros	2008	8	17	C's
10	Los Monegros	2008	9	0	PACMA
10	Los Monegros	2008	10	26	PUM+J
10	Los Monegros	2008	11	14	pCUA
10	Los Monegros	2008	12	64	PSD-FIA
10	Los Monegros	2008	13	7	TA
10	Los Monegros	2008	14	19	FE de las JONS
10	Los Monegros	2008	15	20	PFyV
10	Los Monegros	2008	16	8	DN
10	Los Monegros	2008	17	4	POSI
10	Los Monegros	2008	18	0	AuN
10	Los Monegros	2008	19	1	FRENTE
10	Los Monegros	2008	20	2	AES
10	Los Monegros	2008	21	1	FA
10	Los Monegros	2008	22	3	PH
10	Los Monegros	2008	23	0	MCE
10	Los Monegros	2008	24	1	CTC
10	Los Monegros	2008	25	0	PCPE
11	Bajo Cinca / Baix Cinca	2008	1	18326	PSOE
11	Bajo Cinca / Baix Cinca	2008	2	15517	PP
11	Bajo Cinca / Baix Cinca	2008	3	2029	PAR
11	Bajo Cinca / Baix Cinca	2008	4	478	CHA
11	Bajo Cinca / Baix Cinca	2008	5	706	IU
11	Bajo Cinca / Baix Cinca	2008	6	103	UPyD
11	Bajo Cinca / Baix Cinca	2008	7	166	LV
11	Bajo Cinca / Baix Cinca	2008	8	29	C's
11	Bajo Cinca / Baix Cinca	2008	9	0	PACMA
11	Bajo Cinca / Baix Cinca	2008	10	12	PUM+J
11	Bajo Cinca / Baix Cinca	2008	11	12	pCUA
11	Bajo Cinca / Baix Cinca	2008	12	5	PSD-FIA
11	Bajo Cinca / Baix Cinca	2008	13	1	TA
11	Bajo Cinca / Baix Cinca	2008	14	21	FE de las JONS
11	Bajo Cinca / Baix Cinca	2008	15	32	PFyV
11	Bajo Cinca / Baix Cinca	2008	16	6	DN
11	Bajo Cinca / Baix Cinca	2008	17	192	POSI
11	Bajo Cinca / Baix Cinca	2008	18	0	AuN
11	Bajo Cinca / Baix Cinca	2008	19	1	FRENTE
11	Bajo Cinca / Baix Cinca	2008	20	22	AES
11	Bajo Cinca / Baix Cinca	2008	21	2	FA
11	Bajo Cinca / Baix Cinca	2008	22	6	PH
11	Bajo Cinca / Baix Cinca	2008	23	2	MCE
11	Bajo Cinca / Baix Cinca	2008	24	1	CTC
11	Bajo Cinca / Baix Cinca	2008	25	0	PCPE
12	Tarazona y el Moncayo	2008	1	11392	PSOE
12	Tarazona y el Moncayo	2008	2	9688	PP
12	Tarazona y el Moncayo	2008	3	1408	PAR
12	Tarazona y el Moncayo	2008	4	1526	CHA
12	Tarazona y el Moncayo	2008	5	596	IU
12	Tarazona y el Moncayo	2008	6	126	UPyD
12	Tarazona y el Moncayo	2008	7	97	LV
12	Tarazona y el Moncayo	2008	8	24	C's
12	Tarazona y el Moncayo	2008	9	0	PACMA
12	Tarazona y el Moncayo	2008	10	26	PUM+J
12	Tarazona y el Moncayo	2008	11	11	pCUA
12	Tarazona y el Moncayo	2008	12	15	PSD-FIA
12	Tarazona y el Moncayo	2008	13	9	TA
12	Tarazona y el Moncayo	2008	14	6	FE de las JONS
12	Tarazona y el Moncayo	2008	15	6	PFyV
12	Tarazona y el Moncayo	2008	16	3	DN
12	Tarazona y el Moncayo	2008	17	6	POSI
12	Tarazona y el Moncayo	2008	18	1	AuN
12	Tarazona y el Moncayo	2008	19	5	FRENTE
12	Tarazona y el Moncayo	2008	20	6	AES
12	Tarazona y el Moncayo	2008	21	5	FA
12	Tarazona y el Moncayo	2008	22	6	PH
12	Tarazona y el Moncayo	2008	23	3	MCE
12	Tarazona y el Moncayo	2008	24	4	CTC
12	Tarazona y el Moncayo	2008	25	0	PCPE
13	Campo de Borja	2008	1	13605	PSOE
13	Campo de Borja	2008	2	8411	PP
13	Campo de Borja	2008	3	2094	PAR
13	Campo de Borja	2008	4	1054	CHA
13	Campo de Borja	2008	5	296	IU
13	Campo de Borja	2008	6	95	UPyD
13	Campo de Borja	2008	7	72	LV
13	Campo de Borja	2008	8	10	C's
13	Campo de Borja	2008	9	0	PACMA
13	Campo de Borja	2008	10	15	PUM+J
13	Campo de Borja	2008	11	6	pCUA
13	Campo de Borja	2008	12	25	PSD-FIA
13	Campo de Borja	2008	13	3	TA
13	Campo de Borja	2008	14	13	FE de las JONS
13	Campo de Borja	2008	15	7	PFyV
13	Campo de Borja	2008	16	6	DN
13	Campo de Borja	2008	17	1	POSI
13	Campo de Borja	2008	18	2	AuN
13	Campo de Borja	2008	19	4	FRENTE
13	Campo de Borja	2008	20	4	AES
13	Campo de Borja	2008	21	3	FA
13	Campo de Borja	2008	22	2	PH
13	Campo de Borja	2008	23	1	MCE
13	Campo de Borja	2008	24	4	CTC
13	Campo de Borja	2008	25	0	PCPE
14	Aranda	2008	1	5922	PSOE
14	Aranda	2008	2	5193	PP
14	Aranda	2008	3	1381	PAR
14	Aranda	2008	4	616	CHA
14	Aranda	2008	5	150	IU
14	Aranda	2008	6	46	UPyD
14	Aranda	2008	7	28	LV
14	Aranda	2008	8	6	C's
14	Aranda	2008	9	0	PACMA
14	Aranda	2008	10	8	PUM+J
14	Aranda	2008	11	1	pCUA
14	Aranda	2008	12	7	PSD-FIA
14	Aranda	2008	13	2	TA
14	Aranda	2008	14	1	FE de las JONS
14	Aranda	2008	15	2	PFyV
14	Aranda	2008	16	3	DN
14	Aranda	2008	17	2	POSI
14	Aranda	2008	18	0	AuN
14	Aranda	2008	19	1	FRENTE
14	Aranda	2008	20	0	AES
14	Aranda	2008	21	1	FA
14	Aranda	2008	22	0	PH
14	Aranda	2008	23	1	MCE
14	Aranda	2008	24	0	CTC
14	Aranda	2008	25	0	PCPE
15	Ribera Alta del Ebro	2008	1	22573	PSOE
15	Ribera Alta del Ebro	2008	2	12487	PP
15	Ribera Alta del Ebro	2008	3	3355	PAR
15	Ribera Alta del Ebro	2008	4	3047	CHA
15	Ribera Alta del Ebro	2008	5	1133	IU
15	Ribera Alta del Ebro	2008	6	165	UPyD
15	Ribera Alta del Ebro	2008	7	82	LV
15	Ribera Alta del Ebro	2008	8	29	C's
15	Ribera Alta del Ebro	2008	9	0	PACMA
15	Ribera Alta del Ebro	2008	10	17	PUM+J
15	Ribera Alta del Ebro	2008	11	8	pCUA
15	Ribera Alta del Ebro	2008	12	16	PSD-FIA
15	Ribera Alta del Ebro	2008	13	1	TA
15	Ribera Alta del Ebro	2008	14	12	FE de las JONS
15	Ribera Alta del Ebro	2008	15	7	PFyV
15	Ribera Alta del Ebro	2008	16	9	DN
15	Ribera Alta del Ebro	2008	17	3	POSI
15	Ribera Alta del Ebro	2008	18	3	AuN
15	Ribera Alta del Ebro	2008	19	9	FRENTE
15	Ribera Alta del Ebro	2008	20	1	AES
15	Ribera Alta del Ebro	2008	21	14	FA
15	Ribera Alta del Ebro	2008	22	8	PH
15	Ribera Alta del Ebro	2008	23	2	MCE
15	Ribera Alta del Ebro	2008	24	2	CTC
15	Ribera Alta del Ebro	2008	25	0	PCPE
16	Valdejalón	2008	1	18994	PSOE
16	Valdejalón	2008	2	17050	PP
16	Valdejalón	2008	3	3298	PAR
16	Valdejalón	2008	4	2345	CHA
16	Valdejalón	2008	5	678	IU
16	Valdejalón	2008	6	199	UPyD
16	Valdejalón	2008	7	146	LV
16	Valdejalón	2008	8	42	C's
16	Valdejalón	2008	9	0	PACMA
16	Valdejalón	2008	10	16	PUM+J
16	Valdejalón	2008	11	15	pCUA
16	Valdejalón	2008	12	56	PSD-FIA
16	Valdejalón	2008	13	16	TA
16	Valdejalón	2008	14	11	FE de las JONS
16	Valdejalón	2008	15	7	PFyV
16	Valdejalón	2008	16	4	DN
16	Valdejalón	2008	17	6	POSI
16	Valdejalón	2008	18	28	AuN
16	Valdejalón	2008	19	10	FRENTE
16	Valdejalón	2008	20	8	AES
16	Valdejalón	2008	21	12	FA
16	Valdejalón	2008	22	3	PH
16	Valdejalón	2008	23	1	MCE
16	Valdejalón	2008	24	8	CTC
16	Valdejalón	2008	25	0	PCPE
17	Central	2008	1	528447	PSOE
17	Central	2008	2	425634	PP
17	Central	2008	3	54479	PAR
17	Central	2008	4	67817	CHA
