Municipio código	Municipio nombre	Sexo	Sector actividad, código	Sector actividad, descripción	Personas residentes viviendas familiares
22017	Alcolea de Cinca	Hombres	4	Servicios	82
22017	Alcolea de Cinca	Mujeres	1	Agricultura, ganadería y pesca	11
22017	Alcolea de Cinca	Mujeres	2	Industria y energía	36
22017	Alcolea de Cinca	Mujeres	4	Servicios	106
22018	Alcubierre	Hombres	1	Agricultura, ganadería y pesca	54
22018	Alcubierre	Hombres	2	Industria y energía	17
22018	Alcubierre	Hombres	3	Construcción	18
22018	Alcubierre	Hombres	4	Servicios	29
22018	Alcubierre	Mujeres	1	Agricultura, ganadería y pesca	1
22018	Alcubierre	Mujeres	2	Industria y energía	15
22018	Alcubierre	Mujeres	4	Servicios	32
22019	Alerre	Hombres	1	Agricultura, ganadería y pesca	6
22019	Alerre	Hombres	2	Industria y energía	10
22019	Alerre	Hombres	3	Construcción	9
22019	Alerre	Hombres	4	Servicios	31
22019	Alerre	Mujeres	2	Industria y energía	2
22019	Alerre	Mujeres	4	Servicios	30
22020	Alfántega	Hombres	1	Agricultura, ganadería y pesca	12
22020	Alfántega	Hombres	2	Industria y energía	10
22020	Alfántega	Hombres	3	Construcción	3
22020	Alfántega	Hombres	4	Servicios	7
22020	Alfántega	Mujeres	1	Agricultura, ganadería y pesca	1
22020	Alfántega	Mujeres	2	Industria y energía	1
22020	Alfántega	Mujeres	4	Servicios	4
22021	Almudévar	Hombres	1	Agricultura, ganadería y pesca	153
22021	Almudévar	Hombres	2	Industria y energía	155
22021	Almudévar	Hombres	3	Construcción	89
22021	Almudévar	Hombres	4	Servicios	219
22021	Almudévar	Mujeres	1	Agricultura, ganadería y pesca	12
22021	Almudévar	Mujeres	2	Industria y energía	27
22021	Almudévar	Mujeres	3	Construcción	5
22021	Almudévar	Mujeres	4	Servicios	235
22022	Almunia de San Juan	Hombres	1	Agricultura, ganadería y pesca	26
22022	Almunia de San Juan	Hombres	2	Industria y energía	76
22022	Almunia de San Juan	Hombres	3	Construcción	40
22022	Almunia de San Juan	Hombres	4	Servicios	33
22022	Almunia de San Juan	Mujeres	1	Agricultura, ganadería y pesca	6
22022	Almunia de San Juan	Mujeres	2	Industria y energía	12
22022	Almunia de San Juan	Mujeres	3	Construcción	2
22022	Almunia de San Juan	Mujeres	4	Servicios	42
22023	Almuniente	Hombres	1	Agricultura, ganadería y pesca	63
22023	Almuniente	Hombres	2	Industria y energía	21
22023	Almuniente	Hombres	3	Construcción	54
22023	Almuniente	Hombres	4	Servicios	42
22023	Almuniente	Mujeres	1	Agricultura, ganadería y pesca	4
22023	Almuniente	Mujeres	2	Industria y energía	10
22023	Almuniente	Mujeres	3	Construcción	2
22023	Almuniente	Mujeres	4	Servicios	55
22024	Alquézar	Hombres	1	Agricultura, ganadería y pesca	24
22024	Alquézar	Hombres	2	Industria y energía	7
22024	Alquézar	Hombres	3	Construcción	8
22024	Alquézar	Hombres	4	Servicios	33
22024	Alquézar	Mujeres	1	Agricultura, ganadería y pesca	2
22024	Alquézar	Mujeres	2	Industria y energía	2
22024	Alquézar	Mujeres	4	Servicios	30
22025	Altorricón	Hombres	1	Agricultura, ganadería y pesca	172
22025	Altorricón	Hombres	2	Industria y energía	46
22025	Altorricón	Hombres	3	Construcción	94
22025	Altorricón	Hombres	4	Servicios	90
22025	Altorricón	Mujeres	1	Agricultura, ganadería y pesca	29
22025	Altorricón	Mujeres	2	Industria y energía	43
22025	Altorricón	Mujeres	3	Construcción	4
22025	Altorricón	Mujeres	4	Servicios	131
22027	Angüés	Hombres	1	Agricultura, ganadería y pesca	32
22027	Angüés	Hombres	2	Industria y energía	10
22027	Angüés	Hombres	3	Construcción	26
22027	Angüés	Hombres	4	Servicios	38
22027	Angüés	Mujeres	1	Agricultura, ganadería y pesca	1
22027	Angüés	Mujeres	2	Industria y energía	5
22027	Angüés	Mujeres	3	Construcción	1
22027	Angüés	Mujeres	4	Servicios	45
22028	Ansó	Hombres	1	Agricultura, ganadería y pesca	37
22028	Ansó	Hombres	2	Industria y energía	24
22028	Ansó	Hombres	3	Construcción	23
22028	Ansó	Hombres	4	Servicios	57
22028	Ansó	Mujeres	1	Agricultura, ganadería y pesca	2
22028	Ansó	Mujeres	2	Industria y energía	9
22028	Ansó	Mujeres	4	Servicios	59
22029	Antillón	Hombres	1	Agricultura, ganadería y pesca	22
22029	Antillón	Hombres	2	Industria y energía	1
22029	Antillón	Hombres	3	Construcción	5
22029	Antillón	Hombres	4	Servicios	16
22029	Antillón	Mujeres	1	Agricultura, ganadería y pesca	2
22029	Antillón	Mujeres	3	Construcción	1
22029	Antillón	Mujeres	4	Servicios	19
22032	Aragüés del Puerto	Hombres	1	Agricultura, ganadería y pesca	4
22032	Aragüés del Puerto	Hombres	2	Industria y energía	6
22032	Aragüés del Puerto	Hombres	3	Construcción	4
22032	Aragüés del Puerto	Hombres	4	Servicios	20
22032	Aragüés del Puerto	Mujeres	4	Servicios	12
22035	Arén	Hombres	1	Agricultura, ganadería y pesca	44
22035	Arén	Hombres	3	Construcción	16
22035	Arén	Hombres	4	Servicios	28
22035	Arén	Mujeres	1	Agricultura, ganadería y pesca	4
22035	Arén	Mujeres	2	Industria y energía	5
22035	Arén	Mujeres	4	Servicios	30
