Año	Municipio código	Municipio nombre	División (2 dígitos) código	División (2 dígitos) descripción	Número de actividades
2009	22112	Fraga	26	Fabricación de productos informáticos, electrónicos y ópticos	1
2009	22112	Fraga	28	Fabricación de maquinaria y equipo n.c.o.p.	9
2009	22112	Fraga	29	Fabricación de vehículos de motor, remolques y semirremolques	4
2009	22112	Fraga	31	Fabricación de muebles	9
2009	22112	Fraga	32	Otras industrias manufactureras	5
2009	22112	Fraga	33	Reparación e instalación de maquinaria y equipo	4
2009	22112	Fraga	35	Suministro de energía eléctrica, gas, vapor y aire acondicionado	24
2009	22112	Fraga	36	Captación, depuración y distribución de agua	1
2009	22112	Fraga	37	Recogida y tratamiento de aguas residuales	3
2009	22112	Fraga	38	Recogida, tratamiento y eliminación de residuos; valorización	2
2009	22112	Fraga	39	Actividades de descontaminación y otros servicios de gestión de residuos	4
2009	22112	Fraga	41	Construcción de edificios	138
2009	22112	Fraga	42	Ingeniería civil	9
2009	22112	Fraga	43	Actividades de construcción especializada	203
2009	22112	Fraga	45	Venta y reparación de vehículos de motor y motocicletas	83
2009	22112	Fraga	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	141
2009	22112	Fraga	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	388
2009	22112	Fraga	49	Transporte terrestre y por tubería	98
2009	22112	Fraga	52	Almacenamiento y actividades anexas al transporte	13
2009	22112	Fraga	53	Actividades postales y de correos	3
2009	22112	Fraga	55	Servicios de alojamiento	12
2009	22112	Fraga	56	Servicios de comidas y bebidas	143
2009	22112	Fraga	58	Edición	7
2009	22112	Fraga	59	Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical	5
2009	22112	Fraga	60	Actividades de programación y emisión de radio y televisión	2
2009	22112	Fraga	61	Telecomunicaciones	3
2009	22112	Fraga	62	Programación, consultoría y otras actividades relacionadas con la informática	11
2009	22112	Fraga	63	Servicios de información	1
2009	22112	Fraga	64	Servicios financieros, excepto seguros y fondos de pensiones	19
2009	22112	Fraga	66	Actividades auxiliares a los servicios financieros y a los seguros	40
2009	22112	Fraga	68	Actividades inmobiliarias	175
2009	22112	Fraga	69	Actividades jurídicas y de contabilidad	56
2009	22112	Fraga	71	Servicios técnicos de arquitectura e ingeniería; ensayos y análisis técnicos	49
2009	22112	Fraga	72	Investigación y desarrollo	2
2009	22112	Fraga	73	Publicidad y estudios de mercado	17
2009	22112	Fraga	74	Otras actividades profesionales, científicas y técnicas	14
2009	22112	Fraga	75	Actividades veterinarias	5
2009	22112	Fraga	77	Actividades de alquiler	27
2009	22112	Fraga	78	Actividades relacionadas con el empleo	1
2009	22112	Fraga	79	Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos	6
2009	22112	Fraga	80	Actividades de seguridad e investigación	2
2009	22112	Fraga	81	Servicios a edificios y actividades de jardinería	10
2009	22112	Fraga	82	Actividades administrativas de oficina y otras actividades auxiliares a las empresas	32
2009	22112	Fraga	85	Educación	28
2009	22112	Fraga	86	Actividades sanitarias	26
2009	22112	Fraga	87	Asistencia en establecimientos residenciales	2
2009	22112	Fraga	88	Actividades de servicios sociales sin alojamiento	1
2009	22112	Fraga	90	Actividades de creación, artísticas y espectáculos	7
2009	22112	Fraga	92	Actividades de juegos de azar y apuestas	15
2009	22112	Fraga	93	Actividades deportivas, recreativas y de entretenimiento	18
2009	22112	Fraga	95	Reparación de ordenadores, efectos personales y artículos de uso doméstico	23
2009	22112	Fraga	96	Otros servicios personales	66
2009	22125	Huesca	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	134
2009	22125	Huesca	02	Silvicultura y explotación forestal	10
2009	22125	Huesca	05	Extracción de antracita, hulla y lignito	3
2009	22125	Huesca	08	Otras industrias extractivas	1
