Año	Inscripción provincia código	Inscripción provincia nombre	Inscripción municipio código	Inscripción municipio nombre	Edad (grandes grupos)	Sexo	Personas
2009	22	Huesca	22001	Abiego	0-15	Hombre	2
2009	22	Huesca	22001	Abiego	16-64	Hombre	5
2009	22	Huesca	22001	Abiego	16-64	Mujer	7
2009	22	Huesca	22001	Abiego	65 y más	Hombre	5
2009	22	Huesca	22001	Abiego	65 y más	Mujer	7
2009	22	Huesca	22002	Abizanda	0-15	Mujer	1
2009	22	Huesca	22002	Abizanda	16-64	Mujer	1
2009	22	Huesca	22002	Abizanda	65 y más	Mujer	2
2009	22	Huesca	22003	Adahuesca	65 y más	Hombre	1
2009	22	Huesca	22003	Adahuesca	65 y más	Mujer	2
2009	22	Huesca	22004	Agüero	16-64	Hombre	1
2009	22	Huesca	22004	Agüero	65 y más	Hombre	4
2009	22	Huesca	22004	Agüero	65 y más	Mujer	5
2009	22	Huesca	22006	Aísa	16-64	Hombre	1
2009	22	Huesca	22006	Aísa	16-64	Mujer	2
2009	22	Huesca	22006	Aísa	65 y más	Hombre	1
2009	22	Huesca	22006	Aísa	65 y más	Mujer	3
2009	22	Huesca	22007	Albalate de Cinca	0-15	Hombre	2
2009	22	Huesca	22007	Albalate de Cinca	16-64	Hombre	9
2009	22	Huesca	22007	Albalate de Cinca	16-64	Mujer	8
2009	22	Huesca	22007	Albalate de Cinca	65 y más	Hombre	12
2009	22	Huesca	22007	Albalate de Cinca	65 y más	Mujer	9
2009	22	Huesca	22008	Albalatillo	16-64	Mujer	4
2009	22	Huesca	22008	Albalatillo	65 y más	Mujer	1
2009	22	Huesca	22009	Albelda	16-64	Hombre	8
2009	22	Huesca	22009	Albelda	16-64	Mujer	5
2009	22	Huesca	22009	Albelda	65 y más	Hombre	8
2009	22	Huesca	22009	Albelda	65 y más	Mujer	7
2009	22	Huesca	22011	Albero Alto	65 y más	Hombre	1
2009	22	Huesca	22011	Albero Alto	65 y más	Mujer	1
2009	22	Huesca	22013	Alberuela de Tubo	16-64	Mujer	2
2009	22	Huesca	22013	Alberuela de Tubo	65 y más	Hombre	1
2009	22	Huesca	22013	Alberuela de Tubo	65 y más	Mujer	1
2009	22	Huesca	22014	Alcalá de Gurrea	0-15	Mujer	1
2009	22	Huesca	22014	Alcalá de Gurrea	16-64	Hombre	1
2009	22	Huesca	22014	Alcalá de Gurrea	16-64	Mujer	1
2009	22	Huesca	22014	Alcalá de Gurrea	65 y más	Hombre	2
2009	22	Huesca	22014	Alcalá de Gurrea	65 y más	Mujer	4
2009	22	Huesca	22015	Alcalá del Obispo	16-64	Hombre	2
2009	22	Huesca	22015	Alcalá del Obispo	16-64	Mujer	2
2009	22	Huesca	22015	Alcalá del Obispo	65 y más	Hombre	3
2009	22	Huesca	22016	Alcampell	0-15	Mujer	1
2009	22	Huesca	22016	Alcampell	16-64	Hombre	9
2009	22	Huesca	22016	Alcampell	16-64	Mujer	4
2009	22	Huesca	22016	Alcampell	65 y más	Hombre	4
2009	22	Huesca	22016	Alcampell	65 y más	Mujer	9
2009	22	Huesca	22017	Alcolea de Cinca	0-15	Hombre	1
2009	22	Huesca	22017	Alcolea de Cinca	16-64	Hombre	6
2009	22	Huesca	22017	Alcolea de Cinca	16-64	Mujer	3
2009	22	Huesca	22017	Alcolea de Cinca	65 y más	Hombre	7
2009	22	Huesca	22017	Alcolea de Cinca	65 y más	Mujer	4
2009	22	Huesca	22018	Alcubierre	16-64	Hombre	3
2009	22	Huesca	22018	Alcubierre	16-64	Mujer	7
2009	22	Huesca	22018	Alcubierre	65 y más	Hombre	3
2009	22	Huesca	22018	Alcubierre	65 y más	Mujer	3
2009	22	Huesca	22019	Alerre	16-64	Hombre	1
2009	22	Huesca	22019	Alerre	16-64	Mujer	1
2009	22	Huesca	22019	Alerre	65 y más	Mujer	1
2009	22	Huesca	22021	Almudévar	0-15	Hombre	2
2009	22	Huesca	22021	Almudévar	0-15	Mujer	3
2009	22	Huesca	22021	Almudévar	16-64	Hombre	14
2009	22	Huesca	22021	Almudévar	16-64	Mujer	18
2009	22	Huesca	22021	Almudévar	65 y más	Hombre	6
2009	22	Huesca	22021	Almudévar	65 y más	Mujer	9
2009	22	Huesca	22022	Almunia de San Juan	16-64	Hombre	7
2009	22	Huesca	22022	Almunia de San Juan	16-64	Mujer	7
2009	22	Huesca	22022	Almunia de San Juan	65 y más	Hombre	2
2009	22	Huesca	22022	Almunia de San Juan	65 y más	Mujer	1
2009	22	Huesca	22023	Almuniente	16-64	Hombre	1
2009	22	Huesca	22023	Almuniente	16-64	Mujer	2
2009	22	Huesca	22024	Alquézar	0-15	Hombre	1
2009	22	Huesca	22024	Alquézar	16-64	Hombre	9
2009	22	Huesca	22024	Alquézar	16-64	Mujer	8
2009	22	Huesca	22024	Alquézar	65 y más	Hombre	3
2009	22	Huesca	22024	Alquézar	65 y más	Mujer	7
2009	22	Huesca	22025	Altorricón	0-15	Mujer	1
2009	22	Huesca	22025	Altorricón	16-64	Hombre	10
2009	22	Huesca	22025	Altorricón	16-64	Mujer	4
2009	22	Huesca	22025	Altorricón	65 y más	Hombre	5
2009	22	Huesca	22025	Altorricón	65 y más	Mujer	6
2009	22	Huesca	22027	Angüés	16-64	Hombre	5
2009	22	Huesca	22027	Angüés	16-64	Mujer	2
2009	22	Huesca	22027	Angüés	65 y más	Hombre	5
2009	22	Huesca	22027	Angüés	65 y más	Mujer	3
2009	22	Huesca	22028	Ansó	0-15	Hombre	2
2009	22	Huesca	22028	Ansó	0-15	Mujer	2
2009	22	Huesca	22028	Ansó	16-64	Hombre	12
2009	22	Huesca	22028	Ansó	16-64	Mujer	13
2009	22	Huesca	22028	Ansó	65 y más	Hombre	12
2009	22	Huesca	22028	Ansó	65 y más	Mujer	9
2009	22	Huesca	22032	Aragüés del Puerto	0-15	Mujer	2
2009	22	Huesca	22032	Aragüés del Puerto	16-64	Hombre	4
2009	22	Huesca	22032	Aragüés del Puerto	16-64	Mujer	4
2009	22	Huesca	22032	Aragüés del Puerto	65 y más	Hombre	4
2009	22	Huesca	22032	Aragüés del Puerto	65 y más	Mujer	3
2009	22	Huesca	22035	Arén	16-64	Hombre	4
2009	22	Huesca	22035	Arén	16-64	Mujer	4
2009	22	Huesca	22035	Arén	65 y más	Hombre	3
2009	22	Huesca	22036	Argavieso	65 y más	Mujer	2
