Año	Municipio código	Municipio nombre	Fuentes Mineromedicinales
2006	22001	Abiego	0
2006	22002	Abizanda	0
2006	22003	Adahuesca	0
2006	22004	Agüero	0
2006	22006	Aísa	0
2006	22007	Albalate de Cinca	0
2006	22008	Albalatillo	0
2006	22009	Albelda	0
2006	22011	Albero Alto	0
2006	22012	Albero Bajo	0
2006	22013	Alberuela de Tubo	0
2006	22014	Alcalá de Gurrea	0
2006	22015	Alcalá del Obispo	1
2006	22016	Alcampell	0
2006	22017	Alcolea de Cinca	0
2006	22018	Alcubierre	0
2006	22019	Alerre	0
2006	22020	Alfántega	0
2006	22021	Almudévar	0
2006	22022	Almunia de San Juan	0
2006	22023	Almuniente	0
2006	22024	Alquézar	1
2006	22025	Altorricón	0
2006	22027	Angüés	0
2006	22028	Ansó	0
2006	22029	Antillón	0
2006	22032	Aragüés del Puerto	1
2006	22035	Arén	0
2006	22036	Argavieso	0
2006	22037	Arguis	0
2006	22039	Ayerbe	0
2006	22040	Azanuy-Alins	0
2006	22041	Azara	0
2006	22042	Azlor	0
2006	22043	Baells	0
2006	22044	Bailo	0
2006	22045	Baldellou	0
2006	22046	Ballobar	0
2006	22047	Banastás	0
2006	22048	Barbastro	0
2006	22049	Barbués	0
2006	22050	Barbuñales	0
2006	22051	Bárcabo	0
2006	22052	Belver de Cinca	0
2006	22053	Benabarre	0
2006	22054	Benasque	1
2006	22055	Berbegal	0
2006	22057	Bielsa	0
2006	22058	Bierge	0
2006	22059	Biescas	1
2006	22060	Binaced	0
2006	22061	Binéfar	0
2006	22062	Bisaurri	1
2006	22063	Biscarrués	0
2006	22064	Blecua y Torres	0
2006	22066	Boltaña	0
2006	22067	Bonansa	0
2006	22068	Borau	0
2006	22069	Broto	0
2006	22072	Caldearenas	0
2006	22074	Campo	0
2006	22075	Camporrells	1
2006	22076	Canal de Berdún	0
2006	22077	Candasnos	0
2006	22078	Canfranc	0
2006	22079	Capdesaso	0
2006	22080	Capella	1
2006	22081	Casbas de Huesca	1
2006	22082	Castejón del Puente	0
2006	22083	Castejón de Monegros	0
2006	22084	Castejón de Sos	1
2006	22085	Castelflorite	0
2006	22086	Castiello de Jaca	0
2006	22087	Castigaleu	0
2006	22088	Castillazuelo	0
2006	22089	Castillonroy	0
2006	22090	Colungo	0
2006	22094	Chalamera	0
2006	22095	Chía	0
2006	22096	Chimillas	0
2006	22099	Esplús	0
2006	22102	Estada	0
2006	22103	Estadilla	1
2006	22105	Estopiñán del Castillo	0
2006	22106	Fago	0
2006	22107	Fanlo	1
2006	22109	Fiscal	2
2006	22110	Fonz	0
2006	22111	Foradada del Toscar	0
2006	22112	Fraga	0
2006	22113	Fueva (La)	0
