Provincia codigo	Provincia nombre	Explotaciones	Gestión explotación
22	Huesca	12363	El titular es el jefe de la explotación
22	Huesca	2694	Otra persona o sociedad es jefe de la explotación
22	Huesca	1223	Un miembro de la familia es el jefe de la explotación
44	Teruel	9488	El titular es el jefe de la explotación
44	Teruel	1145	Otra persona o sociedad es jefe de la explotación
44	Teruel	1188	Un miembro de la familia es el jefe de la explotación
50	Zaragoza	19203	El titular es el jefe de la explotación
50	Zaragoza	2828	Otra persona o sociedad es jefe de la explotación
50	Zaragoza	2642	Un miembro de la familia es el jefe de la explotación
