Año	División (2 dígitos) Descripción	Nº Accidentes	División (2 dígitos) Código	CCAA
2011	Administración Pública y defensa; Seguridad Social obligatoria	565	84	Aragón
2011	Agricultura, ganadería, caza y servicios relacionados con las mismas	549	01	Aragón
2011	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	455	46	Aragón
2011	Fabricación de vehículos de motor, remolques y semirremolques	430	29	Aragón
2011	Comercio al por menor, excepto de vehículos de motor y motocicletas	347	47	Aragón
2011	Fabricación de maquinaria y equipo n.c.o.p.	346	28	Aragón
2010	Actividades de construcción especializada	1242	43	Aragón
2010	Construcción de edificios	1076	41	Aragón
2010	Transporte terrestre y por tubería	812	49	Aragón
2010	Fabricación de productos metálicos, excepto maquinaria y equipo	647	25	Aragón
2010	Administración Pública y defensa; Seguridad Social obligatoria	570	84	Aragón
2010	Fabricación de vehículos de motor, remolques y semirremolques	525	29	Aragón
2010	Agricultura, ganadería, caza y servicios relacionados con las mismas	513	01	Aragón
2010	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	506	46	Aragón
2010	Fabricación de maquinaria y equipo n.c.o.p.	390	28	Aragón
2010	Comercio al por menor, excepto de vehículos de motor y motocicletas	358	47	Aragón
2009	Actividades de construcción especializada	1356	43	Aragón
2009	Construcción de edificios	1354	41	Aragón
2009	Transporte terrestre y por tubería	805	49	Aragón
2009	Fabricación de productos metálicos, excepto maquinaria y equipo	671	25	Aragón
2009	Administración Pública y defensa; Seguridad Social obligatoria	585	84	Aragón
2009	Agricultura, ganadería, caza y servicios relacionados con las mismas	565	01	Aragón
2009	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	546	46	Aragón
2009	Fabricación de maquinaria y equipo n.c.o.p.	472	28	Aragón
2009	Comercio al por menor, excepto de vehículos de motor y motocicletas	422	47	Aragón
2009	Fabricación de vehículos de motor, remolques y semirremolques	417	29	Aragón
