Año	Sexo	Edad (grupos quinquenales)	Nº Accidentes	Código	Municipio
2020	Hombres	16-19	1	22048	Barbastro
2020	Hombres	20-24	7	22048	Barbastro
2020	Hombres	25-29	17	22048	Barbastro
2020	Hombres	30-34	20	22048	Barbastro
2020	Hombres	35-39	14	22048	Barbastro
2020	Hombres	40-44	20	22048	Barbastro
2020	Hombres	45-49	21	22048	Barbastro
2020	Hombres	50-54	18	22048	Barbastro
2020	Hombres	55-59	12	22048	Barbastro
2020	Hombres	60-64	8	22048	Barbastro
2020	Hombres	Más de 64	2	22048	Barbastro
2020	Mujeres	20-24	6	22048	Barbastro
2020	Mujeres	25-29	16	22048	Barbastro
2020	Mujeres	30-34	11	22048	Barbastro
2020	Mujeres	35-39	17	22048	Barbastro
2020	Mujeres	40-44	19	22048	Barbastro
2020	Mujeres	45-49	26	22048	Barbastro
2020	Mujeres	50-54	14	22048	Barbastro
2020	Mujeres	55-59	17	22048	Barbastro
2020	Mujeres	60-64	9	22048	Barbastro
2020	Hombres	16-19	11	22061	Binéfar
2020	Hombres	20-24	41	22061	Binéfar
2020	Hombres	25-29	55	22061	Binéfar
2020	Hombres	30-34	47	22061	Binéfar
2020	Hombres	35-39	58	22061	Binéfar
2020	Hombres	40-44	90	22061	Binéfar
2020	Hombres	45-49	61	22061	Binéfar
2020	Hombres	50-54	30	22061	Binéfar
2020	Hombres	55-59	21	22061	Binéfar
2020	Hombres	60-64	7	22061	Binéfar
2020	Hombres	Más de 64	2	22061	Binéfar
2020	Mujeres	20-24	11	22061	Binéfar
2020	Mujeres	25-29	9	22061	Binéfar
2020	Mujeres	30-34	6	22061	Binéfar
2020	Mujeres	35-39	14	22061	Binéfar
2020	Mujeres	40-44	13	22061	Binéfar
2020	Mujeres	45-49	18	22061	Binéfar
2020	Mujeres	50-54	16	22061	Binéfar
2020	Mujeres	55-59	5	22061	Binéfar
2020	Mujeres	60-64	1	22061	Binéfar
2020	Hombres	16-19	10	22112	Fraga
2020	Hombres	20-24	26	22112	Fraga
2020	Hombres	25-29	25	22112	Fraga
2020	Hombres	30-34	19	22112	Fraga
2020	Hombres	35-39	41	22112	Fraga
2020	Hombres	40-44	29	22112	Fraga
2020	Hombres	45-49	35	22112	Fraga
2020	Hombres	50-54	22	22112	Fraga
2020	Hombres	55-59	18	22112	Fraga
2020	Hombres	60-64	12	22112	Fraga
2020	Mujeres	16-19	5	22112	Fraga
2020	Mujeres	20-24	6	22112	Fraga
2020	Mujeres	25-29	4	22112	Fraga
2020	Mujeres	30-34	6	22112	Fraga
2020	Mujeres	35-39	12	22112	Fraga
2020	Mujeres	40-44	9	22112	Fraga
2020	Mujeres	45-49	14	22112	Fraga
2020	Mujeres	50-54	13	22112	Fraga
2020	Mujeres	55-59	8	22112	Fraga
2020	Mujeres	60-64	6	22112	Fraga
2020	Mujeres	Más de 64	1	22112	Fraga
2020	Hombres	16-19	6	22125	Huesca
2020	Hombres	20-24	55	22125	Huesca
2020	Hombres	25-29	49	22125	Huesca
2020	Hombres	30-34	48	22125	Huesca
2020	Hombres	35-39	74	22125	Huesca
2020	Hombres	40-44	84	22125	Huesca
2020	Hombres	45-49	61	22125	Huesca
2020	Hombres	50-54	54	22125	Huesca
2020	Hombres	55-59	57	22125	Huesca
2020	Hombres	60-64	25	22125	Huesca
2020	Hombres	Más de 64	3	22125	Huesca
2020	Mujeres	16-19	4	22125	Huesca
2020	Mujeres	20-24	9	22125	Huesca
2020	Mujeres	25-29	31	22125	Huesca
2020	Mujeres	30-34	25	22125	Huesca
2020	Mujeres	35-39	27	22125	Huesca
2020	Mujeres	40-44	32	22125	Huesca
2020	Mujeres	45-49	62	22125	Huesca
2020	Mujeres	50-54	33	22125	Huesca
2020	Mujeres	55-59	29	22125	Huesca
2020	Mujeres	60-64	28	22125	Huesca
2020	Mujeres	Más de 64	2	22125	Huesca
2020	Hombres	20-24	2	22130	Jaca
2020	Hombres	25-29	4	22130	Jaca
2020	Hombres	30-34	2	22130	Jaca
2020	Hombres	35-39	13	22130	Jaca
2020	Hombres	40-44	9	22130	Jaca
2020	Hombres	45-49	18	22130	Jaca
2020	Hombres	50-54	9	22130	Jaca
2020	Hombres	55-59	11	22130	Jaca
2020	Hombres	60-64	8	22130	Jaca
2020	Mujeres	16-19	2	22130	Jaca
2020	Mujeres	20-24	3	22130	Jaca
2020	Mujeres	25-29	2	22130	Jaca
2020	Mujeres	30-34	5	22130	Jaca
2020	Mujeres	35-39	4	22130	Jaca
2020	Mujeres	40-44	6	22130	Jaca
2020	Mujeres	45-49	9	22130	Jaca
2020	Mujeres	55-59	4	22130	Jaca
2020	Mujeres	60-64	6	22130	Jaca
2020	Hombres	16-19	3	22158	Monzón
2020	Hombres	20-24	9	22158	Monzón
2020	Hombres	25-29	29	22158	Monzón
2020	Hombres	30-34	27	22158	Monzón
2020	Hombres	35-39	35	22158	Monzón
2020	Hombres	40-44	34	22158	Monzón
2020	Hombres	45-49	25	22158	Monzón
2020	Hombres	50-54	39	22158	Monzón
2020	Hombres	55-59	16	22158	Monzón
2020	Hombres	60-64	13	22158	Monzón
2020	Mujeres	20-24	3	22158	Monzón
2020	Mujeres	25-29	4	22158	Monzón
2020	Mujeres	30-34	5	22158	Monzón
2020	Mujeres	35-39	6	22158	Monzón
2020	Mujeres	40-44	3	22158	Monzón
2020	Mujeres	45-49	2	22158	Monzón
2020	Mujeres	50-54	13	22158	Monzón
2020	Mujeres	55-59	5	22158	Monzón
2020	Mujeres	60-64	3	22158	Monzón
2020	Hombres	16-19	1	22199	Sabiñánigo
2020	Hombres	20-24	5	22199	Sabiñánigo
2020	Hombres	25-29	3	22199	Sabiñánigo
2020	Hombres	30-34	5	22199	Sabiñánigo
2020	Hombres	35-39	9	22199	Sabiñánigo
2020	Hombres	40-44	7	22199	Sabiñánigo
2020	Hombres	45-49	14	22199	Sabiñánigo
2020	Hombres	50-54	9	22199	Sabiñánigo
2020	Hombres	55-59	7	22199	Sabiñánigo
2020	Hombres	60-64	4	22199	Sabiñánigo
2020	Mujeres	16-19	1	22199	Sabiñánigo
2020	Mujeres	20-24	1	22199	Sabiñánigo
2020	Mujeres	25-29	1	22199	Sabiñánigo
2020	Mujeres	35-39	4	22199	Sabiñánigo
2020	Mujeres	40-44	1	22199	Sabiñánigo
