Comarca código	Comarca nombre	Nivel estudios (agregado)	Personas residentes viviendas familiares	Nivel estudios (detalle)
10	Los Monegros	Analfabetos	211	No sabe leer o escribir
10	Los Monegros	Sin estudios	2356	Sin estudios
10	Los Monegros	Primer grado	6315	Primer grado
10	Los Monegros	Segundo grado	829	FP Grado Medio
10	Los Monegros	Segundo grado	5059	ESO, EGB, Bachillerato Ele.
10	Los Monegros	Segundo grado	576	FP Grado Superior
10	Los Monegros	Segundo grado	1581	Bachillerato Superior
10	Los Monegros	Tercer grado	34	Doctorado
10	Los Monegros	Tercer grado	961	Diplomatura
10	Los Monegros	Tercer grado	541	Licenciatura
11	Bajo Cinca / Baix Cinca	Analfabetos	319	No sabe leer o escribir
11	Bajo Cinca / Baix Cinca	Sin estudios	1894	Sin estudios
11	Bajo Cinca / Baix Cinca	Primer grado	5224	Primer grado
11	Bajo Cinca / Baix Cinca	Segundo grado	7053	ESO, EGB, Bachillerato Ele.
11	Bajo Cinca / Baix Cinca	Segundo grado	695	FP Grado Medio
11	Bajo Cinca / Baix Cinca	Segundo grado	1700	Bachillerato Superior
11	Bajo Cinca / Baix Cinca	Segundo grado	755	FP Grado Superior
11	Bajo Cinca / Baix Cinca	Tercer grado	862	Diplomatura
11	Bajo Cinca / Baix Cinca	Tercer grado	13	Doctorado
11	Bajo Cinca / Baix Cinca	Tercer grado	451	Licenciatura
12	Tarazona y el Moncayo	Analfabetos	134	No sabe leer o escribir
12	Tarazona y el Moncayo	Sin estudios	1433	Sin estudios
12	Tarazona y el Moncayo	Primer grado	3952	Primer grado
12	Tarazona y el Moncayo	Segundo grado	569	FP Grado Superior
12	Tarazona y el Moncayo	Segundo grado	520	FP Grado Medio
12	Tarazona y el Moncayo	Segundo grado	1188	Bachillerato Superior
12	Tarazona y el Moncayo	Segundo grado	3144	ESO, EGB, Bachillerato Ele.
12	Tarazona y el Moncayo	Tercer grado	22	Doctorado
12	Tarazona y el Moncayo	Tercer grado	697	Diplomatura
12	Tarazona y el Moncayo	Tercer grado	397	Licenciatura
13	Campo de Borja	Analfabetos	126	No sabe leer o escribir
13	Campo de Borja	Sin estudios	1819	Sin estudios
13	Campo de Borja	Primer grado	3377	Primer grado
13	Campo de Borja	Segundo grado	622	FP Grado Medio
13	Campo de Borja	Segundo grado	831	Bachillerato Superior
13	Campo de Borja	Segundo grado	4136	ESO, EGB, Bachillerato Ele.
13	Campo de Borja	Segundo grado	364	FP Grado Superior
13	Campo de Borja	Tercer grado	330	Licenciatura
13	Campo de Borja	Tercer grado	518	Diplomatura
13	Campo de Borja	Tercer grado	18	Doctorado
14	Aranda	Analfabetos	137	No sabe leer o escribir
14	Aranda	Sin estudios	1054	Sin estudios
14	Aranda	Primer grado	2313	Primer grado
14	Aranda	Segundo grado	166	FP Grado Superior
14	Aranda	Segundo grado	373	Bachillerato Superior
14	Aranda	Segundo grado	2265	ESO, EGB, Bachillerato Ele.
14	Aranda	Segundo grado	199	FP Grado Medio
14	Aranda	Tercer grado	9	Doctorado
14	Aranda	Tercer grado	94	Licenciatura
14	Aranda	Tercer grado	202	Diplomatura
15	Ribera Alta del Ebro	Analfabetos	304	No sabe leer o escribir
15	Ribera Alta del Ebro	Sin estudios	2333	Sin estudios
15	Ribera Alta del Ebro	Primer grado	5465	Primer grado
15	Ribera Alta del Ebro	Segundo grado	807	FP Grado Superior
15	Ribera Alta del Ebro	Segundo grado	1389	Bachillerato Superior
15	Ribera Alta del Ebro	Segundo grado	1208	FP Grado Medio
15	Ribera Alta del Ebro	Segundo grado	6151	ESO, EGB, Bachillerato Ele.
15	Ribera Alta del Ebro	Tercer grado	29	Doctorado
15	Ribera Alta del Ebro	Tercer grado	454	Licenciatura
15	Ribera Alta del Ebro	Tercer grado	734	Diplomatura
16	Valdejalón	Analfabetos	356	No sabe leer o escribir
16	Valdejalón	Sin estudios	2604	Sin estudios
16	Valdejalón	Primer grado	5857	Primer grado
16	Valdejalón	Segundo grado	1418	Bachillerato Superior
16	Valdejalón	Segundo grado	919	FP Grado Medio
16	Valdejalón	Segundo grado	832	FP Grado Superior
16	Valdejalón	Segundo grado	5990	ESO, EGB, Bachillerato Ele.
16	Valdejalón	Tercer grado	974	Diplomatura
16	Valdejalón	Tercer grado	51	Doctorado
16	Valdejalón	Tercer grado	522	Licenciatura
17	D.C. Zaragoza	Analfabetos	6253	No sabe leer o escribir
